Leading.proteins.Positions.within.proteins;log2 eat2_d15_01;log2 eat2_d15_02;log2 eat2_d15_03;log2 eat2_d15_04;log2 eat2_d1_01;log2 eat2_d1_02;log2 eat2_d1_03;log2 eat2_d1_04; -Log Student's T-test p-value eat2_d15_eat2_d1;Student's T-test q-value eat2_d15_eat2_d1; Student's T-test Difference eat2_d15_eat2_d1;Student's T-test Test statistic eat2_d15_eat2_d1;Sign p-val: 0.05 
G5ED33(542);21,5417;20,6052;21,8186;21,6586;23,5334;23,8659;22,8091;21,4201;1,31559;0,0531896;-1,50108;-2,47162;
G5ED33(562);22,0936;20,9693;21,8315;21,582;24,5767;24,9587;24,2381;24,8764;4,34994;0,00217143;-3,0434;-10,4649;+
G5ED33(621);20,6689;19,8074;19,8263;21,4035;20,7121;21,6121;21,5258;20,8901;0,858607;0,132142;-0,758461;-1,7081;
G5ED33(524);21,3207;20,457;21,1569;20,8725;22,5255;23,5415;23,281;23,7146;3,42489;0,00182857;-2,31385;-7,15503;+
G5ED33(755);24,5316;23,0237;23,3382;24,1397;21,7742;22,8023;23,3951;21,6803;1,32272;0,0524729;1,34533;2,48374;
G5ED33(537);25,2037;21,9564;23,4921;21,3081;20,3533;19,2331;21,6183;21,2415;1,23617;0,0617223;2,37854;2,33735;
G5ED33(583);20,5845;20,0789;20,1227;21,7398;20,5678;20,222;21,3859;21,0173;0,136019;0,703059;-0,166756;-0,360102;
A0A061ACQ8(315);21,4137;20,3753;20,2783;21,1525;23,8289;24,4935;24,4446;23,923;4,28362;0,0020177;-3,36755;-10,1891;+
A0A061ACQ8(294);20,2449;20,6627;20,3218;21,4516;20,6905;20,6101;21,286;20,8378;0,2395;0,541446;-0,185794;-0,590981;
A0A061ACQ8(133);26,0796;26,6214;27,3457;25,2603;24,3735;26,4799;26,1909;25,0773;0,565327;0,249928;0,796378;1,20921;
A0A061ACQ8(135);26,0796;24,4882;24,0322;24,5542;25,8144;26,1828;26,1909;25,0773;1,02751;0,094606;-1,0278;-1,98888;
A0A061ACR1(589);24,6031;23,893;27,408;25,7024;24,4604;23,8085;23,8101;22,391;1,04904;0,0903068;1,78412;2,02466;
A0A061AL01(989);21,6271;21,5454;19,618;21,1324;20,9122;20,5604;20,0432;21,2337;0,220954;0,567894;0,29339;0,551459;
A0A061AL01(593);20,3374;20,0229;21,7904;21,6173;20,052;21,7668;21,7559;22,3719;0,349703;0,412205;-0,544665;-0,813527;
B3GWD8(179);21,9518;20,5953;21,7451;21,6637;20,4407;21,4264;21,4755;19,5985;0,671502;0,198279;0,753736;1,39295;
B3GWD8(187);21,5007;20,8678;21,3048;20,5311;20,2055;21,2947;21,4317;18,8279;0,423035;0,346305;0,611152;0,952671;
