ProteinAccessions;log2 eat2_d5_01;log2 eat2_d5_02;log2 eat2_d5_03;log2 eat2_d5_04;log2 N2_d5_01;log2 N2_d5_02;log2 N2_d5_03;log2 N2_d5_04; -Log Student's T-test p-value eat2_d5_N2_d5;Student's T-test q-value eat2_d5_N2_d5; Student's T-test Difference eat2_d5_N2_d5;Student's T-test Test statistic eat2_d5_N2_d5;Sign p-val: 0.05 
A0A061ACH4;13,6624;14,6705;13,0161;13,1788;10,7246;12,8939;13,1994;12,3652;1,0392;0,0456865;1,33618;2,0083;+
A0A061ACL3;16,9482;16,9907;16,7258;16,8047;16,0288;16,0264;15,5569;15,6059;3,5122;0,00070494;1,06286;7,42313;+
A0A061ACM2;13,2868;13,2943;13,4311;13,5574;14,1342;12,9341;13,6492;13,7203;0,365207;0,295429;-0,217062;-0,843447;
A0A061ACR1;16,7278;16,9222;16,7445;16,861;17,5171;16,5847;16,6106;16,7523;0,0841208;0,737802;-0,0523;-0,232458;
A0A061ACU2;14,9797;14,1831;14,1785;14,1505;13,722;14,2385;14,3964;14,2946;0,359833;0,300128;0,210135;0,833109;
A0A061AD18;16,7245;16,8547;16,5382;17,0434;17,6586;18,4575;18,3246;17,916;3,05675;0,000648649;-1,29897;-6,10888;+
A0A061AD21;17,3778;17,2611;17,2211;17,2552;17,6514;17,3559;17,1822;17,7655;0,746954;0,100548;-0,209953;-1,52099;
A0A061AD39;14,5667;14,1245;13,5735;13,8609;13,4012;12,9817;14,2163;13,4658;0,764209;0,0957024;0,515165;1,55006;
A0A061AD47;16,9522;16,8906;16,8216;16,896;16,9615;16,9142;16,9885;17,2432;0,879904;0,0696981;-0,136783;-1,74359;
A0A061ADY8;13,204;12,8146;12,8455;12,807;12,5762;12,6283;12,41;12,2389;1,88761;0,00545816;0,454426;3,49189;+
A0A061AE05;14,6654;14,5446;14,8951;14,5906;14,3474;14,1023;14,6768;15,287;0,0962665;0,706147;0,0705495;0,263221;
A0A061AIW1;15,2113;15,2708;15,2935;14,6747;13,4878;14,1536;13,55;13,8556;3,14912;0,000588477;1,35086;6,35924;+
A0A061AJK8;13,5273;13,4948;13,3414;13,3991;13,343;14,7779;12,7744;13,8059;0,220716;0,460687;-0,23465;-0,550945;
A0A061AKY5;16,4987;16,7147;17,2833;16,7405;15,0469;15,1157;15,7014;16,2875;2,0477;0,003889;1,27144;3,80075;+
A0A061AL58;11,9923;11,9933;11,806;11,4557;14,0077;13,7704;14,3544;14,8973;3,94402;0,000371212;-2,44561;-8,87697;+
A0A078BPG0;13,584;13,4527;12,8148;13,6212;13,6093;13,9933;14,1876;13,6874;1,13514;0,0350799;-0,501218;-2,16805;+
A0A078BPH9;13,1674;12,9395;13,0649;12,9296;13,9452;13,0582;13,5171;14,1013;1,39939;0,0173924;-0,630115;-2,61474;+
A0A078BPJ4;15,392;15,4007;15,3164;15,3035;15,0756;14,6052;14,7545;15,1934;1,73309;0,00784468;0,44598;3,20475;+
A0A078BQL1;14,8861;15,2158;14,6431;15,0318;14,5143;14,874;15,3494;14,2494;0,311802;0,348794;0,197442;0,739084;
A0A078BQP7;14,4415;14,4753;14,7231;14,8048;14,7875;14,7886;14,8223;15,2597;1,07831;0,0411615;-0,303345;-2,07334;+
A0A0K3AQM0;13,5294;15,0585;14,5216;13,7324;14,2439;14,2245;14,3268;14,9832;0,238168;0,436318;-0,234102;-0,588166;
A0A0K3AQN0;13,9565;14,6444;14,1362;14,1668;12,7547;13,4247;12,9829;13,2754;2,74694;0,000923315;1,11651;5,32253;+
A0A0K3AQN5;14,7406;14,5345;14,7663;14,542;14,4009;14,1815;13,6723;14,6201;1,04132;0,0453969;0,427137;2,01183;+
A0A0K3AQT9;19,8249;18,7062;20,3346;16,7774;15,4549;16,4514;16,337;16,0881;1,86675;0,00579213;2,82791;3,45253;+
A0A0K3AQU9;15,2793;14,4381;15,0734;14,2001;14,1918;13,9737;14,107;14,251;1,24277;0,0265907;0,616822;2,34846;+
A0A0K3AQV8;15,0382;14,7899;13,6586;14,2145;15,5204;14,5985;13,4376;14,1562;0,00181323;0,992974;-0,00290489;-0,005443;
A0A0K3AQW8;14,4324;13,7939;13,9669;14,1113;12,576;13,1572;13,132;12,9809;2,95706;0,000714924;1,11461;5,84713;+
A0A0K3AQY3;11,9383;11,9019;11,7932;11,7711;11,472;11,1757;11,0624;11,6847;1,84597;0,00614418;0,502422;3,4135;+
A0A0K3AR63;14,4295;14,2156;13,8791;13,6415;14,585;14,0713;13,2523;14,1532;0,0270663;0,906817;0,0259726;0,0790285;
A0A0K3ARA8;15,5488;15,0549;14,68;14,8117;11,412;11,2337;10,9874;11,7267;5,24626;0,000346457;3,68391;14,9353;+
A0A0K3ARC0;15,4347;15,3798;15,0622;15,2719;15,1948;14,4688;14,6904;15,4279;0,703593;0,112359;0,34164;1,44761;
A0A0K3ARE1;13,6346;14,8193;13,2643;14,2192;11,3677;11,1951;11,1271;11,6101;3,51837;0,000710633;2,65935;7,44238;+
A0A0K3ARF3;13,1435;13,1674;13,0787;13,801;14,5409;15,7414;14,0072;14,7912;1,98629;0,00443056;-1,4725;-3,68081;+
A0A0K3ARJ1;12,2505;12,6677;13,2142;12,9798;13,2709;14,0571;14,3065;13,1438;1,38127;0,0184053;-0,916544;-2,58365;+
A0A0K3ARM6;14,6408;14,4002;14,6111;13,9143;13,3327;12,299;12,7186;13,5858;2,23489;0,00261433;1,40756;4,17862;+
A0A0K3ARN9;12,0247;11,927;11,8877;11,8275;11,4711;11,1696;10,8206;11,7053;1,72521;0,00789241;0,625051;3,19038;+
A0A0K3ARX5;11,9399;12,0333;11,7241;11,8611;11,4521;11,2233;11,1725;11,7425;1,82778;0,00642785;0,491991;3,37951;+
A0A0K3AS68;20,2126;19,6131;18,8943;19,4377;17,0121;16,1905;15,7812;16,2351;3,88131;0,000421818;3,23469;8,65175;+
A0A0K3ASB9;14,3773;14,2831;14,0127;14,5954;15,9078;15,5024;15,404;15,9773;3,49387;0,000698413;-1,38078;-7,36617;+
A0A0K3ASG4;11,2755;15,1297;15,0505;14,4373;13,0441;13,3419;14,657;14,036;0,0743726;0,764231;0,203482;0,207328;
A0A0K3ASH2;18,3487;18,515;18,2594;18,3426;19,056;18,863;18,8798;18,9224;3,73864;0,000564103;-0,56389;-8,15775;+
A0A0K3ASH9;15,3412;15,5574;15,5704;15,3773;13,0729;14,5398;14,8538;14,1061;1,81531;0,0067105;1,31843;3,35627;+
A0A0K3ASM2;12,0563;11,899;12,0896;11,7262;11,2309;10,7954;11,1403;11,687;1,95335;0,00467186;0,729379;3,61723;+
A0A0K3AT36;11,9426;11,8636;11,7552;11,6065;15,7234;15,4259;16,9355;15,7449;4,73046;0,000187234;-4,16543;-12,1832;+
A0A0K3ATC0;16,7275;16,8248;16,8399;16,8284;16,5062;16,1452;16,3245;17,1621;0,566824;0,164141;0,27063;1,21183;
A0A0K3ATS1;21,4624;21,8729;21,9365;22,0176;21,9299;22,0167;22,0209;21,2885;0,0130657;0,953802;0,00834179;0,0387288;
A0A0K3AUD2;13,9553;13,9725;13,8905;14,0618;8,93078;11,0402;10,6452;16,142;0,715544;0,10931;2,28045;1,46789;
A0A0K3AUJ9;21,8293;21,9154;21,7058;21,7695;22,0854;22,1847;21,9447;21,9577;1,78176;0,00715168;-0,238087;-3,29411;+
A0A0K3AUW2;14,1711;14,1869;13,9833;14,0792;15,3243;14,7986;14,6742;15,1245;2,86286;0,00083165;-0,875283;-5,60753;+
A0A0K3AUZ7;11,8907;12,17;11,9556;13,6651;11,7395;13,5955;13,2878;12,1785;0,179197;0,529022;-0,279953;-0,459703;
