ProteinAccessions;log2 eat2_d15_01;log2 eat2_d15_02;log2 eat2_d15_03;log2 eat2_d15_04;log2 eat2_d10_01;log2 eat2_d10_02;log2 eat2_d10_03;log2 eat2_d10_04; -Log Student's T-test p-value eat2_d15_eat2_d10;Student's T-test q-value eat2_d15_eat2_d10; Student's T-test Difference eat2_d15_eat2_d10;Student's T-test Test statistic eat2_d15_eat2_d10;Sign p-val: 0.05 
A3FPK9;14,7474;14,6052;13,9862;15,4864;14,8987;14,5197;15,5224;14,9811;0,311746;0,249476;-0,274165;-0,738972;
A3FPL3;14,7712;14,7025;14,572;15,1692;13,2316;12,9968;12,761;13,2022;4,33777;0;1,75582;10,4137;+
A3QM97;14,9991;15,1938;13,8776;14,742;13,2965;13,0206;12,7222;13,2602;2,65424;0,00151076;1,62826;5,10204;+
A3QM98;16,99;16,2425;15,7647;16,7174;13,2213;13,2175;12,6434;13,3066;4,41553;0;3,33141;10,7442;+
A3QMB6;14,2221;15,157;14,7275;15,3156;12,9371;12,9895;12,9224;13,205;3,46076;0,000434343;1,84203;7,2642;+
A3QMB7;16,7035;16,8553;16,3854;16,0278;15,3276;15,8413;14,4709;15,0838;2,0861;0,00361598;1,31211;3,87674;+
A3QMC2;15,8529;16,3428;16,3156;17,1644;15,6315;15,2001;14,7115;14,7244;2,07732;0,00365038;1,352;3,85931;+
A3QMC5;14,3029;15,2179;13,6977;15,4859;18,3644;18,0717;18,3068;18,0725;3,80917;9,43E-05;-3,52775;-8,39884;+
A3QMC6;14,968;15,4456;14,9555;15,0266;15,7567;15,806;15,591;15,6539;2,51059;0,00177049;-0,602979;-4,77261;+
A3QMC8;14,7459;15,2314;15,0486;14,7146;15,8443;16,8781;14,0068;14,7557;0,282968;0,276391;-0,436101;-0,681066;
A4F303;13,1855;14,7881;13,2804;15,2455;13,2911;13,2543;12,3078;13,1291;1,01721;0,0331927;1,1293;1,97177;+
A4F305;14,832;15,4162;14,3882;14,3906;16,3365;15,5901;16,5265;16,5262;2,39179;0,00205729;-1,48807;-4,51079;+
A4UVK2;16,9422;18,8453;16,1912;18,3191;15,6477;15,6407;15,3325;15,5629;1,78229;0,00646322;2,02851;3,29509;+
A4UVK9;15,0067;15,4976;14,0725;14,9913;13,2723;13,3002;12,8401;13,2989;2,77455;0,00117104;1,7142;5,38946;+
A4UVL1;14,4222;15,0016;14,8909;15,2818;13,2886;13,3181;12,3891;13,2407;3,17074;0,00067981;1,84;6,41899;+
A4UVL9;14,7898;15,0756;14,5281;14,6389;13,3462;13,2587;12,9831;12,9591;4,37282;0;1,62136;10,5615;+
A4UZ35;14,4764;14,9598;14,6973;14,9592;13,2802;13,0755;12,6632;12,4302;3,83181;9,60E-05;1,91093;8,47752;+
A5A8P5;14,3879;15,2903;13,8855;14,6774;15,9346;15,6335;14,6115;14,3353;0,542991;0,117517;-0,568413;-1,16985;
A5HU91;21,7595;22,3501;21,9872;22,2117;19,0258;18,3505;20,0342;19,9746;3,17497;0,000681663;2,73085;6,43073;+
A5HU97;18,8885;19,2838;19,0265;19,4784;18,0888;18,208;17,377;17,5982;2,89666;0,00103914;1,35128;5,69266;+
A5HU98;17,8259;17,438;18,0347;17,1486;17,1542;16,9726;15,7694;15,5239;1,47237;0,0116897;1,2568;2,74081;+
A5HWA4;14,7941;14,6765;14,2597;14,4428;13,2496;13,2332;12,8141;13,3425;3,76538;0,000178533;1,38342;8,24844;+
A5HWA9;14,1563;14,7917;14,6092;13,757;13,249;13,2403;12,6538;13,353;2,28146;0,00236008;1,20453;4,27566;+
A5HWB2;14,9775;15,2683;14,2817;15,1995;13,2745;11,3815;12,9004;13,3146;2,32124;0,00223425;2,21397;4,35957;+
A5JYR4;14,1811;14,6769;14,8414;14,5232;14,7244;14,8236;14,6135;14,4728;0,265275;0,294976;-0,102941;-0,644803;
A5JYS8;14,5139;15,1227;14,4295;15,4503;15,363;15,4902;15,6418;15,7276;1,40303;0,0137564;-0,676522;-2,62099;+
A5JYT2;14,9356;14,1599;13,9732;15,4948;14,7196;14,4162;14,6171;14,4539;0,0901574;0,636881;0,0891683;0,247821;
A5JYU1;14,3757;14,7684;14,4657;15,1673;12,9067;13,1539;12,9886;13,2841;3,73739;0,000173554;1,61093;8,15354;+
A5JYU5;14,5377;14,6946;13,3789;15,4091;13,1622;13,287;11,7532;13,2424;1,58243;0,00943658;1,64384;2,93384;+
A5JYW3;16,9136;17,5095;16,7911;16,8524;16,1613;15,4073;15,437;15,4228;2,88817;0,00103269;1,40955;5,67119;+
A5JYW9;18,2632;18,495;18,3579;18,7011;16,9193;16,6461;17,4238;16,6188;3,50794;0,000447528;1,55232;7,40985;+
A5JYX3;15,0417;15,481;14,469;14,2981;13,2991;13,7584;13,0805;13,3786;2,48801;0,00185005;1,44332;4,72215;+
A5JYX4;16,882;16,9376;16,7771;17,6717;18,2615;17,1974;18,1243;17,4547;1,09908;0,0271259;-0,692385;-2,10792;+
A5JYX8;14,6014;15,0606;13,5442;15,4152;14,4125;14,9271;15,7239;14,9251;0,29243;0,266992;-0,341814;-0,700246;
A5PEY0;15,224;15,494;15,0439;15,4732;13,2445;14,6497;13,8039;11,0589;1,47076;0,0117245;2,11953;2,738;+
A5Z2S2;15,0448;15,0833;15,0428;15,3635;15,6336;16,1167;14,4566;14,9204;0,150167;0,47845;-0,148218;-0,393327;
A5Z2S4;14,9982;15,343;14,9369;15,3594;15,7251;15,3591;15,0136;15,7338;0,709089;0,0732788;-0,298527;-1,45694;
A5Z2S9;14,3328;14,9222;14,9536;15,4288;13,0224;13,2431;12,8933;13,3476;3,44564;0,000428216;1,78276;7,21802;+
A5Z2T6;14,4219;15,3128;14,6311;15,456;13,0732;13,2231;12,8649;12,6382;3,40062;0,000443373;2,00555;7,08197;+
A5Z2T7;14,8476;15,5506;14,0281;14,9462;13,0647;13,1952;12,7404;13,2218;2,7731;0,0011692;1,78758;5,38594;+
A5Z2T9;15,752;16,646;16,5761;16,4877;16,6778;17,2347;15,4357;15,4306;0,128453;0,53019;0,170731;0,342079;
A5Z2U5;14,976;15,5309;14,0684;15,0651;14,291;14,4181;12,6798;13,8205;1,16339;0,0231953;1,10774;2,21525;+
A5Z2U8;13,8843;15,2561;14,4971;14,3596;13,1104;12,517;12,886;13,2846;2,48204;0,00184588;1,54975;4,70884;+
A5Z2U9;18,7434;19,297;18,7806;19,4055;19,0092;18,3654;17,3947;18,6626;0,916611;0,0419388;0,69867;1,80466;+
A5Z2V2;14,6542;15,1207;15,0478;15,4889;13,8741;14,1481;13,9915;14,8128;1,74098;0,00716009;0,871229;3,21917;+
A5Z2V3;14,4622;14,1809;14,7376;14,2143;13,8441;14,8129;12,4156;12,998;0,817046;0,0551834;0,881107;1,6387;
A5Z2V7;15,0543;14,9438;14,5349;15,4154;15,0244;15,2558;15,228;15,298;0,515909;0,127396;-0,214463;-1,12173;
A5Z2W3;14,1236;15,1019;14,7599;15,1637;16,7394;17,8288;17,4262;17,7185;3,60867;0,000314902;-2,64095;-7,72896;+
A5Z2W6;14,8309;14,7663;14,5387;15,3263;16,5226;16,4706;16,0658;15,9434;3,12534;0,000659196;-1,38502;-6,29406;+
A5Z2W7;19,3269;19,5563;18,8695;19,0644;18,0143;18,138;18,4982;18,3592;2,66859;0,00150716;0,951872;5,13575;+
A5Z2X2;14,6928;15,5357;14,993;15,0193;17,2967;17,5721;17,2238;17,7254;4,55571;0;-2,39427;-11,3641;+
A6PVA1;14,9522;14,0762;14,9164;14,6683;15,9708;15,0515;15,0122;14,9761;0,979715;0,0361322;-0,599381;-1,90949;+
A6ZJ46;15,0867;16,3946;15,5429;16,7642;16,7756;16,5983;16,0999;16,1424;0,498325;0,134281;-0,456968;-1,09023;
A6ZJ55;17,6397;18,4758;18,4772;18,0022;13,7135;14,0105;13,9004;14,6045;5,19191;0;4,09149;14,6198;+
A6ZJ59;13,9724;14,9411;14,9308;14,6761;16,21;15,8824;15,4572;14,7422;1,28308;0,0182577;-0,942872;-2,41652;+
A7DT38;14,7946;14,935;13,9673;15,405;14,7254;15,7025;13,0426;13,9088;0,277829;0,281894;0,43067;0,670589;
A7DT40;14,4212;15,5512;14,7071;14,7319;14,6906;14,9247;15,303;14,7987;0,101121;0,604322;-0,0763879;-0,275355;
A7DT45;14,2446;14,2293;14,4945;15,507;19,3162;19,4998;18,5043;17,7783;3,79161;0,000186047;-4,15581;-8,33824;+
A7DTF0;16,6786;14,3018;17,2016;16,1517;16,5053;17,0573;16,5924;16,0781;0,300611;0,259231;-0,47483;-0,716718;
A7DTF2;14,6995;15,4452;15,0334;14,9991;13,4602;12,74;13,9437;14,2913;2,09125;0,00356137;1,43546;3,88699;+
A7LPD6;14,4757;14,1401;14,4937;15,1601;13,3174;13,2912;12,7954;13,2015;2,92482;0,000986079;1,41603;5,7643;+
A7LPE4;14,6848;15,0214;14,1118;15,2189;15,8483;15,0344;15,3239;15,1594;0,993602;0,0349566;-0,582258;-1,93256;+
A7LPE6;19,6233;20,4551;19,5614;20,6663;18,7883;18,8951;19,0463;19,2666;1,93041;0,00498668;1,07742;3,57327;+
A7LPF3;16,2432;16,0816;16,1206;15,7111;16,6694;15,5723;15,6174;15,7063;0,205809;0,375088;0,14777;0,518644;
A7LPF5;15,038;14,9672;14,4019;14,174;15,8752;15,8129;15,5988;16,0029;2,67869;0,00151464;-1,17716;-5,15956;+
A7LPG5;19,4625;21,6777;19,5835;21,4465;19,2043;19,1597;19,143;19,3533;1,17736;0,0222899;1,32749;2,23862;+
A7LPH5;16,6134;16,5889;16,4383;16,7906;15,5489;15,5364;15,1719;15,613;4,04436;0,000122987;1,14026;9,24804;+
A7LPI4;13,9078;14,8434;14,6176;15,3325;13,0688;12,8285;11,8535;11,9519;2,72841;0,00125242;2,24968;5,27794;+
A7LPI7;14,9052;14,8763;14,9957;14,6754;13,6891;13,9348;13,8979;13,704;4,55418;0;1,05672;11,3572;+
A7LPJ5;18,9285;19,1877;19,1551;18,9992;15,8472;16,8581;16,5678;17,309;3,61239;0,000316384;2,42211;7,74096;+
A7WK39;14,5175;14,7298;14,8358;15,4713;13,3123;13,1974;12,7141;13,0614;3,53277;0,000298137;1,81729;7,48749;+
A7WK43;14,4519;15,3854;14,6902;15,5107;12,969;13,1549;12,8098;13,2563;3,39789;0,0004416;1,96205;7,07377;+
A8WFF4;14,7877;14,7951;14,8405;14,0604;12,8536;13,3203;12,5109;13,3574;2,95603;0,000917258;1,61037;5,84448;+
A8WFI3;15,8891;15,2633;16,0932;15,5059;14,6577;13,9103;15,5948;15,5596;0,856029;0,0499241;0,757248;1,7038;+
A8WFJ8;14,7955;14,707;14,3759;14,764;14,2516;14,2197;14,3145;14,7259;0,947766;0,0387901;0,282682;1,85643;+
A8WFK6;17,5841;16,9092;16,5502;16,4934;13,9721;13,2056;12,1381;13,205;3,77831;0,000182213;3,75402;8,29262;+
A8WFM5;14,6225;14,9535;14,0126;15,2519;15,0944;14,4648;14,7166;14,3982;0,047088;0,790047;0,0416164;0,134709;
