Proteins,N2_d5_01,N2_d5_02, N2_d5_03,N2_d5_04,N2_d1_01,N2_d1_02,N2_d1_03,N2_d1_04,N2_d10_01,N2_d10_02,N2_d10_03,N2_d10_04,N2_d15_01,N2_d15_02,N2_d15_03,N2_d15_04
B2D6P1,23.9889,21.1143,22.8276,23.5128,20.6732,20.497,20.5497,21.3869,22.9921,21.1897,22.2918,22.6216,20.9456,18.1367,19.7739,19.7587
B3CKG1,20.8366,21.7237,21.4584,21.8401,20.4696,21.1678,21.1164,20.393,18.8264,18.3651,19.2918,18.4032,25.5169,24.6765,24.299,25.4706
B3WFT8,23.8234,24.3407,21.4686,22.4335,24.1572,21.3356,22.264,22.2322,22.4824,22.9064,22.5654,22.625,18.8906,21.6798,19.3382,21.1018
E1B6S9,20.6909,21.0804,20.911,21.741,21.8755,20.8551,21.1529,20.6491,17.5547,21.765,19.0325,21.2777,18.5055,19.5159,20.471,20.5876
G5EC65,21.3563,21.128,20.5632,21.017,20.6342,20.5365,21.3086,21.1788,18.3909,20.0661,19.6935,17.4703,20.0137,18.961,20.0984,20.9006
B3WFW7,20.8087,21.4767,20.661,20.7372,21.6564,19.9752,20.6999,20.4518,23.1292,26.0271,22.8694,24.6437,21.6492,20.9017,20.363,19.6692
B3WFY5,25.0722,24.9864,24.7046,24.418,24.3361,22.2086,20.8543,22.6177,23.5,23.9385,23.5393,24.3298,20.1471,19.9224,20.5159,20.0643
B3WFY5,25.6881,24.9888,24.1979,25.6228,25.2606,25.6371,24.2254,24.6313,24.3826,25.9305,25.809,26.0201,20.6087,19.3633,18.5213,19.5588
B3WFY5,25.0238,23.2217,22.8008,24.0372,21.8475,20.8262,20.2425,21.2122,22.4523,23.791,23.506,24.3395,20.3188,20.6144,18.0508,19.5831
B5BM23,23.2426,22.4601,22.0897,21.8175,20.8511,20.8173,21.3685,21.4045,20.4335,18.7878,19.4227,19.9481,24.6554,28.001,26.9035,24.9911
B5U8N2,21.2931,21.1508,20.4474,19.8255,20.9623,21.1629,20.9435,19.7158,17.4037,19.9347,21.1609,19.8517,20.9275,18.458,19.2809,19.8195
B5U8N2;Q23187;Q23188;Q7JLB0,24.4357,23.3494,25.0926,25.4901,21.9108,20.9403,21.1293,21.0155,20.9354,18.9103,20.7375,19.2448,18.5891,19.3945,18.1408,19.2951
B5U8N2;Q23187;Q23188;Q7JLB0,21.2548,20.1523,20.9375,21.2505,21.6035,20.4234,20.8624,21.2641,22.7243,23.137,24.0986,22.1882,20.2823,22.04,22.2431,20.3698
B6VQ78,24.1792,21.6598,22.4392,23.7967,20.3301,21.1531,20.9921,20.4219,24.7936,25.0717,25.3417,26.0154,20.4379,21.6183,19.0797,21.4703
B6VQ78,21.911,20.9375,19.6359,19.6854,21.7015,20.8772,20.8378,20.6811,19.0913,20.749,19.4483,19.8817,20.8038,20.1511,20.7912,16.8367
B6VQ78,23.041,23.199,23.8769,23.2785,21.3109,21.1032,20.8876,20.4697,23.5881,23.6613,25.4553,24.3153,24.3378,23.3053,24.5415,24.1716
B6VQ78,21.4422,21.7248,20.7787,21.7891,21.2737,19.9373,20.7188,19.9678,19.7066,19.1923,18.6766,19.3035,19.6729,20.173,19.3842,21.3401
D9PTN8,20.4434,21.1005,20.4689,20.7574,21.5179,19.9372,20.8101,20.819,18.2814,18.0552,19.9678,18.035,18.6103,21.5009,19.9923,20.8981
B7WN71,21.6426,21.3774,22.014,22.5013,20.6509,21.0606,20.9516,21.2993,23.1647,23.4752,26.9099,24.7369,21.3051,20.4612,21.3318,20.9079
B7WN95;Q22716,25.54,25.4733,23.0685,23.5677,23.6545,23.6426,23.7851,23.8004,20.7585,19.1846,20.8123,21.0274,18.6339,18.9948,20.5597,19.0219
B7WNA1,21.9873,20.5899,20.9067,21.6393,25.063,24.3442,24.8811,25.0327,19.8961,20.3708,20.6711,21.4848,18.9649,19.6399,16.1957,20.7917
B9ZSG9,23.123,23.9696,22.4336,22.6807,24.3338,23.6515,23.0454,23.8972,20.4987,18.4029,17.028,17.9701,19.2492,21.4031,20.1159,21.6253
C1P636,28.6917,28.3212,27.399,28.6877,28.1348,25.807,25.7378,25.8324,18.4783,20.067,20.0159,19.1758,19.3069,20.02,20.2565,18.1938
C1P636,23.4633,22.0191,22.4369,24.013,22.5634,21.3879,19.6426,22.1402,17.9534,18.0741,18.7596,19.4827,19.9231,20.8242,19.1974,20.7405
C1P636,27.8327,27.0434,26.8239,27.0193,29.5716,26.7085,28.3355,27.7339,28.8427,28.5983,28.7425,28.1472,29.0672,29.0811,26.665,28.3934
C1P636,25.2971,24.2513,24.2115,25.242,21.3669,20.2532,21.2229,21.4144,18.4082,18.2486,20.1828,20.7321,24.2992,24.5216,22.8176,21.8888
C1P636,21.7011,20.6463,20.9351,20.9927,24.762,24.5635,24.3927,23.9698,20.3531,20.2175,19.5885,20.3915,23.1656,24.346,23.0557,21.3466
C6KRI9,19.4767,21.1637,20.9227,20.3708,22.3659,22.2663,24.2502,22.3208,19.1637,17.8387,18.4294,19.3799,20.5404,19.9961,19.447,21.0194
C6KRJ1,24.4959,25.1803,24.5876,24.9174,21.2626,20.6756,20.0427,20.9836,26.5813,25.9916,26.517,26.9107,25.8227,24.1202,22.8888,23.3619
C6KRJ1,20.3136,19.3152,21.1426,21.6047,20.3283,20.404,21.1907,20.1934,19.4496,20.9856,19.8474,20.8095,20.4345,20.0403,21.2073,19.0621
C6KRL2,20.7115,19.9717,20.3784,21.3875,23.0431,21.9074,21.3555,20.478,18.7797,20.0192,20.3605,20.1768,18.5006,18.7205,21.3008,19.9102
C6KRL2,24.9609,23.8074,24.1593,25.5308,20.8562,20.5113,21.1452,21.3433,19.8777,16.6764,19.8447,18.5845,23.4956,24.7054,24.6075,27.8132
C6KRL2,20.601,21.7613,20.2862,21.7961,20.182,20.4313,20.6707,21.3595,19.4769,19.7259,20.5111,18.3891,19.3605,18.5214,20.1183,21.3487
C6KRN1,21.8475,21.0194,21.1391,21.2472,21.2271,21.1854,21.1812,20.6375,19.9763,19.5928,20.3653,19.8188,20.1329,17.7984,19.8138,19.1514
C6KRN1,20.8672,22.2583,22.1751,21.6872,24.1883,22.7178,21.1276,23.7962,18.4955,19.5373,21.2587,17.2448,20.8556,18.1967,20.8979,20.3967
C7GIK1,24.1429,24.7102,24.3196,25.0001,23.6246,22.9265,23.0686,21.6752,20.3252,19.5685,21.0744,20.6322,23.5984,23.4143,23.2184,24.3659
D0IMZ5;U4PM01,21.4059,21.4571,20.162,20.2933,20.3637,20.2484,20.6917,21.2716,19.4306,20.9576,17.2759,19.339,19.2979,19.2886,19.6966,19.6906
D0IMZ5;U4PM01,21.0414,21.0617,20.7607,21.7131,21.7987,20.5935,20.77,20.7443,20.221,19.4202,20.1358,19.5461,19.5925,16.6559,21.1961,19.1623
D0PV95,19.8041,20.6465,20.9017,21.2715,21.7354,21.0298,21.0726,19.4831,19.5823,20.096,20.1322,20.3444,18.8704,21.7591,20.52,18.4742
D0Z5P0,23.7733,23.368,22.1273,23.2128,21.6852,20.0233,21.2088,21.325,20.2458,18.8091,20.3924,18.9351,20.5393,20.9306,21.6536,21.1374
D0Z5P0,21.5469,21.2464,19.8034,20.8392,20.8272,21.215,21.1002,21.0753,21.3789,21.5513,21.9157,21.5353,20.1201,21.1421,19.0406,18.0569
D0Z5P0,23.0573,21.939,21.0128,21.549,24.0986,26.7054,25.8866,26.2077,21.3433,21.3339,22.127,22.7844,19.8864,19.7668,21.1806,16.021
Q22832,25.3912,23.9264,22.2568,24.643,21.5334,21.2143,21.0244,21.3546,19.8751,21.241,19.5493,18.5249,24.0439,23.8433,25.3622,24.9494
Q22832,21.8129,20.9894,21.229,21.6336,21.6843,21.1874,21.291,21.3982,19.348,17.1456,20.6451,19.7882,19.7646,17.9543,20.127,21.2347
Q22832,25.357,24.5592,24.4791,24.4851,26.2281,24.2209,23.5277,25.3317,24.8869,23.7701,25.6387,25.1417,25.3624,25.2572,25.1702,23.4636
Q8WQB8,21.8987,22.5055,23.1307,21.6378,21.7144,20.8788,20.2655,19.9798,23.4443,23.6253,24.1386,23.6197,18.4305,20.9784,19.6773,20.6198
D3NQB5,21.4958,20.9836,21.5373,21.1974,21.7707,20.2087,19.9619,20.6796,18.254,20.9611,19.0671,20.1875,23.4123,24.1932,22.8003,21.5
D3YT77,21.9146,21.4443,20.5281,21.4169,23.9252,26.2417,25.21,21.5748,17.3798,17.1247,20.9992,19.0978,19.3097,18.3441,18.0231,20.7098
D3YT77,21.9542,21.7244,20.4784,20.969,25.2045,25.3242,26.9926,24.6673,19.3181,20.814,19.8466,19.5324,21.7809,22.3597,22.0871,25.3584
D4YWC3;Q9XX57,22.8048,25.0214,23.4421,23.3507,23.4471,23.236,22.3357,24.3212,18.2902,18.6151,18.8924,17.4355,23.8583,21.5727,23.4534,24.4968
D4YWC3;Q9XX57,24.2399,22.7062,25.1807,25.2217,26.1486,24.729,26.4932,24.6939,21.3433,18.9633,21.9357,18.6676,20.9687,18.2309,18.6762,20.0852
D4YWC3;Q9XX57,27.6246,26.2535,24.1034,26.6736,21.2551,21.134,20.2117,20.8292,19.0474,18.9917,20.9751,18.6871,21.6598,18.83,21.4326,19.1028
D4YWC3;Q9XX57,22.4649,22.989,20.9466,22.6336,25.1034,23.7483,24.1176,24.3313,19.9255,21.2079,20.7915,19.7067,19.5009,19.2418,20.1568,19.9743
D4YWC3;Q9XX57,25.8466,25.8495,26.585,26.7227,27.0011,24.2437,22.6588,24.0646,20.6749,19.2268,21.3645,19.768,22.4403,21.7384,23.933,21.8328
D4YWC3;Q9XX57,23.2705,23.6943,25.44,25.5842,24.1467,22.0862,22.4634,21.6024,19.5703,20.7599,18.7343,19.4895,21.0613,17.9171,20.3933,21.3056
D4YWC3;Q9XX57,23.8391,24.4358,24.8236,25.3222,23.9747,23.3692,22.7418,24.0278,20.5029,18.008,19.7139,19.4237,18.6294,18.1736,18.6854,19.27
D5MCN2,20.5319,20.6526,18.8036,21.1469,21.8316,21.2538,21.1218,21.4122,19.6774,17.7611,20.4562,18.0478,20.6012,18.8223,19.3996,21.9045
D5MCQ2,20.5478,21.5307,21.1328,21.5937,23.1296,22.6294,22.4313,21.2239,20.3431,18.836,20.4494,18.8296,21.3981,22.3766,22.0579,20.421
O17698,20.9375,21.6223,21.4829,21.7561,26.5099,25.2543,25.859,26.0455,20.5043,18.6634,19.8905,18.8026,20.2875,19.6054,21.3499,18.9482
D5SGZ9,21.5205,21.2703,20.0471,21.9273,21.7111,20.7889,20.7596,20.3285,17.2061,18.8926,21.3559,19.6515,19.6164,20.7472,18.8844,19.2969
D5SGZ9,20.9487,21.4707,20.1499,21.3013,21.7952,21.0573,21.2985,20.4663,19.0659,20.1856,20.0463,20.0782,19.8607,21.7844,19.5964,17.5752
D5SGZ9,21.8157,20.2852,20.0402,20.4983,21.5747,20.6961,20.9236,20.3155,18.409,17.3312,20.374,21.2649,20.7988,21.0275,19.3295,18.8729
D6R8W5,20.3161,20.9842,20.3432,21.5452,21.8517,21.0001,20.7294,21.0364,16.9145,21.0671,19.7902,19.9898,21.4353,19.3251,21.4841,18.4386
D6VPA0,21.2065,21.7627,21.3279,20.4193,20.774,21.017,21.3026,19.7973,24.254,24.451,25.0909,24.6364,22.0731,22.3152,22.4858,22.2023
D7SFI3,24.4316,23.9425,23.3125,24.263,21.5655,21.2001,21.2905,20.7814,22.702,23.4507,23.2884,23.3957,21.8938,17.2162,21.0041,19.49
D7SFI3;P34345,26.227,24.6542,25.4407,26.663,24.8145,23.4559,23.2579,24.449,19.3464,18.8299,21.5682,19.7615,24.4046,24.112,23.997,23.4052
D7SFI3,24.5447,23.395,22.6072,25.6621,21.4772,21.2111,20.2224,21.349,24.8431,24.5372,24.736,23.4621,21.9387,21.7323,19.3936,19.951
D7SFP5,21.7262,20.711,20.5624,21.7654,22.8341,20.879,21.7307,22.9202,17.316,19.3453,20.5723,18.9186,19.7503,20.4103,21.265,20.8852
D7SFP5,23.706,22.1909,23.5963,24.9782,23.7972,21.8044,20.9752,20.0429,18.7795,20.3703,21.4042,17.575,16.4054,18.4077,21.2229,20.6242
D7UU24,21.4357,21.5622,21.1154,21.7949,21.2155,20.9823,19.5324,20.6371,25.0775,24.6164,24.0163,23.8831,19.7748,19.8578,19.3836,19.3676
D7UU24,21.117,20.5229,21.2674,20.1553,21.7015,20.6867,21.0361,21.1399,18.4199,20.8181,18.6748,18.992,21.6993,19.5355,17.6714,20.4648
Q9U3I3,21.8622,21.3348,20.7942,21.663,19.7537,20.6124,19.7965,21.0287,18.0398,20.4525,21.3886,18.2605,20.0896,19.7406,19.8324,20.4793
D9PTP5,21.4337,21.7804,21.5345,20.2924,20.9854,21.139,20.4305,20.885,18.3186,17.5463,17.6194,18.7692,19.9042,18.9178,16.2128,17.788
D9PTP5,21.5166,20.873,21.4638,21.4654,21.0897,21.2598,20.6239,21.0372,20.3473,21.8027,19.0192,18.0245,20.4092,19.2159,19.3386,18.297
D9PTP5,21.3184,21.5273,19.7784,21.4255,21.9736,19.0382,19.7984,21.4174,16.8164,16.7269,20.5958,20.2593,19.6739,20.1947,19.1326,21.3461
E0AHE1,21.6065,20.9979,19.3429,19.9882,23.0378,22.2929,21.3316,23.422,18.8237,20.9513,19.1148,17.5584,23.0031,22.3217,24.0063,24.4271
Q20396,24.3161,25.6732,23.9149,25.2713,21.2421,20.6982,20.0234,20.8198,24.5042,25.4718,25.8326,25.4954,26.2846,24.8903,25.8383,25.5543
E1B6S4,23.889,23.8399,23.0734,25.124,21.2369,21.1883,20.6177,19.776,19.4713,19.2084,19.5274,17.75,21.5491,22.9226,24.871,22.5627
E1B6U2,24.3535,24.9712,23.8996,24.2175,23.7337,22.7506,23.1413,24.8095,25.3326,26.0886,26.2348,26.3466,23.929,24.0364,25.0964,23.1027
E1B6W0,25.8446,26.025,25.3421,25.8859,28.4906,26.3204,26.076,26.9407,25.6465,26.235,26.1397,26.4432,28.5413,28.261,26.5334,22.6261
E3W743;Q93636;Q93637,21.8025,20.4726,20.2842,20.6735,24.985,22.6477,23.868,23.027,23.2114,22.83,23.117,22.1776,19.4698,19.407,19.8275,17.5268
E3W743;Q93636,21.8821,21.6544,21.4855,21.9085,23.7183,23.9432,22.4888,22.3484,18.4966,17.7621,18.1747,20.321,20.0074,19.5519,17.5674,20.1372
E3W743;Q93636,21.6072,21.6657,21.3307,21.2918,24.1762,24.6532,23.4134,24.4509,18.4288,19.072,21.0074,19.2332,20.0883,21.5449,20.3009,19.5996
E3W743;Q93636,20.3305,20.9932,21.4088,20.6994,21.934,20.8901,21.1401,20.4977,18.6748,18.9115,20.0162,19.8909,18.2948,17.7425,18.9372,20.7214
E3W743;Q93636,21.8786,20.6993,20.9927,21.7395,20.4669,21.1184,20.1245,20.434,21.5741,19.1829,19.0189,19.0798,20.0467,21.0779,19.7661,20.8193
E3W743;Q93636,21.9063,21.5147,21.2479,21.3406,22.728,22.3632,20.5756,21.7667,20.943,20.6478,21.0941,17.8612,21.3542,19.4475,18.4206,21.3112
E3W743;Q93637,21.4665,20.0707,20.1552,20.6192,21.1771,21.106,20.6168,20.897,19.66,19.664,18.7326,18.5579,19.6761,20.3826,19.1973,18.5781
E3W743;Q93637,22.6644,23.7843,22.193,22.1981,24.2037,24.099,23.4733,23.228,20.7476,20.9904,21.895,20.7203,19.756,21.5578,19.0442,19.5797
E3W743;Q93637,21.4006,21.4386,19.7826,21.7317,24.9687,23.8218,23.6173,23.7432,19.9632,21.54,18.0871,18.4275,24.9955,23.1551,25.5042,22.7257
E3W743;Q93636,21.9082,21.0337,19.571,21.3764,21.3791,20.9886,21.2272,20.7153,17.9807,17.0455,18.2353,18.6324,20.4887,20.0819,19.0151,19.1537
E3W743;Q93636,20.5914,20.4525,20.1791,21.4076,23.5428,24.3677,25.1857,24.6602,19.4252,15.8617,19.0153,20.4825,21.0101,20.7695,19.9182,20.6416
E3W743;Q93636,20.797,20.3116,20.9251,20.9698,24.7024,25.561,24.5443,24.7651,16.5367,17.8332,21.1235,21.3923,24.619,24.5307,24.2829,21.9412
E3W743;Q93636;Q93637,26.718,26.0773,25.4879,26.1418,30.0732,24.9371,23.2674,25.7456,21.3221,19.3798,21.4137,17.605,17.693,20.8738,20.3564,19.5591
E3W743;Q93636,21.5254,21.1544,20.9267,20.7617,20.6848,19.1646,20.6873,20.2848,19.9615,18.1723,19.5963,17.2766,20.1254,19.8166,20.7007,19.3465
E3W759,21.8049,19.8537,20.9453,21.7305,20.7457,20.5547,20.4427,21.0517,20.0788,20.7305,19.1967,19.1866,20.9392,20.129,21.0024,19.7439
Q21162,22.3058,22.6852,21.8727,22.7202,20.2162,20.6708,20.5076,21.3933,17.9611,17.5575,20.6773,21.3504,20.8982,19.6229,19.7787,20.8728
Q21162,20.8499,21.08,21.2007,20.9649,19.8448,21.2386,21.3443,20.9466,19.3718,19.4112,19.9417,19.7932,20.3904,19.6184,18.7218,20.7842
Q21162,25.7603,25.4249,23.5663,24.14,23.8383,22.9363,23.2485,24.5673,19.2415,19.4902,18.3689,16.9741,27.0644,26.1601,23.7526,25.3785
Q21162,23.3913,24.456,23.8687,24.6581,25.148,23.8594,25.9054,21.9546,21.7305,22.3028,23.21,22.4261,24.6941,23.3203,22.6984,25.1834
F5GU98,21.9294,21.1839,20.7691,19.6559,24.5464,24.2456,23.7088,22.8311,17.801,20.5786,19.6375,17.3511,27.0809,25.4645,23.4729,22.9605
F5GU98,27.4886,26.6176,27.2369,27.5002,29.7917,26.7292,27.6593,27.3145,30.2329,29.8678,28.1936,28.7083,30.9591,30.2948,28.2682,29.8961
F5GU98,25.2846,25.0817,25.0791,26.1552,25.277,24.0358,21.2253,22.8006,19.4784,15.8816,20.0075,16.4658,25.3941,24.5854,26.4025,23.3723
F5GU98,18.3867,20.188,21.0865,21.7958,23.7267,22.6404,25.1216,22.5127,21.9424,21.0944,23.4222,20.3867,18.6861,18.8268,20.0567,20.0492
F5GU98,24.0343,23.8194,23.5306,23.4437,25.1966,23.5161,25.2979,22.9145,20.629,19.5207,19.2296,19.4638,18.4593,18.1113,19.8684,20.0161
F5GUH0,24.9709,23.1514,23.0486,22.3776,26.6805,24.6702,26.1119,24.1857,19.8911,17.59,21.3521,20.1659,19.3909,18.9897,19.9869,18.8528
F5GUH0,21.5557,20.3086,21.5235,20.6784,23.7031,23.1508,24.3396,22.4573,23.6798,22.931,22.8826,21.8704,23.1278,23.3311,21.8899,21.1776
F5GUH0,22.5926,21.2632,21.0606,20.9212,24.0732,22.7917,21.2644,24.1433,22.2348,22.5811,23.9503,22.1159,21.5083,20.5109,20.4935,20.2051
F5GUH5;H2FLK8;H2FLK9,23.9531,23.3923,23.9389,24.3012,21.3984,20.6689,20.5335,20.9693,20.9637,20.0622,18.472,20.0856,19.5375,20.9479,20.4123,17.4598
F5GUH5,24.3907,25.1483,22.9269,24.8299,21.8907,21.2337,20.9863,21.3682,23.7723,24.2606,24.1638,24.7581,22.6418,22.1889,22.694,23.9997
F5GUH5;H2FLK8;H2FLK9,21.3442,21.3134,21.0909,21.6567,21.3749,20.7821,20.9764,20.2108,19.4341,20.2295,18.3912,19.3295,20.5658,19.7671,19.987,19.5756
F5GUH5,24.7918,24.0526,23.8662,24.7849,24.0567,23.2948,24.5214,24.3777,18.6889,21.1681,20.1421,20.3562,23.2363,22.515,23.1371,23.6215
F5GUH5,24.8412,24.2869,22.2823,24.5663,21.9374,19.1751,19.8012,20.9531,20.1097,22.7691,22.6278,23.0374,24.5193,23.2254,22.3751,25.3901
F5GUH5,24.0659,22.9786,24.0144,23.7715,23.5061,24.246,23.7373,25.7784,24.0954,23.2615,25.0874,23.3093,18.2586,21.1681,17.886,21.283
F5GUH5;H2FLK8,21.9476,21.1676,20.9931,20.8271,21.6497,20.4995,20.9559,21.1223,19.5364,18.3527,18.8386,21.0226,21.46,19.4497,20.4328,19.4021
F5GUH5;H2FLK8,22.2151,22.146,21.1638,21.5174,21.4328,20.4669,21.2464,20.2673,23.2176,22.4559,22.3444,21.9836,20.0819,20.4092,21.3217,21.2655
F5GUH5,23.201,23.7894,22.8834,23.4414,22.3574,19.575,21.8547,22.3802,23.3797,23.6099,24.2852,22.4755,19.8339,21.0678,19.5667,19.569
F5GUH5;H2FLK8;H2FLK9,25.6912,24.1739,23.9608,25.0338,21.089,20.8356,21.1954,21.2325,17.995,19.1409,19.1993,19.2084,19.7619,20.4334,19.9032,19.1691
F5GUH5;H2FLK8,23.5463,24.1896,24.8442,24.6486,21.6825,21.1707,20.4599,20.6835,24.5829,24.6239,24.9575,24.9802,20.2409,20.0189,20.2749,20.0735
F5GUH5;H2FLK8,21.3278,20.24,21.4339,21.1663,21.8422,21.2411,21.3886,20.6323,21.1861,19.5842,18.7329,19.8764,20.3171,19.7158,19.5914,20.5238
F5GUH5;H2FLK8;H2FLK9,24.2286,22.8323,22.3598,22.8905,20.7908,20.8976,20.975,20.2643,19.4542,18.8969,19.6763,19.6763,19.388,19.3537,19.3861,21.0336
F5GUH5;H2FLK8;H2FLK9,20.4903,21.3406,20.9021,21.4988,23.705,24.1023,26.0372,25.9535,22.8104,23.6355,22.5789,24.2658,18.3745,19.6509,20.3413,18.3072
F5GUH5;H2FLK8;H2FLK9,24.6221,22.6941,23.1734,24.0114,23.1101,22.2412,23.1256,23.212,23.1448,23.4865,23.4411,22.7899,21.36,18.7137,20.6125,21.4307
F5GUH5,21.3157,21.6738,21.2577,21.0506,20.806,21.0234,21.0423,21.2626,18.4907,19.4484,19.9348,19.095,23.5736,24.1937,23.8737,27.0151
F5GUH5;H2FLK8;H2FLK9,24.0787,23.5214,20.5789,21.9023,20.2983,19.8742,21.1892,21.1874,21.9413,23.3078,23.1897,23.9701,19.3578,21.7353,19.9574,18.787
F5GUH5;H2FLK8;H2FLK9,24.3011,24.423,24.0321,24.4461,27.1384,23.1634,23.8897,23.9181,23.8262,24.2318,24.6293,25.3392,20.6793,19.4896,20.0397,20.6349
F5GUH5;H2FLK8;H2FLK9,23.5908,24.7729,22.405,22.9512,21.2811,20.2822,21.0017,20.9653,18.4717,21.4928,19.6379,20.0198,20.3573,20.4227,19.8166,19.3413
F5GUH5;H2FLK8;H2FLK9,21.4889,19.9562,20.8592,21.3365,21.7775,20.4233,20.4673,20.9298,20.069,20.2554,21.5544,18.8774,19.4498,21.7505,18.9672,18.4686
F5GUH5;H2FLK8;H2FLK9,21.7212,20.6641,20.3024,20.2182,21.8736,20.2303,20.0805,21.1189,22.6269,23.1474,24.3125,23.6947,19.3317,19.9094,21.0387,21.478
F5GUH5;H2FLK8;H2FLK9,24.3149,24.9323,23.5274,24.1721,23.3975,21.5198,20.7532,23.0273,23.6393,23.805,22.2667,23.2822,19.7478,20.2371,19.9606,21.8212
F5GUH5;H2FLK8;H2FLK9,24.7838,24.2486,23.2523,24.2731,22.6124,24.865,23.3004,25.0635,19.5091,18.487,20.6211,16.9355,17.1606,19.2172,19.7994,19.4629
F5GUH5;H2FLK8;H2FLK9,21.5836,21.3959,21.3625,20.7792,21.2699,20.4666,21.1603,21.1011,19.5449,21.4002,19.861,18.2687,21.9835,17.8418,20.3553,21.1664
F5GUH5;H2FLK8;H2FLK9,24.8195,24.4743,24.8829,24.9109,23.8333,22.9623,21.863,23.168,23.3148,22.0236,24.5431,22.2709,24.6384,22.5866,22.2145,24.7368
F5GUH5;H2FLK8;H2FLK9,24.0139,25.7262,24.087,24.8103,20.8217,19.8178,20.7708,21.2671,20.7949,19.5689,21.8077,18.7501,20.1652,18.7826,20.4322,19.1907
F5GUH5;H2FLK8,21.5486,19.0441,21.2038,21.1828,20.4513,20.9661,20.9726,21.2039,17.569,19.3742,20.1951,18.3802,20.6266,18.0197,20.7001,19.9462
F5GUH5;H2FLK8;H2FLK9,26.2942,27.2669,26.2201,26.7304,24.644,22.4074,23.5112,24.346,30.8933,32.0188,24.7458,28.4877,30.3155,30.4575,27.9955,30.4557
F5GUH5,25.2559,24.5921,24.1139,25.4178,23.7405,21.5219,21.4524,22.4193,17.8198,17.8235,20.7676,16.6469,21.2619,20.3575,20.1667,21.0832
F5GUH5;H2FLK8;H2FLK9,23.8614,21.9898,21.78,21.6486,21.0482,21.2269,21.3298,20.3456,22.8286,22.6279,23.4471,22.5939,21.8388,19.8537,18.5224,19.157
F5GUH5;H2FLK8;H2FLK9,20.998,20.197,20.649,20.8398,21.4053,20.4489,20.4571,20.8539,19.1988,18.4626,19.2741,17.4915,22.9495,21.7835,21.0992,22.6169
F5GUH5;H2FLK8,21.243,21.3115,21.3176,21.6266,20.0343,19.5597,20.9498,20.2725,18.4644,17.47,17.1427,19.3277,20.132,19.4976,20.1909,19.7235
F5GUH5;H2FLK8,21.8858,21.7039,21.0757,20.0702,20.0233,20.7507,20.8344,21.2302,17.3993,20.3039,21.25,18.1057,20.9535,18.3628,20.4228,21.8979
F5GUH5;H2FLK8;H2FLK9,24.3201,23.4805,23.1251,24.4579,22.7516,23.6564,22.3388,24.4357,21.8246,23.454,23.3713,23.2539,18.5039,20.0466,19.8599,19.085
F5GUH5;H2FLK8;H2FLK9,21.64,21.5059,21.3777,21.8333,21.2862,19.8779,19.6939,21.3131,20.4443,20.8964,21.5306,20.3932,19.5146,20.557,19.3573,19.4604
G1K0V8,21.5168,21.0548,21.4171,21.8029,23.537,21.7755,21.9146,23.141,19.3329,20.1426,17.7119,16.795,21.4704,17.7626,17.6638,17.1825
G1K0V8,21.6726,21.2205,20.2303,20.611,22.4765,21.7755,21.5306,22.4683,19.1536,18.2979,19.6507,18.1754,21.0907,20.1917,19.918,20.7064
Q1ZXU6,25.3786,25.5,24.0095,24.7408,22.6716,21.889,22.4766,21.6801,26.727,26.3817,26.7905,25.7815,27.7863,27.1907,25.4251,27.1543
G3MU14;P48727,21.7757,20.8904,21.044,21.8248,24.801,23.3667,23.667,25.0094,19.7462,17.5782,20.3071,17.9435,23.9174,22.9295,22.9544,19.6968
G3MU81,21.919,21.2958,20.9771,21.4123,20.9629,20.3044,21.3689,21.36,17.643,18.8478,17.0341,19.3229,24.5105,24.4297,23.8688,23.8909
G3MU88,25.7336,25.1495,24.3956,24.7344,21.2546,20.1613,20.3148,21.2347,18.9542,20.3207,21.3337,18.3234,21.0901,20.9394,19.8595,19.3134
G3MU88,20.4205,21.3606,21.379,21.5264,24.3267,22.988,23.4645,23.2543,20.754,19.4384,21.9728,18.2827,19.3226,19.5512,19.4274,17.0984
G4RTI0,21.4576,21.2388,20.9134,20.6735,24.3429,26.0069,24.3631,23.9923,19.7205,19.0348,19.5367,19.8342,20.6539,17.3072,19.706,17.1653
G4S034,24.4083,23.7789,23.221,24.4655,24.7836,24.1942,23.828,23.7543,18.5624,19.4784,18.3835,18.0383,20.3312,19.4854,18.7793,20.0732
G4S034,24.3139,22.7713,22.3913,23.8995,23.7123,21.0194,19.3605,20.6747,17.738,19.4275,20.4183,20.64,18.8935,20.8898,20.9171,21.3071
G4S034,21.5146,20.0049,20.6995,21.3432,22.3641,21.468,20.2732,21.5622,24.2741,24.158,22.8946,23.5561,24.1211,23.4561,25.2415,23.6366
G4S034,21.1107,20.0929,21.0038,21.5574,21.9004,21.1706,21.1109,20.0571,20.0813,18.8675,19.5729,19.7465,20.5526,19.6342,21.1369,21.7295
G4S1A4,20.6072,21.1066,21.2156,20.2257,24.652,23.9635,23.1566,23.1543,19.2107,18.8003,21.9644,19.6018,23.2458,23.8072,24.1225,23.0268
G4S1A4,26.4329,26.0387,26.0344,26.2928,27.8003,26.294,25.2421,21.3627,19.0669,18.0669,17.593,19.0106,26.5684,25.2574,24.7388,26.3982
