Proteins,N2_d5_01,N2_d5_02, N2_d5_03,N2_d5_04,N2_d1_01,N2_d1_02,N2_d1_03,N2_d1_04,N2_d10_01,N2_d10_02,N2_d10_03,N2_d10_04,N2_d15_01,N2_d15_02,N2_d15_03,N2_d15_04
A0A0K3AQT4;A0A0K3AUC2;A0A0K3AWP0;K8FDX2;Q22866,21.2213,20.6539,21.3595,21.6727,21.5296,20.7628,21.0501,20.9683,18.993,19.9835,19.3398,18.5383,18.2384,20.1402,20.3167,19.8738
A0A0K3AQT4;A0A0K3AUC2;A0A0K3AWP0;K8FDX2;Q22866,26.9802,27.5772,24.8865,26.698,27.2704,24.6571,22.4098,25.6652,20.9316,22.1213,22.664,22.536,25.0909,25.2353,24.7327,23.3769
A0A0K3AUF2,24.6033,26.5485,25.5014,26.25,24.1907,23.856,26.4937,25.293,23.1616,21.0025,23.9234,22.1368,23.4842,24.3237,24.7313,27.0153
A0A0K3ARB5;Q27249,21.0321,20.6476,20.909,19.3567,20.9736,19.8905,19.8582,21.2968,16.6725,18.9985,20.2566,18.3358,18.6965,17.5702,18.7603,19.4817
A0A0K3ARB5;Q27249,21.3307,20.4895,21.1832,21.6788,21.719,20.5158,19.1962,19.7462,20.1902,19.864,20.7307,20.6126,21.1914,20.9461,20.577,20.3822
A0A0K3ARB5;Q27249,22.6,21.0657,21.8268,22.8644,21.4565,21.1337,21.3257,20.1905,19.3227,18.3609,20.7834,19.0101,19.7377,19.6367,19.8774,19.9885
A0A0K3AS90,21.7563,20.9889,21.1133,20.1818,21.345,20.7845,20.9709,21.2185,19.4441,19.905,20.9288,17.4719,19.667,20.9756,19.7515,18.3044
A0A0K3AWX1,22.1248,23.6775,23.6823,22.4424,20.5952,21.1569,20.2451,20.6194,22.1038,22.4952,21.6995,23.0648,26.2291,24.6718,23.6286,23.842
A0A0K3AWX1,21.9468,19.9293,21.1922,21.8962,21.2589,20.7377,20.2561,20.7478,17.8536,18.3688,20.5987,16.6337,20.8702,19.9484,17.7743,20.3774
A0A0K3AVS5,23.465,22.3017,23.5394,22.8507,23.628,24.8086,23.2801,24.7292,17.2241,21.0138,20.6899,20.4135,19.427,20.3006,18.7168,18.6917
A0A0K3AW96,23.5389,22.7835,23.635,22.5729,24.5966,23.7813,23.7407,25.0312,18.2501,17.3024,21.2568,19.0738,21.8962,22.2889,22.2839,28.1374
