ProteinAccessions;log2 N2_d15_01;log2 N2_d15_02;log2 N2_d15_03;log2 N2_d15_04;log2 N2_d1_01;log2 N2_d1_02;log2 N2_d1_03;log2 N2_d1_04; -Log Student's T-test p-value N2_d15_N2_d1;Student's T-test q-value N2_d15_N2_d1; Student's T-test Difference N2_d15_N2_d1;Student's T-test Test statistic N2_d15_N2_d1;Sign p-val: 0.05 
A0A061ACH4;11,3945;11,8454;12,0607;12,7939;13,4942;13,8845;13,8712;13,6388;2,83409;0,00118153;-1,69856;-5,53581;+
A0A061ACL3;17,0012;16,427;16,4786;16,2597;16,0888;15,7628;15,7788;16,1181;1,74946;0,00865643;0,604497;3,23471;+
A0A061ACM2;14,7489;13,651;14,3442;14,5962;13,6373;12,5531;12,7802;13,2235;2,02874;0,00501584;1,28651;3,76352;+
A0A061ACR1;17,1779;16,7638;16,9089;17,28;16,5923;16,5336;16,4166;16,889;1,4642;0,0157601;0,424797;2,72661;+
A0A061ACU2;15,1979;15,0917;15,0032;16,7631;13,8155;14,1636;14,1229;14,2687;1,79002;0,00814775;1,42127;3,30937;+
A0A061AD18;15,0646;14,0276;15,4946;15,6371;17,3976;17,1534;17,8241;17,5571;3,09912;0,000680038;-2,42704;-6,22275;+
A0A061AD21;17,454;17,4416;17,0252;17,381;16,8657;16,7427;17,0923;16,9885;1,72338;0,00922822;0,403108;3,18705;+
A0A061AD39;13,6171;14,009;13,8207;13,7303;13,6681;13,8291;13,4314;13,5216;0,741723;0,0977509;0,181735;1,51216;
A0A061AD47;16,2946;16,0933;16,3976;16,5315;15,9665;15,8482;16,026;16,1803;1,51135;0,014257;0,323993;2,80874;+
A0A061ADY8;11,832;12,6645;13,1658;12,7295;12,2756;12,3501;10,9582;12,1981;0,740091;0,0980453;0,652453;1,50941;
A0A061AE05;15,271;14,9418;15,2142;15,653;15,3031;13,9893;14,1854;15,2644;0,763394;0,0928555;0,584424;1,54869;
A0A061AIW1;13,0951;14,5308;14,0703;13,9988;14,182;15,2123;15,0108;14,2918;0,9736;0,0541019;-0,750497;-1,89934;
A0A061AJK8;13,3137;12,9601;13,441;14,0119;13,3919;13,4873;13,3822;13,5391;0,0286047;0,891789;-0,0184948;-0,0833854;
A0A061AKY5;16,8055;17,5007;17,378;16,5791;14,7652;15,4042;15,9958;16,5278;1,71141;0,00944449;1,39254;3,16525;+
A0A061AL58;12,317;12,1892;12,2635;12,7647;13,7457;13,1536;12,5701;11,2878;0,227331;0,43134;-0,30572;-0,565127;
A0A078BPG0;15,7195;13,3313;13,1655;13,5176;13,1297;13,6954;13,5721;13,5913;0,298377;0,343134;0,43634;0,712231;
A0A078BPH9;13,0658;12,3597;12,7821;11,6115;14,5513;14,0597;14,1416;14,0431;2,67829;0,00128467;-1,74417;-5,15862;+
A0A078BPJ4;15,3792;15,1967;15,3792;15,2648;14,8645;14,8632;14,8308;14,718;3,85352;0,000115843;0,48585;8,55357;+
A0A078BQL1;14,6143;15,5077;15,5166;14,3394;14,6259;14,8664;15,37;13,9504;0,286229;0,357024;0,291335;0,687693;
A0A078BQP7;14,2368;14,7536;14,3432;14,4718;13,2965;12,9016;12,9735;13,2549;3,98061;6,65E-05;1,34474;9,01074;+
A0A0K3AQM0;14,2082;15,1166;14,3389;14,132;14,5234;14,4169;14,8993;14,6719;0,30083;0,340814;-0,17896;-0,717157;
A0A0K3AQN0;14,9721;14,2083;13,9657;14,553;13,2962;13,2075;13,7434;13,4407;2,1677;0,00354204;1,0028;4,04078;+
A0A0K3AQN5;15,439;14,9654;15,155;15,4384;14,7292;14,8409;14,8326;14,8153;2,02088;0,00508295;0,444978;3,74814;+
A0A0K3AQT9;17,1681;14,8397;15,6861;15,9769;14,7406;16,5295;17,4577;17,254;0,310994;0,329919;-0,577739;-0,737475;
A0A0K3AQU9;14,5501;14,8535;14,223;15,8737;13,7721;13,5973;14,1944;13,9062;1,42681;0,0170678;1,00756;2,66193;+
A0A0K3AQV8;15,6531;14,5138;13,9053;16,096;14,2807;13,6385;13,8102;14,131;1,06399;0,0432936;1,07694;2,04951;+
A0A0K3AQW8;14,2126;14,6101;16,28;12,7153;13,5924;15,3326;14,5495;13,7417;0,0639511;0,773222;0,15043;0,180003;
A0A0K3AQY3;11,742;11,9868;11,8271;12,8061;10,0184;9,87131;9,89537;9,90331;3,92611;0,000120996;2,16843;8,81214;+
A0A0K3AR63;12,5541;12,0724;12,2682;12,7554;13,4251;13,116;13,6714;13,4711;2,7427;0,00122772;-1,00833;-5,31231;+
A0A0K3ARA8;12,5835;12,0612;12,1027;12,7229;12,4847;13,4082;13,6087;12,207;0,714715;0,105195;-0,559581;-1,46648;
A0A0K3ARC0;16,2472;15,6724;15,509;16,4352;13,6743;13,3467;13,5871;14,0535;3,87526;0,000118056;2,30057;8,6303;+
A0A0K3ARE1;12,5522;11,2392;10,3677;12,7843;13,0836;13,5281;13,015;11,7589;0,807854;0,0828435;-1,11054;-1,62331;
A0A0K3ARF3;12,542;12,1807;12,316;12,7383;15,027;15,1476;15,1867;14,9605;5,95451;0;-2,63621;-19,6963;+
A0A0K3ARJ1;12,3731;12,0944;12,3316;12,5939;12,4808;10,997;11,3155;6,29544;0,745451;0,0967068;2,07608;1,51846;
A0A0K3ARM6;15,6396;15,0569;16,4845;15,7004;14,6164;14,6201;14,8182;14,7393;1,85923;0,00721499;1,02187;3,43838;+
A0A0K3ARN9;12,4011;12,1045;12,01;12,4652;13,6227;12,8805;13,0266;15,548;1,29823;0,0240331;-1,52427;-2,44217;+
A0A0K3ARX5;12,3942;12,0197;12,2596;12,778;11,3098;11,7244;11,9371;12,1402;1,30689;0,0236049;0,584985;2,45684;+
A0A0K3AS68;15,5708;18,1573;16,945;16,5466;16,8521;17,5528;17,5296;17,0168;0,325998;0,314775;-0,432883;-0,767195;
A0A0K3ASB9;15,0399;14,6068;16,002;15,6756;15,126;15,0707;14,7736;14,886;0,522512;0,176482;0,367012;1,1335;
A0A0K3ASG4;13,0861;12,734;14,7532;15,4581;14,4632;13,9384;14,0462;14,235;0,0891464;0,702111;-0,162843;-0,245258;
A0A0K3ASH2;17,5826;18,1105;18,1486;17,3012;17,6745;18,587;18,0588;17,8006;0,366377;0,278148;-0,244535;-0,845694;
A0A0K3ASH9;14,7283;14,6614;15,269;15,3;14,7622;15,344;15,3902;15,3831;0,450752;0,215792;-0,23018;-1,00386;
A0A0K3ASM2;12,5581;12,1584;12,2233;12,5177;13,5598;12,8471;12,2454;12,3073;0,542354;0,166344;-0,375511;-1,16872;
A0A0K3AT36;15,5482;16,6145;16,3491;14,1947;16,1005;16,2428;15,4881;15,338;0,0704098;0,754;-0,115726;-0,196995;
A0A0K3ATC0;17,2381;16,7317;16,769;17,7514;14,8463;13,869;14,1361;14,6965;3,76101;0,000108108;2,73558;8,23357;+
A0A0K3ATS1;21,3013;21,6226;21,6428;21,2067;21,6604;21,8609;21,7249;21,1096;0,308004;0,333525;-0,145591;-0,731514;
A0A0K3AUD2;13,22;13,9208;12,4619;13,1327;11,6595;11,537;11,9189;12,0689;2,29819;0,00280821;1,38775;4,31085;+
A0A0K3AUJ9;21,1967;21,7105;21,6292;21,7899;20,93;21,236;21,3004;21,2097;1,41952;0,0172164;0,412553;2,64936;+
A0A0K3AUW2;13,8697;14,0829;13,6371;14,7129;14,3853;14,2042;13,9326;13,8015;0,00659612;0,974692;-0,00523734;-0,0196932;
A0A0K3AUZ7;12,4491;13,8097;13,2853;12,9935;13,3518;13,2695;13,1939;13,5251;0,285076;0,358037;-0,200675;-0,685352;
A0A0K3AVA9;12,3474;11,9073;12,338;12,6526;12,3253;12,373;12,634;12,7489;0,52354;0,175956;-0,208992;-1,13533;
A0A0K3AVL7;13,7955;13,7154;14,1138;14,5997;12,1389;13,0892;12,9022;12,4945;2,51873;0,00167963;1,39989;4,79092;+
