ProteinAccessions;log2 daf2_d15_01;log2 daf2_d15_02;log2 daf2_d15_03;log2 daf2_d15_04;log2 daf2_d5_01;log2 daf2_d5_02;log2 daf2_d5_03;log2 daf2_d5_04; -Log Student's T-test p-value daf2_d15_daf2_d5;Student's T-test q-value daf2_d15_daf2_d5; Student's T-test Difference daf2_d15_daf2_d5;Student's T-test Test statistic daf2_d15_daf2_d5;Sign p-val: 0.05 
A0A061ACH4;12,2069;12,0594;9,76451;11,8261;12,8718;13,6241;13,1723;14,121;1,69181;0,0114239;-1,98305;-3,1297;+
A0A061ACL3;15,8211;16,1505;15,4504;15,4914;16,4016;16,744;16,2184;16,5853;2,05414;0,00547399;-0,759007;-3,81346;+
A0A061ACM2;12,2998;11,8259;11,4712;11,7534;12,9619;13,2749;12,9819;12,3774;2,22838;0,00395894;-1,06146;-4,16513;+
A0A061ACR1;16,9059;16,8133;16,6107;17,1328;17,4503;17,6303;17,2228;17,2181;1,89278;0,00763342;-0,514696;-3,50167;+
A0A061ACU2;14,9222;14,4529;15,2528;15,1532;15,0058;14,2792;16,2589;16,4128;0,4507;0,211786;-0,54395;-1,00376;
A0A061AD18;17,1845;15,4121;16,1883;17,3328;18,3046;18,1349;16,8766;16,5732;0,735191;0,0945059;-0,942907;-1,50113;
A0A061AD21;17,394;16,9375;17,068;17,1822;17,7883;18,0182;17,4658;17,6494;2,0794;0,00506219;-0,58499;-3,86342;+
A0A061AD39;12,3697;13,9836;12,3076;13,9048;13,0264;13,2506;12,4163;12,606;0,25872;0,391422;0,316641;0,631232;
A0A061AD47;17,7318;17,2426;16,9599;17,1441;17,8664;18,2805;17,7839;17,9963;1,94786;0,0068374;-0,712175;-3,60669;+
A0A061ADY8;12,8317;12,2961;12,512;12,9942;12,3398;13,2656;12,9281;12,8877;0,340077;0,299937;-0,196821;-0,794803;
A0A061AE05;15,4369;14,6658;15,0787;16,4961;13,0455;12,9821;12,6379;12,2496;3,09784;0,00101729;2,69058;6,2193;+
A0A061AIW1;13,6777;14,3371;14,6652;14,6894;12,4489;13,0109;13,5044;12,5409;2,30844;0,00319366;1,46612;4,33248;+
A0A061AJK8;14,2176;14,4117;13,4286;13,2425;14,9123;15,6116;14,2647;14,2652;1,13933;0,034411;-0,938318;-2,17505;+
A0A061AKY5;16,5696;15,9392;15,6755;16,5092;18,1612;19,2322;18,6168;17,7392;2,95639;0,00140345;-2,26397;-5,8454;+
