Leading.proteins.Positions.within.proteins;log2 daf2_d15_01;log2 daf2_d15_02;log2 daf2_d15_03;log2 daf2_d15_04;log2 N2_d15_01;log2 N2_d15_02;log2 N2_d15_03;log2 N2_d15_04; -Log Student's T-test p-value daf2_d15_N2_d15;Student's T-test q-value  daf2_d15_N2_d15; Student's T-test Difference  daf2_d15_N2_d15;Student's T-test Test statistic  daf2_d15_N2_d15;Sign p-val: 0.05 
G5ED33(542);24,7874;25,02;24,5148;23,6856;16,7072;19,1966;20,1808;17,7618;3,49227;0,00273993;6,04033;7,36122;+
G5ED33(562);23,5194;24,1715;23,8636;24,1473;21,3231;20,8525;18,3048;21,9144;2,20182;0,0200777;3,32678;4,11046;+
G5ED33(621);19,0158;20,0399;20,9728;21,2806;21,2258;21,3047;21,0456;20,6389;0,655864;0,308728;-0,726445;-1,36618;
G5ED33(524);17,7554;20,1916;19,9996;18,449;20,7482;20,7905;20,7217;19,259;0,928998;0,193669;-1,28093;-1,82525;
G5ED33(755);24,1164;23,7851;23,4222;23,0601;20,492;19,8716;20,3491;18,6497;3,65476;0,00192982;3,75536;7,87878;+
G5ED33(537);23,8429;23,1984;22,3761;22,8616;20,7914;18,9471;21,5243;21,0692;2,07762;0,0246823;2,48677;3,8599;+
G5ED33(583);23,8087;22,9247;23,8381;23,8007;20,4227;18,3571;19,618;21,6177;2,60106;0,0101197;3,58915;4,97839;+
A0A061ACQ8(315);17,8235;20,2668;18,7401;21,1825;25,1233;24,8938;25,9115;24,5449;3,35897;0,00317152;-5,61512;-6,95794;+
A0A061ACQ8(294);22,2595;23,3938;22,8448;23,2788;19,9121;20,2161;19,0178;19,4925;3,97188;0,00157055;3,28458;8,97866;+
A0A061ACQ8(133);25,6735;26,3082;25,9416;26,8577;25,1325;25,2518;24,1717;25,8192;1,37785;0,0825168;1,1015;2,57778;
A0A061ACQ8(135);25,6735;26,3082;25,9416;26,8577;25,1325;25,2518;24,1717;22,853;1,62762;0,0543186;1,84304;3,01425;
A0A061ACR1(589);23,3745;23,1524;23,9663;23,5295;24,3332;24,2495;23,1299;24,264;0,707245;0,285326;-0,488455;-1,45381;
A0A061AL01(989);19,7043;18,1049;21,682;20,0537;20,5116;21,8091;20,3211;19,6159;0,334776;0,535843;-0,678212;-0,784439;
A0A061AL01(593);20,9039;20,0927;20,085;19,0373;21,8251;21,7933;20,1921;20,2498;0,823655;0,230558;-0,985365;-1,64975;
B3GWD8(179);18,5562;19,1444;17,9817;18,8163;21,2651;19,3165;19,4311;20,1715;1,49483;0,0683217;-1,42139;-2,7799;
B3GWD8(187);18,7951;19,3143;21,3415;19,1342;19,4375;21,3968;19,2826;19,6967;0,156015;0,731192;-0,307106;-0,406886;
B3GWD8(196);19,963;17,7262;21,0365;20,5899;21,2096;20,3949;19,5296;21,8822;0,467905;0,426101;-0,925189;-1,0352;
