ProteinAccessions;log2 N2_d15_01;log2 N2_d15_02;log2 N2_d15_03;log2 N2_d15_04;log2 N2_d10_01;log2 N2_d10_02;log2 N2_d10_03;log2 N2_d10_04; -Log Student's T-test p-value N2_d15_N2_d10;Student's T-test q-value N2_d15_N2_d10; Student's T-test Difference N2_d15_N2_d10;Student's T-test Test statistic N2_d15_N2_d10;Sign p-val: 0.05 
A0A0K3ASH9;14,7283;14,6614;15,269;15,3;12,8793;13,7637;13,5127;14,6463;1,72563;0,00393278;1,2892;3,19114;+
A0A0K3ASM2;12,5581;12,1584;12,2233;12,5177;15,0753;14,3218;15,2003;15,1188;4,53158;0;-2,56468;-11,2551;+
A0A0K3AT36;15,5482;16,6145;16,3491;14,1947;18,6095;19,2727;18,5954;18,8462;2,84903;0,000263415;-3,15432;-5,57299;+
A0A0K3ATC0;17,2381;16,7317;16,769;17,7514;17,546;17,7325;17,6712;19,3978;0,99205;0,0302228;-0,96434;-1,92998;+
A0A0K3ATS1;21,3013;21,6226;21,6428;21,2067;23,9041;24,1488;23,792;23,8759;5,78325;0;-2,48685;-18,4259;+
A0A0K3AUD2;13,22;13,9208;12,4619;13,1327;14,2619;16,3201;15,9757;15,4478;2,28808;0,000979268;-2,31753;-4,28957;+
A0A0K3AUJ9;21,1967;21,7105;21,6292;21,7899;22,1243;21,961;22,5156;22,2658;1,93781;0,00243178;-0,6351;-3,58743;+
A0A0K3AUW2;13,8697;14,0829;13,6371;14,7129;14,17;14,0463;13,9909;14,4271;0,123769;0,572206;-0,0829129;-0,330828;
A0A0K3AUZ7;12,4491;13,8097;13,2853;12,9935;14,9463;15,0883;15,8627;15,26;3,08579;6,13E-05;-2,15494;-6,18676;+
A0A0K3AVA9;12,3474;11,9073;12,338;12,6526;14,3783;14,425;13,8587;14,6482;3,94928;0;-2,01626;-8,8961;+
A0A0K3AVL7;13,7955;13,7154;14,1138;14,5997;14,4877;13,4276;14,8521;14,2447;0,21702;0,378858;-0,196923;-0,542981;
A0A0K3AVS5;16,7706;16,4557;16,8819;16,6453;18,3782;17,6726;17,7523;18,2971;3,22263;6,79E-05;-1,33667;-6,56413;+
A0A0K3AVV4;15,2299;15,0815;15,4726;15,3896;17,1682;17,1618;18,0439;17,056;3,80614;0;-2,06409;-8,38836;+
A0A0K3AW68;12,5115;12,7463;12,3242;11,6584;17,4404;17,3251;17,2111;19,3081;4,24213;0;-5,51106;-10,02;+
A0A0K3AW96;16,5033;16,4151;16,1892;16,3794;18,5361;18,3068;18,1672;18,5688;5,6354;0;-2,02294;-17,3934;+
A0A0K3AXM4;17,5557;17,1518;17,0527;17,9023;18,169;16,7952;18,1042;17,4029;0,212817;0,385427;-0,2022;-0,533891;
A0A0K3AY44;12,2605;7,56696;12,2317;12,6748;14,5177;13,3085;14,4646;15,1285;1,33291;0,0117436;-3,17135;-2,50107;+
A0A0K3AY85;16,2769;15,7868;16,4307;16,2501;16,8464;16,7332;17,3151;17,1802;2,27753;0,000973257;-0,832573;-4,26742;+
A0A0K3AYJ1;15,3527;14,6582;14,8408;16,0504;16,6843;17,1937;16,9247;17,7038;2,60693;0,000484334;-1,9011;-4,99193;+
A0A0M7REP5;16,2616;16,172;15,862;16,0581;16,6299;15,221;16,7599;15,2772;0,100006;0,638967;0,116435;0,272576;
A0A0S4XR31;15,7967;15,0843;14,5449;14,6423;17,6292;16,934;16,8778;18,0926;2,9392;0,000152031;-2,36636;-5,80114;+
A0A0S4XR36;14,6862;14,2663;14,7037;13,9764;14,8;15,1381;13,5592;15,8839;0,367416;0,207858;-0,437169;-0,847686;
A0A0S4XR43;15,6838;15,4989;15,6726;16,6174;16,2876;16,5611;15,7444;17,1838;0,716337;0,0674817;-0,576075;-1,46923;
A0A0S4XR45;14,3568;14,8961;13,7463;15,2134;14,516;14,2873;13,9184;15,0274;0,107861;0,616539;0,115881;0,292055;
