ProteinAccessions;log2 N2_d15_01;log2 N2_d15_02;log2 N2_d15_03;log2 N2_d15_04;log2 N2_d10_01;log2 N2_d10_02;log2 N2_d10_03;log2 N2_d10_04; -Log Student's T-test p-value N2_d15_N2_d10;Student's T-test q-value N2_d15_N2_d10; Student's T-test Difference N2_d15_N2_d10;Student's T-test Test statistic N2_d15_N2_d10;Sign p-val: 0.05 
G5EFV2;12,4298;12,1678;12,2677;12,6853;14,3524;14,3505;14,4366;14,3621;5,62354;0;-1,98777;-17,3131;+
G5EFV4;17,3404;17,4356;17,1008;17,3967;18,8292;17,9547;18,1518;17,9037;2,11924;0,00168834;-0,891465;-3,94292;+
G5EFX2;14,6629;16,1983;15,3949;16,1142;14,5022;14,227;13,9078;14,8301;1,61867;0,00532015;1,22576;2,99827;+
G5EFX8;16,1515;13,9514;14,5639;15,1559;16,9792;16,8461;16,9849;15,7541;1,64086;0,00494845;-1,68543;-3,03793;+
G5EFY6;15,1702;14,6599;14,7346;15,67;15,7074;15,1438;15,5778;14,6478;0,258191;0,318114;-0,210522;-0,630133;
G5EFZ1;15,9176;16,9542;16,9989;17,3918;17,2323;17,4045;17,1347;19,1322;0,796262;0,0532759;-0,910277;-1,60389;
G5EFZ5;16,9404;15,9709;16,3046;17,4629;17,4326;17,2526;16,6752;18,0632;0,773647;0,0569563;-0,686194;-1,56593;
G5EG03;15,5117;14,9439;15,4032;15,8654;16,1484;16,4977;15,9319;16,7501;1,85322;0,00282997;-0,90096;-3,4271;+
G5EG11;12,3912;11,9966;12,1916;12,2011;14,1702;13,9835;14,2372;14,2261;5,94736;0;-1,95914;-19,6416;+
G5EG13;16,3251;17,8;17,7372;18,0873;17,8385;17,4225;17,8076;17,9949;0,279503;0,292036;-0,27846;-0,674007;
G5EG18;17,9483;17,9399;17,3861;18,1768;18,7414;19,0246;18,9904;19,4528;2,74433;0,000359499;-1,18951;-5,31624;+
G5EG23;13,9373;12,7708;13,9407;14,0918;14,3941;13,7166;14,4962;14,7412;0,870784;0,042712;-0,651888;-1,7284;+
G5EG26;16,4039;15,5993;15,7912;16,9204;18,0681;17,4661;17,6829;18,4442;2,47341;0,000652302;-1,7366;-4,68968;+
G5EG39;12,2159;12,0552;12,3402;12,4787;14,2188;14,3529;14,4425;14,9013;4,83978;0;-2,20634;-12,7232;+
G5EG41;12,5371;11,9407;11,9331;12,7805;14,2493;13,621;14,4113;15,0158;2,88471;0,000218319;-2,02649;-5,66246;+
G5EG43;11,7788;12,1626;12,3144;12,4436;14,3664;14,1971;14,4295;15,1739;4,00669;0;-2,36689;-9,10716;+
G5EG50;16,2109;15,6142;14,8554;16,4723;14,7147;14,6812;14,6511;14,7177;1,64889;0,0048966;1,09705;3,05234;+
G5EG58;13,8918;12,7685;12,8763;13,0918;14,3694;14,324;14,4615;15,0349;2,42867;0,000677481;-1,39037;-4,5911;+
G5EG62;14,1295;14,1104;13,7621;13,2408;13,5355;15,559;15,3502;13,8532;0,662413;0,0791864;-0,763757;-1,3774;
G5EG65;14,1884;14,5409;14,0634;14,9634;14,6348;15,7107;14,9865;14,1635;0,522885;0,121699;-0,434853;-1,13417;
G5EGA5;14,9075;14,8299;14,4585;14,5456;16,2838;16,5782;17,8824;16,8232;3,03526;5,89E-05;-2,20652;-6,0517;+
G5EGA6;15,1959;14,954;14,9427;15,1907;15,1051;15,4519;15,4677;16,3595;0,971354;0,0320808;-0,525208;-1,89561;+
G5EGA7;15,4846;14,2752;14,1959;15,4718;16,3009;15,659;15,7251;15,7956;1,39851;0,00983747;-1,01326;-2,61321;+
G5EGB1;20,1466;19,6003;19,7951;19,7685;19,3699;17,0117;20,6274;18,3046;0,608459;0,0933799;0,999235;1,28446;
G5EGB3;15,3252;15,0404;15,4982;15,4304;16,8481;17,0166;17,4399;17,2353;4,4897;0;-1,81142;-11,0682;+
G5EGC1;13,6472;13,5636;13,4682;14,1712;14,478;14,1386;13,7128;14,8377;1,04546;0,0261969;-0,579222;-2,0187;+
G5EGD5;15,2403;12,1262;15,0701;14,6816;14,3618;14,2207;13,7476;14,5249;0,0302987;0,878425;0,0657949;0,0881675;
G5EGE9;12,4474;12,1676;11,2924;12,593;13,6071;14,3259;13,4145;14,8752;2,31187;0,00092528;-1,93056;-4,33973;+
G5EGG0;14,2963;14,0346;13,7281;13,8158;14,4703;14,3629;14,4029;14,1912;1,48975;0,00781968;-0,388123;-2,77105;+
G5EGG8;18,5265;17,5447;17,8913;19,0232;14,3325;14,0191;14,4375;15,1341;4,06024;0;3,76562;9,30802;+
G5EGH2;14,1388;13,3293;14,0368;14,372;13,9815;14,3566;14,3812;14,6322;0,681124;0,0747763;-0,368627;-1,40937;
G5EGH7;15,5237;15,0465;14,4958;16,0582;16,8746;15,8222;15,9817;17,0805;1,34744;0,0113755;-1,15868;-2,52583;+
G5EGI7;14,4818;14,853;14,612;11,5088;14,4903;14,0686;14,3976;14,2055;0,214247;0,383158;-0,42662;-0,536988;
G5EGJ5;12,5623;12,152;12,3373;12,1098;13,279;14,2436;13,6054;14,9918;2,35843;0,000852941;-1,7396;-4,43891;+
G5EGK1;16,1258;15,9185;16,4496;16,334;17,0089;17,1064;16,9514;17,2238;3,22901;6,81E-05;-0,865608;-6,58216;+
G5EGK7;13,9712;14,5162;13,9068;14,2647;14,4673;13,5542;14,4109;14,9418;0,223353;0,369245;-0,178813;-0,556609;
G5EGK8;17,2377;17,4875;17,6638;17,5428;18,2228;18,4417;18,4858;18,659;3,58137;0;-0,969382;-7,64137;+
G5EGL2;16,0193;15,9535;16,271;16,264;17,0739;16,9352;17,262;17,3491;3,77341;0;-1,02813;-8,27587;+
G5EGN2;14,3912;13,7186;13,8204;14,913;13,9246;13,664;14,4752;14,8937;0,0249584;0,898686;-0,0285549;-0,0730359;
G5EGP4;16,4634;16,6284;16,7897;16,6903;17,9876;18,0469;17,9125;18,3224;4,826;0;-1,42442;-12,6539;+
G5EGP8;17,1006;17,224;17,0116;17,1781;17,0076;16,3909;16,9538;18,3032;0,029758;0,880572;-0,035285;-0,0866428;
G5EGR8;13,5094;14,4099;15,0056;13,7929;16,3993;15,4858;17,3589;15,9051;2,16213;0,00141882;-2,10782;-4,02947;+
G5EGS5;14,3979;14,1789;14,2613;14,3535;11,7018;15,91;15,2534;17,7817;0,281858;0,289319;-0,863811;-0,678806;
G5EGS8;14,3609;13,7894;14,3021;14,3317;14,3512;14,3526;14,4393;15,0596;0,808015;0,0512134;-0,354681;-1,62358;
G5EGT6;12,8593;13,9385;13,2062;13,1595;14,0791;14,7206;14,7625;15,0288;2,3622;0,000838323;-1,35688;-4,447;+
G5EGT7;16,4541;15,7479;16,0528;16,3534;16,7196;16,3417;17,3423;18,1309;1,22792;0,0159165;-0,981548;-2,32347;+
G5EGU1;16,3171;16,2957;16,3535;16,745;17,3768;17,6238;17,5183;18,3788;2,70844;0,000351306;-1,29658;-5,23016;+
G8JXY9;16,0061;15,7206;15,8101;16,2349;15,6231;16,4578;16,2164;15,821;0,150006;0,506305;-0,0866375;-0,392952;
G8JXZ7;15,4831;14,7578;15,1526;13,4762;14,1229;14,4015;14,1557;14,9136;0,277703;0,293957;0,319033;0,670331;
G8JY24;14,8729;12,8317;13,4596;14,5305;14,1622;14,0627;14,111;14,7591;0,292607;0,277592;-0,35008;-0,700605;
G8JY31;16,2574;16,1628;17,4194;16,9001;17,6083;17,1135;17,5434;18,1632;1,34819;0,011379;-0,922195;-2,5271;+
G8JY83;22,4611;22,3817;22,2881;22,3593;22,8894;23,2113;22,979;22,7715;2,98533;0,000100271;-0,590223;-5,92048;+
G8JY85;12,5783;12,0301;12,1155;12,7333;14,1292;13,3771;14,4409;14,3268;2,93152;0,000150259;-1,70418;-5,78143;+
G8JY94;17,9586;17,9383;18,0447;18,3278;16,3807;16,3056;16,5123;17,0681;3,60477;0;1,5007;7,71641;+
G8JYB8;12,1487;16,6211;15,8291;13,9717;13,841;14,1975;13,8122;15,0153;0,157566;0,489802;0,426155;0,410466;
G8JYE4;17,0297;16,8361;16,936;16,8923;18,3416;18,0753;18,054;19,4525;2,46792;0,000650391;-1,55731;-4,67751;+
G8JYG1;17,7806;16,5944;17,3785;17,8657;17,5645;17,3666;17,5471;17,6104;0,151999;0,50166;-0,117357;-0,397585;
G8XYY4;12,4663;11,9875;12,337;12,6218;13,5797;14,2529;13,9738;15,0999;2,76339;0,000363846;-1,87342;-5,36233;+
G8XYY6;15,3678;15,5286;15,4107;15,4768;16,4171;16,3683;16,511;16,8695;4,03893;0;-1,0955;-9,22764;+
H1UBJ9;14,8063;14,1768;12,9653;15,1431;13,7034;14,1487;14,262;15,1674;0,0286116;0,885356;-0,0474977;-0,0834051;
H1UBK8;12,2996;12,0081;12,0299;12,7008;14,0551;14,2859;13,8828;15,1737;3,14538;6,46E-05;-2,08979;-6,34896;+
H1ZUX7;14,3387;14,3884;13,7258;14,7242;15,2249;15,7699;16,2281;15,6829;2,5662;0,000471074;-1,43218;-4,89844;+
H2FLG7;14,8134;15,2142;15,5181;14,1711;14,4771;14,3751;13,6653;14,8677;0,745076;0,0620873;0,582891;1,51782;
H2FLJ1;15,968;17,083;16,737;17,9964;18,2189;18,0261;17,8208;19,1275;1,42141;0,00925432;-1,35221;-2,65262;+
H2FLK8;19,8455;19,7467;19,8377;20,1744;21,5338;21,5835;21,5192;21,8702;5,04958;0;-1,72556;-13,8231;+
H2FLK9;18,0627;17,5827;17,2694;18,2338;20,1559;19,8218;19,4085;20,7251;3,1306;6,35E-05;-2,24063;-6,30842;+
H2FLL6;12,395;12,1009;12,112;12,7723;14,2313;13,4817;14,4618;14,3054;3,23265;6,83E-05;-1,77503;-6,59244;+
H2KMK6;15,6141;16,3071;16,1632;15,8614;16,9741;16,002;16,398;16,545;1,00113;0,029398;-0,493307;-1,94506;+
H2KML6;11,9428;12,5224;12,8231;12,7428;13,8051;13,8306;14,1078;15,0295;2,53489;0,000461538;-1,68548;-4,82734;+
H2KY58;15,1479;15,0863;15,1779;16,2285;16,875;16,6118;17,1251;17,8722;2,35927;0,000836782;-1,71091;-4,44071;+
H2KY60;13,5726;13,3723;13,3448;12,6153;14,1438;14,3977;14,3128;14,5156;2,60332;0,00048382;-1,11621;-4,9836;+
H2KY68;12,2511;14,6285;13,5382;11,6126;16,3652;15,4951;15,8482;17,0488;2,25878;0,000965637;-3,18172;-4,22823;+
H2KY72;15,8859;15,6334;15,8103;15,9547;18,7547;18,9419;18,8431;19,0657;7,21103;0;-3,08028;-32,0342;+
H2KY88;12,9977;12,653;12,6021;13,6467;14,3557;14,1155;12,7869;14,8737;1,09052;0,0233128;-1,05808;-2,09367;+
H2KY99;15,641;15,2239;14,2731;14,8358;13,7893;13,7631;14,2275;15,6188;0,575823;0,102748;0,643758;1,22761;
H2KYA5;17,5264;17,9713;19,1338;18,1497;19,064;18,2814;18,2957;19,3324;0,598615;0,0959807;-0,54805;-1,26736;
H2KYB6;12,5173;11,7922;12,2528;12,7167;12,4395;13,0632;13,1603;14,364;1,0863;0,0235238;-0,937043;-2,08664;+
H2KYB8;13,1812;13,6684;13,2901;13,4378;14,0606;13,7584;13,5865;14,4605;1,40023;0,00981651;-0,572119;-2,61617;+
H2KYC6;16,2947;15,9357;16,3385;16,2777;18,6765;18,549;18,4958;18,6017;6,41616;0;-2,36909;-23,5614;+
H2KYC9;16,386;15,3039;16,3233;16,6755;13,4454;14,3977;12,7987;14,8831;2,2071;0,00120611;2,29096;4,1213;+
H2KYE0;16,4076;15,9436;15,8363;16,2201;16,4365;15,7373;15,9099;16,0444;0,133322;0,548321;0,0698948;0,353699;
H2KYE1;14,6684;14,9454;13,5676;14,32;16,9863;17,4413;17,0333;17,3013;3,94292;0;-2,81517;-8,87297;+
H2KYG4;12,852;13,0935;12,3276;13,441;13,7752;14,4175;14,0321;14,9135;2,13753;0,001533;-1,35605;-3,97971;+
H2KYG6;14,949;14,8121;15,025;15,0771;14,6669;15,0738;15,5765;15,938;0,572199;0,103857;-0,348015;-1,22126;
H2KYH5;17,1314;16,7498;16,9759;16,8614;18,0088;17,9251;18,2047;18,4511;3,8498;0;-1,2178;-8,54049;+
H2KYI5;17,8104;18,3382;18,1031;18,0706;19,7497;18,9771;18,4689;20,3641;1,63785;0,0049558;-1,30936;-3,03254;+
H2KYJ2;17,5414;16,9859;17,6173;17,3904;17,5423;17,2392;17,2998;17,5747;0,0654793;0,747824;-0,0302224;-0,184041;
H2KYJ5;17,3811;17,5725;17,7343;17,7383;18,0517;18,0466;18,1414;18,1044;2,81197;0,000375967;-0,479443;-5,48112;+
H2KYK4;12,4519;11,9001;12,2929;12,7494;14,4386;14,2294;13,3768;14,9731;2,63978;0,000440129;-1,90588;-5,0682;+
H2KYM0;12,4291;12,1493;12,1726;12,703;14,2684;12,7594;14,3394;14,9388;1,92087;0,00250186;-1,713;-3,55505;+
H2KYM2;13,6036;14,3972;14,3471;15,4667;17,3042;16,2993;17,5368;17,3157;2,8704;0,000266996;-2,6603;-5,62645;+
H2KYN0;13,0937;13,277;13,1379;12,3165;14,4396;14,3839;14,4818;14,9804;3,12291;6,30E-05;-1,61517;-6,28742;+
H2KYN3;15,6806;13,4372;14,0392;13,302;14,4468;15,2822;15,1323;16,6763;0,893657;0,0402419;-1,26965;-1,76648;+
H2KYN5;16,277;16,4725;16,6718;15,5482;19,1218;19,188;19,1928;19,557;4,57292;0;-3,02255;-11,4425;+
H2KYN6;11,0854;12,8153;12,9109;13,8842;15,2249;15,2087;15,9139;15,1754;2,36249;0,000839096;-2,70677;-4,44763;+
H2KYP1;16,0857;16,0345;15,9458;16,9057;16,8013;16,7392;16,5178;17,5457;1,08584;0,0235465;-0,658082;-2,08587;+
H2KYP2;14,995;15,0655;16,823;13,9972;16,8656;17,4114;17,3732;17,874;1,87698;0,00271434;-2,16089;-3,4718;+
H2KYP5;14,3236;13,9872;14,9255;14,3404;16,6102;15,6357;16,2861;17,3157;2,68268;0,000375618;-2,06775;-5,16899;+
H2KYP7;15,4682;15,5218;15,9584;15,3289;15,2215;16,1128;15,406;13,24;0,400584;0,184201;0,574251;0,910682;
H2KYQ2;17,625;17,8704;17,7983;18,0189;18,5021;19,2546;18,4504;19,3873;2,21399;0,00121124;-1,07044;-4,13546;+
H2KYQ5;17,0379;16,7473;16,3056;16,6336;14,4958;14,1909;14,2496;14,304;5,14553;0;2,37108;14,3555;+
H2KYR1;17,9627;18,3824;17,5858;18,0869;19,391;18,9061;18,861;19,8895;2,29473;0,000984043;-1,25743;-4,30354;+
H2KYR4;14,3291;13,2253;13,6651;13,8965;15,9834;15,2775;15,4822;17,4265;2,2543;0,00096396;-2,26341;-4,2189;+
H2KYS1;18,9122;18,5588;18,3152;18,2179;19,7747;20,1242;20,0187;20,3598;3,68476;0;-1,56836;-7,97761;+
H2KYS8;14,9826;13,9013;14,0037;13,8218;17,1145;16,4244;16,3949;17,1374;3,56765;0;-2,59042;-7,59767;+
H2KYU6;15,9547;15,6634;15,802;15,6389;17,0958;17,2766;17,1505;17,4027;5,20131;0;-1,46665;-14,6739;+
H2KYV1;14,265;14,4121;14,9589;14,4438;14,747;14,9878;14,7604;16,466;0,817933;0,0497169;-0,720382;-1,64018;+
H2KYV8;14,4674;15,4883;14,6545;14,7588;16,9263;15,7986;16,0965;15,8388;2,06685;0,00182094;-1,32281;-3,83855;+
H2KYV9;15,803;15,5824;15,2761;15,8369;14,058;14,9627;15,1526;13,9877;1,78783;0,00337041;1,08435;3,30533;+
H2KYX4;16,373;16,0201;16,0566;15,7648;17,7045;17,1488;17,5247;18,9754;2,29098;0,000981432;-1,7847;-4,29565;+
H2KYX9;13,6436;14,4611;15,8733;14,9343;14,4861;14,3111;13,7861;15,1329;0,220998;0,372286;0,299035;0,551552;
H2KYZ6;14,6639;12,1553;13,9228;14,001;16,1964;15,9948;14,7986;17,3444;1,73332;0,00386942;-2,39779;-3,20518;+
H2KYZ8;12,4226;11,9043;12,3439;12,4596;14,4037;14,0561;13,9063;14,7925;3,84523;0;-2,00703;-8,52444;+
H2KZ05;14,2432;14,4585;14,6409;14,1171;15,6083;15,2397;15,4609;15,5786;3,61348;0;-1,10695;-7,74448;+
H2KZ06;16,7163;16,0435;16,2843;17,5502;16,5321;15,7318;15,2971;17,3725;0,309644;0,259227;0,41519;0,734785;
H2KZ18;16,6406;16,5605;17,3282;16,7549;18,462;18,5224;18,9173;19,0479;3,83241;0;-1,91637;-8,47962;+
H2KZ22;16,8437;16,4627;15,9359;16,3987;18,0381;18,1865;18,0088;18,5087;3,72818;0;-1,7753;-8,12251;+
H2KZ24;12,1769;12,1795;12,3429;12,7828;14,2694;13,9757;14,1311;14,9362;3,59133;0;-1,95759;-7,67323;+
H2KZ29;12,5725;11,7824;12,1781;12,7771;14,4874;14,1804;14,3554;15,1297;3,47775;0;-2,21069;-7,31638;+
H2KZ37;16,3627;16,9063;16,9857;16,2762;17,9018;18,1332;17,8526;18,2999;3,28104;0;-1,41415;-6,73059;+
H2KZ48;15,1904;14,4051;14,7335;15,1137;15,5122;16,6433;15,8324;17,4432;1,72361;0,00397395;-1,4971;-3,18745;+
H2KZ52;11,8909;12,1854;12,0392;12,6765;14,4622;13,9086;14,1428;14,9997;3,53235;0;-2,18032;-7,48616;+
H2KZ53;14,5128;14,2899;14,1703;14,9793;14,1325;14,0686;14,3337;14,4807;0,537439;0,115636;0,234195;1,16002;
H2KZ57;15,4721;15,2256;15,2935;15,8583;13,7086;15,2037;15,8284;14,5844;0,63564;0,0860524;0,631068;1,33143;
H2KZ70;15,0241;13,7693;15,686;14,9072;14,4081;14,2625;13,7882;14,6216;0,631345;0,0871079;0,576542;1,32403;
H2KZ73;16,1151;15,5357;15,8746;15,7709;17,9527;17,5921;18,1337;20,5231;2,15837;0,00145303;-2,72631;-4,02185;+
H2KZ76;12,5367;12,1766;12,2921;12,7444;13,0209;14,4109;13,992;14,6255;2,23083;0,00116438;-1,57488;-4,17021;+
H2KZ89;12,3616;13,8163;14,163;13,3726;13,5881;14,2975;14,4078;14,931;0,934474;0,0358601;-0,877762;-1,83435;+
H2KZ95;14,1634;14,693;15,0353;14,8862;16,2656;16,9693;16,6305;15,8037;2,81285;0,00037619;-1,72283;-5,48329;+
H2KZ98;17,8694;17,3997;17,8807;17,5215;15,7183;15,1265;16,1068;15,4979;3,86912;0;2,05548;8,60856;+
H2KZA2;15,0466;15,6634;15,8932;15,5505;17,4454;17,2661;17,5337;17,8268;4,04892;0;-1,97959;-9,26525;+
H2KZA5;15,4145;15,0787;14,7454;15,0961;16,8367;16,8234;16,393;17,1164;3,82202;0;-1,70872;-8,44343;+
H2KZA6;14,7771;14,4178;14,9584;15,1907;15,4456;15,698;15,3689;15,5233;2,04106;0,00189441;-0,67293;-3,7877;+
H2KZB7;14,8833;14,4517;14,624;14,1134;16,1991;16,1704;16,2772;16,71;3,95096;0;-1,82109;-8,9022;+
H2KZC4;12,4579;11,6624;12,3033;12,4527;14,1188;14,374;14,1847;14,9423;3,75674;0;-2,18585;-8,21905;+
H2KZC6;12,388;11,9824;12,3119;12,7797;14,0279;14,1746;13,916;14,7617;3,51602;0;-1,85456;-7,43505;+
H2KZD2;15,9455;15,8947;16,2213;16,2782;18,1478;18,4257;18,2015;19,2446;3,95394;0;-2,41996;-8,91306;+
H2KZD5;15,6585;16,0001;15,9889;16,1866;16,1673;16,3572;16,5373;16,5589;1,69093;0,00434677;-0,44662;-3,1281;+
H2KZD9;12,4625;12,1927;12,2114;12,2272;13,8692;13,9632;14,1568;14,7073;4,13645;0;-1,90068;-9,60063;+
H2KZE4;16,5947;15,5354;14,2582;17,0394;14,3341;13,574;14,4919;14,5272;1,31391;0,0124409;1,62514;2,46877;+
H2KZF5;13,9323;14,146;15,033;14,5457;17,1581;17,2297;16,9236;16,1254;3,36545;0;-2,44496;-6,97711;+
H2KZF8;12,7003;14,1598;13,3221;12,7104;14,4712;14,3856;14,4744;14,9832;1,97511;0,00230275;-1,35549;-3,65918;+
H2KZG3;14,7985;14,0566;14,4378;15,7496;14,1888;14,3756;14,4651;14,9824;0,26448;0,310299;0,257641;0,643163;
H2KZG6;15,6495;15,4865;15,2838;15,3758;13,3688;14,2624;13,7264;14,2101;3,33401;0;1,55698;6,88446;+
H2KZJ1;13,3825;13,7163;13,8692;14,6191;14,3055;14,3836;14,4896;14,7937;1,10123;0,0225782;-0,596312;-2,11151;+
H2KZJ5;16,4116;16,2559;16,3868;16,3968;17,7836;17,8238;17,8628;17,9557;6,95517;0;-1,49368;-29,0222;+
H2KZJ7;15,4063;15,467;15,409;15,3435;12,5395;14,4515;14,4842;14,6513;1,47767;0,00802522;1,37481;2,75001;+
H2KZK7;15,6935;15,4099;15,3171;15,8088;16,3812;16,7242;15,8935;17,8515;1,43408;0,00894913;-1,1553;-2,67448;+
H2KZK9;14,9064;15,0912;14,6337;15,4755;16,9166;16,8272;17,8259;16,8751;3,37823;0;-2,08449;-7,01506;+
H2KZL1;15,9979;15,9885;16,1765;15,7176;15,6838;14,8802;15,3931;16,132;0,796928;0,0532239;0,447841;1,60501;
H2KZL6;12,4037;12,1334;11,5938;12,6962;14,3738;13,8815;14,2738;15,0479;3,19506;6,66E-05;-2,18746;-6,4867;+
H2KZL9;15,248;15,9956;15,3938;14,2229;14,4726;14,251;14,321;14,6379;1,09518;0,0230143;0,79445;2,10142;+
H2KZN5;16,4784;17,0595;17,1191;16,7719;15,7113;16,193;14,6531;16,2491;1,56519;0,00633247;1,15559;2,90336;+
H2KZN9;15,3067;15,6476;15,7605;15,7092;16,8272;16,9817;16,8178;17,4415;3,6608;0;-1,41106;-7,89859;+
H2KZP5;16,2141;15,3589;15,3793;15,9594;17,4272;16,5217;16,9931;18,432;1,89888;0,00268241;-1,61556;-3,51323;+
H2KZP7;14,3124;13,4805;14,2957;13,8633;15,976;16,8229;16,8855;16,9103;3,94135;0;-2,66067;-8,86728;+
H2KZP8;13,0514;12,7281;14,6061;14,2682;14,3904;14,5272;13,9145;15,0361;0,77636;0,0563792;-0,803636;-1,57049;
H2KZQ0;13,3951;13,3003;12,812;14,2703;14,7287;14,3473;13,6526;16,3826;1,05731;0,0253909;-1,33336;-2,03841;+
H2KZQ8;13,2387;13,8842;13,2022;13,7065;15,3629;15,9625;16,1631;15,5345;3,96098;0;-2,24791;-8,93875;+
H2KZR3;15,0463;14,2037;14,4175;13,4172;18,4024;17,5224;16,9523;19,0288;3,19968;6,69E-05;-3,70528;-6,49961;+
H2KZS2;18,7631;18,4787;18,5757;18,8518;21,3686;21,3644;21,142;21,7217;5,80448;0;-2,73183;-18,579;+
H2KZU0;12,1031;11,8527;11,8545;12,5307;14,3589;14,1211;14,2969;14,806;4,40208;0;-2,31047;-10,6863;+
H2KZU7;19,1433;19,3413;19,6189;19,6889;20,9332;20,9682;21,6273;21,227;3,84833;0;-1,74082;-8,53533;+
H2KZV4;12,511;12,5948;12,3072;12,4475;14,375;14,2587;13,9326;14,2434;5,33363;0;-1,7373;-15,4564;+
H2KZV5;18,0536;18,2942;18,063;18,6066;19,1611;19,0979;18,3895;18,7486;1,44823;0,00862594;-0,594928;-2,69895;+
H2KZV8;17,2185;15,7879;15,9509;16,0152;17,6529;17,5344;17,424;18,8625;1,87353;0,00271953;-1,6253;-3,46529;+
H2KZW7;11,5678;13,0001;12,482;12,7401;14,4775;14,1422;14,2782;14,7591;2,9374;0,000151436;-1,96673;-5,79652;+
H2KZX2;12,7781;11,1738;15,9897;14,6262;15,3794;14,5005;12,0746;14,7278;0,15898;0,486739;-0,528643;-0,413724;
H2KZX4;15,6733;15,3942;15,2297;15,6178;17,687;17,6901;16,3963;18,149;2,66137;0,000424144;-2,00187;-5,11877;+
H2KZY5;13,8332;13,0091;14,8967;16,6426;13,8141;14,4141;14,4515;14,6242;0,125574;0,566909;0,269419;0,33517;
H2KZY6;13,8442;14,005;13,8309;14,4068;14,3166;13,6512;14,1162;15,0215;0,347157;0,224879;-0,2546;-0,808587;
H2KZZ1;16,1633;15,988;16,0721;16,7139;18,4164;16,8954;17,7789;19,5565;1,78746;0,00338042;-1,92745;-3,30464;+
H2L003;15,2834;14,8306;15,37;15,0559;16,7781;16,6866;16,4985;17,098;4,07277;0;-1,63031;-9,35557;+
H2L023;17,3539;16,5561;15,9679;17,0899;14,4001;14,2394;14,3944;14,7296;3,4099;0;2,30108;7,10982;+
H2L031;15,1457;12,9866;13,1311;13,1739;14,4869;14,0804;13,9837;14,3875;0,551713;0,110591;-0,625325;-1,18525;
H2L034;14,3387;13,7141;13,7475;15,0769;15,2618;16,6429;15,5372;20,0672;1,22096;0,0162362;-2,65801;-2,31177;+
H2L044;17,5238;17,4589;17,1988;17,5094;18,2473;18,6645;18,6684;18,8992;3,59864;0;-1,19715;-7,69668;+
H2L048;16,9891;17,0718;16,8774;17,254;16,7515;16,9452;16,3767;17,7302;0,12265;0,575206;0,0971732;0,32813;
H2L067;12,3451;11,8877;12,2452;12,5722;14,2373;14,1565;14,1584;14,9379;3,95106;0;-2,10995;-8,90256;+
H2L0A4;15,1967;15,5326;15,0956;15,6357;16,555;16,8658;16,7952;17,5077;3,19534;6,67E-05;-1,56574;-6,48748;+
H2L0A8;17,7581;15,9566;14,6036;17,6584;16,3117;17,5206;21,1495;18,0976;0,670787;0,0772428;-1,77565;-1,39172;
H2L0B6;14,3583;13,774;13,3555;14,051;15,7905;16,0505;15,6837;17,3597;2,73202;0,000356659;-2,33639;-5,2866;+
H2L0C0;15,2552;14,9241;14,7186;15,4804;16,0828;16,3968;16,37;16,5164;3,18697;6,63E-05;-1,24692;-6,46411;+
H2L0C8;14,0274;14,16;13,6608;14,4504;13,735;13,8267;13,9569;14,6015;0,0619288;0,760037;0,0445924;0,174643;
H2L0C9;16,9363;16,7361;16,9344;17,6282;17,5874;17,1232;17,2465;17,4557;0,634621;0,0862942;-0,294457;-1,32967;
H2L0D2;12,4944;12,0018;12,0696;11,9972;14,1846;14,0526;14,1344;15,0235;3,87457;0;-2,20805;-8,62785;+
H2L0D5;14,033;14,1961;13,2985;13,5387;13,8721;16,1223;13,5285;16,6784;0,775645;0,0564787;-1,28376;-1,56929;
H2L0D7;12,5588;12,1562;12,3059;12,4766;14,3197;14,3686;14,1779;14,5105;5,64079;0;-1,96976;-17,43;+
H2L0E2;12,1274;11,5584;12,2736;12,7118;14,1839;13,957;14,1747;14,1132;3,67793;0;-1,93941;-7,95503;+
H2L0E5;14,9073;14,712;15,0072;14,9125;16,7544;16,3371;16,3452;17,3136;3,55564;0;-1,80284;-7,55956;+
H2L0F6;15,592;14,7412;15,1112;15,2857;14,4707;14,1863;12,0727;15,1555;0,889992;0,0407045;1,21122;1,76038;+
H2L0G8;15,4197;13,9774;14,2324;14,9631;16,9396;16,7763;16,3993;17,3068;2,93602;0,000150943;-2,20735;-5,79297;+
H2L0H3;15,2676;13,7663;14,7502;15,1996;16,3101;15,8784;15,5806;16,4554;1,77196;0,00359039;-1,31016;-3,27604;+
H2L0H5;15,3747;14,0107;14,1337;15,0639;17,4789;16,8578;16,5169;18,7309;2,44926;0,000683678;-2,7504;-4,63631;+
H2L0I2;15,5469;16,3197;16,1243;17,3729;13,916;14,3781;14,3424;14,4935;2,66482;0,000372752;2,05842;5,12688;+
H2L0I3;19,2474;18,797;18,8778;19,3701;20,1293;20,236;20,3312;21,0878;2,74158;0,000357871;-1,373;-5,30961;+
H2L0I7;14,0835;13,3932;13,0502;13,305;13,9472;13,4695;13,5587;15,0392;0,612236;0,0921408;-0,545691;-1,291;
H2L0J0;12,4673;12,1044;12,2754;12,7374;14,5091;14,2215;14,4161;14,8351;4,52952;0;-2,0993;-11,2459;+
