Leading.proteins.Positions.within.proteins;log2 eat2_d10_01;log2 eat2_d10_02;log2 eat2_d10_03;log2 eat2_d10_04;log2 eat2_d1_01;log2 eat2_d1_02;log2 eat2_d1_03;log2 eat2_d1_04; -Log Student's T-test p-value eat2_d10_eat2_d1;Student's T-test q-value eat2_d10_eat2_d1; Student's T-test Difference eat2_d10_eat2_d1;Student's T-test Test statistic eat2_d10_eat2_d1;Sign p-val: 0.05 
G5ED33(542);22,0793;23,3671;23,3845;23,2758;23,5334;23,8659;22,8091;21,4201;0,0678632;0,853178;0,119562;0,190318;
G5ED33(562);21,8502;20,328;21,6943;20,7008;24,5767;24,9587;24,2381;24,8764;3,88172;0,00221687;-3,51916;-8,6532;+
G5ED33(621);24,5216;22,7272;24,7716;25,6816;20,7121;21,6121;21,5258;20,8901;2,57676;0,00811003;3,24049;4,92255;+
G5ED33(524);23,9434;24,9522;23,8299;25,4669;22,5255;23,5415;23,281;23,7146;1,44671;0,0535245;1,28246;2,69632;
G5ED33(755);25,2289;25,084;24,6537;24,4369;21,7742;22,8023;23,3951;21,6803;2,76864;0,00639845;2,43791;5,37508;+
G5ED33(537);20,9934;20,1383;20,565;21,4765;20,3533;19,2331;21,6183;21,2415;0,111648;0,781575;0,181759;0,301366;
G5ED33(583);26,3567;25,103;25,1873;26,2083;20,5678;20,222;21,3859;21,0173;4,6476;0,00303704;4,91555;11,7882;+
A0A061ACQ8(315);25,6572;25,2059;25,6378;24,9202;23,8289;24,4935;24,4446;23,923;2,50625;0,00931889;1,18276;4,76288;+
A0A061ACQ8(294);20,9167;20,157;21,6092;20,6234;20,6905;20,6101;21,286;20,8378;0,0298426;0,932904;-0,0294986;-0,0868815;
A0A061ACQ8(133);24,8245;24,1733;25,3429;22,6609;24,3735;26,4799;26,1909;25,0773;0,84386;0,176301;-1,28;-1,6835;
A0A061ACQ8(135);24,8245;24,1733;25,3429;22,9507;25,8144;26,1828;26,1909;25,0773;1,37972;0,06091;-1,49352;-2,58099;
A0A061ACR1(589);20,6108;20,9844;20,9991;20,4449;24,4604;23,8085;23,8101;22,391;3,10515;0,00437209;-2,8577;-6,23909;+
A0A061AL01(989);21,2686;20,8189;21,433;19,8521;20,9122;20,5604;20,0432;21,2337;0,134484;0,748831;0,155775;0,356461;
A0A061AL01(593);24,2228;22,9565;24,0277;26,6275;20,052;21,7668;21,7559;22,3719;1,74382;0,0305917;2,97196;3,22437;+
B3GWD8(179);24,5006;24,5776;25,4118;24,2319;20,4407;21,4264;21,4755;19,5985;3,58706;0,00304453;3,94521;7,65955;+
B3GWD8(187);21,5394;18,8297;21,306;21,0766;20,2055;21,2947;21,4317;18,8279;0,105045;0,789356;0,247985;0,285099;
B3GWD8(196);24,0581;22,4732;23,4203;22,4659;23,8394;23,8007;23,6418;23,2697;0,618017;0,277349;-0,533521;-1,30101;
A0A061AD09(37);20,9959;21,2959;20,9351;20,4192;20,7379;21,5393;21,4388;20,9034;0,398701;0,434168;-0,243319;-0,907137;
Q3S1I9(88);21,7362;19,9293;20,4636;20,918;21,0449;20,8853;21,1509;20,5674;0,141425;0,735289;-0,150313;-0,372869;
Q3S1I9(240);19,4551;21,3654;21,0041;20,6358;20,9667;20,5865;20,3952;19,8745;0,126439;0,75811;0,159379;0,33725;
G5EDF9(7);24,4874;23,6056;24,1998;22,1189;21,4791;23,2069;23,4336;22,9113;0,577736;0,301908;0,845213;1,23095;
G5EDF9(13);23,8183;24,5224;25,1071;24,2737;20,0777;22,5115;23,8453;23,1834;1,23937;0,0821221;2,02588;2,34275;
G5EDF9(521);24,7171;24,3861;24,6156;30,1377;22,0813;23,3163;22,4226;22,3875;1,277;0,0770792;3,41225;2,40623;
A0A0K3AQS9(98);19,9041;21,0368;21,7105;20,1931;20,9403;21,7553;21,5142;19,7951;0,189989;0,66638;-0,290113;-0,483811;
A0A0K3AQS9(58);21,2787;19,3966;21,8517;20,4801;21,7373;23,0522;23,4179;21,6485;1,30458;0,0724792;-1,71223;-2,45293;
A0A0K3AQS9(173);24,4696;24,5794;24,3204;24,1408;23,6735;24,7184;25,6456;24,6859;0,308656;0,521217;-0,303295;-0,732816;
A0A0K3AQS9(21);23,444;22,7677;22,8373;25,1639;20,1117;21,2592;21,6426;21,1536;2,0889;0,0176492;2,51146;3,88231;+
A0A0K3AQS9(160);22,7873;23,9749;22,365;25,2145;23,0888;23,3046;23,0679;23,8624;0,145059;0,72867;0,254504;0,381403;
A0A0K3AQS9(122);25,921;25,2815;25,9784;23,305;22,9346;24,8838;25,3789;23,9325;0,456766;0,383375;0,839024;1,01488;
A0A0K3AQS9(114);25,0553;22,8239;24,059;26,5787;25,79;22,4392;23,0577;23,7932;0,341484;0,490383;0,859164;0,797547;
A0A0K3AQT4(28);21,0878;20,6431;20,3204;21,1876;20,2928;19,9698;20,1963;21,073;0,653728;0,257416;0,426755;1,36252;
A0A0K3AQT4(76);21,9138;20,6437;20,2026;20,6163;21,0963;20,912;20,8785;20,2299;0,0549601;0,878205;0,0649228;0,156026;
A0A0K3AQT4(15);23,873;24,693;25,5681;25,6736;24,1107;26,6339;26,9381;26,1947;0,635115;0,26765;-1,01746;-1,33052;
A0A0K3AUF2(802);21,7543;20,569;21,1147;23,53;24,1314;24,3147;22,6413;26,1291;1,42854;0,0558793;-2,56212;-2,66492;
A0A0K3ARB5(19);21,609;20,8408;21,8861;20,5913;20,0765;21,5337;21,419;20,832;0,237799;0,601029;0,266495;0,587385;
A0A0K3ARB5(20);21,2273;20,5009;21,4646;21,4434;20,7941;19,6603;20,6867;20,8551;0,930514;0,147073;0,65997;1,82777;
A0A0K3ARB5(6);21,937;21,1124;20,9654;20,7929;19,3907;20,4478;21,35;20,0251;0,950272;0,141154;0,898517;1,86059;
A0A0K3AS90(1163);20,9082;21,122;21,1568;20,9118;20,8704;20,3729;21,6243;20,9135;0,110531;0,782152;0,079412;0,298626;
A0A0K3AWX1(391);19,1487;19,1621;19,4934;21,5572;20,9564;21,8743;21,1983;20,9949;1,21333;0,0860558;-1,41563;-2,29895;
A0A0K3AWX1(378);21,5672;21,1885;21,1196;19,909;20,1172;19,378;20,8477;20,3891;0,801478;0,192427;0,763065;1,61263;
A0A0K3AVS5(10);21,7;21,6957;20,974;24,552;19,6512;20,623;20,637;21,3632;0,984331;0,131458;1,66179;1,91716;
A0A0K3AW96(1148);19,2831;21,4545;21,0872;20,1488;20,224;21,7503;20,1577;18,8285;0,122717;0,761548;0,253241;0,328291;
A0A0K3AW96(1306);21,8725;22,6179;22,3776;25,1033;20,8483;21,2299;21,6972;20,5487;1,33756;0,0672593;1,91182;2,50898;
A0A0K3AW96(2799);25,1462;24,6493;24,692;27,2157;25,6721;25,3345;25,2425;24,467;0,142249;0,733706;0,24677;0,374809;
A0A0K3AW96(2725);20,7563;20,4282;19,8578;20,941;23,6612;24,9205;23,6158;23,5435;3,82947;0,00205587;-3,43945;-8,46934;+
A0A0K3AWB0(580);25,5725;24,3052;25,0771;22,2245;21,4794;24,8791;22,9747;22,8663;0,574652;0,304169;1,24496;1,22556;
A0A0K3AWB0(588);23,8979;21,6642;22,6713;24,1166;20,3309;21,4537;20,4319;21,0258;1,95461;0,0215308;2,2769;3,61965;+
A0A0K3AWM6(430);24,0193;22,7022;23,4581;24,3906;20,12;21,7507;20,0534;20,4033;2,88331;0,00553586;3,0607;5,65893;+
A0A0K3AXE0(11);21,8016;21,4159;20,7756;20,7887;22,4303;22,7649;22,611;22,0671;2,31578;0,0118663;-1,27288;-4,34801;+
A0A0K3AXT9(687);25,1956;24,653;25,5209;27,6707;19,9877;21,6152;21,8766;20,4859;2,99965;0,00502517;4,76872;5,95789;+
A0A0K3AXT9(697);25,0797;24,7756;24,7697;24,4968;20,2089;21,3739;21,1602;21,372;4,77705;0,00234783;3,75169;12,4107;+
A0A0K3AXT9(677);26,0959;24,4763;24,2506;21,3527;20,4863;20,7412;20,8545;19,7058;1,90569;0,0237384;3,59694;3,52617;+
A0A0K3AXT9(683);26,3155;25,2737;26,0163;27,2178;22,5374;23,6676;22,9655;24,5416;2,46458;0,00975904;2,77781;4,67012;+
A0A0K3AY44(449);24,2352;23,7219;23,3627;24,0361;20,445;21,4865;21,4319;20,6497;3,88012;0,00220359;2,8357;8,64755;+
A0A0K3AY44(442);21,8303;20,0851;21,8749;20,5794;20,8052;21,4248;20,9981;20,3659;0,147425;0,724076;0,193917;0,386936;
A0A0K3AY85(173);25,6122;25,825;26,0679;26,1032;24,7656;24,4963;24,7206;24,5222;4,12467;0,00188618;1,27588;9,55489;+
A0A0K3AY85(152);23,7861;22,021;23,9979;24,2543;21,0927;21,2122;21,3657;20,2574;2,38105;0,0110899;2,53282;4,48758;+
A0A0K3AYE8(172);26,121;25,6112;25,8081;21,1966;21,5262;22,4827;22,4416;24,4971;0,716647;0,227614;1,94738;1,46976;
A0A0M7RFG7(49);21,7591;21,1896;21,4763;20,8821;20,6771;20,6611;20,3198;20,9856;1,54376;0,0447142;0,665841;2,86558;+
A0A0S4XRR1(215);24,166;23,9745;23,9467;20,7393;21,0429;20,6115;19,8162;21,3312;1,52014;0,0469904;2,50617;2,82412;+
A0A0T7CIX3(487);20,4987;20,0837;21,739;21,0109;19,7109;21,4567;21,3905;20,6123;0,0255375;0,942294;0,0404892;0,0746848;
A0A0T7CIX3(136);24,1973;23,9414;23,847;25,0905;20,1268;21,1031;21,6238;20,4548;3,64689;0,00301754;3,44196;7,85304;+
A0A0T7CIX3(543);20,1071;21,4045;20,7955;21,4149;21,5981;23,4093;23,2447;21,5807;1,38254;0,0607285;-1,52772;-2,58583;
