ProteinAccessions;log2 N2_d5_01;log2 N2_d5_02;log2 N2_d5_03;log2 N2_d5_04;log2 N2_d1_01;log2 N2_d1_02;log2 N2_d1_03;log2 N2_d1_04; -Log Student's T-test p-value N2_d5_N2_d1;Student's T-test q-value N2_d5_N2_d1; Student's T-test Difference N2_d5_N2_d1;Student's T-test Test statistic N2_d5_N2_d1;Sign p-val: 0.05 
A0A061ACH4;10,7246;12,8939;13,1994;12,3652;13,4942;13,8845;13,8712;13,6388;1,36151;0,0268922;-1,42638;-2,54983;+
A0A061ACL3;16,0288;16,0264;15,5569;15,6059;16,0888;15,7628;15,7788;16,1181;0,354654;0,31977;-0,132623;-0,823113;
A0A061ACM2;14,1342;12,9341;13,6492;13,7203;13,6373;12,5531;12,7802;13,2235;0,805441;0,0982778;0,560935;1,61927;
A0A061ACR1;17,5171;16,5847;16,6106;16,7523;16,5923;16,5336;16,4166;16,889;0,4857;0,222665;0,258309;1,06747;
A0A061ACU2;13,722;14,2385;14,3964;14,2946;13,8155;14,1636;14,1229;14,2687;0,149305;0,594889;0,0701573;0,391321;
A0A061AD18;17,6586;18,4575;18,3246;17,916;17,3976;17,1534;17,8241;17,5571;1,40021;0,0249619;0,606161;2,61614;+
A0A061AD21;17,6514;17,3559;17,1822;17,7655;16,8657;16,7427;17,0923;16,9885;1,98899;0,00762222;0,566445;3,68604;+
A0A061AD39;13,4012;12,9817;14,2163;13,4658;13,6681;13,8291;13,4314;13,5216;0,133896;0,624983;-0,0962925;-0,355063;
A0A061AD47;16,9615;16,9142;16,9885;17,2432;15,9665;15,8482;16,026;16,1803;4,2647;0,000506329;1,02158;10,1117;+
A0A061ADY8;12,5762;12,6283;12,41;12,2389;12,2756;12,3501;10,9582;12,1981;0,74262;0,115269;0,517842;1,51368;
A0A061AE05;14,3474;14,1023;14,6768;15,287;15,3031;13,9893;14,1854;15,2644;0,0678139;0,784399;-0,0821834;-0,190188;
A0A061AIW1;13,4878;14,1536;13,55;13,8556;14,182;15,2123;15,0108;14,2918;1,64802;0,0145387;-0,91251;-3,05077;+
A0A061AJK8;13,343;14,7779;12,7744;13,8059;13,3919;13,4873;13,3822;13,5391;0,210648;0,486682;0,225137;0,529184;
A0A061AKY5;15,0469;15,1157;15,7014;16,2875;14,7652;15,4042;15,9958;16,5278;0,104364;0,688707;-0,13541;-0,283412;
A0A061AL58;14,0077;13,7704;14,3544;14,8973;13,7457;13,1536;12,5701;11,2878;1,4526;0,0223522;1,56814;2,70651;+
A0A078BPG0;13,6093;13,9933;14,1876;13,6874;13,1297;13,6954;13,5721;13,5913;1,04835;0,0553661;0,372277;2,02352;
A0A078BPH9;13,9452;13,0582;13,5171;14,1013;14,5513;14,0597;14,1416;14,0431;1,07442;0,0518639;-0,543487;-2,06686;
A0A078BPJ4;15,0756;14,6052;14,7545;15,1934;14,8645;14,8632;14,8308;14,718;0,255097;0,424775;0,0880499;0,623697;
A0A078BQL1;14,5143;14,874;15,3494;14,2494;14,6259;14,8664;15,37;13,9504;0,039908;0,868306;0,0435958;0,114991;
A0A078BQP7;14,7875;14,7886;14,8223;15,2597;13,2965;12,9016;12,9735;13,2549;4,66933;0;1,8079;11,8906;+
A0A0K3AQM0;14,2439;14,2245;14,3268;14,9832;14,5234;14,4169;14,8993;14,6719;0,382981;0,294669;-0,183293;-0,877398;
A0A0K3AQN0;12,7547;13,4247;12,9829;13,2754;13,2962;13,2075;13,7434;13,4407;0,819454;0,0950025;-0,312497;-1,64272;
A0A0K3AQN5;14,4009;14,1815;13,6723;14,6201;14,7292;14,8409;14,8326;14,8153;1,54265;0,0182638;-0,58579;-2,86364;+
A0A0K3AQT9;15,4549;16,4514;16,337;16,0881;14,7406;16,5295;17,4577;17,254;0,257259;0,422648;-0,412605;-0,628195;
A0A0K3AQU9;14,1918;13,9737;14,107;14,251;13,7721;13,5973;14,1944;13,9062;0,965729;0,0680066;0,263363;1,88627;
A0A0K3AQV8;15,5204;14,5985;13,4376;14,1562;14,2807;13,6385;13,8102;14,131;0,452781;0,241871;0,463085;1,00758;
A0A0K3AQW8;12,576;13,1572;13,132;12,9809;13,5924;15,3326;14,5495;13,7417;1,71211;0,0125475;-1,34256;-3,16653;+
A0A0K3AQY3;11,472;11,1757;11,0624;11,6847;10,0184;9,87131;9,89537;9,90331;4,19383;0,000573134;1,42663;9,82635;+
