Proteins,eat2_d5_01,eat2_d5_02,eat2_d5_03,eat2_d5_04,eat2_d1_01,eat2_d1_02,eat2_d1_03,eat2_d1_04,eat2_d10_01,eat2_d10_02,eat2_d10_03,eat2_d10_04,eat2_d15_01,eat2_d15_02,eat2_d15_03,eat2_d15_04
A0A0K3AQT4;A0A0K3AUC2;A0A0K3AWP0;K8FDX2;Q22866,19.7726,21.2043,21.3274,20.6785,21.0963,20.912,20.8785,20.2299,21.9138,20.6437,20.2026,20.6163,22.6481,25.086,25.3506,24.9068
A0A0K3AQT4;A0A0K3AUC2;A0A0K3AWP0;K8FDX2;Q22866,23.5387,22.0954,23.6309,24.2179,24.1107,26.6339,26.9381,26.1947,23.873,24.693,25.5681,25.6736,25.216,23.437,23.4736,22.1196
A0A0K3AUF2,24.1209,24.9183,24.6125,24.465,24.1314,24.3147,22.6413,26.1291,21.7543,20.569,21.1147,23.53,24.6902,23.4674,22.0641,23.1463
A0A0K3ARB5;Q27249,20.7298,20.9154,21.1321,20.4242,20.0765,21.5337,21.419,20.832,21.609,20.8408,21.8861,20.5913,23.1416,22.6612,23.7309,23.5633
A0A0K3ARB5;Q27249,19.3772,20.8089,21.3365,21.7094,20.7941,19.6603,20.6867,20.8551,21.2273,20.5009,21.4646,21.4434,23.1416,24.762,25.0833,24.8576
A0A0K3ARB5;Q27249,21.1086,21.5403,21.744,20.9044,19.3907,20.4478,21.35,20.0251,21.937,21.1124,20.9654,20.7929,23.2863,21.656,20.6174,22.6982
A0A0K3AS90,21.26,18.692,21.6605,21.9575,20.8704,20.3729,21.6243,20.9135,20.9082,21.122,21.1568,20.9118,23.6604,22.5202,22.852,22.2183
A0A0K3AWX1,20.4063,21.2259,20.856,21.3477,20.9564,21.8743,21.1983,20.9949,19.1487,19.1621,19.4934,21.5572,19.8885,21.5349,21.2998,21.2814
A0A0K3AWX1,20.2067,21.1319,21.5675,21.7429,20.1172,19.378,20.8477,20.3891,21.5672,21.1885,21.1196,19.909,21.5456,21.1286,21.0404,21.5365
A0A0K3AVS5,22.8618,22.8099,24.1874,22.8885,19.6512,20.623,20.637,21.3632,21.7,21.6957,20.974,24.552,21.6481,21.4494,20.6691,21.1544
A0A0K3AW96,19.4154,20.9411,20.6079,21.8058,20.224,21.7503,20.1577,18.8285,19.2831,21.4545,21.0872,20.1488,22.5114,22.1148,20.7902,22.8784
A0A0K3AW96,21.1362,20.497,21.7356,21.356,20.8483,21.2299,21.6972,20.5487,21.8725,22.6179,22.3776,25.1033,20.7289,20.2022,21.8042,21.5686
A0A0K3AW96,24.0847,23.4552,23.6388,24.5912,25.6721,25.3345,25.2425,24.467,25.1462,24.6493,24.692,27.2157,26.7722,25.6859,27.8765,27.4224
A0A0K3AW96,22.4343,22.7659,22.0583,23.4681,23.6612,24.9205,23.6158,23.5435,20.7563,20.4282,19.8578,20.941,26.696,23.4355,22.1419,22.4113
A0A0K3AWB0,21.1207,20.9225,20.842,21.2514,21.4794,24.8791,22.9747,22.8663,25.5725,24.3052,25.0771,22.2245,25.8509,22.0571,22.9232,25.1645
A0A0K3AWB0,19.3826,20.8933,20.0842,21.9123,20.3309,21.4537,20.4319,21.0258,23.8979,21.6642,22.6713,24.1166,24.4604,24.1179,24.1296,24.6268
A0A0K3AWM6,26.0783,26.5827,24.6099,25.78,20.12,21.7507,20.0534,20.4033,24.0193,22.7022,23.4581,24.3906,21.2875,19.9649,20.0605,20.9046
A0A0K3AXE0,21.2874,20.3826,19.6053,20.6462,22.4303,22.7649,22.611,22.0671,21.8016,21.4159,20.7756,20.7887,20.4498,21.3899,20.9074,19.486
A0A0K3AXT9,22.5778,25.7959,23.12,22.9221,19.9877,21.6152,21.8766,20.4859,25.1956,24.653,25.5209,27.6707,25.7905,26.8828,27.7092,25.4412
A0A0K3AXT9,24.1256,23.1609,23.4014,22.7519,20.2089,21.3739,21.1602,21.372,25.0797,24.7756,24.7697,24.4968,21.9727,20.2349,20.6954,21.0619
A0A0K3AXT9,20.6564,21.6875,20.5786,19.8244,20.4863,20.7412,20.8545,19.7058,26.0959,24.4763,24.2506,21.3527,24.8458,27.2829,26.6816,26.9848
A0A0K3AXT9,23.5538,23.6715,25.0661,23.2446,22.5374,23.6676,22.9655,24.5416,26.3155,25.2737,26.0163,27.2178,24.4766,26.1682,26.4029,26.1487
A0A0K3AY44;O44557,21.2727,21.6916,21.7379,21.0921,20.445,21.4865,21.4319,20.6497,24.2352,23.7219,23.3627,24.0361,25.3899,26.5551,26.9841,26.9997
A0A0K3AY44;O44557,20.6647,20.7967,21.1714,21.5711,20.8052,21.4248,20.9981,20.3659,21.8303,20.0851,21.8749,20.5794,22.0035,20.5391,20.5605,20.4148
A0A0K3AY85;Q9BPN5,27.2443,25.478,23.7824,26.8731,24.7656,24.4963,24.7206,24.5222,25.6122,25.825,26.0679,26.1032,24.5809,26.7236,25.768,26.3321
A0A0K3AY85;Q9BPN5,21.5656,19.5303,21.5522,20.1419,21.0927,21.2122,21.3657,20.2574,23.7861,22.021,23.9979,24.2543,19.8134,20.591,20.7853,20.8305
A0A0K3AYE8,20.0202,21.0251,20.72,21.2733,21.5262,22.4827,22.4416,24.4971,26.121,25.6112,25.8081,21.1966,19.5271,20.8876,21.2137,21.3042
A0A0M7RFG7,19.2147,21.5103,21.354,21.0584,20.6771,20.6611,20.3198,20.9856,21.7591,21.1896,21.4763,20.8821,22.0768,20.8755,21.3311,21.0708
A0A0S4XRR1,20.4294,20.0904,21.6607,21.4177,21.0429,20.6115,19.8162,21.3312,24.166,23.9745,23.9467,20.7393,21.2132,21.1193,21.1607,21.0533
A0A0T7CIX3,26.7985,24.443,24.3687,26.0217,19.7109,21.4567,21.3905,20.6123,20.4987,20.0837,21.739,21.0109,21.9368,18.5195,18.4005,21.0016
A0A0T7CIX3,21.2652,21.0852,21.4821,20.4149,20.1268,21.1031,21.6238,20.4548,24.1973,23.9414,23.847,25.0905,19.9278,21.4489,20.543,21.0004
A0A0T7CIX3,20.508,21.5313,20.7521,21.8189,21.5981,23.4093,23.2447,21.5807,20.1071,21.4045,20.7955,21.4149,21.146,20.5567,20.5375,20.7377
A0A131MBQ6;Q94300,23.1669,25.2568,23.9282,24.4602,22.5722,24.5823,25.1195,24.4063,23.0821,23.0649,23.9164,24.2107,21.7223,18.9888,20.0508,21.2503
A0A131MCJ5,20.4518,21.3188,21.6377,20.9612,20.3938,20.5954,20.445,20.7507,19.6342,20.8798,20.8945,20.8499,20.2832,19.4886,19.8333,20.2595
A0A131MD51,22.2234,23.2742,23.5723,22.6911,21.9222,22.6273,23.9803,23.7033,22.2376,21.4953,21.898,21.6791,21.5559,21.5134,21.337,20.255
O16293,20.3817,20.6603,20.7754,21.0525,20.6063,19.3543,20.9579,20.2706,21.883,19.9637,21.2698,21.1131,21.9782,18.3985,20.9695,21.0961
O02147,19.8363,22.7227,20.836,20.0648,22.3016,24.7085,25.9691,23.2469,23.2088,22.1552,23.2034,24.8589,21.4841,21.3722,20.0657,21.2176
F3Y5Q3,21.1803,21.7271,19.6316,20.3644,20.7274,21.2712,21.8845,21.3061,20.5106,20.4482,21.1887,21.2719,23.8072,23.2767,21.9531,23.8411
Q9N350,21.0391,21.4325,21.7888,20.7147,19.6511,20.5802,21.1492,20.5286,24.572,23.526,25.1125,20.0426,21.9322,24.0387,25.3652,24.8307
Q9N350,22.4724,22.6956,23.5364,23.6952,20.1667,20.9368,21.2222,20.33,24.3225,24.0131,23.8334,22.6783,24.381,27.1767,26.3585,26.0858
A0A1N7SYR3,21.2378,19.8349,21.5523,21.7171,19.2409,21.6692,20.9466,20.7021,21.9554,20.7005,21.2447,21.1244,21.6527,18.7842,20.7236,20.6829
A1IMB7,25.965,22.8421,23.3381,23.8852,21.5437,22.0336,22.2475,23.2573,22.3304,21.6851,23.3765,20.1465,20.1651,21.4032,20.405,20.527
A3QMB7,21.206,21.5263,21.4968,21.7754,19.7862,20.3313,21.4998,21.0685,21.8719,19.609,20.6555,20.5194,20.7373,20.1265,19.4449,20.363
