Leading.proteins.Positions.within.proteins;log2 eat2_d15_01;log2 eat2_d15_02;log2 eat2_d15_03;log2 eat2_d15_04;log2 eat2_d10_01;log2 eat2_d10_02;log2 eat2_d10_03;log2 eat2_d10_04; -Log Student's T-test p-value eat2_d15_eat2_d10;Student's T-test q-value eat2_d15_eat2_d10; Student's T-test Difference eat2_d15_eat2_d10;Student's T-test Test statistic eat2_d15_eat2_d10;Sign p-val: 0.05 
G5ED33(542);21,5417;20,6052;21,8186;21,6586;22,0793;23,3671;23,3845;23,2758;2,08596;0,012704;-1,62064;-3,87646;+
G5ED33(562);22,0936;20,9693;21,8315;21,582;21,8502;20,328;21,6943;20,7008;0,488953;0,312739;0,475768;1,07335;
G5ED33(621);20,6689;19,8074;19,8263;21,4035;24,5216;22,7272;24,7716;25,6816;2,81889;0,00378878;-3,99895;-5,49818;+
G5ED33(524);21,3207;20,457;21,1569;20,8725;23,9434;24,9522;23,8299;25,4669;3,74582;0,00117949;-3,59631;-8,18201;+
G5ED33(755);24,5316;23,0237;23,3382;24,1397;25,2289;25,084;24,6537;24,4369;1,48907;0,0379042;-1,09258;-2,76986;+
G5ED33(537);25,2037;21,9564;23,4921;21,3081;20,9934;20,1383;20,565;21,4765;1,27446;0,056501;2,19678;2,40194;
G5ED33(583);20,5845;20,0789;20,1227;21,7398;26,3567;25,103;25,1873;26,2083;4,2358;0,000768;-5,08231;-9,99444;+
A0A061ACQ8(315);21,4137;20,3753;20,2783;21,1525;25,6572;25,2059;25,6378;24,9202;5,01526;0;-4,55031;-13,6372;+
A0A061ACQ8(294);20,2449;20,6627;20,3218;21,4516;20,9167;20,157;21,6092;20,6234;0,144737;0,708158;-0,156295;-0,380646;
A0A061ACQ8(133);26,0796;26,6214;27,3457;25,2603;24,8245;24,1733;25,3429;22,6609;1,53368;0,0336253;2,07637;2,84788;+
A0A061ACQ8(135);26,0796;24,4882;24,0322;24,5542;24,8245;24,1733;25,3429;22,9507;0,283857;0,503764;0,465717;0,682874;
A0A061ACR1(589);24,6031;23,893;27,408;25,7024;20,6108;20,9844;20,9991;20,4449;3,00363;0,00286957;4,64182;5,96832;+
A0A061AL01(989);21,6271;21,5454;19,618;21,1324;21,2686;20,8189;21,433;19,8521;0,0849685;0,820451;0,137615;0,234624;
A0A061AL01(593);20,3374;20,0229;21,7904;21,6173;24,2228;22,9565;24,0277;26,6275;2,11485;0,011963;-3,51662;-3,93412;+
B3GWD8(179);21,9518;20,5953;21,7451;21,6637;24,5006;24,5776;25,4118;24,2319;3,7054;0,0011358;-3,19147;-8,04622;+
B3GWD8(187);21,5007;20,8678;21,3048;20,5311;21,5394;18,8297;21,306;21,0766;0,219071;0,58567;0,363166;0,547406;
B3GWD8(196);20,1236;20,5493;21,1031;20,9334;24,0581;22,4732;23,4203;22,4659;2,79682;0,00401954;-2,42703;-5,44387;+
A0A061AD09(37);21,3746;20,6783;21,0299;20,5448;20,9959;21,2959;20,9351;20,4192;0,00594793;0,985347;-0,00463152;-0,017771;
Q3S1I9(88);22,0414;20,9049;19,5599;20,4587;21,7362;19,9293;20,4636;20,918;0,0107841;0,976971;-0,0205793;-0,0320465;
Q3S1I9(240);22,4755;21,0297;22,664;23,1742;19,4551;21,3654;21,0041;20,6358;1,49509;0,0371914;1,72075;2,78035;+
G5EDF9(7);21,7113;20,9051;21,5384;21,0025;24,4874;23,6056;24,1998;22,1189;2,19945;0,0112964;-2,31361;-4,10558;+
G5EDF9(13);20,9095;20,6514;21,4471;20,1895;23,8183;24,5224;25,1071;24,2737;4,1548;0,000676056;-3,63098;-9,67232;+
G5EDF9(521);20,6047;20,1422;20,203;20,9822;24,7171;24,3861;24,6156;30,1377;2,09621;0,012413;-5,48115;-3,89686;+
A0A0K3AQS9(98);21,6466;21,084;20,5156;19,8864;19,9041;21,0368;21,7105;20,1931;0,0450337;0,901547;0,0720353;0,129095;
A0A0K3AQS9(58);20,922;19,9403;21,0624;21,5466;21,2787;19,3966;21,8517;20,4801;0,065574;0,859876;0,116065;0,18429;
