Proteins,log2 N2_d10_01,log2 N2_d10_02,log2 N2_d10_03,log2 N2_d10_04,log2 N2_d1_01,log2 N2_d1_02,log2 N2_d1_03,log2 N2_d1_04
I2HAF4,28.8203,28.4431,25.8659,27.7574,28.3841,27.515,27.9189,26.9343
I2HAF4,25.5193,26.5543,26.7446,25.3305,26.6911,24.9227,25.115,25.9601
I2HAJ2,17.7525,18.4078,19.6949,18.0465,25.8542,26.7714,25.1232,25.499
I2HAJ2,18.0398,20.048,19.5191,18.9663,26.3505,27.6572,25.7535,26.4028
K7ZUH9,25.1776,25.3746,25.6027,25.3892,24.6812,24.6517,24.2452,23.1078
K7ZUH9,20.887,20.1387,19.5196,20.7541,21.7306,19.3885,20.8958,19.8276
Q6A582,16.2185,19.7096,19.812,18.268,21.8288,21.2063,21.079,21.4972
K8F801,19.1139,20.2074,20.8603,17.4452,20.1656,20.9438,20.4563,20.3777
K8FDX2,18.6376,19.3095,19.5379,18.2292,24.6141,25.8522,22.1535,24.2615
K8FDZ1,20.027,19.6703,17.9732,19.4139,21.3465,20.4515,20.4952,20.2174
K8FDZ1,19.8807,18.9862,17.7976,18.3273,21.6672,19.9899,20.1789,20.6102
L8E833,18.0598,19.1143,19.0463,18.5,20.8694,21.1984,21.0989,21.4095
L8E833,34.4591,31.811,31.7194,32.4938,24.1115,25.5092,25.554,25.7107
L8E833,23.4844,23.857,24.2304,23.6797,21.5755,21.0083,20.976,21.2848
L8E833,19.3449,18.2856,19.094,20.227,21.0688,20.3741,21.2831,20.6245
L8E833,24.3895,24.7059,25.1254,25.5894,23.1532,22.761,22.7636,23.2554
L8E833,18.0407,19.5598,19.2987,16.8847,24.1456,21.8109,21.4192,23.8825
L8E833,20.0193,18.9986,20.6419,17.6995,24.1456,23.3783,22.4725,23.7318
L8E833,21.1089,17.7811,19.9942,19.6727,20.8339,20.3773,20.9298,20.7807
L8EC34,17.4203,18.5292,18.3994,19.9014,21.3848,20.5789,21.1499,20.035
M1Z854,21.3026,21.7734,19.6956,20.2792,26.0592,25.8296,25.8839,24.1376
M1Z854,20.507,17.9028,18.0941,16.322,23.7852,26.4245,24.3841,24.4299
M1Z854,20.7028,20.8281,20.268,19.5622,23.2153,21.2249,20.8246,21.4291
N1NSD4,23.223,22.7032,24.4482,23.9426,21.1614,20.8478,20.9716,21.2031
O01477,23.4374,23.6132,23.0744,21.9769,23.2237,22.7519,22.2632,22.5168
O01485,17.0924,20.3874,19.4494,16.8017,24.0712,22.5754,23.7638,22.992
O01498,28.8327,29.6292,28.8785,29.3406,29.4839,27.9092,27.0735,26.3375
O01498,19.1367,20.1626,18.7903,19.7519,24.691,23.9117,23.6824,25.0324
O01498,19.4738,21.1047,20.675,20.8497,21.899,20.8423,20.74,20.5721
O01504,18.8157,20.6029,20.8623,19.6161,23.7157,22.8597,22.8486,23.0646
O01504,20.9363,20.5925,21.3862,20.0116,25.0283,21.9926,22.3747,21.5384
O01504,18.4267,19.8,17.9711,18.115,21.3528,21.0196,20.7469,21.0106
O01504,19.3317,20.3979,18.1846,17.7582,24.0331,22.9061,20.5917,21.5617
O01541,20.0984,21.6982,19.2755,21.4827,20.8028,21.0722,21.2955,20.9501
O01542,19.6585,17.9846,19.763,17.693,21.9566,21.0437,20.8955,20.6781
O01576,18.4378,19.276,18.7068,18.9512,24.4307,22.4486,22.2796,23.2074
O01576,18.9974,20.7015,19.8961,18.0934,21.5881,20.8804,20.7841,20.9844
O01577,24.0427,25.6224,24.4393,25.376,24.9985,23.3428,24.2372,23.9763
O01591,19.8078,19.4387,18.4365,20.0809,24.2033,22.5361,22.9334,24.1014
O01615,16.8142,19.8461,19.5486,18.1752,21.803,20.7057,19.9047,20.2738
O01615,18.7103,20.539,20.5252,19.8283,21.6901,20.5807,20.8579,20.1796
O01615,19.9773,20.7462,19.0667,20.1883,19.6058,21.2462,21.2526,20.7786
O01634,23.4635,23.1394,22.8387,23.0559,22.9543,23.35,22.878,23.613
O01634,27.3561,28.1397,27.8615,27.9433,26.3705,24.1115,26.5543,23.969
O01634,19.4729,20.298,19.265,18.1112,22.1919,21.4456,20.8246,23.0531
O01681,16.8352,20.9418,20.2942,20.2316,26.6133,25.3267,24.3521,25.4339
O01692,19.0458,19.849,19.8309,20.1929,24.5145,22.9211,23.6922,23.219
O01692,23.1871,24.0834,22.1521,21.8365,21.7217,20.52,21.0943,20.9925
O01692,22.5286,23.1061,22.7036,23.3081,25.4704,24.2753,23.5161,22.1988
O01692,19.0994,20.5256,18.6206,17.5691,21.8651,20.8067,20.498,21.1562
O01692,20.3282,20.5419,18.0258,20.1996,29.7815,27.1582,25.4228,24.7799
O01761,17.602,20.0258,18.3932,21.3496,24.9974,26.3831,25.899,26.7652
O01802,19.1152,16.0393,22.0957,18.2767,22.8436,21.9029,23.3265,23.4829
O01802,18.1548,19.3659,18.0274,19.1905,24.5381,22.2582,23.9642,21.6373
O01802,18.0808,19.0545,20.8534,18.4453,23.3607,21.425,21.9898,21.8966
O01802,21.2726,18.1634,21.4689,20.8032,21.1894,20.9088,21.2462,20.9859
O01802,19.641,18.894,19.8602,19.8269,24.6546,22.94,23.3918,25.3807
O01802,20.36,17.9223,18.8954,18.0498,21.9512,20.7604,21.0519,21.3885
O01802,17.8232,20.2146,20.0424,19.3438,25.5892,24.3584,23.1655,22
O01805,19.2845,19.3906,21.7372,19.6128,21.4711,20.2594,20.5709,20.9205
O01805,22.0181,21.6826,21.7909,21.5301,22.8863,23.6177,24.0944,21.9442
O01805,18.578,16.8765,18.7802,17.8972,21.7499,20.6181,21.0187,20.6232
O01806,24.7487,25.5504,24.3046,24.2282,21.5473,20.6606,20.781,20.7263
O01806,22.9613,23.0447,24.0357,24.0359,22.8232,23.1557,22.1184,25.3103
O01806,18.0255,21.0822,19.8214,21.1854,24.0466,23.2259,22.4206,22.7762
O01812,18.1353,19.4044,19.0935,18.4725,23.1701,20.1629,22.9893,21.5148
O01812,19.8053,18.4749,21.9036,17.2955,24.8494,20.1833,21.007,21.997
O01868,19.647,18.5474,18.3403,19.7441,21.7412,20.984,21.3107,20.3239
O01869,18.6046,18.9581,16.9002,19.8767,27.1994,25.1535,24.9074,25.6296
O01869,19.9329,20.5882,17.3937,17.7711,27.9237,25.6852,25.9199,25.2768
O01869,17.2775,21.1098,18.3301,18.1688,19.9336,20.8769,20.1151,20.2542
O01869,31.1672,31.5308,32.0505,31.7115,34.5373,33.55,32.8446,32.857
O01869,22.6124,22.0078,21.3256,22.4205,25.0244,23.3035,22.9681,23.0073
O01869,21.4821,21.2167,21.171,19.4177,26.7669,23.9415,25.1251,25.553
O01869,19.1231,21.1817,18.8186,20.7585,25.9279,24.257,23.4246,23.0521
O01869,17.4774,20.2644,19.3324,18.8123,21.4885,20.3824,21.353,21.1985
O01893,19.2141,20.9056,19.2571,17.4404,24.7269,21.8511,22.9548,22.8724
O01893,26.5508,27.2582,27.1613,26.1226,25.8997,25.8026,25.9778,25.1556
O01927,20.7623,19.186,18.7274,19.3126,26.661,23.0703,23.6943,25.3099
O01927,25.6089,27.2342,26.7824,27.4822,27.3728,24.9664,25.4427,24.3838
O01927,25.7645,25.8109,26.5578,25.8384,28.173,26.5944,26.4366,25.9009
O01963,23.064,23.1301,23.7896,23.3314,20.7997,20.709,20.8882,20.4622
O02051,22.8342,21.716,23.6407,23.4672,24.0498,25.7937,23.3558,25.5015
O02056,21.0092,18.4129,18.0128,19.378,23.8137,21.6865,21.0029,21.7013
O02056,20.0942,20.7454,19.4135,18.5132,23.8962,24.5333,22.4348,23.4451
O02056,19.6219,20.8789,18.9249,18.9286,21.7309,20.3418,21.0756,21.2539
O02056,18.6131,20.3822,20.9133,18.942,26.025,25.0454,22.8065,25.0564
O02082,21.0462,18.5319,19.9548,19.5409,28.8983,26.1294,25.4884,26.4105
O02092,18.2871,19.6225,21.1009,19.4041,23.5636,22.5588,22.5352,23.4687
O02115,20.4647,20.2485,19.4358,19.4011,21.9285,20.5057,21.2373,20.7941
O02115,17.812,20.9405,19.6837,18.9892,21.714,20.0054,20.858,20.9158
O02155,19.7839,18.3832,21.0539,16.6603,21.1134,21.2498,21.1876,21.3283
O02155,20.6816,18.7522,19.7606,20.4364,23.9426,25.6549,24.6732,26.0366
O02286,16.0215,18.6934,20.1066,20.0354,21.3781,21.0326,20.8318,21.2191
O02286,16.3796,19.6199,17.9192,20.7597,20.6745,20.7507,20.6934,20.9993
O02328,19.3705,19.1803,18.7146,20.488,24.1215,22.9999,22.9217,24.4425
O02345,18.4559,17.7908,21.1918,19.2631,20.0579,19.9506,21.0263,21.2751
O02345,24.4645,23.5893,24.548,24.6161,24.9156,23.434,22.7424,24.3095
O02365,20.8913,20.8822,17.8681,19.4763,21.6566,21.1985,20.2432,20.9601
O02365,19.485,17.5787,20.6044,21.5367,21.933,20.808,21.343,19.8194
O02365,18.4277,19.2374,21.1076,21.481,21.9416,21.1481,20.9172,20.7155
O02495,26.3613,27.0321,26.3035,25.9558,31.0405,29.8486,29.1193,29.9302
O02495,23.3668,22.9133,23.8319,24.2873,25.2447,23.6324,24.3361,24.2707
O02495,29.2604,29.6292,28.5876,27.626,28.5272,28.0998,29.1475,28.234
O02495,18.4729,19.8705,20.5322,19.4241,27.0486,26.2581,27.8659,26.7562
O02495,17.75,17.2617,20.5655,19.1059,27.2444,24.8153,24.7768,24.818
O02495,18.7535,17.9709,17.9544,18.8862,24.4753,21.3014,23.0313,22.3333
O02621,19.234,19.485,19.4214,18.2163,21.9202,20.7773,20.2238,21.0418
O02628,19.7986,19.9945,19.8514,18.6858,22.671,21.4051,21.5789,21.8884
O02639,19.927,19.9725,20.2598,19.8826,23.0259,21.6701,23.7276,23.2411
O02639,17.5463,19.3702,22.0847,18.6267,21.8556,20.7465,19.5404,20.4858
O02640,21.2451,19.363,21.3596,18.7391,21.9584,21.1712,21.229,21.0098
O02640,19.7259,19.7644,18.5488,18.7164,20.3597,20.8337,21.0895,20.3914
O02641,22.9654,24.0689,24.3138,24.1455,20.7247,19.918,21.3405,21.0168
O02641,23.3001,23.8061,23.6189,22.6515,20.6627,21.1591,21.2438,21.2511
O16000,23.431,23.8713,25.7026,23.5765,23.4386,25.0342,22.7569,23.2001
O16000,23.0236,24.4844,23.4425,24.1308,20.4015,20.8101,21.2616,21.3817
Q8MXK1,24.9943,26.39,25.7633,24.8179,26.3645,23.4275,21.7842,24.1432
O16297,21.1311,20.4564,20.7174,17.2951,23.292,21.9733,21.028,21.7146
O16303,22.6518,23.3392,23.6574,23.0168,22.8573,20.7001,19.0712,21.5483
O16303,19.0654,19.4102,18.335,19.556,23.8007,23.7151,25.3083,24.3055
O16303,26.9831,25.6446,27.468,25.6345,25.5961,23.2471,23.8306,25.1133
O16305,25.4772,24.7385,24.7817,24.7149,21.5246,20.4465,20.6853,21.1139
O16305,20.6,17.8216,20.0648,20.6474,26.585,23.7617,26.9756,25.0883
O16305,24.6613,25.1789,26.5259,24.6664,21.7596,20.7413,21.2302,21.2175
O16305,26.1725,27.7032,28.2003,27.3088,25.9057,24.8368,25.3766,25.3397
O16305,25.8353,26.981,26.4015,26.139,21.1358,20.4219,20.6677,21.4124
O16331,26.4531,25.1128,25.2129,24.1171,23.987,22.1473,22.5899,22.5054
O16331,19.1861,20.3075,19.9371,20.1917,21.4203,19.9191,20.2342,20.9022
O16368,18.8348,19.4393,20.5393,20.2503,21.3037,20.7875,20.9842,20.4941
O16368,17.9217,20.9733,21.1406,15.8832,21.8239,20.4574,21.333,21.3534
O16406,22.9814,23.7365,22.6194,21.8086,25.0831,27.6623,26.3693,25.5298
O16454,20.2265,20.1981,20.7586,20.3197,20.7892,20.7117,20.3612,21.0915
O16517,19.9452,18.7232,20.1065,19.4971,24.0005,23.8294,24.3304,23.1954
O16517,20.3752,18.1659,18.7832,16.0568,21.1763,21.0463,21.1487,21.3967
O16517,19.0269,19.2124,20.8853,18.861,18.9675,20.8522,20.722,20.9776
Q8MXJ7,20.3734,20.9995,18.2718,20.4173,26.2691,24.8837,24.0781,24.226
O16541,19.4542,19.3618,21.0717,20.5158,21.7313,20.8454,20.9402,21.1871
O16547,22.8995,26.4369,27.8189,26.3136,28.0877,25.5457,27.0617,27.8829
O16547,22.8995,23.0965,23.9806,23.4436,21.9748,21.2032,20.2143,21.0601
O16547,20.2092,20.1316,19.7446,20.5162,21.6654,19.1847,20.8742,20.681
O16680,21.14,19.2451,19.9692,16.5882,27.1104,26.1578,24.6262,25.0978
O16682,16.8024,20.0134,19.6335,17.1441,23.9551,23.6234,20.6295,21.4944
O16682,19.7252,18.2333,20.2925,20.0529,26.4945,27.3936,25.8522,25.7528
O16682,20.4253,19.0721,16.3372,18.7922,21.3978,21.1944,21.3637,20.991
O16682,21.3816,18.3043,20.4909,18.0596,24.5383,23.047,24.5984,25.3203
O16682,17.5438,19.4905,20.5185,19.0827,26.6264,23.7024,24.1593,23.257
O16682,19.1621,18.8823,20.9712,16.1402,21.7329,20.9867,21.0261,21.1717
O16682,24.6845,24.8919,24.3313,23.9461,23.136,22.2894,24.3813,23.598
O16682,19.4545,20.2373,18.5552,21.4073,26.513,24.1966,25.0526,25.3321
O16682,19.7986,20.2236,20.0491,18.6787,21.6205,21.0191,21.2727,19.9355
O16682,17.7727,19.2092,19.632,18.2026,21.7965,21.2229,21.3638,21.3015
O16682,23.9481,23.6384,22.6116,21.9883,21.7036,20.0394,20.4571,20.7603
O16684,17.2007,18.946,19.4429,19.8592,27.5897,25.0614,24.9704,25.2285
O16697,22.321,24.1487,22.5124,23.7392,23.0213,21.1023,21.5792,21.2086
O16697,25.5785,22.5931,22.5124,23.438,23.0213,23.315,21.4681,22.4297
O16785,17.5048,16.902,21.9488,18.2535,23.4503,20.589,21.9703,21.7681
O16922,19.389,20.055,18.9344,17.1759,23.8793,22.6655,23.0312,22.7559
O16922,19.3354,20.1385,21.2505,17.6377,23.9935,22.8076,22.4405,22.6725
O16997,20.5824,17.2258,19.0258,21.1559,21.141,19.8705,19.9786,19.8873
O16997,18.3656,16.4163,19.1337,19.5377,21.5233,21.168,21.2831,21.056
O17069,18.3624,17.6729,20.1439,18.5263,22.6875,21.4924,22.5958,21.4251
O17069,18.187,20.4907,20.9156,19.4066,22.3702,23.1234,22.7004,22.4446
O17071,18.7439,17.2582,19.0964,17.9686,21.0218,20.6249,21.1219,21.3921
O17071,20.2591,21.2754,18.1958,19.4533,20.6829,21.1809,20.8968,21.2056
O17167,25.4187,26.7625,25.2219,26.3687,24.678,22.3178,21.9758,22.338
O17168,18.8674,18.6775,18.1993,20.1142,19.6756,20.9505,21.3783,20.5359
O17199,23.4589,23.4636,24.5574,22.8433,20.6444,21.0232,19.9777,21.2128
O17218,22.564,21.4892,21.3509,21.542,26.2187,23.7765,23.3127,24.1173
O17218,23.3643,23.0871,21.9467,23.3483,26.9266,23.1198,24.5465,23.9512
O17218,17.1577,20.6598,20.1339,19.182,25.0181,23.9374,24.1116,24.8876
O17328,19.8196,19.2111,17.8079,19.1479,24.6719,22.3517,24.278,22.9503
O17328,24.8618,24.5645,25.3836,24.1112,26.3892,23.4975,24.5822,24.5381
O17328,18.1115,20.8733,20.1014,18.1585,23.4542,22.6004,22.3591,21.7892
O17328,23.9136,23.8849,24.4006,22.8292,23.8131,23.6998,24.0195,23.5905
O17328,20.6363,18.3202,20.7633,20.5642,21.8353,20.5863,20.9118,20.8907
O17328,19.2927,19.823,19.9038,19.8057,23.8953,24.5817,23.2011,26.1207
O17389,22.2169,23.1828,23.7387,22.4042,21.8387,19.6184,20.6132,21.2324
O17389,19.786,18.6968,19.5418,20.0811,21.6456,20.916,21.2502,20.528
O17389,21.4234,19.7785,20.4367,19.5502,21.8912,21.2521,20.1553,21.1671
O17389,18.1496,18.961,19.2521,18.0643,21.5388,20.4385,21.3844,21.1398
O17389,19.3998,18.429,18.0629,21.5621,21.5065,19.6875,21.3321,20.24
O17390,23.6434,24.4338,26.4734,25.5652,21.8247,20.4925,21.5039,20.9495
O17397,21.8769,22.2107,23.8422,21.5791,24.52,24.5224,24.7308,25.2193
O17397,20.3648,19.2882,20.1929,17.2995,24.0776,23.2781,22.1798,24.7181
O17397,20.0757,20.0182,18.9829,17.6614,23.7576,21.549,24.5135,23.0232
O17406,17.71,19.178,21.1419,17.8456,21.6818,21.0264,20.9052,21.3717
O17406,20.7703,20.2638,20.2475,19.6176,20.6979,21.0155,19.6385,20.8587
O17406,19.8279,19.1191,20.5468,20.0571,23.3814,22.3028,21.7397,22.5361
O17406,16.2478,18.9069,18.8322,18.0716,21.0505,20.732,21.3604,21.0481
O17406,23.8421,24.2057,24.1812,23.8354,21.3232,19.8116,21.2772,20.5155
O17406,19.3362,20.2575,18.522,20.2986,21.0036,19.778,21.0574,20.6304
O17406,20.1093,16.4787,20.2208,19.7277,20.4799,21.1577,21.2313,20.9715
O17406,19.2842,17.5695,21.5371,18.6174,22.8776,20.6525,22.9887,23.1282
O17524,20.7159,19.53,19.044,18.8715,21.9254,22.9588,24.3135,23.0985
O17599,17.592,20.9511,19.9996,20.2049,23.9747,23.2531,23.7671,23.8557
O17607,23.7789,24.4288,24.8639,23.4134,24.1473,25.0641,23.1361,24.4034
O17680,18.3854,21.6815,18.7007,19.7872,23.682,20.1899,21.6183,21.6691
O17682,17.839,19.1773,19.3055,17.5867,24.2324,24.3709,22.7704,24.5109
O17687,17.9477,20.3442,18.7153,18.9153,21.8134,23.6969,23.5685,22.4525
O17687,19.4762,19.3531,19.3958,18.9861,21.8077,21.0012,21.3227,21.2399
O17687,21.3907,17.7744,19.6695,21.1436,21.1522,20.8079,20.905,19.7087
O17687,19.2454,20.0336,20.9362,19.5499,21.5543,21.0923,20.4054,21.3903
O17687,23.325,23.1692,23.659,23.1616,20.7888,21.1914,21.354,19.9543
O17687,19.4227,19.8914,19.0761,18.0603,22.1365,23.8118,22.9951,23.1032
O17687,19.3947,20.4012,20.9072,20.7582,28.7964,27.737,23.5224,26.3082
O17687,19.8264,21.0782,20.7199,19.8276,23.3661,22.3111,21.3329,21.7314
O17687,19.1657,18.9621,19.8807,18.1835,21.6298,21.0301,21.0915,20.0864
O17687,17.5791,18.1284,20.5069,18.9397,21.5285,20.3215,20.3309,21.0023
O17687,24.1777,24.5407,23.3652,23.661,21.4925,20.1527,20.6503,20.9947
O17687,24.7294,23.5772,23.2874,23.5298,20.3815,21.1525,20.3357,20.1911
O17687,20.9637,18.8872,18.062,19.0323,21.6538,20.4733,19.8722,20.827
O17687,19.4,18.4969,17.7003,17.9901,21.0189,20.9295,21.2873,20.6138
O17687,20.7894,15.5384,20.4197,20.8315,21.8198,20.7793,20.2966,21.0559
O17695,18.3003,19.3823,22.0218,18.0615,21.8741,21.1881,19.2292,21.044
O17742,24.3046,24.8827,25.4348,24.847,21.6074,19.3993,19.6811,20.759
O17759,19.0839,20.4764,20.2739,21.4158,21.6634,20.7243,20.6279,21.4058
O17759,18.5875,17.5933,16.9593,20.6692,21.3234,20.5246,21.2346,21.0643
O17773,18.6071,19.4019,19.994,19.8454,26.557,24.5442,24.4379,25.229
O17785,20.8762,22.7915,24.5856,21.9154,26.2103,25.2873,24.689,25.7169
O17785,17.4613,17.2283,19.9396,21.1861,21.9176,21.0509,20.9551,21.0949
O17893,22.6267,22.3527,23.3114,20.8973,21.7568,21.0533,20.5754,20.6956
O17907,19.8051,20.3186,19.7118,20.9417,21.1225,21.1264,21.1089,21.0974
O17907,20.3088,20.3594,19.7684,18.9608,22.5797,21.8037,21.8661,22.1666
O17907,20.7572,20.9064,20.4988,19.8795,21.7073,21.1836,20.6518,20.3204
O17907,21.4978,21.2035,19.9953,18.0195,24.1583,24.4385,23.7035,23.997
O17914,18.1857,19.8434,21.3468,20.6612,26.7901,25.4821,24.631,25.2561
O17915,22.928,22.788,24.2146,22.2981,25.2192,23.8814,23.7649,25.0018
O17915,21.4685,18.1619,19.7299,19.7064,21.1449,20.2938,21.1626,21.1361
O17915,18.7083,17.5173,20.5854,19.7839,20.0108,20.449,20.9388,19.9621
O17919,20.2537,21.2204,19.6167,18.818,26.3532,21.6902,24.2986,20.8895
O17921,17.5827,17.8684,19.8149,19.8302,21.8021,20.4722,21.1359,21.1392
O17921,18.7215,18.2241,20.0243,18.9976,23.7614,22.9003,22.4994,23.922
O17921,19.4522,19.2051,19.1734,16.1314,21.482,20.8805,20.8833,19.9555
O17981,24.0775,23.533,23.6744,23.5058,20.0945,20.3566,21.2971,20.4938
O18131,16.1277,19.1511,20.4412,20.0983,20.2884,20.1657,19.8354,21.0777
O18158,19.4024,20.1912,21.3683,16.7924,24.0023,22.3324,22.9398,21.2745
O18158,18.0295,18.5056,17.7284,20.827,21.969,20.9409,21.3489,21.3977
O18188,21.209,18.5833,20.2214,20.989,21.7698,21.0381,21.3542,20.9888
O18224,16.3567,20.9645,17.5933,20.7264,22.6628,21.3362,21.0397,22.2618
O18224,18.4926,17.8813,18.0573,21.3372,21.7812,20.9254,19.8358,19.7213
O18229,18.6032,17.7503,20.4478,21.0796,19.8455,20.2532,20.4939,19.1197
O18240,19.588,18.0821,19.5714,19.1611,25.5751,24.7183,22.9346,25.0113
O18240,18.6392,19.671,21.6804,19.9968,23.1396,22.6282,23.4434,22.244
O18307,25.7396,25.7962,25.1162,24.7628,21.0057,20.9424,20.7296,20.7779
O18307,19.0756,18.5436,20.0741,18.9263,20.9375,19.9454,20.9786,20.9013
O18307,19.7596,18.4857,16.6664,18.768,22.3251,23.5896,24.6674,24.2095
O18307,18.038,19.9056,20.4905,19.5409,25.0762,23.6013,25.5801,23.9083
O18307,17.8635,18.8941,21.9051,18.8802,22.9464,20.5634,22.8146,20.2134
O18650,19.0943,19.3756,18.3272,21.6262,21.2889,20.8598,19.7231,20.4785
O18650,19.2496,21.2467,19.0728,19.6095,27.1425,25.4926,26.0171,26.2124
O18650,20.3841,18.5645,20.171,19.2301,21.8056,21.0178,21.1516,19.6297
O18650,20.7865,19.7392,21.1644,18.831,24.5885,25.2171,23.0145,25.677
O18650,19.9531,17.9874,21.1922,19.9051,21.7309,20.8311,20.8522,21.142
O18650,16.5949,19.7119,21.3708,19.5921,21.5834,21.2024,21.3328,20.6641
U4PF18,17.0592,20.4732,16.9668,19.1653,23.303,22.139,24.1437,22.1802
O44144,22.4658,23.9615,23.6607,23.7423,21.955,23.087,22.1529,23.0158
O44145,20.3309,18.3167,18.5096,19.2108,20.8296,20.7445,21.0492,21.0278
O44154,20.5467,19.3173,21.1261,19.5364,23.663,22.5568,21.003,23.6303
O44175,20.2415,21.4932,18.37,17.8248,24.6512,24.6655,25.9655,25.1547
V6CIR8,22.2794,23.1054,22.3014,23.2023,22.3628,22.8071,23.2359,23.6815
O44400,23.2144,25.2072,25.9098,25.1499,25.0968,24.16,22.6244,23.1754
O44400,22.1711,22.8468,23.4337,22.7552,23.136,22.2409,22.6151,23.1089
O44400,16.7955,19.3379,19.665,19.8821,21.4225,21.014,20.7248,21.277
U4PEY4,24.9697,25.7569,24.1544,25.9575,29.1337,24.3127,23.8231,24.7608
O44441,20.1055,18.8868,16.8908,17.9777,23.1169,23.2528,22.6323,22.7119
O44441,23.0328,21.7492,22.9449,23.5711,20.9392,19.8067,21.1254,20.8404
O44444,19.1022,20.4489,18.2658,18.6079,21.7372,20.7919,20.3365,20.8014
O44445,18.1321,17.0632,19.9457,19.7157,20.2851,19.9875,20.5748,20.8489
O44445,24.5975,25.2474,24.6675,25.202,24.2257,23.6829,22.7676,23.9001
O44480,18.701,17.9932,20.3731,20.2395,26.4476,25.5386,24.9841,25.8153
O44480,20.4559,19.8691,19.0549,19.9368,28.8471,25.4567,24.8414,25.7383
O44480,20.1489,21.5618,20.4102,20.321,21.9631,20.3861,21.138,20.6753
O44480,26.7124,26.8967,26.8924,27.2378,28.8318,27.4728,26.6445,27.2044
O44480,18.5368,18.8743,17.6414,18.126,24.5884,23.9128,25.7726,25.0196
O44480,21.6177,24.4125,23.598,23.898,26.2784,25.8358,26.3883,25.3095
O44480,22.7973,23.9416,23.4808,23.9341,23.6099,22.0255,22.3982,22.2649
O44480,15.028,17.338,19.2069,17.461,21.717,20.7745,20.7202,19.3845
O44501,17.8345,20.1058,19.7372,20.3156,22.7575,21.9657,21.9411,22.9438
O44557,18.1533,20.5209,21.2106,19.4409,21.7192,20.976,20.8806,21.0224
O44560,19.9235,18.2166,20.4421,19.1242,21.2768,20.5499,20.3459,21.141
O44572,20.9914,21.7659,23.2106,21.9574,26.3915,24.1229,26.7671,26.8936
O44608,19.5935,18.653,21.4272,19.0615,30.4982,27.0587,24.836,26.4134
O44735,25.9484,26.3707,25.6732,25.0247,24.1435,21.8797,23.058,23.7988
O44735,24.3563,24.699,24.2631,24.1032,21.6576,20.3701,21.2966,20.6741
O44735,26.5101,27.0231,27.4157,26.3749,26.151,24.5667,24.8183,24.3069
O44739,19.595,17.9656,18.6264,20.5045,21.5586,20.479,20.8214,21.2963
O44752,28.2143,28.2614,27.3459,28.1095,25.7282,25.7946,24.0701,24.7215
Q9BL61,25.0184,25.2524,25.6667,24.6128,28.6864,27.83,27.0549,27.8302
Q9BL61,18.3853,19.9104,21.4169,20.2562,26.2184,25.0186,24.5973,24.0143
Q9BL61,17.6269,19.4357,19.4248,19.4618,27.2631,25.715,25.359,25.9194
O44782,19.1937,19.675,19.1726,19.4629,24.1604,22.5072,21.3391,22.1531
O44827,25.1412,25.305,25.3766,24.0555,25.5397,23.3274,22.9114,22.0895
O44847,20.7106,20.6601,18.805,18.7282,21.9557,20.5738,21.2842,21.0502
O44847,19.4868,16.5828,20.1149,17.3757,26.4549,21.7934,23.2277,22.3688
O44847,18.9366,17.8822,20.659,19.4744,21.3192,20.4358,20.5529,21.0532
O44847,20.3669,17.6089,21.2341,20.8449,21.3617,21.1386,20.5274,21.0411
O44847,20.3196,18.229,19.4018,19.8595,21.6034,20.0829,20.2957,20.8948
O44885,24.2218,24.9797,24.2889,25.3491,21.8929,21.0351,20.8613,20.7665
O44887,19.4518,19.3346,18.7015,18.2975,24.2156,24.8178,23.2809,22.4562
O44897,19.0417,20.2162,19.6777,17.9002,24.2419,23.9939,23.5112,23.6575
O44897,26.2254,26.4721,27.7489,26.4804,25.6432,24.6726,23.8043,24.0093
O44897,19.0424,17.4022,20.4355,19.6175,24.4265,22.39,23.0383,23.2408
O44951,19.7611,18.681,19.1732,18.6513,21.7802,21.1632,20.6415,21.395
O44990,19.1745,19.7706,19.6153,19.7875,24.6591,22.0516,23.104,22.5113
O44990,20.6401,19.9621,21.076,21.1704,25.1212,23.1186,23.9262,22.8722
O44995,21.9468,21.9057,21.7883,23.2609,25.5448,21.5087,21.6238,21.8136
O45012,17.7048,20.8747,19.7895,17.9807,20.2059,19.9443,21.2985,22.6107
O45060,19.0156,18.5465,21.1179,19.4697,23.9209,25.9011,22.9094,22.67
O45060,19.6399,18.519,17.2032,18.5228,28.8675,25.9391,26.181,25.9755
O45083,16.5244,18.6188,19.6846,17.015,28.6094,25.4934,26.0432,24.4636
O45102,24.1747,25.0046,24.7688,25.0949,21.4765,20.7431,21.28,20.8211
O45102,25.0295,25.2149,26.0407,24.9676,23.3963,23.5692,23.4134,22.8655
O45166,17.3088,19.5763,20.9214,21.2461,27.8911,26.1148,24.4616,25.7312
O45166,19.5593,19.6455,18.2856,17.3311,20.5539,20.4671,19.5103,21.0508
O45319,20.9856,20.0356,19.0154,19.831,21.8509,20.6705,21.028,20.9109
O45418,17.8,19.59,19.1636,19.2759,23.8281,22.9575,25.3215,23.7344
O45445,20.1627,20.0234,17.4926,17.3702,29.5652,29.6805,28.1273,28.5601
O45451,19.5416,20.6371,21.5824,19.1738,21.4552,20.554,20.8647,20.7241
