Proteins,log2 N2_d10_01,log2 N2_d10_02,log2 N2_d10_03,log2 N2_d10_04,log2 N2_d1_01,log2 N2_d1_02,log2 N2_d1_03,log2 N2_d1_04
A0A131MBQ6,18.383,19.7354,20.2466,18.8817,25.1108,26.1567,25.8829,25.2848
A0A131MCJ5,20.0335,20.9121,18.073,16.3575,23.1595,23.2072,24.6513,24.1212
A0A131MD51,24.1954,24.241,24.7764,24.8024,20.867,21.1862,20.7891,20.8594
O16293,19.1847,19.6218,19.2725,21.1687,21.6274,20.1542,21.3373,20.2275
O02147,18.1144,20.3707,19.4255,20.6059,24.4651,24.1807,23.4572,24.2615
F3Y5Q3,19.6783,20.0169,21.5682,16.9123,21.9272,20.9851,21.1849,20.5479
Q9N350,22.7144,23.3217,24.9161,23.4527,23.4188,22.5584,26.8347,23.4788
Q9N350,23.2303,23.3644,23.6562,23.8135,24.2873,22.7752,23.5959,22.11
A0A1N7SYR3,23.8067,23.9231,23.9464,22.5394,21.695,21.2506,20.1661,19.7916
A1IMB7,23.4745,23.6091,23.6917,23.2513,21.1346,20.6906,21.0994,20.4001
A3QMB7,22.3757,23.0182,23.0929,23.6651,20.7533,20.264,20.5696,21.0339
J7SF86,19.2189,19.3868,20.6807,17.793,21.7961,20.2847,20.5564,20.116
U4PRJ1,20.6035,19.2351,21.7549,19.1234,21.6964,20.9746,20.8258,21.3205
A5JYX4,18.3523,21.2156,19.5447,17.3114,24.2108,23.1112,23.859,21.3045
A5JYX4,24.5257,24.5425,25.5771,23.5064,26.0093,22.103,25.3166,25.5269
A5JYX4,19.4325,18.2136,17.8687,20.5942,21.5335,20.9716,19.4306,20.4544
A5JYX4,21.005,20.0773,22.036,21.2865,22.6773,22.232,21.6404,22.4295
A5JYX4,17.617,18.5062,21.6379,20.0051,22.6773,22.232,24.1891,24.6567
A5PEY0,26.2413,27.5532,26.1096,26.2722,25.4644,22.8952,23.3948,23.1835
I2HA81,25.2276,25.7521,25.6308,26.0658,26.4924,25.37,25.1078,24.4062
A5Z2W7,19.6461,19.5996,18.897,18.4448,22.5596,22.6869,23.4988,22.4997
A5Z2W7,19.6908,17.3903,19.388,18.9776,21.968,21.1502,21.3301,20.8869
A6PVA5,18.1628,19.9157,18.4803,16.7249,27.5735,23.9388,24.4157,22.9424
Q20621,18.0417,19.0986,21.2424,20.0471,21.3146,20.6435,20.8705,20.5577
A7DT41,19.7301,18.9493,17.5281,21.1365,23.0492,22.3925,24.97,22.0553
A7DT41,18.9047,19.4749,17.9286,20.2632,21.4522,20.5941,20.7678,21.2938
