Protein IDs;log2 rpn6_01;log2 rpn6_02;log2 rpn6_03;log2 ev_01;log2 ev_02;log2 ev_03; -Log Student's T-test p-value rpn6_ev; Student's T-test q-value rpn6_ev; Student's T-test Difference rpn6_ev;Student's T-test Test statistic rpn6_ev;Sign p-val: 0.05 
U4PRJ1;27,2755;27,4689;27,976;26,022;27,6797;24,6433;0,741606;0,170021;1,45851;1,61647;
A5HU97;28,0204;27,5041;27,7015;27,4589;26,4026;27,2893;0,894999;0,116313;0,691786;1,91946;
A5HU98;28,6153;28,9135;29,1531;27,2407;27,4363;27,8014;2,46125;0,00798718;1,40116;6,19239;+
A5JYU5;26,172;26,4279;26,7325;27,9232;26,2;25,7331;0,0907304;0,885266;-0,174623;-0,254768;
A5JYV2;26,3751;26,5203;26,8055;27,1435;28,3948;27,5216;1,33781;0,0425172;-1,11962;-2,85978;+
A5JYW3;27,7326;27,8459;24,6963;27,0974;27,817;27,6028;0,286433;0,614667;-0,747505;-0,709665;
Q9U207;27,557;27,8833;28,1848;24,8364;28,0153;28,0406;0,350532;0,511895;0,910961;0,844104;
A5PEY1;29,7925;30,0622;30,6686;28,8433;29,4912;30,1148;0,701789;0,186584;0,691313;1,5387;
A5Z2S2;26,7378;26,3108;26,1136;26,4671;26,4824;26,5154;0,211873;0,740735;-0,100926;-0,546238;
A5Z2S4;27,5877;27,6626;27,4459;24,0147;24,1622;24,5678;4,31988;0;3,31715;18,7264;+
A5Z2T4;28,3599;28,7121;28,4006;27,5531;28,7645;28,6564;0,15428;0,8202;0,166197;0,412678;
Q1NZ17;29,6596;29,4243;28,8116;29,2927;29,2925;28,9838;0,148475;0,823561;0,108824;0,398767;
A5Z2V3;24,1048;24,0993;23,7767;25,3891;25,2531;25,0941;3,08775;0,00155319;-1,25184;-9,07584;+
A5Z2W4;30,2974;27,6263;30,0154;30,0444;31,0117;30,9726;0,685722;0,194083;-1,36318;-1,50738;
K8FDY8;25,9927;25,9198;25,8201;25,4947;26,6405;26,156;0,215558;0,736974;-0,186237;-0,554538;
A6PVA1;25,3664;25,1136;25,4987;27,0439;26,6637;26,1614;2,012;0,0148364;-1,29678;-4,6409;+
Q8I4I4;26,2808;26,7877;26,8399;26,7516;26,9694;26,6027;0,266366;0,649126;-0,13844;-0,666536;
A6ZJ59;26,6597;27,0183;27,0569;25,2587;26,7959;25,8043;0,960341;0,0980864;0,958607;2,05103;
A7DT45;30,5462;31,0838;30,6086;29,2593;30,9361;31,1679;0,177328;0,787186;0,291802;0,467049;
Q9XWW2;24,5068;24,9479;25,0054;27,0399;24,8059;22,508;0,00884579;0,988328;0,0354303;0,0268869;
Q9U222;30,2036;31,0365;30,9949;28,4993;29,2752;29,3028;1,98219;0,0152639;1,71922;4,54989;+
S6FN04;25,9443;25,6626;26,012;25,9053;26,3177;25,9367;0,456296;0,376889;-0,180242;-1,05802;
A7LPE5;28,9601;30,1456;30,1845;30,2167;30,1079;29,5823;0,174264;0,791114;-0,205573;-0,459897;
