Protein IDs;log2 rpn6_01;log2 rpn6_02;log2 rpn6_03;log2 ev_01;log2 ev_02;log2 ev_03; -Log Student's T-test p-value rpn6_ev; Student's T-test q-value rpn6_ev; Student's T-test Difference rpn6_ev;Student's T-test Test statistic rpn6_ev;Sign p-val: 0.05 
G5EDA3;26,3359;27,2167;26,3555;25,8975;26,6992;26,333;0,366927;0,486419;0,326121;0,877813;
G5EGA2;30,8071;29,6561;30,175;29,9303;30,025;29,6939;0,402354;0,440767;0,32967;0,949895;
G5EDD5;23,9834;23,9595;23,9114;27,1882;26,6394;25,6647;2,33201;0,0101924;-2,54601;-5,70874;+
G5EDD8;29,1458;29,0365;28,7015;28,7688;29,3915;29,397;0,380995;0,465762;-0,224529;-0,906553;
G5EDE4;30,0138;30,139;30,3168;28,5174;28,4926;28,4391;4,29075;0;1,67349;18,412;+
Q8WSN6;24,6394;25,0147;24,8344;25,7361;26,1602;25,953;2,62436;0,00581273;-1,12025;-6,85181;+
G5EDE8;24,1201;24,0338;24,061;28,7646;28,2643;28,7082;5,02212;0;-4,50744;-28,129;+
G5EDJ3;25,0109;24,0325;23,8299;24,2599;23,1599;23,9421;0,441669;0,394425;0,503801;1,02887;
G5EDL7;28,3151;28,0387;27,3542;26,896;27,2227;27,4823;0,991442;0,0896108;0,702333;2,11434;
G5EFP2;31,0139;30,8325;30,6782;29,1962;29,8568;29,6549;2,36547;0,00909851;1,27223;5,83082;+
X5LQ26;28,2598;29,0715;28,7314;26,0984;27,9172;27,8666;1,01779;0,0833536;1,39353;2,16836;
G5EDP0;24,0714;23,9573;24,1586;27,5881;27,8546;27,8188;5,46141;0;-3,69135;-36,2527;+
G5EDQ0;27,9679;27,4591;27,5989;28,8689;27,8386;29,3069;1,01439;0,0838036;-0,99615;-2,16136;
G5EDQ2;29,3504;28,8843;29,1645;28,3149;27,1737;26,7351;1,61218;0,0251656;1,72519;3,52117;+
G5EDQ4;29,9319;29,7327;29,354;30,3551;30,2349;29,9607;1,167;0,0597564;-0,510726;-2,48184;
G5EDR3;29,224;29,3671;30,2682;29,1541;27,4249;27,7359;1,14063;0,0634147;1,5148;2,42542;
G5EDS2;27,466;27,3969;27,4119;26,4881;26,4988;26,611;4,43512;0;0,892296;20,0226;+
G5EEP7;28,2655;29,2088;28,3892;30,1869;29,7313;29,5761;1,59459;0,0253094;-1,2103;-3,47647;+
G5EDT9;25,685;25,7454;26,0327;25,8919;25,7903;25,452;0,254862;0,668461;0,10961;0,641551;
G5EDU3;27,2416;27,5133;27,4267;26,3893;26,06;26,5192;2,6025;0,00655351;1,071;6,76009;+
G5EDV3;31,5454;31,4704;31,8072;29,3241;29,6189;29,9218;3,23442;0,0017485;1,98604;9,90619;+
G5EDY2;30,4217;30,802;30,8746;30,2327;30,0195;30,3538;1,35864;0,0414765;0,497433;2,90748;+
G5EDY3;29,2429;28,9515;29,0125;29,5948;28,9795;28,981;0,200455;0,755804;-0,116151;-0,520344;
G5EDZ5;25,8608;27,9693;26,2771;25,8266;25,6236;25,8663;0,647556;0,217038;0,930194;1,43303;
G5EDZ9;25,5938;31,9711;31,8672;28,8246;30,473;30,4171;0,0143244;0,98111;-0,0942059;-0,0432772;
G5EE04;30,8712;30,7151;30,6005;26,7971;30,0806;29,8132;0,802148;0,146105;1,83193;1,73527;
G5EE12;28,1706;27,9433;28,4865;28,6481;27,4997;27,7062;0,255505;0,668461;0,248782;0,642953;
G5EGD0;28,0764;26,6705;27,5325;28,0439;26,5756;26,7149;0,194438;0,764878;0,31495;0,506592;
X5M920;26,9902;27,7052;27,3607;27,5115;28,2081;28,4356;0,945354;0,101786;-0,699706;-2,02069;
G5EE40;25,927;27,5685;27,2595;26,8027;26,3027;27,8917;0,0398742;0,949532;-0,0807298;-0,117302;
G5EE41;30,6312;32,3033;31,9201;30,1051;31,1728;31,3164;0,522402;0,315663;0,753414;1,18863;
G5EE46;26,1269;26,1578;26,3264;24,9889;26,247;25,3205;0,832426;0,134874;0,684917;1,79503;
G5EE67;27,6323;27,5336;27,6157;28,0821;27,3679;27,4981;0,0889762;0,88794;-0,0554765;-0,250212;
G5EE74;29,8984;30,2476;30,0219;29,8553;29,9166;29,6414;0,888586;0,119911;0,251544;1,90664;
G5EE80;27,0542;26,834;26,9037;27,8594;27,4935;27,6576;2,39912;0,00853333;-0,739557;-5,95579;+
G5EE90;24,1046;24,125;24,1069;27,8672;27,5738;27,658;5,67549;0;-3,58744;-41,0185;+
Q8I4F3;27,6033;27,6971;27,4993;26,9713;28,3755;27,6472;0,054499;0,931984;-0,0647202;-0,158063;
G5EEA8;31,5836;31,4525;31,3759;30,8739;31,2445;31,202;1,29343;0,0468169;0,363841;2,75936;+
G5EED5;30,1036;29,8797;29,8778;30,602;30,6702;30,6919;3,03544;0,00148223;-0,701036;-8,7956;+
G5EEH9;28,681;28,9901;29,8288;28,5318;29,3114;29,4471;0,0539699;0,93128;0,0698439;0,156607;
G5EEI4;29,9017;30,5023;30,4048;29,5652;29,8895;30,4518;0,39904;0,443269;0,300794;0,94319;
G5EEI8;27,8163;27,5943;27,8387;24,5581;24,5482;24,5928;5,64117;0;3,18343;40,2146;+
G5EEI9;25,5065;27,1084;28,1173;27,1277;27,8342;28,0772;0,401107;0,441565;-0,768981;-0,947373;
G5EEK2;26,0737;25,9374;26,5371;26,8005;26,9774;27,1752;1,71638;0,022767;-0,801627;-3,79331;+
G5EEK9;27,3975;27,4922;27,2236;27,662;27,5975;27,7365;1,53637;0,0294914;-0,294243;-3,33087;+
G5EEL9;26,8875;27,7216;27,8452;28,3067;28,6102;27,7299;0,857001;0,128183;-0,730813;-1,84374;
G5EEM1;25,9641;25,6536;26,5791;24,353;24,5819;24,5996;2,26933;0,0104598;1,55409;5,48565;+
G5EEM5;27,846;27,5354;27,6944;26,7591;27,6488;27,4927;0,608729;0,240465;0,391723;1,3574;
G5EEQ8;27,9098;27,9514;28,0425;27,738;27,0655;27,0397;1,38195;0,0405076;0,686806;2,96131;+
G5EEW5;25,7813;26,042;26,8319;25,2068;26,8181;26,3801;0,0497199;0,937839;0,0833575;0,144862;
G5EEW6;25,923;25,9591;26,3183;26,6524;26,1864;26,2225;0,664255;0,207839;-0,286928;-1,46555;
G5EF05;29,5362;29,8042;29,8766;28,4043;29,4041;29,6958;0,636355;0,224017;0,570874;1,41121;
Q1RPT9;29,7507;30,1426;30,5127;28,625;29,4735;29,6518;1,07901;0,0722366;0,885206;2,29534;
G5EF26;28,5899;28,3881;27,6375;26,7116;27,3644;27,5976;1,1739;0,0588108;0,980616;2,49669;
G5EF32;34,4018;34,2196;34,4504;33,6876;33,1667;33,4664;2,27571;0,010577;0,91699;5,50803;+
G5EF59;25,8184;25,4003;25,1886;24,5573;24,5812;24,337;2,08481;0,0131794;0,977236;4,86894;+
G5EF86;29,4993;29,8816;29,9381;29,3323;29,4278;29,7634;0,628687;0,230178;0,265196;1,39628;
Q9U3L6;26,3084;28,6493;28,559;29,3349;28,2868;28,108;0,359126;0,498068;-0,737689;-0,861805;
G5EF97;29,5782;26,5576;29,4841;29,8922;30,3993;30,1159;0,729137;0,174612;-1,59581;-1,59209;
G5EFA2;27,378;28,1219;28,3985;27,9352;25,117;25,1427;0,901733;0,114213;1,90112;1,93294;
G5EFB5;27,6354;27,9154;28,377;28,8653;28,628;28,3128;1,09435;0,0698826;-0,626064;-2,32749;
G5EFC1;31,1643;31,0889;31,1682;31,9623;31,5126;31,7217;1,95492;0,0150723;-0,591777;-4,46776;+
G5EFC4;28,1558;28,6542;28,0362;24,4169;24,6434;24,6136;4,29182;0;3,72407;18,4235;+
G5EFD8;25,2711;24,583;24,0893;24,3455;24,651;24,641;0,102678;0,871906;0,101932;0,285486;
G5EFE3;32,6116;32,7337;31,6589;32,7518;32,8557;32,9694;0,690789;0,192355;-0,524246;-1,51725;
H9G2P9;27,7188;27,8054;28,1886;28,7223;26,957;27,4591;0,129078;0,841785;0,191483;0,351588;
G5EFI4;31,5546;31,6868;31,656;30,9871;30,5589;30,6049;2,53212;0,00695946;0,91551;6,47191;+
G5EFJ3;25,9152;25,5088;25,0646;29,1225;26,3741;26,5466;0,93908;0,10415;-1,85155;-2,00802;
G5EFJ7;30,7146;29,5097;30,3957;30,9751;30,5159;31,9169;0,782616;0,155412;-0,929304;-1,69685;
G5EFK4;31,7483;29,4513;31,4699;30,7441;31,9392;31,8003;0,301128;0,595215;-0,60472;-0,740904;
G5EFL1;25,5984;26,1453;25,723;26,1593;27,3693;27,8344;1,16121;0,0603275;-1,29878;-2,46941;
G5EFM0;27,7028;27,7903;27,7712;25,9934;26,0625;26,9581;1,98007;0,0151965;1,41673;4,54346;+
G5EFM7;23,9417;23,9041;24,1071;25,7841;25,9099;25,3699;3,20859;0,00171765;-1,70364;-9,75503;+
G5EFS5;29,2234;29,6332;29,2703;30,8159;29,9696;29,8898;1,23369;0,0526329;-0,849431;-2,62674;
G5EFS9;27,999;27,746;28,3069;25,9098;26,263;26,5177;2,76348;0,00426016;1,78713;7,46167;+
G5EFX8;26,0402;25,6936;25,3238;27,204;26,1759;25,5908;0,547866;0,291823;-0,637712;-1,23856;
G5EFY6;26,0559;25,5484;25,6561;24,1121;24,5654;24,5621;2,46705;0,00806472;1,34027;6,21487;+
G5EFZ1;30,844;27,7036;28,0897;28,4537;27,3543;27,0024;0,517995;0,319061;1,27563;1,17997;
G5EG14;27,6172;27,6812;27,611;26,9484;25,892;26,7229;1,58964;0,0259805;1,11538;3,46394;+
G5EG18;27,4007;27,239;26,2204;24,578;24,0591;24,2054;2,58187;0,00702857;2,67253;6,67449;+
G5EG26;28,9149;28,9217;28,7407;27,0396;27,5135;27,6039;2,87318;0,00314783;1,47345;7,97596;+
G5EG43;26,8536;27,6374;27,7352;26,6128;26,6927;26,7244;1,22399;0,0539731;0,73209;2,60545;
G5EG50;27,4805;26,6193;26,8835;24,5644;24,5723;24,6261;3,15034;0,00164972;2,40682;9,42196;+
G5EG58;24,9253;25,7965;25,598;26,5654;24,5949;25,9696;0,158082;0,814754;-0,270012;-0,421739;
G5EGB1;32,4515;31,9267;32,4815;31,5904;32,0275;32,0615;0,769369;0,159812;0,393466;1,67085;
G5EGE9;26,1878;26,6512;27,0983;26,0494;26,7275;26,161;0,422372;0,417095;0,333115;0,990223;
Q95XN3;31,4313;31,3039;31,2283;31,0707;31,4746;31,5644;0,107981;0,865469;-0,0487226;-0,298953;
G5EGK8;29,7947;29,3155;29,2565;29,8613;28,9285;28,7504;0,289743;0,610121;0,275468;0,716726;
G5EGL2;28,8741;27,9112;28,1764;27,4646;27,0789;27,3627;1,52027;0,0314946;1,01851;3,29123;+
G5EGP8;29,0999;28,8974;28,195;29,4055;29,0979;29,2672;0,847606;0,131356;-0,526103;-1,82509;
G5EGT7;28,5911;28,4333;28,368;26,7296;27,8804;28,0237;1,04107;0,079667;0,91956;2,21639;
G5EGU1;28,5363;28,4352;28,5601;24,5678;24,6779;24,495;6,33509;0;3,93028;59,9941;+
G8JXY9;28,2046;25,7327;27,3371;27,0017;28,4643;28,3113;0,412338;0,428467;-0,834311;-0,970041;
G8JY31;31,2044;31,08;31,4096;30,836;30,3401;30,4325;1,74151;0,0212348;0,695117;3,86088;+
G8JY40;33,5539;34,0545;33,9791;32,9117;33,5329;33,6811;0,796701;0,149148;0,487275;1,72455;
G8JY43;30,5149;30,4309;30,1919;29,5415;29,4887;30,0793;1,47797;0,0334486;0,676086;3,18835;+
G8JY45;32,3186;32,8713;32,6477;33,625;33,4163;33,6058;2,24137;0,0109319;-0,936474;-5,38844;+
G8JY74;35,9386;35,8011;35,7637;36,2555;36,36;36,2165;2,53533;0,00698305;-0,4429;-6,48481;+
G8JY83;31,8133;31,7168;31,9336;32,3235;32,412;32,2184;2,38687;0,00850755;-0,496717;-5,91006;+
G8JY94;30,0256;29,4247;29,9505;27,8142;29,13;28,9975;1,181;0,0582175;1,15299;2,51199;
H1UBJ3;27,2612;27,2217;27,3615;26,4049;25,8044;26,3184;2,34583;0,0100237;1,10555;5,75892;+
Q9U2V9;32,403;32,1941;32,1022;32,3714;32,6783;32,7069;1,18777;0,057019;-0,352389;-2,52661;
H1ZUV6;24,0884;23,9444;24,0249;28,2478;27,4012;27,3391;3,60138;0,00151515;-3,64344;-12,3073;+
H2FLK1;30,5466;30,1159;30,5812;28,5986;30,2973;28,7811;0,997941;0,087361;1,18892;2,12763;
H2FLK8;34,5364;34,6119;34,8243;34,9197;34,8918;34,9599;1,40349;0,0379213;-0,266244;-3,0115;+
Q95R18;28,6867;28,7116;28,5004;29,3595;29,047;29,0596;1,8925;0,0166294;-0,522436;-4,28384;+
H2KYA0;26,4306;26,3864;26,0902;27,0587;26,5592;26,7032;1,21081;0,0552241;-0,471291;-2,57665;
Q8MXG5;26,7911;27,3887;27,0126;24,5697;24,644;24,6545;3,80092;0,000972973;2,44142;13,8365;+
Q86NI2;30,0539;30,4751;30,3455;30,7242;30,7032;30,6062;1,38881;0,0397942;-0,386367;-2,97725;+
H2KYN5;28,9704;28,6983;28,8226;29,2782;28,8444;28,9856;0,6156;0,237355;-0,20564;-1,37078;
H2KYP3;28,6418;28,2091;28,6598;26,813;27,8532;26,7227;1,60759;0,0250412;1,37393;3,50948;+
H2KYQ2;25,7382;25,6911;25,5916;25,2525;25,1407;25,4189;1,93095;0,0157568;0,402929;4,39646;+
H2KYQ5;31,0166;31,213;30,9985;31,1655;31,9004;31,85;1,07161;0,0732475;-0,56258;-2,27987;
H2KYR1;33,5852;33,7433;33,4113;34,6268;33,6513;33,9676;0,762296;0,162173;-0,501959;-1,65698;
O44618;28,0411;28,442;27,4932;28,0731;27,7756;28,1555;0,0103053;0,986526;-0,00932566;-0,0312724;
H2KYS8;28,3952;27,8974;27,6124;27,5789;28,0935;27,9527;0,123803;0,847483;0,0932789;0,338563;
Q18076;28,1217;27,8054;27,736;27,205;27,0893;27,0244;2,41485;0,00861162;0,781457;6,01495;+
Q8MNV5;28,3184;28,2964;27,5485;25,6789;27,3892;27,3018;0,9695;0,0943475;1,26446;2,06963;
H2KYZ3;30,3514;30,3812;30,6037;28,1654;29,6545;29,6972;1,17396;0,05888;1,27309;2,49682;
Q7Z121;25,7995;26,6662;25,7946;27,7982;27,2379;27,2598;1,76475;0,0203554;-1,34521;-3,92406;+
H2KZ18;30,202;30,0055;29,8653;28,9721;29,3691;29,534;1,71557;0,0227263;0,73255;3,79114;+
Q8MQB0;26,6035;26,433;26,2883;23,791;24,5885;24,2361;3,07659;0,00153684;2,23634;9,01535;+
H2KZ73;24,1227;24,1078;24,1492;25,4943;26,1962;26,5254;2,51232;0,00753333;-1,94533;-6,39274;+
Q95Q55;23,9333;23,9923;24,0737;25,2174;25,2384;25,3037;4,88324;0;-1,25338;-25,9583;+
H2KZA5;26,3212;26,6395;26,6087;27,2085;29,8134;27,316;0,862573;0,126465;-1,58949;-1,85481;
H2KZD2;27,2941;27,0175;26,8069;27,2426;27,8398;27,5779;1,08312;0,0719517;-0,513964;-2,30393;
Q27GU1;28,4;28,2132;28,5013;23,6879;24,4457;24,5334;3,90979;0,00105882;4,1492;14,7464;+
Q18930;26,8458;27,1473;26,6808;24,1956;24,3191;24,6186;3,76488;0,00093913;2,51359;13,5474;+
H2KZJ1;27,6765;27,9506;27,45;27,1001;25,8147;25,5873;1,43902;0,0358386;1,525;3,09521;+
H2KZN8;26,587;27,2556;27,3219;29,5846;28,225;29,5082;1,83028;0,0179093;-2,05113;-4,10591;+
H2KZP5;24,5272;24,5097;25,0823;28,6566;27,2736;26,6198;1,95457;0,0150403;-2,81024;-4,46671;+
Q4JFH7;27,3629;27,7945;27,764;27,305;27,2258;27,2925;1,21756;0,0543952;0,366;2,59139;
O76566;28,872;29,4734;29,5136;28,9068;29,3227;29,2272;0,214756;0,737718;0,134113;0,552733;
L8E6J9;24,1221;26,927;26,4953;28,2583;28,7218;28,3566;1,373;0,0409986;-2,59745;-2,9406;+
H2KZV5;27,6701;26,0829;26,1113;27,3855;29,3876;29,126;1,15586;0,0604284;-2,0116;-2,45794;
Q9GP94;32,9306;32,7038;33,1357;31,9011;32,2487;32,4831;1,56055;0,0277845;0,712446;3,39088;+
H2L005;27,7305;24,9994;28,6303;29,3419;28,3949;28,2494;0,603783;0,245004;-1,54203;-1,34776;
H2L023;26,494;27,2773;27,1838;27,5952;27,198;27,1743;0,526062;0,3116;-0,337486;-1,19582;
H2L039;26,2059;28,5169;26,2522;28,0879;28,3933;28,199;0,737407;0,172042;-1,23506;-1,60826;
H2L048;30,3785;30,704;30,5771;30,4418;30,4067;30,3003;0,75337;0,166052;0,17023;1,63949;
Q6A589;27,8513;27,6448;27,6894;26,9673;26,3939;26,3851;2,3181;0,0103401;1,14639;5,65862;+
H2L078;26,8157;26,5354;27,1274;27,8575;27,3403;27,5599;1,54063;0,0292245;-0,759762;-3,34139;+
H2L085;25,9343;26,5348;26,8969;23,4604;24,6255;24,5392;2,06252;0,0130597;2,24696;4,79825;+
H2L0F7;25,2453;24,8072;25,7875;26,4989;26,3321;26,6439;1,81853;0,0185147;-1,21163;-4,07288;+
Q9BKS2;27,6595;27,3218;27,3;27,6996;27,194;27,1951;0,113838;0,860208;0,064202;0,313713;
H2L0H6;29,0947;28,4177;28,8011;29,2199;28,9039;28,7686;0,33564;0,534457;-0,19296;-0,813267;
H2L0I3;36,0538;36,0645;36,0569;35,7014;36,0283;35,9467;0,780127;0,156073;0,166269;1,69197;
H2L0I5;24,0036;24,0034;23,8177;25,2936;24,4495;25,069;1,73071;0,0216423;-0,995843;-3,83172;+
H2L0K4;30,8517;29,7587;29,7201;29,0395;30,164;29,5658;0,455013;0,379055;0,520414;1,05547;
X5M8W6;29,0372;27,9074;27,4983;24,5503;24,5314;24,5835;2,83689;0,00360851;3,59257;7,80245;+
H2L0N9;28,2425;29,0412;29,0915;25,5448;27,6231;27,8276;1,08164;0,0718728;1,7932;2,30084;
Q3V5J3;27,7;27,7071;27,3652;28,0629;27,1405;27,0256;0,20103;0,755379;0,181088;0,521655;
H2L265;26,7452;26,2471;26,361;24,5173;24,6041;24,5792;3,60371;0,00153846;1,88425;12,3242;+
H2L297;25,5282;27,1237;27,208;24,4965;24,4774;24,5163;1,75031;0,0207313;2,12322;3,8847;+
H2L2A4;28,5417;29,6972;29,2534;29,9386;29,7622;29,5827;0,782566;0,15527;-0,597067;-1,69676;
H2L2E4;26,7116;26,3431;26,5692;24,3984;24,6241;24,4238;4,04733;0,00124138;2,0592;15,9793;+
H2L2J0;27,6408;28,978;28,7286;26,4381;26,1605;27,817;1,17748;0,0586085;1,64393;2,50439;
H9G2S0;31,1992;31,287;30,7955;31,8798;31,5022;31,495;1,26262;0,0490763;-0,531717;-2,69062;+
H9G2S7;30,5852;30,9328;30,6307;30,1324;31,5095;31,2508;0,221687;0,727337;-0,24802;-0,568287;
Q21032;27,383;27,3741;27,7572;29,0063;29,4872;25,0263;0,0835905;0,893827;-0,335159;-0,23615;
H9G2Y7;27,2604;26,3816;26,4601;24,5619;24,4816;24,6088;2,79171;0,00395041;2,14989;7,59109;+
Q9XTW9;23,9533;24,0452;24,0229;27,2328;26,4369;26,384;3,19967;0,0017076;-2,67742;-9,70331;+
O45562;23,8132;29,142;28,4486;28,7512;28,6621;28,583;0,385044;0,459835;-1,53083;-0,914796;
H9G352;31,361;31,2155;31,8139;30,7702;31,6281;31,8798;0,0331698;0,958121;0,0374425;0,0982404;
I2HA98;26,2429;26,6093;26,9114;27,8569;27,013;28,0821;1,31506;0,0451056;-1,0628;-2,80809;+
I2HAF4;30,0483;30,0132;29,5517;29,0468;29,5058;29,6451;0,912476;0,111805;0,471806;1,95447;
I2HAF8;29,862;29,5178;29,6351;28,1747;29,9058;29,5815;0,345581;0,519489;0,45098;0,833876;
Q95ZI4;32,9708;33,227;32,946;31,8895;32,7486;32,7747;0,883105;0,121341;0,576971;1,8957;
I2HAH4;23,9527;24,0408;24,1359;27,1505;26,0195;25,5657;2,01302;0,0148702;-2,2021;-4,64404;+
I2HAJ8;31,3861;31,6833;31,7621;31,2635;29,5854;31,4716;0,618618;0,235592;0,836987;1,37666;
I7J4C6;25,6492;28,1916;27,7126;27,1662;28,1639;28,5393;0,366164;0,486808;-0,772016;-0,876249;
J3K004;29,4805;29,1967;28,7841;29,0571;29,0465;29,1197;0,14479;0,826908;0,0793228;0,389887;
Q27485;23,9721;22,8936;21,9655;24,5451;24,6466;21,5661;0,214132;0,738479;-0,642242;-0,551329;
O44556;31,2042;31,3231;31,2029;29,2877;30,4217;30,4327;1,45428;0,0352234;1,19604;3,13154;+
Q6A582;28,6508;28,3443;28,3262;27,4722;26,1677;27,875;1,13461;0,0647394;1,26882;2,41259;
K8ES75;26,2952;26,5723;25,8898;26,5676;26,5043;26,7558;0,775184;0,157588;-0,356803;-1,68226;
K8ESD4;26,6518;27,7314;26,2147;24,4771;24,4425;24,613;2,18322;0,0110551;2,35509;5,19064;+
K8ESH3;27,8002;28,5276;27,7081;30,2317;29,6943;30,5261;2,4145;0,00858537;-2,13871;-6,01364;+
K8ESM2;27,2747;28,0318;27,9051;29,2561;27,9803;28,1857;0,734819;0,173186;-0,736832;-1,6032;
K8FDX2;30,9199;30,7708;30,2061;30,9785;30,8569;30,5565;0,262312;0,655225;-0,165079;-0,657754;
Q93636;32,1446;32,0044;31,8568;29,8428;32,1062;31,8887;0,425157;0,41446;0,722706;0,995815;
Q17786;25,6962;25,3814;26,6667;27,0294;26,8164;27,2892;1,29151;0,0468747;-1,1302;-2,75505;+
L8E833;29,7256;30,6677;29,4443;30,4984;28,2983;28,6562;0,439716;0,396489;0,794873;1,02497;
L8EC28;26,6103;26,8911;26,8057;26,3862;27,0696;27,6241;0,282304;0,623067;-0,25757;-0,700836;
M1Z854;33,1515;33,1695;33,0984;31,9823;31,6248;31,7386;3,64418;0,0016;1,35786;12,621;+
N1NTK1;24,05;24,0873;24,0688;28,5892;26,8493;26,7456;2,2907;0,0104545;-3,32602;-5,56091;+
N1NTN5;27,0602;26,5489;26,4031;26,7776;26,454;26,5156;0,147663;0,823526;0,0883166;0,396813;
N1NVC4;29,424;29,3495;29,5733;28,3495;28,8581;28,9814;1,61206;0,025124;0,719266;3,52087;+
O01427;24,1193;24,095;24,1637;25,6227;25,5951;25,7315;5,29571;0;-1,52375;-32,9457;+
O01454;29,077;29,1511;28,8959;27,2345;28,5052;28,5797;0,989274;0,0906213;0,934814;2,10991;
O01504;24,0981;24,1169;24,0204;28,7322;28,5605;28,4563;6,1057;0;-4,50454;-52,5655;+
O01505;26,3934;25,6956;25,9281;25,7874;26,9149;26,4647;0,423015;0,417076;-0,383313;-0,991515;
O01513;26,8207;26,983;26,9389;24,498;24,3976;24,5265;5,59707;0;2,44018;39,2045;+
O01524;31,1242;30,8936;30,9303;29,2022;29,208;29,752;2,90788;0,00282143;1,59527;8,14518;+
O01541;29,4998;29,4993;29,5165;29,9884;29,0091;29,4839;0,0133401;0,982544;0,0114104;0,0403467;
O01542;30,0024;31,1294;31,212;32,6286;32,0088;32,2143;1,59964;0,0251895;-1,50261;-3,48927;+
O01572;25,715;25,6139;25,0057;26,9163;26,5956;26,1691;1,64352;0,024661;-1,11547;-3,60171;+
O01577;31,2037;30,7215;31,2847;32,1542;31,6548;31,7813;1,57802;0,0264141;-0,793447;-3,43465;+
O45679;30,5862;30,6181;31,0075;28,7736;29,645;30,1004;1,39296;0,0393473;1,23095;2,98691;+
Q86NC2;28,6204;27,5304;28,5803;27,5888;27,3862;27,2081;1,0691;0,0735375;0,849363;2,27463;
O01614;24,1281;25,0373;25,6743;24,3802;24,5474;24,5617;0,424711;0,414969;0,450111;0,994921;
O01615;27,9685;28,4667;28,4697;28,7969;28,8323;29,2157;1,40899;0,0379175;-0,646666;-3,02438;+
O01692;28,895;29,6952;29,6654;26,4637;26,9883;28,2026;1,722;0,0219928;2,20032;3,80835;+
O01761;32,629;32,8786;32,9431;32,4255;32,8506;32,8842;0,213589;0,738975;0,0967878;0,550106;
O01763;28,1273;27,5199;28,2281;28,2236;28,4868;28,6398;0,909264;0,112466;-0,491643;-1,94803;
O01775;31,6023;31,4251;31,271;31,162;31,8028;31,5173;0,105714;0,867342;-0,0611661;-0,293208;
X5M5P2;32,5043;32,5079;32,6861;31,1561;31,791;32,0855;1,4683;0,0340118;0,888544;3,1651;+
O01789;29,4623;29,1469;27,6814;28,4663;27,7369;27,4739;0,628796;0,230368;0,871184;1,39649;
O01802;32,5695;33,798;33,9583;34,1045;33,1492;33,2287;0,0329234;0,958292;-0,0521698;-0,0975351;
O01803;32,3002;32,5834;32,5022;32,9529;33,2572;33,1368;2,23087;0,0108432;-0,653753;-5,35229;+
O01805;32,4688;32,6105;32,3482;33,2602;32,7532;32,8401;1,2816;0,0480561;-0,475318;-2,73287;+
O01806;31,6386;31,9071;32,1161;31,2445;30,9985;31,5978;1,28139;0,0479339;0,607014;2,7324;+
O01812;31,3734;31,7156;31,8337;32,7804;33,1163;32,9882;2,83733;0,00363948;-1,32076;-7,80449;+
O01813;28,9988;28,0219;29,3288;30,7438;32,0363;31,7236;2,09997;0,0130348;-2,71808;-4,91747;+
O01814;25,9588;26,0294;25,1014;26,0995;26,2599;26,219;0,754886;0,165472;-0,496253;-1,64246;
O01816;30,15;30,2851;30,7208;30,3711;30,0447;31,3655;0,18356;0,780557;-0,208467;-0,481529;
W6RY49;26,7297;25,1793;25,045;26,3706;26,4736;25,4857;0,297828;0,600038;-0,458645;-0,733913;
O01861;24,1614;24,1666;24,3627;24,4056;24,4235;24,5837;1,29412;0,0468769;-0,240662;-2,7609;+
O01864;30,2654;30,3205;30,6077;24,3664;24,6127;24,574;5,83458;0;5,88017;44,9598;+
O01868;31,7136;31,854;31,8652;31,5409;32,1707;31,9356;0,139116;0,830365;-0,0715001;-0,376141;
O01869;24,1226;24,0232;24,116;28,1989;27,5526;27,859;4,43079;0;-3,7829;-19,9724;+
O01876;31,6437;30,0704;31,6782;30,3207;31,1535;30,9866;0,203768;0,751406;0,310473;0,527885;
O01925;28,1271;27,8805;27,8997;28,6793;26,2815;26,1618;0,490992;0,339939;0,9282;1,12678;
O01971;30,0731;29,3062;29,5595;29,653;25,3383;25,3157;0,920884;0,109335;2,8773;1,97136;
O01974;29,6874;29,3588;29,5186;28,2626;27,2928;29,0092;1,23789;0,0515594;1,33337;2,63596;
O02056;31,2108;31,1451;31,1197;31,0726;30,8157;30,8612;1,35232;0,0415659;0,242057;2,89297;+
O02058;27,5692;26,0551;27,4959;27,9703;27,8567;26,9823;0,409856;0,431774;-0,563035;-0,965039;
O02101;28,0547;28,1649;27,5664;28,2597;28,2916;28,7129;0,983474;0,0916588;-0,492741;-2,09808;
O02141;31,8822;31,4651;31,2849;30,6629;31,4918;31,5102;0,414816;0,42398;0,322444;0,975032;
O02161;27,4157;27,8642;27,4508;24,5249;24,652;24,5254;4,43757;0;3,00945;20,0512;+
O02208;29,2949;28,6756;28,6056;29,5035;28,3951;28,5905;0,0239166;0,970396;0,0290197;0,0715177;
O02215;24,1422;24,1235;24,0699;27,7067;27,3402;27,0326;4,10942;0,00131707;-3,248;-16,5681;+
O02225;27,2139;27,6994;26,9777;27,1997;27,977;28,3549;0,612108;0,238808;-0,546891;-1,36398;
O02252;26,893;26,6156;26,7864;27,6625;27,6843;27,8811;3,10521;0,00158696;-0,977637;-9,17115;+
O02267;30,0562;29,9611;30,1168;30,581;29,8738;30,14;0,294781;0,604819;-0,153591;-0,727445;
Q7JKI2;31,7462;30,742;31,6879;29,9561;30,5443;30,2438;1,44782;0,0353895;1,14391;3,11612;+
O02323;28,7298;29,0223;29,4014;27,984;28,8992;28,8188;0,618898;0,235248;0,483796;1,37721;
