Leading.proteins.Positions.within.proteins;log2 eat2_d10_01;log2 eat2_d10_02;log2 eat2_d10_03;log2 eat2_d10_04;log2 eat2_d5_01;log2 eat2_d5_02;log2 eat2_d5_03;log2 eat2_d5_04; -Log Student's T-test p-value eat2_d10_eat2_d5;Student's T-test q-value eat2_d10_eat2_d5; Student's T-test Difference eat2_d10_eat2_d5;Student's T-test Test statistic eat2_d10_eat2_d5;Sign p-val: 0.05 
G5ED33(542);22,0793;23,3671;23,3845;23,2758;22,702;23,1942;23,0416;24,2504;0,237813;0,661143;-0,270387;-0,587414;
G5ED33(562);21,8502;20,328;21,6943;20,7008;23,8974;26,7129;27,0381;25,4021;2,91082;0,00861035;-4,61931;-5,72861;+
G5ED33(621);24,5216;22,7272;24,7716;25,6816;20,8424;21,0919;20,2925;21,864;2,55176;0,012535;3,40281;4,86556;+
G5ED33(524);23,9434;24,9522;23,8299;25,4669;23,4626;23,6842;22,8629;23,4315;1,47134;0,0643732;1,18783;2,73901;
G5ED33(755);25,2289;25,084;24,6537;24,4369;21,9968;23,1719;22,3767;22,5101;3,57685;0,00408511;2,33703;7,62695;+
G5ED33(537);20,9934;20,1383;20,565;21,4765;21,595;21,5468;20,8732;20,8042;0,533664;0,378429;-0,411504;-1,15333;
G5ED33(583);26,3567;25,103;25,1873;26,2083;20,4087;20,5938;21,3076;20,5389;4,87825;0,00115556;5,00156;12,9185;+
A0A061ACQ8(315);25,6572;25,2059;25,6378;24,9202;24,8353;26,6069;28,0849;24,5607;0,338154;0,549757;-0,666708;-0,791046;
A0A061ACQ8(294);20,9167;20,157;21,6092;20,6234;21,2459;21,5406;21,2437;21,3923;0,850234;0,206501;-0,529075;-1,69414;
A0A061ACQ8(133);24,8245;24,1733;25,3429;22,6609;27,5851;25,9051;25,9511;27,8005;1,78841;0,0377011;-2,56004;-3,30639;+
A0A061ACQ8(135);24,8245;24,1733;25,3429;22,9507;25,2067;25,9051;25,9511;27,1847;1,41128;0,072298;-1,73907;-2,63517;
A0A061ACR1(589);20,6108;20,9844;20,9991;20,4449;23,275;25,0014;24,4762;24,5705;3,98879;0,00230508;-3,57093;-9,04089;+
A0A061AL01(989);21,2686;20,8189;21,433;19,8521;20,6705;20,1351;19,8288;21,9589;0,12372;0,80069;0,194829;0,33071;
A0A061AL01(593);24,2228;22,9565;24,0277;26,6275;22,9219;22,8252;22,966;23,1064;0,995413;0,157302;1,50375;1,93556;
B3GWD8(179);24,5006;24,5776;25,4118;24,2319;20,1448;20,9953;20,9473;20,9437;4,69306;0,000912281;3,9227;12,0034;+
B3GWD8(187);21,5394;18,8297;21,306;21,0766;20,769;20,2735;21,3764;21,6481;0,184158;0,727875;-0,328811;-0,47082;
B3GWD8(196);24,0581;22,4732;23,4203;22,4659;21,0195;21,3697;20,1126;20,3163;2,57454;0,0126213;2,39986;4,91747;+
A0A061AD09(37);20,9959;21,2959;20,9351;20,4192;21,3938;21,6922;20,62;20,5959;0,19498;0,7144;-0,163937;-0,494864;
Q3S1I9(88);21,7362;19,9293;20,4636;20,918;20,7498;21,0134;19,3533;21,4814;0,0671055;0,89067;0,112349;0,188325;
Q3S1I9(240);19,4551;21,3654;21,0041;20,6358;21,3117;21,354;20,8736;21,522;0,727719;0,263128;-0,650209;-1,4885;
G5EDF9(7);24,4874;23,6056;24,1998;22,1189;24,0161;23,4262;23,0996;23,9464;0,0113077;0,979833;-0,019176;-0,0335829;
G5EDF9(13);23,8183;24,5224;25,1071;24,2737;24,4818;24,0993;24,7389;25,7138;0,317835;0,57154;-0,328082;-0,751065;
G5EDF9(521);24,7171;24,3861;24,6156;30,1377;24,245;22,5821;22,8668;21,9342;1,07745;0,133966;3,05713;2,0719;
A0A0K3AQS9(98);19,9041;21,0368;21,7105;20,1931;22,5736;20,6851;21,604;20,2598;0,376655;0,511987;-0,569517;-0,865356;
A0A0K3AQS9(58);21,2787;19,3966;21,8517;20,4801;19,919;19,8893;21,57;20,1973;0,214932;0,689307;0,357853;0,538471;
A0A0K3AQS9(173);24,4696;24,5794;24,3204;24,1408;20,699;21,5537;20,7858;20,5967;5,18174;0;3,46877;14,5614;+
A0A0K3AQS9(21);23,444;22,7677;22,8373;25,1639;21,3461;21,3356;20,2074;21,4635;2,10065;0,0217151;2,46509;3,90572;+
A0A0K3AQS9(160);22,7873;23,9749;22,365;25,2145;21,2255;20,8924;20,869;19,5424;2,13929;0,0206545;2,95308;3,98325;+
A0A0K3AQS9(122);25,921;25,2815;25,9784;23,305;22,6992;23,0176;23,1191;25,5379;0,846411;0,208177;1,52802;1,68776;
A0A0K3AQS9(114);25,0553;22,8239;24,059;26,5787;23,3056;23,3663;23,6906;22,986;0,794508;0,231077;1,29208;1,60095;
A0A0K3AQT4(28);21,0878;20,6431;20,3204;21,1876;20,6956;20,7265;20,4906;21,5442;0,0628665;0,897936;-0,0545168;-0,177131;
A0A0K3AQT4(76);21,9138;20,6437;20,2026;20,6163;19,7726;21,2043;21,3274;20,6785;0,0685325;0,888468;0,0983787;0,192075;
A0A0K3AQT4(15);23,873;24,693;25,5681;25,6736;23,5387;22,0954;23,6309;24,2179;1,36844;0,0782896;1,58115;2,56169;
A0A0K3AUF2(802);21,7543;20,569;21,1147;23,53;24,1209;24,9183;24,6125;24,465;2,24314;0,0169953;-2,78718;-4,19572;+
A0A0K3ARB5(19);21,609;20,8408;21,8861;20,5913;20,7298;20,9154;21,1321;20,4242;0,595326;0,334287;0,431424;1,26164;
A0A0K3ARB5(20);21,2273;20,5009;21,4646;21,4434;19,3772;20,8089;21,3365;21,7094;0,25712;0,638575;0,351052;0,627907;
A0A0K3ARB5(6);21,937;21,1124;20,9654;20,7929;21,1086;21,5403;21,744;20,9044;0,146283;0,773406;-0,122392;-0,384265;
A0A0K3AS90(1163);20,9082;21,122;21,1568;20,9118;21,26;18,692;21,6605;21,9575;0,0625161;0,898384;0,132198;0,176202;
A0A0K3AWX1(391);19,1487;19,1621;19,4934;21,5572;20,4063;21,2259;20,856;21,3477;0,924398;0,178912;-1,1186;-1,8176;
A0A0K3AWX1(378);21,5672;21,1885;21,1196;19,909;20,2067;21,1319;21,5675;21,7429;0,168232;0,747088;-0,2162;-0,434901;
A0A0K3AVS5(10);21,7;21,6957;20,974;24,552;22,8618;22,8099;24,1874;22,8885;0,51062;0,396783;-0,956457;-1,11227;
A0A0K3AW96(1148);19,2831;21,4545;21,0872;20,1488;19,4154;20,9411;20,6079;21,8058;0,105618;0,82914;-0,199183;-0,286517;
A0A0K3AW96(1306);21,8725;22,6179;22,3776;25,1033;21,1362;20,497;21,7356;21,356;1,2531;0,0958339;1,81163;2,36588;
A0A0K3AW96(2799);25,1462;24,6493;24,692;27,2157;24,0847;23,4552;23,6388;24,5912;1,18693;0,109292;1,48334;2,25466;
A0A0K3AW96(2725);20,7563;20,4282;19,8578;20,941;22,4343;22,7659;22,0583;23,4681;2,90705;0,00858696;-2,18586;-5,71902;+
A0A0K3AWB0(580);25,5725;24,3052;25,0771;22,2245;21,1207;20,9225;20,842;21,2514;2,33323;0,0156498;3,26067;4,38507;+
A0A0K3AWB0(588);23,8979;21,6642;22,6713;24,1166;19,3826;20,8933;20,0842;21,9123;1,72708;0,0424735;2,51938;3,19379;+
A0A0K3AWM6(430);24,0193;22,7022;23,4581;24,3906;26,0783;26,5827;24,6099;25,78;2,05108;0,0238634;-2,12018;-3,80742;+
A0A0K3AXE0(11);21,8016;21,4159;20,7756;20,7887;21,2874;20,3826;19,6053;20,6462;0,833134;0,213811;0,715077;1,66559;
A0A0K3AXT9(687);25,1956;24,653;25,5209;27,6707;22,5778;25,7959;23,12;22,9221;1,1384;0,1192;2,1561;2,17349;
A0A0K3AXT9(697);25,0797;24,7756;24,7697;24,4968;24,1256;23,1609;23,4014;22,7519;2,41187;0,0141577;1,42052;4,55441;+
A0A0K3AXT9(677);26,0959;24,4763;24,2506;21,3527;20,6564;21,6875;20,5786;19,8244;1,71519;0,0434742;3,35716;3,17213;+
A0A0K3AXT9(683);26,3155;25,2737;26,0163;27,2178;23,5538;23,6715;25,0661;23,2446;2,18308;0,019195;2,32185;4,0721;+
A0A0K3AY44(449);24,2352;23,7219;23,3627;24,0361;21,2727;21,6916;21,7379;21,0921;4,14763;0,00167033;2,39042;9,64426;+
A0A0K3AY44(442);21,8303;20,0851;21,8749;20,5794;20,6647;20,7967;21,1714;21,5711;0,028748;0,956296;0,041429;0,0837906;
A0A0K3AY85(173);25,6122;25,825;26,0679;26,1032;27,2443;25,478;23,7824;26,8731;0,0247978;0,960533;0,0576143;0,0725784;
A0A0K3AY85(152);23,7861;22,021;23,9979;24,2543;21,5656;19,5303;21,5522;20,1419;2,10119;0,0216765;2,81735;3,9068;+
A0A0K3AYE8(172);26,121;25,6112;25,8081;21,1966;20,0202;21,0251;20,72;21,2733;1,77134;0,0393824;3,92458;3,2749;+
A0A0M7RFG7(49);21,7591;21,1896;21,4763;20,8821;19,2147;21,5103;21,354;21,0584;0,427961;0,465304;0,542406;0,961819;
A0A0S4XRR1(215);24,166;23,9745;23,9467;20,7393;20,4294;20,0904;21,6607;21,4177;1,35811;0,0791426;2,30709;2,54403;
A0A0T7CIX3(487);20,4987;20,0837;21,739;21,0109;26,7985;24,443;24,3687;26,0217;3,21902;0,00609455;-4,57488;-6,55395;+
A0A0T7CIX3(136);24,1973;23,9414;23,847;25,0905;21,2652;21,0852;21,4821;20,4149;3,91632;0,00243077;3,20722;8,77685;+
A0A0T7CIX3(543);20,1071;21,4045;20,7955;21,4149;20,508;21,5313;20,7521;21,8189;0,199676;0,707236;-0,222087;-0,50521;
A0A131MBQ6(32);23,0821;23,0649;23,9164;24,2107;23,1669;25,2568;23,9282;24,4602;0,560685;0,358086;-0,634528;-1,20105;
A0A131MCJ5(53);19,6342;20,8798;20,8945;20,8499;20,4518;21,3188;21,6377;20,9612;0,62637;0,318194;-0,527746;-1,31544;
A0A131MD51(18);22,2376;21,4953;21,898;21,6791;22,2234;23,2742;23,5723;22,6911;1,76671;0,0394615;-1,11272;-3,26638;+
O16293(195);21,883;19,9637;21,2698;21,1131;20,3817;20,6603;20,7754;21,0525;0,343631;0,544675;0,339953;0,80173;
O02147(540);23,2088;22,1552;23,2034;24,8589;19,8363;22,7227;20,836;20,0648;1,55981;0,0558679;2,49162;2,89386;
F3Y5Q3(84);20,5106;20,4482;21,1887;21,2719;21,1803;21,7271;19,6316;20,3644;0,0924464;0,846813;0,129031;0,253608;
Q9N350(17);24,572;23,526;25,1125;20,0426;21,0391;21,4325;21,7888;20,7147;0,901859;0,186184;2,06951;1,78013;
Q9N350(179);24,3225;24,0131;23,8334;22,6783;22,4724;22,6956;23,5364;23,6952;0,618813;0,322894;0,611888;1,30239;
A0A1N7SYR3(844);21,9554;20,7005;21,2447;21,1244;21,2378;19,8349;21,5523;21,7171;0,127737;0,795906;0,170729;0,340363;
A1IMB7(151);22,3304;21,6851;23,3765;20,1465;25,965;22,8421;23,3381;23,8852;1,15639;0,115636;-2,12294;-2,20354;
A3QMB7(63);21,8719;19,609;20,6555;20,5194;21,206;21,5263;21,4968;21,7754;0,881947;0,193842;-0,837207;-1,74699;
J7SF86(65);19,806;19,4739;20,628;19,5981;20,2734;20,259;20,0158;21,6882;0,722956;0,263673;-0,682589;-1,48044;
U4PRJ1(143);21,5834;20,6769;19,9835;20,86;21,582;20,1746;21,4126;21,197;0,288641;0,605791;-0,315633;-0,692583;
A5JYX4(101);21,6294;22,8169;21,5663;24,8026;20,6948;21,3708;20,6507;21,9711;0,956653;0,168848;1,53197;1,87119;
A5JYX4(81);25,3725;25,0324;24,7491;25,1401;24,1129;24,3753;24,8917;24,4856;1,58031;0,054605;0,607178;2,93009;
A5JYX4(77);20,8163;21,0768;21,1777;21,5562;21,245;20,4202;20,87;20,6246;0,772569;0,239894;0,366767;1,56412;
A5JYX4(130);19,8254;20,2988;21,3845;20,4238;19,3386;20,697;20,7156;21,6778;0,0767427;0,87308;-0,124137;-0,213475;
A5JYX4(131);20,5262;21,2221;21,5318;19,8052;20,2291;20,613;19,7949;19,4653;0,808617;0,224256;0,745759;1,62459;
A5PEY0(153);25,1976;23,7598;25,1641;22,4747;25,5355;25,6998;26,2741;26,2982;1,4211;0,0704764;-1,80288;-2,65209;
I2HA81(362);25,8246;25,8714;27,0083;25,9346;24,7242;27,0789;27,0492;27,1398;0,204445;0,700997;-0,338326;-0,515663;
A5Z2W7(48);24,6619;24,5041;23,8225;20,9875;21,0167;20,4802;21,2138;21,5717;1,47102;0,064308;2,4234;2,73845;
A5Z2W7(56);24,5632;25,1548;24,4441;20,8372;20,2934;20,4612;21,815;19,0872;1,59162;0,0536374;3,33563;2,95014;
A6PVA5(9);22,4739;20,8005;21,6686;24,5479;19,7895;20,7534;21,4499;21,8348;0,758937;0,246566;1,41584;1,54119;
Q20621(425);26,0135;25,5235;25,7943;21,1307;21,1897;20,0253;19,5769;20,4429;1,91503;0,0302264;4,30681;3,54393;+
A7DT41(137);20,9843;20,4114;19,2772;19,7172;21,5836;19,9429;20,6132;20,6201;0,543778;0,37104;-0,592409;-1,17124;
A7DT41(240);21,2109;21,1785;21,7718;19,4215;21,4812;22,0996;22,6976;22,4475;1,17812;0,110444;-1,28583;-2,23991;
A7DT41(165);21,0691;21,0397;18,0407;20,128;21,3677;19,7855;21,0483;21,2688;0,447623;0,448891;-0,798198;-0,998113;
A7DT41(223);20,9703;21,2433;20,2388;20,764;21,2246;20,1147;20,8393;20,825;0,0599652;0,902732;0,0532203;0,169421;
A7DT41(158);20,9853;20,5556;19,6077;20,4815;24,3781;24,4253;24,7751;24,4764;5,00503;0,00133333;-4,10621;-13,5823;+
A7DT41(262);20,6182;21,3027;21,5734;20,5954;19,7496;20,66;21,2118;21,2848;0,285244;0,608319;0,295839;0,685692;
Q9XWW2(238);21,5353;21,0868;20,6244;20,2584;20,2102;21,101;20,1765;20,8463;0,348048;0,540465;0,292703;0,810316;
Q9XWW2(276);20,5101;21,3649;19,961;19,6619;20,859;20,453;21,4226;21,3102;0,71288;0,269318;-0,636702;-1,46337;
A7LPD6(582);20,99;20,6424;20,0063;21,5853;21,0587;21,2205;20,7406;20,6755;0,124345;0,799604;-0,117805;-0,332214;
A7LPD6(545);24,1857;24,8905;25,0602;28,2262;25,6588;25,0256;24,5083;23,1772;0,425935;0,466438;0,998188;0,958059;
A7LPE6(329);21,4304;20,3817;21,5546;19,9708;20,9544;21,3599;20,9047;19,2858;0,130082;0,792399;0,208181;0,345974;
Q5FC71(99);20,7822;21,4339;21,8781;19,5548;24,3965;25,1333;27,012;24,9088;2,95292;0,0080338;-4,4504;-5,83645;+
Q5FC71(87);21,4626;20,0995;21,0815;20,7424;20,9745;20,879;21,0967;21,5458;0,371124;0,518454;-0,277501;-0,85479;
Q5FC71(50);27,8768;27,0131;26,4436;27,0602;25,0711;26,4664;26,7263;26,4932;0,97327;0,163295;0,909196;1,89879;
Q5FC71(63);27,6564;26,5632;27,0377;25,0677;25,3515;23,6736;24,0319;23,9483;1,88817;0,0315979;2,32993;3,49295;+
Q5FC71(64);33,3555;33,4188;33,6814;28,1987;31,8013;33,8387;33,8163;32,9827;0,27858;0,613532;-0,946143;-0,672123;
Q5FC71(74);24,2607;23,9958;24,6922;27,0456;21,5985;21,2506;19,8359;21,6113;2,53077;0,0128692;3,92451;4,81804;+
A8WFH7(312);25,0506;25,2506;24,5741;21,1438;20,7843;20,805;20,5197;21,6989;1,65272;0,047852;3,05277;3,05922;+
A8WFH7(313);25,379;25,1923;26,3474;23,1536;20,9733;19,8367;20,9435;19,9778;3,09841;0,00691857;4,58525;6,22084;+
A8WFH7(322);24,3052;24,029;24,2603;23,6969;21,101;24,1767;23,4194;22,271;0,996296;0,157232;1,33083;1,93703;
H2KYH9(63);21,5225;21,0172;20,8943;20,5508;21,5217;20,5166;20,5425;21,5172;0,0277438;0,956314;-0,0282989;-0,0809488;
