ProteinAccessions;log2 N2_d10_01;log2 N2_d10_02;log2 N2_d10_03;log2 N2_d10_04;log2 N2_d5_01;log2 N2_d5_02;log2 N2_d5_03;log2 N2_d5_04; -Log Student's T-test p-value N2_d10_N2_d5;Student's T-test q-value N2_d10_N2_d5; Student's T-test Difference N2_d10_N2_d5;Student's T-test Test statistic N2_d10_N2_d5;Sign p-val: 0.05 
A0A061ACH4;14,218;14,1148;11,1635;15,0079;10,7246;12,8939;13,1994;12,3652;0,628291;0,0708367;1,33029;1,31876;
A0A061ACL3;17,4415;17,1778;17,8791;18,122;16,0288;16,0264;15,5569;15,6059;3,5185;0;1,85059;7,4428;+
A0A061ACM2;14,4686;13,7126;14,1819;14,8971;14,1342;12,9341;13,6492;13,7203;1,03629;0,0199907;0,705578;2,00346;+
A0A061ACR1;17,6362;17,6537;17,2508;18,0665;17,5171;16,5847;16,6106;16,7523;1,53273;0,00445075;0,785615;2,84621;+
A0A061ACU2;17,6704;17,5944;18,1401;17,7233;13,722;14,2385;14,3964;14,2946;5,81609;0;3,61919;18,6632;+
A0A061AD18;14,4523;14,1682;14,2584;14,486;17,6586;18,4575;18,3246;17,916;5,83588;0;-3,74793;-18,8076;+
A0A061AD21;19,3472;19,2119;19,0184;19,2306;17,6514;17,3559;17,1822;17,7655;4,56672;0;1,71328;11,4142;+
A0A061AD39;14,0607;13,8599;14,3869;14,7034;13,4012;12,9817;14,2163;13,4658;1,22901;0,0117478;0,736467;2,3253;+
A0A061AD47;17,9037;18,1408;18,2388;18,4179;16,9615;16,9142;16,9885;17,2432;3,93015;0;1,14844;8,82672;+
A0A061ADY8;14,2514;13,6343;14,3166;14,7568;12,5762;12,6283;12,41;12,2389;3,43549;0;1,77646;7,18717;+
A0A061AE05;16,9277;16,9882;16,7831;17,9848;14,3474;14,1023;14,6768;15,287;3,31614;0;2,56758;6,83224;+
A0A061AIW1;14,8416;15,4305;16,2572;17,6152;13,4878;14,1536;13,55;13,8556;1,97878;0,00120822;2,27442;3,66626;+
A0A061AJK8;14,2815;14,3868;14,4725;14,9605;13,343;14,7779;12,7744;13,8059;0,968363;0,0244698;0,850015;1,89064;+
A0A061AKY5;14,277;14,1225;13,6839;15,0089;15,0469;15,1157;15,7014;16,2875;1,70996;0,00263069;-1,26479;-3,16262;+
A0A061AL58;14,25;14,441;14,4749;14,5368;14,0077;13,7704;14,3544;14,8973;0,275843;0,253324;0,168216;0,666527;
A0A078BPG0;14,2173;14,1746;14,1429;14,8907;13,6093;13,9933;14,1876;13,6874;1,14006;0,0149556;0,486991;2,17627;+
A0A078BPH9;14,1701;14,1251;14,3814;15,0562;13,9452;13,0582;13,5171;14,1013;1,30028;0,0092405;0,77775;2,44564;+
A0A078BPJ4;16,1639;16,1252;16,1658;16,7853;15,0756;14,6052;14,7545;15,1934;3,26842;0;1,40286;6,69437;+
A0A078BQL1;14,6389;15,5725;16,038;15,1986;14,5143;14,874;15,3494;14,2494;0,805577;0,040245;0,615231;1,6195;+
A0A078BQP7;14,3666;14,1884;13,6107;14,7568;14,7875;14,7886;14,8223;15,2597;1,38104;0,00721838;-0,683881;-2,58325;+
A0A0K3AQM0;14,3061;14,3051;14,3001;14,9978;14,2439;14,2245;14,3268;14,9832;0,0455064;0,787999;0,0326824;0,130389;
A0A0K3AQN0;14,281;14,4162;14,1802;15,156;12,7547;13,4247;12,9829;13,2754;2,71137;0,000210723;1,3989;5,23716;+
A0A0K3AQN5;15,5056;14,8773;15,8577;16,2587;14,4009;14,1815;13,6723;14,6201;2,12106;0,000693276;1,40614;3,94657;+
A0A0K3AQT9;14,5079;14,1863;14,3007;14,5037;15,4549;16,4514;16,337;16,0881;3,44919;0;-1,7082;-7,22884;+
A0A0K3AQU9;14,7834;15,8676;15,3835;15,1703;14,1918;13,9737;14,107;14,251;2,61238;0,000305778;1,17031;5,00453;+
A0A0K3AQV8;18,3792;17,8231;17,5291;18,4921;15,5204;14,5985;13,4376;14,1562;3,49673;0;3,62767;7,37503;+
A0A0K3AQW8;14,397;14,1208;14,3659;14,8478;12,576;13,1572;13,132;12,9809;3,46235;0;1,47137;7,26908;+
A0A0K3AQY3;14,0134;13,9992;14,4636;15,1621;11,472;11,1757;11,0624;11,6847;4,22583;0;3,06086;9,95429;+
A0A0K3AR63;14,1039;14,3826;14,3178;14,7611;14,585;14,0713;13,2523;14,1532;0,567121;0,0871487;0,375916;1,21236;
A0A0K3ARA8;14,2774;14,3938;13,7544;14,5154;11,412;11,2337;10,9874;11,7267;4,82853;0;2,89529;12,6666;+
A0A0K3ARC0;17,5835;17,5333;16,8948;18,4039;15,1948;14,4688;14,6904;15,4279;3,3699;0;2,65836;6,99032;+
A0A0K3ARE1;14,3488;14,3527;13,9096;14,9169;11,3677;11,1951;11,1271;11,6101;4,91944;0;3,05704;13,1307;+
A0A0K3ARF3;14,4803;13,9704;14,4543;15,1209;14,5409;15,7414;14,0072;14,7912;0,248249;0,285855;-0,26368;-0,609389;
A0A0K3ARJ1;14,4058;11,0788;13,4142;15,1272;13,2709;14,0571;14,3065;13,1438;0,0726091;0,681355;-0,188066;-0,202738;
A0A0K3ARM6;14,4909;14,3822;13,5793;14,943;13,3327;12,299;12,7186;13,5858;1,8128;0,00207547;1,36482;3,35161;+
A0A0K3ARN9;14,4588;14,3447;13,9316;14,7977;11,4711;11,1696;10,8206;11,7053;4,65118;0;3,09153;11,805;+
A0A0K3ARX5;14,5117;14,1148;13,8624;15,0471;11,4521;11,2233;11,1725;11,7425;4,31713;0;2,98638;10,3276;+
A0A0K3AS68;18,8041;18,8026;15,9709;20,6601;17,0121;16,1905;15,7812;16,2351;1,1856;0,0132398;2,25473;2,25243;+
A0A0K3ASB9;15,7454;13,3462;16,5441;17,5934;15,9078;15,5024;15,404;15,9773;0,0415703;0,805406;0,109382;0,11958;
A0A0K3ASG4;17,6391;17,7547;17,8132;17,9318;13,0441;13,3419;14,657;14,036;4,46368;0;4,01492;10,9535;+
A0A0K3ASH2;19,9898;20,3698;19,8862;21,0196;19,056;18,863;18,8798;18,9224;2,74923;0,000198001;1,38606;5,32806;+
A0A0K3ASH9;12,8793;13,7637;13,5127;14,6463;13,0729;14,5398;14,8538;14,1061;0,357977;0,182697;-0,442669;-0,82953;
A0A0K3ASM2;15,0753;14,3218;15,2003;15,1188;11,2309;10,7954;11,1403;11,687;4,99614;0;3,71565;13,5347;+
A0A0K3AT36;18,6095;19,2727;18,5954;18,8462;15,7234;15,4259;16,9355;15,7449;3,62297;0;2,87351;7,7752;+
A0A0K3ATC0;17,546;17,7325;17,6712;19,3978;16,5062;16,1452;16,3245;17,1621;1,70741;0,0026395;1,55237;3,15798;+
A0A0K3ATS1;23,9041;24,1488;23,792;23,8759;21,9299;22,0167;22,0209;21,2885;4,47473;0;2,1162;11,0021;+
A0A0K3AUD2;14,2619;16,3201;15,9757;15,4478;8,93078;11,0402;10,6452;16,142;1,24791;0,0109407;3,8118;2,35712;+
A0A0K3AUJ9;22,1243;21,961;22,5156;22,2658;22,0854;22,1847;21,9447;21,9577;0,634676;0,0692258;0,173571;1,32977;
A0A0K3AUW2;14,17;14,0463;13,9909;14,4271;15,3243;14,7986;14,6742;15,1245;2,44455;0,000381186;-0,821847;-4,62595;+
A0A0K3AUZ7;14,9463;15,0883;15,8627;15,26;11,7395;13,5955;13,2878;12,1785;2,7508;0,000198095;2,58902;5,33185;+
A0A0K3AVA9;14,3783;14,425;13,8587;14,6482;11,2685;11,0428;11,2468;11,4639;5,47728;0;3,07205;16,351;+
A0A0K3AVL7;14,4877;13,4276;14,8521;14,2447;12,9627;13,0532;12,2852;14,8411;0,764304;0,0461326;0,967501;1,55022;+
A0A0K3AVS5;18,3782;17,6726;17,7523;18,2971;19,1224;19,493;18,9658;18,9728;2,63719;0,000285971;-1,11343;-5,06216;+
A0A0K3AVV4;17,1682;17,1618;18,0439;17,056;15,1187;14,4887;14,6688;14,6374;4,19546;0;2,62909;9,83284;+
A0A0K3AW68;17,4404;17,3251;17,2111;19,3081;13,731;13,7747;12,2415;11,2462;3,16888;5,95E-05;5,07284;6,41383;+
A0A0K3AW96;18,5361;18,3068;18,1672;18,5688;16,3907;16,6015;16,3384;16,6967;5,21417;0;1,88786;14,7482;+
A0A0K3AXM4;18,169;16,7952;18,1042;17,4029;16,5878;15,9716;15,9966;16,4598;2,03657;0,000949318;1,36388;3,77888;+
A0A0K3AY44;14,5177;13,3085;14,4646;15,1285;11,3308;11,1458;11,2457;11,7057;3,54049;0;2,99784;7,51174;+
A0A0K3AY85;16,8464;16,7332;17,3151;17,1802;12,3575;12,1928;12,7751;11,9676;6,17649;0;4,69546;21,4704;+
A0A0K3AYJ1;16,6843;17,1937;16,9247;17,7038;16,4699;15,8699;15,9315;16,8144;1,46115;0,00563573;0,855202;2,72132;+
A0A0M7REP5;16,6299;15,221;16,7599;15,2772;17,5753;17,0789;17,0426;17,1917;1,5455;0,00425304;-1,25012;-2,86865;+
A0A0S4XR31;17,6292;16,934;16,8778;18,0926;15,5425;14,8938;14,7866;15,2415;3,2685;0;2,26729;6,69458;+
A0A0S4XR36;14,8;15,1381;13,5592;15,8839;10,9007;10,8419;12,2295;12,4937;2,59461;0,000303217;3,22884;4,96353;+
A0A0S4XR43;16,2876;16,5611;15,7444;17,1838;15,0733;14,9261;14,6607;14,2776;2,58207;0,000301622;1,70981;4,93472;+
A0A0S4XR45;14,516;14,2873;13,9184;15,0274;13,9227;14,4907;14,8008;14,4837;0,0146223;0,928071;0,0127833;0,0432685;
A0A0S4XR68;16,228;15,9278;16,5846;16,8872;14,6301;13,4505;13,9936;14,9059;2,8506;0,000161919;2,16187;5,57689;+
A0A0T7CIX3;15,9689;15,7802;16,2823;16,1639;13,2114;12,9299;12,1103;13,2928;4,43791;0;3,16269;10,841;+
A0A0U1RML5;14,4562;14,4209;13,5713;15,1045;16,7445;16,7038;16,0956;16,2426;2,94294;0,000135092;-2,05839;-5,81074;+
A0A131MAU8;14,3337;14,3133;14,3359;14,5867;13,6279;13,9799;13,589;9,34186;0,7901;0,0420343;1,75774;1,59356;+
A0A131MB12;16,1254;17,9632;17,1751;16,2886;13,9809;14,3527;13,3982;15,0507;2,56864;0,000328839;2,69244;4,90399;+
A0A131MBA2;14,1363;13,1518;13,8659;13,9722;11,2987;11,1394;11,1731;11,6731;4,20572;0;2,46044;9,87371;+
A0A131MBB2;14,3847;14,3445;13,9106;15,1405;14,1217;13,6942;13,6335;14,0711;1,02443;0,0206277;0,564952;1,98376;+
A0A131MBC3;16,7774;16,7127;16,4418;17,2602;15,0082;14,5885;14,3784;14,6979;4,21314;0;2,12977;9,90338;+
A0A131MBF9;16,5141;15,4188;16,4522;16,2065;13,9174;13,882;13,8402;13,8063;3,98685;0;2,28644;9,03373;+
A0A131MBG0;13,5358;13,4215;13,2232;14,8229;13,4709;13,1394;12,7689;13,7489;0,512418;0,104868;0,468834;1,11549;
A0A131MBG4;14,8901;15,7108;16,5247;16,4126;13,9775;12,4984;13,5548;13,8286;2,52436;0,000339156;2,41969;4,80359;+
