Proteins,log2 N2_d15_01,log2 N2_d15_02,log2 N2_d15_03,log2 N2_d15_04,log2 N2_d1_01,log2 N2_d1_02,log2 N2_d1_03,log2 N2_d1_04
A0A131MBQ6,20.793,20.0731,19.8897,20.7316,25.1108,26.1567,25.8829,25.2848
A0A131MCJ5,19.6294,19.1603,19.5919,20.5718,23.1595,23.2072,24.6513,24.1212
A0A131MD51,23.4268,22.3253,22.5068,23.375,20.867,21.1862,20.7891,20.8594
O16293,19.0945,21.2773,19.7128,19.6396,21.6274,20.1542,21.3373,20.2275
O02147,21.308,20.1025,21.1362,21.2724,24.4651,24.1807,23.4572,24.2615
F3Y5Q3,21.9463,17.9953,20.3673,20.0127,21.9272,20.9851,21.1849,20.5479
Q9N350,17.9309,19.3761,19.6897,21.1699,23.4188,22.5584,26.8347,23.4788
Q9N350,25.5189,23.3498,23.9741,25.3303,24.2873,22.7752,23.5959,22.11
A0A1N7SYR3,19.2228,20.559,18.641,19.5258,21.695,21.2506,20.1661,19.7916
A1IMB7,19.5254,20.1955,21.6526,20.884,21.1346,20.6906,21.0994,20.4001
A3QMB7,21.3972,18.4257,19.7594,20.2966,20.7533,20.264,20.5696,21.0339
J7SF86,20.7093,18.3312,19.9624,19.0831,21.7961,20.2847,20.5564,20.116
U4PRJ1,17.6405,20.0444,20.1618,19.7342,21.6964,20.9746,20.8258,21.3205
A5JYX4,19.3751,18.7574,18.2992,21.2439,24.2108,23.1112,23.859,21.3045
A5JYX4,26.0653,24.4665,24.5951,22.2333,26.0093,22.103,25.3166,25.5269
A5JYX4,19.6341,18.7559,17.1171,19.9607,21.5335,20.9716,19.4306,20.4544
A5JYX4,20.3104,19.1644,20.2899,20.6981,22.6773,22.232,21.6404,22.4295
A5JYX4,19.9937,19.1796,18.7537,19.0696,22.6773,22.232,24.1891,24.6567
A5PEY0,24.4365,24.4373,22.4575,22.6709,25.4644,22.8952,23.3948,23.1835
I2HA81,26.4672,26.8578,25.2635,27.0423,26.4924,25.37,25.1078,24.4062
A5Z2W7,19.471,19.3592,17.832,17.7603,22.5596,22.6869,23.4988,22.4997
A5Z2W7,19.3769,19.325,21.6318,20.2849,21.968,21.1502,21.3301,20.8869
A6PVA5,20.6991,21.6252,19.4246,21.1426,27.5735,23.9388,24.4157,22.9424
Q20621,23.3649,21.8957,23.5654,23.609,21.3146,20.6435,20.8705,20.5577
A7DT41,20.5935,21.7645,19.3712,19.1424,23.0492,22.3925,24.97,22.0553
A7DT41,22.4544,21.8561,19.5834,24.9286,21.4522,20.5941,20.7678,21.2938
A7DT41,17.7756,20.1566,18.4736,21.3917,25.3521,24.2168,23.9424,23.4319
A7DT41,19.091,17.5619,18.9025,20.811,21.412,19.658,21.3901,21.2744
A7DT41,19.1749,18.4957,18.0406,18.3972,24.1845,20.9528,23.4102,23.4571
A7DT41,20.5073,20.3168,21.9282,22.0797,24.5448,23.4025,23.1043,23.8193
Q9XWW2,19.2066,20.0383,21.0622,20.329,21.3288,21.232,20.8383,21.4169
Q9XWW2,23.1948,24.4294,22.7508,22.6426,21.5198,20.3758,21.1726,21.0898
A7LPD6,18.926,20.0805,18.5009,19.5047,21.7712,21.1057,21.3015,21.3149
A7LPD6,26.0879,24.9093,24.6182,25.1035,24.3295,22.7091,22.7206,23.6534
A7LPE6,20.3762,19.4208,20.2701,21.31,21.5275,21.2404,20.8049,20.7134
Q5FC71,24.7144,23.6264,24.8191,26.0258,20.3206,21.0849,20.6799,20.3585
Q5FC71,24.6505,24.6861,24.9436,24.4827,23.178,21.7079,23.041,22.4926
Q5FC71,26.0837,25.0074,23.2823,23.3559,23.473,22.5561,23.3486,23.2706
Q5FC71,25.5513,25.8081,27.8173,23.9464,23.4473,25.6413,23.8265,24.7489
Q5FC71,32.2679,33.0049,29.3953,29.1028,30.5159,28.3956,27.4724,27.457
Q5FC71,17.368,19.1597,20.3166,20.673,21.1731,21.0306,20.6905,20.6821
