geneName;Leading.proteins,log2 eat2_d10_01,log2 eat2_d10_02,log2 eat2_d10_03,log2 eat2_d10_04,log2 eat2_d5_01,log2 eat2_d5_02,log2 eat2_d5_03,log2 eat2_d5_04
;A0A0K3AXT9,25.0797,24.7756,24.7697,24.4968,24.1256,23.1609,23.4014,22.7519
;A0A0K3AXT9,26.0959,24.4763,24.2506,21.3527,20.6564,21.6875,20.5786,19.8244
;A0A0K3AXT9,26.3155,25.2737,26.0163,27.2178,23.5538,23.6715,25.0661,23.2446
;A0A0K3AY44;O44557,24.2352,23.7219,23.3627,24.0361,21.2727,21.6916,21.7379,21.0921
;A0A0K3AY44;O44557,21.8303,20.0851,21.8749,20.5794,20.6647,20.7967,21.1714,21.5711
oig-6;A0A0K3AY85;Q9BPN5,25.6122,25.825,26.0679,26.1032,27.2443,25.478,23.7824,26.8731
oig-6;A0A0K3AY85;Q9BPN5,23.7861,22.021,23.9979,24.2543,21.5656,19.5303,21.5522,20.1419
;A0A0K3AYE8,26.121,25.6112,25.8081,21.1966,20.0202,21.0251,20.72,21.2733
;A0A0M7RFG7,21.7591,21.1896,21.4763,20.8821,19.2147,21.5103,21.354,21.0584
;A0A0S4XRR1,24.166,23.9745,23.9467,20.7393,20.4294,20.0904,21.6607,21.4177
;A0A0T7CIX3,20.4987,20.0837,21.739,21.0109,26.7985,24.443,24.3687,26.0217
;A0A0T7CIX3,24.1973,23.9414,23.847,25.0905,21.2652,21.0852,21.4821,20.4149
;A0A0T7CIX3,20.1071,21.4045,20.7955,21.4149,20.508,21.5313,20.7521,21.8189
rpl-11.1;A0A131MBQ6;Q94300,23.0821,23.0649,23.9164,24.2107,23.1669,25.2568,23.9282,24.4602
mdt-18;A0A131MCJ5,19.6342,20.8798,20.8945,20.8499,20.4518,21.3188,21.6377,20.9612
rnf-5;A0A131MD51,22.2376,21.4953,21.898,21.6791,22.2234,23.2742,23.5723,22.6911
fipp-1;O16293,21.883,19.9637,21.2698,21.1131,20.3817,20.6603,20.7754,21.0525
;O02147,23.2088,22.1552,23.2034,24.8589,19.8363,22.7227,20.836,20.0648
spat-2;F3Y5Q3,20.5106,20.4482,21.1887,21.2719,21.1803,21.7271,19.6316,20.3644
;Q9N350,24.572,23.526,25.1125,20.0426,21.0391,21.4325,21.7888,20.7147
;Q9N350,24.3225,24.0131,23.8334,22.6783,22.4724,22.6956,23.5364,23.6952
;A0A1N7SYR3,21.9554,20.7005,21.2447,21.1244,21.2378,19.8349,21.5523,21.7171
;A1IMB7,22.3304,21.6851,23.3765,20.1465,25.965,22.8421,23.3381,23.8852
;A3QMB7,21.8719,19.609,20.6555,20.5194,21.206,21.5263,21.4968,21.7754
;J7SF86,19.806,19.4739,20.628,19.5981,20.2734,20.259,20.0158,21.6882
;U4PRJ1;Q95ZL3,21.5834,20.6769,19.9835,20.86,21.582,20.1746,21.4126,21.197
dhs-3;A5JYX4,21.6294,22.8169,21.5663,24.8026,20.6948,21.3708,20.6507,21.9711
dhs-3;A5JYX4,25.3725,25.0324,24.7491,25.1401,24.1129,24.3753,24.8917,24.4856
dhs-3;A5JYX4,20.8163,21.0768,21.1777,21.5562,21.245,20.4202,20.87,20.6246
dhs-3;A5JYX4,19.8254,20.2988,21.3845,20.4238,19.3386,20.697,20.7156,21.6778
dhs-3;A5JYX4,20.5262,21.2221,21.5318,19.8052,20.2291,20.613,19.7949,19.4653
;A5PEY0,25.1976,23.7598,25.1641,22.4747,25.5355,25.6998,26.2741,26.2982
;I2HA81,25.8246,25.8714,27.0083,25.9346,24.7242,27.0789,27.0492,27.1398
;A5Z2W7,24.6619,24.5041,23.8225,20.9875,21.0167,20.4802,21.2138,21.5717
;A5Z2W7,24.5632,25.1548,24.4441,20.8372,20.2934,20.4612,21.815,19.0872
;A6PVA5,22.4739,20.8005,21.6686,24.5479,19.7895,20.7534,21.4499,21.8348
;Q20621,26.0135,25.5235,25.7943,21.1307,21.1897,20.0253,19.5769,20.4429
tag-296;A7DT41,20.9843,20.4114,19.2772,19.7172,21.5836,19.9429,20.6132,20.6201
tag-296;A7DT41,21.2109,21.1785,21.7718,19.4215,21.4812,22.0996,22.6976,22.4475
tag-296;A7DT41,21.0691,21.0397,18.0407,20.128,21.3677,19.7855,21.0483,21.2688
tag-296;A7DT41,20.9703,21.2433,20.2388,20.764,21.2246,20.1147,20.8393,20.825
tag-296;A7DT41,20.9853,20.5556,19.6077,20.4815,24.3781,24.4253,24.7751,24.4764
tag-296;A7DT41,20.6182,21.3027,21.5734,20.5954,19.7496,20.66,21.2118,21.2848
mrg-1;Q9XWW2,21.5353,21.0868,20.6244,20.2584,20.2102,21.101,20.1765,20.8463
mrg-1;Q9XWW2,20.5101,21.3649,19.961,19.6619,20.859,20.453,21.4226,21.3102
igcm-3;A7LPD6,20.99,20.6424,20.0063,21.5853,21.0587,21.2205,20.7406,20.6755
igcm-3;A7LPD6,24.1857,24.8905,25.0602,28.2262,25.6588,25.0256,24.5083,23.1772
gpdh-2;A7LPE6,21.4304,20.3817,21.5546,19.9708,20.9544,21.3599,20.9047,19.2858
;Q5FC71,20.7822,21.4339,21.8781,19.5548,24.3965,25.1333,27.012,24.9088
;Q5FC71,21.4626,20.0995,21.0815,20.7424,20.9745,20.879,21.0967,21.5458
;Q5FC71,27.8768,27.0131,26.4436,27.0602,25.0711,26.4664,26.7263,26.4932
;Q5FC71,27.6564,26.5632,27.0377,25.0677,25.3515,23.6736,24.0319,23.9483
;Q5FC71,33.3555,33.4188,33.6814,28.1987,31.8013,33.8387,33.8163,32.9827
;Q5FC71,24.2607,23.9958,24.6922,27.0456,21.5985,21.2506,19.8359,21.6113
;A8WFH7,25.0506,25.2506,24.5741,21.1438,20.7843,20.805,20.5197,21.6989
;A8WFH7,25.379,25.1923,26.3474,23.1536,20.9733,19.8367,20.9435,19.9778
;A8WFH7,24.3052,24.029,24.2603,23.6969,21.101,24.1767,23.4194,22.271
;H2KYH9,21.5225,21.0172,20.8943,20.5508,21.5217,20.5166,20.5425,21.5172
mdt-28;A8WHP8;Q65ZB1,23.025,25.3287,22.4559,24.5313,24.2893,23.7657,24.4579,22.9699
mdt-28;A8WHP8;Q65ZB1,21.2604,21.5089,21.1721,21.0287,20.8294,21.5916,21.2137,19.1049
mdt-28;A8WHP8;Q65ZB1,21.7246,21.272,21.3048,20.635,21.2548,20.6183,20.8884,20.5537
mdt-28;A8WHP8;Q65ZB1,21.8548,21.3014,21.8023,21.4422,21.5384,21.3693,20.8242,20.6777
mdt-28;A8WHP8;Q65ZB1,22.8721,21.7956,23.8906,22.2759,21.1554,20.6325,21.1355,20.2765
mdt-28;A8WHP8;Q65ZB1,20.5827,19.1302,20.1471,21.2666,20.2544,21.6151,20.0617,21.1577
mdt-28;A8WHP8;Q65ZB1,20.0063,20.9434,21.6443,19.7249,20.8074,20.8022,21.4128,21.3674
mdt-28;A8WHP8;Q65ZB1,23.6495,23.3839,23.9651,23.4029,21.2695,23.6,22.7108,22.0169
mdt-28;A8WHP8;Q65ZB1,22.4982,22.8863,22.7306,20.3378,20.4923,20.5112,19.8218,21.6285
mdt-28;A8WHP8;Q65ZB1,21.7567,20.974,21.275,21.41,21.0897,19.8147,20.7466,20.5453
;A9UJN7;Q7YXB8;Q18494,21.6307,21.1563,21.0618,19.4438,21.5432,21.1509,20.6708,20.7141
;A9UJN7;Q7YXB8;Q18494,21.7606,21.2241,20.6012,21.0253,20.9299,20.9026,20.2859,21.8679
;A9UJP1,20.8337,20.2516,21.7994,21.1831,20.3697,21.2713,21.0209,20.8613
