geneName;Leading.proteins,log2 N2_d15_01,log2 N2_d15_02,log2 N2_d15_03,log2 N2_d15_04,log2 N2_d10_01,log2 N2_d10_02,log2 N2_d10_03,log2 N2_d10_04
;A0A0K3AXT9,26.5519,23.7382,23.6251,26.7241,25.6837,27.4236,26.7681,26.3518
;A0A0K3AXT9,24.0563,23.932,20.6189,24.8547,22.9459,23.2731,24.2958,22.699
;A0A0K3AXT9,26.2573,25.6321,28.665,26.7989,26.4625,27.1201,26.9259,23.9472
;A0A0K3AY44;O44557,19.5968,20.9882,20.0661,16.4617,20.4477,21.1136,21.5285,22.3123
;A0A0K3AY44;O44557,20.3783,19.1438,21.3597,19.1152,18.7914,18.0536,18.9134,20.0179
oig-6;A0A0K3AY85;Q9BPN5,26.0559,26.5591,24.9241,25.4423,18.0733,19.3085,20.6588,17.6614
oig-6;A0A0K3AY85;Q9BPN5,23.5871,23.9683,25.3567,24.4127,19.8893,18.5783,19.0812,19.4721
;A0A0K3AYE8,24.4572,24.8878,25.6251,27.91,20.1948,17.4668,19.5318,17.8033
;A0A0M7RFG7,25.3281,26.0452,24.9236,26.9336,23.7544,25.0076,24.5941,24.4377
;A0A0S4XRR1,24.5958,24.8698,26.0051,27.4777,24.8747,23.4387,24.2034,23.0068
;A0A0T7CIX3,22.9383,22.0394,22.2281,23.7173,19.51,19.1802,20.3095,19.3
;A0A0T7CIX3,19.4471,20.2607,17.7943,21.2995,19.0947,19.2576,19.5517,19.6653
;A0A0T7CIX3,19.5696,19.6583,19.65,20.2479,18.5236,19.0979,18.6697,19.6895
rpl-11.1;A0A131MBQ6;Q94300,20.793,20.0731,19.8897,20.7316,18.383,19.7354,20.2466,18.8817
mdt-18;A0A131MCJ5,19.6294,19.1603,19.5919,20.5718,20.0335,20.9121,18.073,16.3575
rnf-5;A0A131MD51,23.4268,22.3253,22.5068,23.375,24.1954,24.241,24.7764,24.8024
fipp-1;O16293,19.0945,21.2773,19.7128,19.6396,19.1847,19.6218,19.2725,21.1687
;O02147,21.308,20.1025,21.1362,21.2724,18.1144,20.3707,19.4255,20.6059
spat-2;F3Y5Q3,21.9463,17.9953,20.3673,20.0127,19.6783,20.0169,21.5682,16.9123
;Q9N350,17.9309,19.3761,19.6897,21.1699,22.7144,23.3217,24.9161,23.4527
;Q9N350,25.5189,23.3498,23.9741,25.3303,23.2303,23.3644,23.6562,23.8135
;A0A1N7SYR3,19.2228,20.559,18.641,19.5258,23.8067,23.9231,23.9464,22.5394
;A1IMB7,19.5254,20.1955,21.6526,20.884,23.4745,23.6091,23.6917,23.2513
;A3QMB7,21.3972,18.4257,19.7594,20.2966,22.3757,23.0182,23.0929,23.6651
;J7SF86,20.7093,18.3312,19.9624,19.0831,19.2189,19.3868,20.6807,17.793
;U4PRJ1;Q95ZL3,17.6405,20.0444,20.1618,19.7342,20.6035,19.2351,21.7549,19.1234
dhs-3;A5JYX4,19.3751,18.7574,18.2992,21.2439,18.3523,21.2156,19.5447,17.3114
dhs-3;A5JYX4,26.0653,24.4665,24.5951,22.2333,24.5257,24.5425,25.5771,23.5064
dhs-3;A5JYX4,19.6341,18.7559,17.1171,19.9607,19.4325,18.2136,17.8687,20.5942
dhs-3;A5JYX4,20.3104,19.1644,20.2899,20.6981,21.005,20.0773,22.036,21.2865
dhs-3;A5JYX4,19.9937,19.1796,18.7537,19.0696,17.617,18.5062,21.6379,20.0051
;A5PEY0,24.4365,24.4373,22.4575,22.6709,26.2413,27.5532,26.1096,26.2722
;I2HA81,26.4672,26.8578,25.2635,27.0423,25.2276,25.7521,25.6308,26.0658
;A5Z2W7,19.471,19.3592,17.832,17.7603,19.6461,19.5996,18.897,18.4448
;A5Z2W7,19.3769,19.325,21.6318,20.2849,19.6908,17.3903,19.388,18.9776
;A6PVA5,20.6991,21.6252,19.4246,21.1426,18.1628,19.9157,18.4803,16.7249
;Q20621,23.3649,21.8957,23.5654,23.609,18.0417,19.0986,21.2424,20.0471
tag-296;A7DT41,20.5935,21.7645,19.3712,19.1424,19.7301,18.9493,17.5281,21.1365
tag-296;A7DT41,22.4544,21.8561,19.5834,24.9286,18.9047,19.4749,17.9286,20.2632
tag-296;A7DT41,17.7756,20.1566,18.4736,21.3917,20.8749,20.6043,20.1402,19.1318
tag-296;A7DT41,19.091,17.5619,18.9025,20.811,15.1323,20.626,17.4691,20.6805
tag-296;A7DT41,19.1749,18.4957,18.0406,18.3972,18.682,20.2086,18.7456,18.0015
tag-296;A7DT41,20.5073,20.3168,21.9282,22.0797,16.7566,19.8939,20.5756,20.2203
mrg-1;Q9XWW2,19.2066,20.0383,21.0622,20.329,19.0842,19.4561,19.525,20.366
mrg-1;Q9XWW2,23.1948,24.4294,22.7508,22.6426,19.3944,18.8212,21.2513,19.4358
igcm-3;A7LPD6,18.926,20.0805,18.5009,19.5047,18.2878,18.3792,19.5631,19.8285
igcm-3;A7LPD6,26.0879,24.9093,24.6182,25.1035,23.8071,24.1422,24.1278,23.9624
gpdh-2;A7LPE6,20.3762,19.4208,20.2701,21.31,20.2094,19.9123,18.796,21.2944
;Q5FC71,24.7144,23.6264,24.8191,26.0258,21.2009,19.0205,18.2035,18.3436
;Q5FC71,24.6505,24.6861,24.9436,24.4827,18.0799,19.8573,21.9117,21.1497
;Q5FC71,26.0837,25.0074,23.2823,23.3559,23.245,23.0478,24.3309,23.7943
;Q5FC71,25.5513,25.8081,27.8173,23.9464,30.7929,31.0411,30.0853,28.8552
;Q5FC71,32.2679,33.0049,29.3953,29.1028,33.0019,34.3821,33.6803,34.1913
;Q5FC71,17.368,19.1597,20.3166,20.673,17.9528,20.2275,19.4644,19.4719
;A8WFH7,25.063,23.6007,22.0982,25.3421,25.096,26.4556,26.0217,26.7964
;A8WFH7,25.7008,24.2427,25.4262,25.9514,26.923,26.1803,25.9857,24.2337
;A8WFH7,24.6478,24.9616,23.6429,24.1458,25.1963,25.8901,25.4429,26.0555
