geneName,log2 eat2_d15_01,log2 eat2_d15_02,log2 eat2_d15_03,log2 eat2_d15_04,log2 eat2_d1_01,log2 eat2_d1_02,log2 eat2_d1_03,log2 eat2_d1_04
"CELE_Y62E10A,13",14.6929,14.6219,15.0714,15.0036,12.9683,13.6616,13.4782,13.2256
cars-1,17.3614,18.3607,17.4468,18.4773,16.1567,15.8846,16.141,15.9632
eps-8,14.2241,15.3397,14.695,14.718,13.8975,12.8773,13.4087,13.531
"CELE_T14G10,5;CELE_T14G10,5;T14G10,5;CELE_T14G10,5",17.278,17.2816,17.5184,17.6879,16.91,16.4458,16.5862,16.4466
pezo-1,16.0356,16.4429,16.43,16.6367,14.6784,14.3752,14.6108,14.3797
twk-9,14.6643,14.6084,14.1804,15.4371,17.2252,17.1974,17.211,17.4039
epi-1,19.3013,19.958,19.5637,20.0334,16.5375,16.3752,16.5971,16.4363
kdin-1,14.9805,15.0657,14.7737,14.3285,13.0048,13.8586,13.8529,12.6856
tag-273,17.8152,18.0893,17.9604,18.4654,15.9666,15.9984,15.9232,16.1421
"CELE_F13H10,3;CELE_F13H10,3;F13H10,3;CELE_F13H10,3",14.5301,15.4822,14.9562,14.7982,13.082,12.5815,12.6605,12.5371
pps-1,16.3486,16.9502,17.2291,16.4725,14.9067,13.8865,13.7469,14.701
cka-1,17.0288,16.4714,17.191,17.2637,14.5009,14.8805,14.8057,15.3388
"CELE_R11A8,7;CELE_R11A8,7;R11A8,7",14.7691,14.5101,14.4768,15.3084,12.9254,12.9859,13.2029,12.5426
spp-18,14.6074,14.9306,14.7396,14.9846,13.4882,13.6665,16.0098,13.7283
lin-66,13.3425,15.221,14.9797,15.4351,13.6137,13.1062,13.7746,15.0526
"CELE_F09E10,7",14.9222,15.0741,14.3462,14.5228,13.6949,13.4141,13.5184,13.6471
"CELE_F10C1,9",14.4955,13.7579,14.6724,15.255,15.0309,14.0591,13.8953,14.538
itx-1,16.3116,16.5902,16.4232,16.4513,14.4921,14.3969,14.5247,14.3475
"CELE_Y41E3,7",15.1169,15.2052,14.8207,15.8897,13.5437,15.1879,14.7286,14.2836
"CELE_Y105C5B,15",14.8389,15.4545,15.0084,15.3403,13.706,13.7134,13.1718,13.0678
lim-9,14.9571,15.1334,14.5622,14.6738,15.2467,15.1198,15.1758,15.3573
"CELE_Y105E8A,25",14.9662,15.3609,14.9144,15.1615,13.7928,13.4321,13.2535,14.0893
pgp-2,16.263,15.942,16.5103,18.9858,14.603,14.3793,14.4219,14.4792
lpd-3,14.7356,14.4461,14.7467,15.4556,14.1782,16.6237,15.4979,16.5383
tln-1,14.9324,15.4181,14.2691,14.7208,14.3502,13.2031,13.3245,14.2834
max-2,14.9873,14.8484,14.0506,15.3082,14.1707,13.7061,14.0444,13.8003
egl-27,14.4995,14.7387,12.7065,15.4268,16.3502,17.2088,15.8581,16.6099
cdc-14,14.9576,15.4854,13.9322,14.2619,10.6858,10.2011,10.4073,10.5605
daf-16,13.9248,15.4823,13.9326,13.6722,14.1166,13.8847,13.1839,14.1824
"CELE_T16H12,3;T16H12,3",14.5306,14.5676,14.7485,15.431,14.3255,14.0321,12.9174,14.2336
lev-11,17.5938,17.7435,17.6884,17.0757,14.6444,14.4137,14.0062,14.6316
gld-2,14.9741,15.5163,13.4171,15.0916,12.4825,12.7573,12.3399,13.0231
ncl-1,15.0217,15.2217,14.819,15.1931,15.0048,15.1274,15.0056,14.8777
"CELE_D1069,3",14.5316,15.1375,15.0211,15.0412,10.3262,12.131,7.60835,10.4998
lin-23,14.7922,15.1266,14.8369,14.9976,16.7725,16.4028,16.1503,16.3081
"CELE_Y50D4B,1",14.8821,15.0305,14.947,15.4674,14.6389,14.1407,15.2596,15.4452
"CELE_Y39A1A,21",14.8786,14.5327,14.0664,14.8981,11.3144,12.1267,12.0295,10.6682
dre-1,19.0011,20.0038,19.1395,20.0611,16.4058,17.7578,17.2062,16
gck-1,14.9316,14.6014,14.6561,14.423,15.0427,14.7422,14.8521,14.9281
gly-7,14.1129,14.3868,14.857,15.1964,13.2416,13.7346,13.7728,14.3512
"CELE_F40A3,3;F40A3,3",19.443,19.5954,19.7306,19.5887,17.7456,17.9368,17.8551,17.4634
"CELE_Y50D4B,4",12.8441,15.5238,13.2333,14.9485,14.9787,15.6712,15.6459,15.6076
cdf-1,14.6911,14.6039,14.2977,14.9354,10.5696,10.3252,10.3024,10.6677
unc-34,17.5071,18.1994,18.1953,18.0443,13.8518,14.466,14.6832,13.4427
tbh-1,18.8977,19.9425,19.2313,19.9725,14.5926,15.0296,14.5775,14.9913
lev-11,22.9724,24.6822,24.2346,24.7799,21.1675,21.4134,20.9223,20.7806
imp-3,16.4129,17.053,16.6976,16.9933,12.6899,13.082,12.4051,13.601
prdx-2,22.4809,23.0663,22.5501,22.7704,20.8942,21.3648,21.233,21.3462
jhdm-1,14.7536,15.4294,14.4854,14.7113,13.7639,13.4889,13.5012,13.6998
mrck-1,14.904,14.5921,14.4733,15.3829,12.765,13.044,13.4002,13.11
nhr-86,14.3599,14.1527,14.3449,15.146,12.1407,12.7157,12.5374,11.5439
aat-3,13.5977,15.3824,14.9495,15.245,12.9043,13.3256,12.9065,13.1466
"CELE_M02H5,8",17.6104,18.1733,17.6761,18.3232,18.1582,18.0209,17.6519,17.7006
"CELE_T08B1,1",18.8259,19.1867,18.758,18.8376,15.6044,15.5163,15.4616,15.5904
lipl-5,14.3911,15.2,14.2999,15.2366,14.0593,14.0521,14.0562,13.4379
fln-2,18.6103,18.663,18.4095,18.5762,15.7683,15.5146,15.573,15.6207
"C14C6,5",18.1679,16.9759,18.0635,17.7752,13.3778,12.4916,14.7746,12.5963
