geneName,log2 eat2_d5_01,log2 eat2_d5_02,log2 eat2_d5_03,log2 eat2_d5_04,log2 eat2_d1_01,log2 eat2_d1_02,log2 eat2_d1_03,log2 eat2_d1_04
ttr-6,18.8076,18.8309,18.8676,18.8681,16.6266,16.6301,16.7865,16.8849
aagr-4,14.3403,13.7547,14.4592,13.9322,15.5372,15.5277,15.3288,15.9086
srp-2,16.6614,16.6527,16.4725,16.464,15.5768,15.1965,15.3136,15.3097
pho-14,17.1757,17.1889,17.2518,16.9534,14.8968,14.8197,15.316,14.9623
spp-13,14.2009,14.0701,14.2051,13.8512,12.5225,12.7745,14.6188,13.9047
tag-123,15.7318,16.1515,15.8808,16.3715,14.9491,15.4388,14.4455,15.8819
tth-1,18.2846,18.4504,18.1453,18.275,17.6906,17.3431,17.278,17.518
"F52H2,6",12.9832,12.0943,13.64,13.2963,12.4598,12.47,13.518,12.9557
"F09G2,8",14.1034,13.7862,13.9606,13.6638,13.9134,13.4169,12.995,13.8505
attf-2,18.0102,18.2647,17.6605,18.2028,16.8595,16.6039,16.2858,16.8538
"CELE_F09G2,2",12.0719,12.0376,11.8312,11.7321,10.5811,10.3415,10.3488,10.5944
"CELE_W02D7,5",15.4169,15.1443,14.2136,14.3211,15.3543,12.7554,14.9696,14.122
sel-9,16.85,16.9286,16.6878,16.9361,17.233,16.0592,16.6692,16.6758
hil-4,15.8965,16.866,15.8288,16.2926,15.6126,15.3038,14.9741,15.3235
clec-223,15.2929,14.9418,15.217,15.0759,13.4212,13.4788,13.5178,12.9531
rpl-38,18.3809,17.9471,17.7605,17.781,19.0919,17.8024,18.7579,18.82
pro-2,14.1505,17.3195,16.0095,16.3246,14.4214,13.3357,13.6319,13.7965
pas-1,17.7255,17.4981,17.6637,17.6953,17.642,17.8792,18.1109,17.8302
"C16C2,4",14.8499,14.9537,14.8596,14.8196,14.398,13.2233,13.9376,13.9379
"C25A1,1",12.2493,11.9523,12.4714,11.1408,13.5071,10.8275,11.8305,12.461
"C27H6,8",16.4242,16.3578,16.2054,16.2226,16.073,16.1679,16.2552,16.3448
ruvb-1,16.0143,16.0296,15.9687,16.1061,16.1068,15.9579,16.1171,16.1241
"C29F3,7",14.6301,14.89,15.0104,14.9101,14.2626,14.2594,14.367,14.3198
"C29F7,1",15.0213,14.7639,14.6883,14.7037,14.1237,13.9563,13.7513,15.055
"C29F7,2",16.5828,16.4121,16.3858,16.3869,16.7699,16.6665,16.4886,16.6911
"C29F7,3",16.2311,19.2776,16.177,16.0589,16.4613,16.4021,16.5159,16.6409
"C31C9,2",18.173,18.1878,18.0098,18.1154,17.8105,17.5681,17.6232,17.7177
ethe-1,14.76,15.5756,15.2084,15.018,14.4708,14.7455,14.1949,14.9766
col-179,17.9284,18.0008,17.7557,18.0057,17.0293,12.5608,14.3108,17.5194
idh-2,16.2785,16.4138,16.4055,16.3442,17.0401,16.7953,16.7261,17.0447
aspm-1,12.5911,13.1828,12.5637,12.2926,12.2792,11.8013,12.3865,12.3363
sams-1,19.6556,19.6596,19.5832,19.6144,19.5877,19.8713,19.3683,19.7184
"C49F5,7",18.6841,17.7202,18.023,17.9318,17.2076,15.6984,15.8546,16.7034
nasp-2,17.9976,18.1075,17.9129,17.9984,16.785,17.168,16.6167,16.93
ril-1,17.7895,18.2861,17.8618,17.9773,18.5856,18.4147,18.363,18.5326
hda-1,15.5083,15.224,15.2352,15.1928,14.877,14.7337,14.6043,14.558
"CELE_D1086,3",16.842,16.7901,16.7068,16.7393,14.1744,14.4398,14.0326,14.273
"CELE_D1086,1",17.0485,16.9568,16.8272,16.9338,14.1891,14.0595,14.2521,14.1709
"CELE_D1086,6",16.9181,17.3247,16.8496,16.8407,14.116,14.8417,15.0196,14.535
mpst-1,15.4811,15.4944,15.551,15.8712,16.2643,16.2839,16.3981,15.9159
"CELE_D2023,4",17.0105,16.6537,16.6379,16.8476,15.6584,15.4679,15.3224,15.2374
pyc-1,17.5613,17.4021,17.2722,17.3182,17.1035,17.565,17.2673,17.3761
"CELE_D2023,6",13.617,12.8366,13.1023,13.8787,13.6065,13.2447,13.5061,13.6002
clec-17,11.9585,11.1737,12.2262,11.9752,12.0596,11.5201,11.4873,11.4929
egl-21,14.3223,16.0562,14.4286,14.4055,13.8287,13.7527,13.7403,13.535
tkt-1,20.3537,20.2725,20.2443,19.9841,20.1152,20.5255,20.3575,20.3341
ech-8,14.3598,14.5284,14.2781,14.381,12.2208,12.3007,12.8471,15.1679
lipl-7,14.4874,14.9883,14.6232,14.6533,13.4918,13.2589,13.2723,13.0623
pes-7,13.2929,14.0971,13.0078,13.042,12.3848,12.6199,11.3045,12.6844
col-98,11.8513,11.9249,11.7445,11.7716,13.3844,12.7691,14.1175,12.9111
"CELE_F15A4,6",13.6514,13.923,13.3756,13.197,10.6614,10.3297,10.3771,10.623
"CELE_F21A3,3",13.5162,13.7673,13.6366,13.5668,14.3406,13.9792,11.8714,13.7352
pyk-1,15.4855,16.1935,16.2492,16.5233,15.3855,14.6687,15.4143,15.599
mrpl-54,15.7271,16.6084,15.2855,16.1572,18.8935,15.0196,15.7473,15.2499
"F37H8,5",20.1716,20.1064,20.0856,20.039,17.9558,18.141,17.9473,18.1395
"CELE_F55B11,4",16.3859,16.6067,16.3976,16.9632,10.8485,12.0935,14.4985,13.5363
"CELE_F55B11,2",19.5079,19.3109,19.3794,19.3725,16.3778,16.2204,16.8749,16.1752
xhd-1,16.2273,16.3273,16.1126,16.1744,16.1164,16.045,16.3636,16.1884
"CELE_F55B11,3",18.2309,18.1415,17.9598,18.4005,16.7828,17.3621,17.5238,16.9902
haf-3,14.204,13.9256,13.9344,13.9924,14.5615,14.4773,14.0924,14.4987
copz-1,18.0225,17.4061,16.9994,17.1695,16.5591,16.4474,16.5943,17.0253
ctg-1,13.8139,13.9671,13.715,13.7994,14.4032,14.1909,13.6217,14.3855
ran-1,19.526,19.5513,19.4383,19.4787,19.4277,19.335,18.9133,19.2304
"K01G5,5",15.2348,15.2576,15.149,15.2,16.3293,16.1789,16.0532,15.9213
tbb-1,18.3559,18.4182,18.3042,18.3662,18.1508,18.4746,17.709,18.5173
aipl-1,15.4506,15.4132,15.2654,15.2902,15.0088,15.2363,15.0578,15.2732
"CELE_K10C3,5",15.0698,15.6222,15.41,15.5011,14.4405,14.1713,13.9272,14.3298
