geneName;Leading.proteins,log2 eat2_d5_01,log2 eat2_d5_02,log2 eat2_d5_03,log2 eat2_d5_04,log2 N2_d5_01,log2 N2_d5_02,log2  N2_d5_03,log2 N2_d5_04
;A0A0K3AXT9,24.1256,23.1609,23.4014,22.7519,23.1995,23.1103,22.5907,23.4123
;A0A0K3AXT9,20.6564,21.6875,20.5786,19.8244,21.0903,20.3276,20.5,21.1932
;A0A0K3AXT9,23.5538,23.6715,25.0661,23.2446,24.9417,22.9695,24.0447,25.0233
;A0A0K3AY44;O44557,21.2727,21.6916,21.7379,21.0921,21.718,20.6425,21.9202,22.8842
;A0A0K3AY44;O44557,20.6647,20.7967,21.1714,21.5711,21.8112,21.4014,20.9117,20.0854
oig-6;A0A0K3AY85;Q9BPN5,27.2443,25.478,23.7824,26.8731,24.8996,24.8557,22.1453,23.861
oig-6;A0A0K3AY85;Q9BPN5,21.5656,19.5303,21.5522,20.1419,21.2685,20.0667,21.3877,21.8274
;A0A0K3AYE8,20.0202,21.0251,20.72,21.2733,27.9055,27.0344,27.5142,26.667
;A0A0M7RFG7,19.2147,21.5103,21.354,21.0584,21.2617,21.7142,20.3843,21.4964
;A0A0S4XRR1,20.4294,20.0904,21.6607,21.4177,24.4258,22.9297,24.3081,23.7522
;A0A0T7CIX3,26.7985,24.443,24.3687,26.0217,21.6439,21.5395,19.9315,21.6258
;A0A0T7CIX3,21.2652,21.0852,21.4821,20.4149,21.3052,20.7546,21.0599,21.2222
;A0A0T7CIX3,20.508,21.5313,20.7521,21.8189,21.269,20.3956,20.863,22.8918
rpl-11.1;A0A131MBQ6;Q94300,23.1669,25.2568,23.9282,24.4602,24.9599,26.4599,24.8678,25.0134
mdt-18;A0A131MCJ5,20.4518,21.3188,21.6377,20.9612,22.3347,23.0865,22.1952,23.197
rnf-5;A0A131MD51,22.2234,23.2742,23.5723,22.6911,23.9651,23.6088,24.0779,23.4445
fipp-1;O16293,20.3817,20.6603,20.7754,21.0525,21.9341,19.9444,21.4413,20.7045
;O02147,19.8363,22.7227,20.836,20.0648,22.8932,22.4723,23.4205,23.8374
spat-2;F3Y5Q3,21.1803,21.7271,19.6316,20.3644,20.6423,21.2153,20.9879,21.7316
;Q9N350,21.0391,21.4325,21.7888,20.7147,23.3747,22.079,22.1664,22.4012
;Q9N350,22.4724,22.6956,23.5364,23.6952,24.1499,24.1082,22.3118,24.3778
;A0A1N7SYR3,21.2378,19.8349,21.5523,21.7171,20.8211,20.3356,21.5111,21.2207
;A1IMB7,25.965,22.8421,23.3381,23.8852,23.5733,21.7845,22.8928,22.3574
;A3QMB7,21.206,21.5263,21.4968,21.7754,19.9455,20.6474,20.1293,21.8976
;J7SF86,20.2734,20.259,20.0158,21.6882,20.7098,21.5219,20.5711,21.7545
;U4PRJ1;Q95ZL3,21.582,20.1746,21.4126,21.197,21.8276,20.8291,20.0543,20.3575
dhs-3;A5JYX4,20.6948,21.3708,20.6507,21.9711,21.5185,20.5444,20.9012,21.6549
dhs-3;A5JYX4,24.1129,24.3753,24.8917,24.4856,23.8395,23.0608,23.9176,25.3203
dhs-3;A5JYX4,21.245,20.4202,20.87,20.6246,20.7993,19.6805,20.9888,21.5947
dhs-3;A5JYX4,19.3386,20.697,20.7156,21.6778,21.698,21.3442,21.4864,21.7275
dhs-3;A5JYX4,20.2291,20.613,19.7949,19.4653,21.0697,20.5825,19.883,20.5889
;A5PEY0,25.5355,25.6998,26.2741,26.2982,27.4033,26.922,25.801,26.8877
;I2HA81,24.7242,27.0789,27.0492,27.1398,26.6272,25.9055,27.2079,26.4594
;A5Z2W7,21.0167,20.4802,21.2138,21.5717,20.8655,20.101,21.3691,21.1898
;A5Z2W7,20.2934,20.4612,21.815,19.0872,24.4835,24.6633,24.3086,24.2365
;A6PVA5,19.7895,20.7534,21.4499,21.8348,21.99,22.4947,22.7624,22.5354
;Q20621,21.1897,20.0253,19.5769,20.4429,21.6043,20.7484,20.4864,21.8316
tag-296;A7DT41,21.5836,19.9429,20.6132,20.6201,19.6347,21.7686,21.4388,20.9624
tag-296;A7DT41,21.4812,22.0996,22.6976,22.4475,21.7511,20.3296,20.3976,20.8546
tag-296;A7DT41,21.3677,19.7855,21.0483,21.2688,24.5874,23.6456,22.4487,24.0283
tag-296;A7DT41,21.2246,20.1147,20.8393,20.825,21.5633,20.72,20.9932,21.6218
tag-296;A7DT41,24.3781,24.4253,24.7751,24.4764,24.3909,24.2133,23.16,25.5037
tag-296;A7DT41,19.7496,20.66,21.2118,21.2848,24.1986,24.159,23.8291,25.9958
