geneName;Leading.proteins,log2 eat2_d5_01,log2 eat2_d5_02,log2 eat2_d5_03,log2 eat2_d5_04,log2 N2_d5_01,log2 N2_d5_02,log2  N2_d5_03,log2 N2_d5_04
;Q86NI2,21.4433,21.0709,21.3225,21.3962,21.3761,18.5908,21.4514,21.1312
mtch-1;H2KYJ5,20.2256,21.7395,19.958,19.5451,20.9309,21.4912,20.0262,21.5354
pkg-2;Q8MQE2,19.807,19.4899,21.7461,20.3925,23.8489,22.4428,22.0185,22.6016
smk-1;H2KYN7,18.8664,20.8671,21.0569,21.531,21.8971,18.642,21.0098,21.1269
smk-1;H2KYN7,19.8739,19.744,21.2798,18.9937,23.2407,22.2491,20.7486,22.3105
ncx-2;H2KYP4,20.5227,21.7444,20.7371,19.0235,21.1707,20.6882,20.8822,21.5774
ncx-2;H2KYP4,25.6216,24.9396,24.7726,25.2808,22.6336,21.8488,22.6815,23.6137
ncx-2;H2KYP4,20.8507,24.0064,24.0767,22.4916,21.5778,23.0954,21.7339,22.1
vig-1;H2KYR1,20.184,20.7269,21.4672,21.7714,21.1934,20.8947,21.479,19.7348
vig-1;H2KYR1,19.683,18.76,20.3196,21.1018,20.203,21.5666,20.9244,21.3554
vig-1;H2KYR1,20.537,21.2106,21.0805,21.3217,21.1109,21.1729,20.7052,21.6042
vig-1;H2KYR1,20.908,20.7707,20.0485,21.0661,21.7044,21.5111,21.0877,21.4673
vig-1;H2KYR1,21.2221,21.1085,21.321,21.7663,21.4677,20.5955,21.1529,21.6639
vig-1;H2KYR1,25.3991,23.7043,22.8991,23.7949,20.3301,21.2884,21.3526,21.3877
vig-1;H2KYR1,19.9805,20.7195,21.4073,21.4472,21.9648,20.9853,20.8974,21.2981
vig-1;H2KYR1,22.0755,23.9684,23.2152,21.8671,24.1617,23.1374,21.1532,23.5036
vig-1;H2KYR1,20.5267,21.4023,20.7621,21.3324,23.5485,25.5384,24.0436,25.1838
vig-1;H2KYR1,21.0518,20.6404,21.2359,21.0721,21.5784,21.008,21.5379,21.1942
vig-1;H2KYR1,21.3132,20.1921,21.757,21.0091,21.2419,21.7073,20.8072,20.6746
vig-1;H2KYR1,19.1648,20.934,21.3673,18.9507,21.9389,21.2071,21.5244,20.4115
srr-4;O44618,20.8786,21.5244,21.7077,20.9485,23.22,24.0911,24.6798,23.8389
daf-9;H2KYS3,22.3246,23.1446,22.3956,23.1348,23.5836,24.3176,22.6938,23.4202
;Q8MNV5,21.1028,20.9907,20.313,19.1521,20.846,20.714,21.4314,20.9266
ppw-1;Q86NJ8,19.3606,21.7392,21.4805,20.7277,21.0628,20.5245,21.2885,20.8336
nab-1;Q5R3Y6,18.6901,21.2875,21.4012,19.5179,21.7695,21.6642,21.4483,21.4599
clec-266;H2KZ06,20.2394,19.7937,19.2455,21.6718,25.8205,27.1137,23.9217,26.2141
tat-4;H2KZ37,21.5268,21.2222,19.9999,20.1614,22.3658,22.2117,23.5594,23.6991
;H2KZ48,22.2923,22.3344,23.0279,23.8809,21.0136,20.5461,21.4908,21.6386
;H2KZ48,19.662,21.664,19.6199,20.3635,21.4401,21.595,21.2657,21.5463
;H2KZ89,19.9046,20.1829,21.2311,20.7833,20.7561,21.3687,20.3005,19.936
;Q95Q55,23.9395,25.9691,25.2177,24.9429,25.9817,24.7379,25.825,26.4727
;Q95Q55,23.2305,24.3987,24.5693,23.9671,20.4121,21.5392,21.4757,21.6423
;H2KZA9,22.4249,24.3706,22.77,23.1075,23.2352,22.9927,22.5278,23.0106
;H2KZA9,21.0861,23.2593,24.8822,24.3036,23.2371,22.9786,22.3183,22.7798
;H2KZC4,26.943,32.9684,28.2645,24.7525,21.0474,21.4924,19.6047,21.5359
;H2KZD2,20.8459,19.687,19.6099,21.7687,21.8641,19.7703,21.3269,20.2766
pmt-1;Q86NB3,24.8394,23.7495,24.1085,23.6951,20.5594,19.9131,21.4044,20.6918
aka-1;Q18930,20.7012,20.3245,20.8771,21.7061,21.9213,21.1547,20.3921,20.0775
praf-3;Q4TTA9,22.7971,22.0947,21.3909,22.7518,21.714,21.1839,21.2356,21.3178
dpf-3;Q965K3,20.6395,19.7115,21.0376,20.6509,21.4833,21.166,21.2353,20.749
;Q688A5,23.0893,24.986,25.7484,24.3681,21.9562,21.5773,20.7185,21.6922
;Q9BL66,19.9325,20.9857,20.3103,21.3685,19.6473,21.6361,21.2611,20.1435
;H2KZN1,20.3061,21.7611,20.2646,21.6663,20.2062,21.2842,20.9942,21.8132
slc-17.6;X5M917,21.5485,20.4242,21.4843,21.2828,19.2388,19.7257,20.9871,20.3224
ifc-2;H2KZR4,20.307,20.8943,20.5788,20.4739,20.9534,20.7052,20.778,21.3071
ifc-2;H2KZR4,22.8763,23.3505,22.8319,23.1396,20.6698,21.452,20.7926,20.6833
ifc-2;H2KZR4,19.7454,20.7805,21.0428,21.1172,21.172,20.6073,21.1059,21.1611
;H2KZT9,26.782,26.7369,27.4302,27.3156,26.8295,27.9985,26.6616,26.9075
cas-1;H2L023,24.8846,23.7789,23.704,24.7658,26.2916,25.6169,25.7235,25.8126
cas-1;H2L023,23.4411,23.9906,22.5239,22.6832,26.0046,24.7704,24.4986,24.6703
cas-1;H2L023,24.6836,24.3336,21.9364,23.6631,26.2792,25.9874,25.3811,26.3122
cas-1;H2L023,19.2094,20.9602,20.7318,21.9647,21.7174,22.305,22.0366,21.9244
wht-7;H2L028,20.3298,19.9486,21.8419,21.5277,21.5276,21.4574,21.1302,20.135
pmp-5;H2L034,20.2957,21.7308,20.1684,21.8052,21.5296,21.3689,21.4351,21.2734
pmp-5;H2L034,23.3401,24.1541,24.1146,23.7274,20.5493,20.4725,20.1089,20.0207
pmp-5;H2L034,24.6452,24.9497,24.1731,26.1368,23.6119,23.7677,21.8145,22.4493
;H2L048,21.2332,21.6928,21.5493,20.9525,21.1123,21.5478,21.3275,20.5483
;H2L048,23.5584,23.8561,23.6723,23.8486,23.7833,23.559,23.0647,24.0031
;H2L048,21.7321,24.9867,24.4253,23.7869,21.5068,21.1753,20.1044,21.6862
;H2L048,23.6556,23.6906,23.4016,25.0617,22.6713,22.6701,21.7584,21.7966
;Q8MXS5,21.4181,20.767,21.7351,21.76,21.132,19.405,21.327,21.642
;H2L0B6,22.1514,24.7757,24.4142,23.9854,21.599,20.6686,21.1857,21.6781
abts-4;H2L0C4,23.6431,24.5123,24.1896,24.0096,23.9361,23.6842,23.9189,23.5635
;H2L0D1,20.076,19.3771,21.0722,19.8519,21.6301,20.1327,21.3915,21.3078
;H2L0D3,20.8819,21.1,20.0132,21.8907,21.654,20.7808,20.343,21.5495
mis-12;H2L0D9,25.7046,26.8539,25.5665,26.8139,27.3662,27.2879,26.7391,27.4152
mis-12;H2L0D9,26.3037,26.8539,25.5665,26.8139,27.3662,26.9052,25.813,26.9542
mct-4;H2L0E5,20.721,20.0166,21.2348,21.0576,20.8265,21.4445,21.1293,20.4182
mct-4;H2L0E5;H2L0E6,20.8704,20.7009,20.5838,21.0687,22.2521,21.766,19.8177,21.9401
mct-4;H2L0E5;H2L0E6,19.5068,21.7649,21.3816,21.8072,21.6948,20.7805,20.2909,21.884
;Q9N5G9,26.3871,25.3146,26.0423,26.3888,24.5137,24.6999,24.5863,25.4896
ptc-3;H2L0G5,20.5098,23.7706,22.9772,23.9617,24.56,24.6935,24.4199,24.9989
chat-1;H2L0H3,24.5838,23.125,22.6947,23.2173,25.5842,23.8281,24.4792,24.9
lfi-1;H2L0I2;H2L0I3,20.9623,20.7778,21.3891,21.9181,21.7361,20.6876,20.2903,21.4402
lfi-1;H2L0I2;H2L0I3,20.3676,24.1114,21.9286,20.7528,24.1522,22.6969,21.6536,22.2565
lfi-1;H2L0I2;H2L0I3,21.3092,23.6202,24.3197,23.088,21.2081,20.5298,20.7674,21.3221
lfi-1;H2L0I2;H2L0I3,20.7593,20.774,21.2292,20.8914,24.3107,23.5691,21.4972,22.585
lfi-1;H2L0I2;H2L0I3,22.5221,22.3123,22.0819,21.6325,22.9526,23.7939,22.9834,24.0075
lfi-1;H2L0I2;H2L0I3,19.8979,21.2667,20.2003,19.4692,21.3925,20.9322,21.4925,21.0243
lfi-1;H2L0I2;H2L0I3,19.4346,20.6246,20.9264,21.5999,21.1823,21.098,21.3447,20.9312
;Q22095,23.6191,24.3059,24.0291,23.5475,23.7139,24.3512,23.5072,23.7211
dhs-30;H2L0K8;Q65ZI3,21.502,20.1085,20.4427,21.7603,21.2274,21.258,21.3188,20.3554
pod-2;Q9GZI3,23.9549,23.0286,23.1584,24.1307,24.0746,22.7386,24.1479,24.5314
;H2L0R6,22.4075,22.8086,23.4439,21.9885,21.4641,21.5901,20.1991,20.0643
;H2L0R6,23.1728,22.8758,22.494,22.7884,24.845,24.38,24.3154,24.8211
;H2L0R6,23.6918,23.4818,21.9608,23.7242,23.457,24.457,23.2591,24.1331
;U4PC11,19.9333,21.6795,20.475,21.5282,21.7167,21.5437,21.3199,21.5196
tba-1;tba-2;O18688;P34690,21.8889,22.0886,21.3089,23.793,20.3138,21.6051,21.1797,21.7004
tba-1;tba-2;O18688;P34690,24.2073,26.127,27.1713,25.7307,20.8464,19.5823,21.122,20.1051
;H8W3X0,19.2652,21.719,20.664,19.3775,21.8586,21.7594,21.258,21.5016
F08B12.4;H9G2R5;Q19191,22.7574,23.6222,23.2552,23.139,21.6633,20.4604,21.0752,21.4099
F08B12.4;H9G2R5;Q19191,21.0491,19.4871,21.2646,20.9177,21.0174,21.2827,21.5116,21.2635
idh-1;Q21032,19.4488,19.3218,21.1425,19.152,21.4274,21.5645,20.4447,21.1866
idh-1;Q21032,26.0423,26.2419,25.8518,25.7319,27.421,27.0838,26.3194,27.5626
pah-1;I2HA98,20.0758,21.2014,21.7045,20.6375,21.8842,20.6666,21.4244,20.3907
pah-1;I2HA98,22.9527,23.3764,25.2068,23.395,21.959,21.3446,21.2168,20.6083
pah-1;I2HA98,20.3457,20.6766,21.776,20.7587,21.639,20.9124,20.6086,21.593
brp-1;I2HAF4,26.854,27.9714,26.9944,28.417,26.2614,28.053,27.7888,28.6005
brp-1;I2HAF4,27.8223,29.2439,29.3906,30.0302,28.8903,28.8923,28.958,29.0977
brp-1;I2HAF4,27.8577,28.3006,28.5043,28.1168,27.0276,26.2612,26.0494,27.4635
rpl-30;I2HAJ2;Q9XWS4,22.7156,21.7667,22.6442,22.6085,21.622,22.548,22.1438,22.155
rpl-30;I2HAJ2,20.6699,21.4007,21.842,20.7697,21.8423,21.5351,20.8754,21.1823
his-40;his-2;his-74;K7ZUH9;Q27532,20.0342,21.1804,21.1042,20.759,25.5159,24.5302,24.9281,25.5418
his-40;his-2;K7ZUH9,20.1916,21.381,21.7793,20.8564,21.4971,21.448,21.4924,21.5006
zbp-1;Q6A582,21.467,20.9794,21.8289,20.248,21.6213,20.3753,20.8034,20.7797
cdh-12;K8F801,21.179,21.2594,20.9791,21.4353,21.3529,21.3414,20.6762,21.9118
lev-11;K8FDX2,20.6473,21.7254,20.815,21.5275,24.7641,24.8377,25.0628,24.5317
;K8FDZ1,21.5182,21.6208,20.8988,21.0509,21.2486,21.5058,21.3389,21.8123
;K8FDZ1,21.4921,21.7517,21.7704,20.3582,19.5417,20.7795,21.5348,20.3938
;L8E833;Q23179,21.4431,19.3805,20.9754,20.6615,21.737,22.157,23.2602,22.6771
;L8E833;Q23179,29.7726,30.0704,30.3741,30.1611,25.5837,25.7443,25.7397,25.2246
;L8E833;Q23179,21.6259,20.4105,21.8093,20.7984,23.743,23.1713,22.1711,21.8451
;L8E833;Q23179,19.8544,21.6202,19.6224,21.6001,21.6008,20.0305,21.0157,21.2162
;L8E833;Q23179,23.8146,24.0948,22.8416,23.9538,24.6476,24.1266,24.9369,24.9413
;L8E833;Q23179,24.5375,25.5771,25.0554,25.0386,27.1748,26.888,27.4237,28.1007
;L8E833;Q23179,20.7139,21.16,21.5154,20.1984,26.1451,23.8351,24.072,26.3522
;L8E833;Q23179,24.2392,22.9929,22.3461,23.195,23.6895,24.0222,22.9848,22.9495
ZK688.5;L8EC34,20.9031,19.9837,19.7166,21.196,20.9972,20.9976,21.4079,20.7874
ifb-2;M1Z854,24.7295,25.7908,26.2175,25.6102,25.2325,27.7158,26.5433,27.1718
ifb-2;M1Z854,19.0538,21.3738,20.8485,20.5515,20.5958,21.513,21.1599,20.6997
ifb-2;M1Z854,19.7623,21.4897,20.4921,21.0179,19.6692,21.3553,20.2458,21.7728
;N1NSD4,23.3039,23.1275,24.6557,23.842,21.3062,20.4169,21.4101,20.6339
;O01477,21.6079,21.2947,21.1674,20.8575,22.7137,23.1949,21.9758,23.022
soap-1;O01485,22.9894,24.4355,24.5069,23.719,24.2205,24.8576,23.3624,23.6644
stam-1;O01498,29.0842,29.2091,29.5201,29.3054,28.3146,27.2027,27.2565,28.5252
stam-1;O01498,21.3133,20.7093,21.087,20.3277,21.5938,21.1069,20.891,21.6115
stam-1;O01498,19.5561,20.5116,21.4802,20.176,21.6266,20.6847,21.5055,21.6343
rpa-2;O01504,23.3255,26.0144,25.37,25.4326,24.9123,25.1607,23.3824,24.7818
rpa-2;O01504,23.3281,22.6804,21.9391,23.1042,25.1011,23.505,24.185,23.8544
rpa-2;O01504,20.4311,21.6983,20.8823,21.0436,24.3498,23.5907,22.381,22.0766
rpa-2;O01504,21.4761,21.5084,20.9051,21.0429,26.2378,26.0583,25.4256,26.0313
aars-2;O01541,19.837,21.8157,21.6208,21.6029,21.3054,20.5234,20.2326,21.1607
cpn-3;O01542,21.2198,21.027,20.18,21.7702,21.9138,21.3336,21.1454,21.4419
npp-11;O01576,19.6658,20.8288,21.1132,21.1283,20.935,19.93,20.1735,21.2752
npp-11;O01576,20.1059,20.715,20.2472,21.3962,21.3151,20.5844,21.425,21.5287
unc-108;O01577,24.5467,23.3258,24.106,23.1746,22.1408,23.3561,25.1868,24.4273
;O01591,20.4733,21.8123,21.2372,20.4362,21.6058,20.8553,20.2781,21.1227
T19H12.2;O01615,21.5541,20.5766,21.1713,20.4533,21.7882,20.7191,21.238,20.4646
T19H12.2;O01615,21.1334,20.9052,20.1114,21.6304,20.7665,20.1618,19.9858,21.5487
T19H12.2;O01615,19.3359,20.951,20.8565,19.3457,21.5683,19.7646,20.1083,21.1494
inx-12;O01634,21.2875,23.5842,23.0256,22.9187,21.3148,21.4081,20.1342,20.6929
inx-12;O01634,26.8012,25.9165,25.4101,26.6933,21.9405,21.5377,20.6008,21.8988
inx-12;O01634,22.2957,23.2967,22.5985,21.7705,21.5469,21.3296,21.1396,21.001
;O01681,27.7512,26.8531,27.4766,27.5888,26.1101,26.2921,26.121,26.8622
rps-17;O01692,21.7746,22.6447,23.6741,22.403,24.2347,24.0929,25.2744,24.6457
rps-17;O01692,20.1991,20.4451,20.7957,20.952,21.4188,20.8761,21.5219,21.118
rps-17;O01692,22.2783,23.2043,22.5659,22.0421,23.8972,24.7764,24.8168,24.8587
rps-17;O01692,20.1347,21.3961,21.3792,20.7187,21.8108,21.1734,20.7924,21.076
rps-17;O01692,24.2365,24.0174,25.5593,24.1315,26.4366,24.5804,25.691,26.9839
unc-89;O01761,23.1249,24.7718,22.9084,23.968,23.5664,24.2186,24.2538,24.0032
rpl-7;O01802,24.0759,26.6529,26.1314,24.4472,20.4662,21.1003,21.1341,21.285
rpl-7;O01802,21.3927,21.241,20.0175,21.2473,20.063,21.0109,20.266,20.7577
rpl-7;O01802,19.2234,21.3032,21.2207,19.9568,20.8914,20.424,21.5314,21.1747
rpl-7;O01802,21.4839,21.1134,19.5748,21.5208,20.7889,21.6167,18.8656,21.8279
rpl-7;O01802,21.4678,21.6599,21.5986,21.4124,23.2041,21.6648,21.6986,21.4805
rpl-7;O01802,23.5988,23.6767,23.0274,24.0573,21.1807,21.5565,19.1193,21.6439
rpl-7;O01802,21.4252,21.8317,21.4219,21.4554,21.5803,21.2694,21.2875,21.3718
acbp-1;O01805,20.7648,21.8033,20.6268,21.449,21.4372,21.4643,20.9233,20.3615
acbp-1;O01805,18.9979,20.4534,19.6408,20.4355,22.0696,22.294,21.6773,21.1188
acbp-1;O01805,23.1215,22.2467,22.8027,24.3503,25.3131,25.2224,25.4414,26.1744
;O01806,23.6523,27.5535,25.7345,23.6173,23.9831,23.1273,21.8849,22.7512
;O01806,19.1149,21.3126,20.1562,21.3278,21.7746,21.5036,21.3638,20.9434
;O01806,19.9123,20.3004,21.2036,21.6508,21.936,22.498,21.957,22.9243
lbp-6;O01812,21.2229,23.196,23.0478,21.8087,20.607,21.4994,20.9088,20.8246
lbp-6;O01812,20.3145,19.9122,21.5653,21.582,21.0395,21.3857,21.2765,21.2368
rpl-24.1;O01868,20.5707,21.7237,21.1725,21.2294,21.6382,20.6609,20.775,21.7504
rps-10;O01869,23.0442,23.9082,23.5041,25.3811,28.0862,28.3045,28.0922,29.0901
rps-10;O01869,22.6043,22.5499,22.7706,21.3585,29.1674,29.2827,28.687,29.7963
rps-10;O01869,23.1356,22.796,22.7072,22.5413,23.9475,23.4434,24.7256,24.7363
rps-10;O01869,32.6481,33.7624,33.9164,33.91,33.4312,33.6246,33.6819,33.4036
rps-10;O01869,23.2147,23.9082,23.6063,23.7778,26.4286,26.3745,24.4404,23.8681
rps-10;O01869,23.7176,22.8944,23.9937,22.6388,25.6649,23.5198,25.4301,26.165
rps-10;O01869,23.7465,21.797,21.5389,24.0382,23.8736,25.3833,22.3412,24.9211
rps-10;O01869,20.6696,21.2684,21.3616,20.7356,25.3848,26.6262,27.5617,27.476
;O01893,20.6966,20.6634,21.7764,21.5599,24.1378,23.5574,23.2183,23.839
;O01893,26.1328,25.1371,25.4883,25.1139,26.289,25.7643,25.0773,26.2225
spin-1;O01927,21.8906,23.9056,22.5894,22.5355,20.8866,20.7469,20.273,21.5307
spin-1;O01927,24.7411,25.6742,26.4118,26.2973,25.3248,24.8489,24.6621,25.741
spin-1;O01927,24.4015,26.256,25.2016,25.0119,25.5472,23.8327,23.2947,24.9098
;O01963,20.7965,20.2657,21.5476,21.2743,23.0485,23.3654,21.6875,21.8816
cuti-1;O02051,21.1948,21.4106,21.7652,20.8187,23.2316,22.6546,19.3042,20.7716
rpl-4;O02056,21.2345,19.6809,21.3936,21.4881,22.8556,22.8171,23.0184,22.1077
rpl-4;O02056,22.3534,23.9012,25.1309,24.6521,20.2331,20.3524,21.0203,21.439
rpl-4;O02056,20.5217,20.6386,21.1152,21.1935,21.8309,21.4175,21.4745,20.4395
rpl-4;O02056,21.4965,23.9364,24.7337,24.6763,22.7669,22.379,23.2852,24.4758
;O02082,19.6443,21.1954,21.3158,21.6938,25.7178,28.1647,25.7987,25.8753
rpb-4;O02092,19.7343,20.1413,20.813,21.8293,21.442,21.6518,20.1077,21.388
pcn-1;O02115,20.3134,21.6014,20.9661,21.4643,21.2427,21.2404,19.7981,21.4429
pcn-1;O02115,20.4945,20.5535,20.3493,21.4533,20.9189,21.2123,20.621,21.4216
;O02155,20.4046,21.1364,20.1873,19.351,21.6973,21.5883,20.998,20.7999
;O02155,20.9667,21.408,21.2427,19.0079,21.3693,21.4908,19.8887,21.8023
pck-2;O02286,24.467,23.9726,25.6843,26.5462,24.8265,25.7113,25.1764,25.6507
pck-2;O02286,18.9567,20.7604,21.2483,21.2847,20.8203,20.9871,20.4105,21.7129
eif-3.C;O02328,20.8909,19.9609,21.6072,19.8212,20.8741,21.631,21.2732,20.8164
nstp-5;O02345,21.2201,20.9691,20.386,21.3172,21.6452,21.7673,20.0969,21.8291
nstp-5;O02345,22.5615,24.1763,23.1029,23.577,23.7512,23.5217,22.4557,23.2944
ifa-2;O02365,21.385,21.8127,21.1246,21.7775,21.7631,21.4109,19.084,21.4321
ifa-2;ifa-3;O02365;Q21065,20.594,20.807,21.3317,21.565,21.8192,19.9075,21.1373,20.8861
ifa-2;O02365,20.7149,21.7467,21.2417,20.5937,20.6828,21.7709,19.0128,21.844
snb-1;O02495,29.4798,30.841,30.7816,30.6037,31.1154,31.1267,30.3864,31.1665
snb-1;O02495,27.7265,27.2754,23.9404,26.469,29.5597,23.6814,24.3235,25.3318
snb-1;O02495,28.7863,29.0671,29.0279,29.2612,28.4249,29.8396,27.8228,28.4543
snb-1;O02495,21.3107,21.5019,20.9275,20.8557,25.8624,25.5395,25.0915,26.1356
snb-1;O02495,25.6822,27.5609,26.3409,27.2721,27.7605,25.9373,26.4616,26.6957
snb-1;O02495,20.5504,19.7534,21.106,21.4164,20.5463,21.5009,20.8442,21.4587
gpx-1;gpx-2;O02621;O62327,21.3687,20.5976,20.1578,20.7538,20.7949,21.2672,20.0771,20.3395
cyp-35a2;O02628,21.7988,23.0503,23.8274,22.7117,21.5295,21.2935,21.1088,21.2503
rpl-19;O02639,22.5978,20.7751,21.9536,23.6137,22.5509,22.6259,22.1594,21.9596
rpl-19;O02639,20.5922,20.9335,21.7312,20.9201,20.8773,21.736,21.0638,21.0906
mdh-2;O02640,21.4799,21.2833,19.2595,19.8628,21.3447,20.969,21.4216,21.6686
mdh-2;O02640,21.4401,19.8522,20.5768,20.9467,21.1031,20.2312,21.404,20.6173
cyp-33c8;O02641,20.2427,21.8353,21.4001,20.963,22.8615,22.8975,23.1108,22.2273
cyp-33c8;O02641,20.7498,21.307,20.1335,21.9153,20.7034,20.627,21.5215,21.1019
unc-64;O16000,22.5848,23.8388,23.1496,22.3343,22.6706,22.1255,22.5239,23.1745
unc-64;O16000,23.4408,24.1088,23.6312,24.255,24.0702,24.2704,22.6605,23.9614
;Q8MXK1,22.0241,24.9756,24.4804,24.7011,25.33,23.2515,24.6118,26.0016
mcm-7;O16297,21.2507,21.4433,21.6085,20.7842,21.0701,21.2448,20.6818,20.1264
dnj-19;O16303,20.7791,20.7412,20.9079,20.9792,23.5798,23.5703,23.1903,23.581
dnj-19;O16303,20.5184,20.6484,20.4534,20.486,24.0063,24.2141,22.5282,23.0928
dnj-19;O16303,23.6917,23.622,23.561,22.0566,24.6248,24.6459,24.1494,22.9104
cmd-1;O16305,20.3822,21.1304,20.8473,21.2044,21.9447,20.5353,20.5391,21.6873
cmd-1;O16305,22.1052,22.8471,23.1764,23.5014,26.2454,25.0639,25.2593,24.8573
cmd-1;O16305,23.7004,23.6328,23.5505,23.5098,23.5862,23.4099,23.1235,22.8857
cmd-1;O16305,24.8238,26.118,25.247,26.5181,27.4567,25.8086,24.4647,26.7734
cmd-1;O16305,21.4898,20.132,19.7041,20.5783,23.7337,24.9374,24.7853,25.1522
catp-3;O16331,21.2012,24.0454,23.8151,22.3674,25.0218,24.7893,24.9436,25.736
catp-3;O16331,30.3014,27.6178,27.2264,28.9333,19.8327,20.118,21.4106,21.457
rpt-2;O16368,21.1536,20.8962,19.1513,21.7825,21.7263,20.3041,20.6068,21.4232
rpt-2;O16368,19.9647,21.1116,20.6974,19.8859,21.7533,21.5543,20.3806,21.1485
C36C5.12;O16406,26.0035,25.1513,23.5425,23.8318,23.9941,25.2113,24.8464,25.6299
tag-196;O16454,21.2782,21.8102,21.6932,21.1573,21.1177,21.6431,20.4661,20.3654
atp-4;O16517,19.9084,20.7391,21.0948,20.3747,21.4347,21.096,20.4758,21.5268
atp-4;O16517,19.623,20.5229,21.5612,20.5982,21.4395,21.0715,20.8729,21.7691
atp-4;O16517,19.9772,21.7421,21.1079,21.2628,21.8757,21.2385,21.4553,21.4752
alh-4;Q8MXJ7,22.3466,24.2568,23.3214,22.2677,21.6773,21.0349,20.0597,20.9796
fbxc-50;O16541,20.3191,21.3739,20.2313,21.3782,21.7376,21.5894,21.1912,21.2312
;O16547,27.5789,28.4372,27.6771,28.4088,26.4786,26.6212,26.8181,26.9626
;O16547,20.7434,18.8158,21.769,21.5937,20.729,21.5954,20.9402,21.6897
;O16547,21.7823,22.4865,21.2514,22.1597,21.7167,21.9467,23.1922,22.7284
;O16680,23.3188,21.6593,23.7282,24.1372,21.0099,21.2941,20.1785,21.7005
;O16682,19.9567,21.5707,20.7021,21.1777,25.3601,25.5655,24.6888,24.8405
;O16682,21.4907,20.2122,19.2071,19.6602,21.9046,21.3327,21.3588,21.1088
;O16682,20.3588,21.1677,21.0428,21.834,27.007,26.0055,26.4034,27.1692
;O16682,22.0039,22.5359,22.7761,22.4009,24.6348,23.6671,22.5389,23.9957
;O16682,23.128,24.344,23.8313,24.0034,26.7597,25.879,23.6604,24.2215
;O16682,24.5255,25.1825,24.8012,25.7646,21.4183,21.7429,20.5268,20.5418
;O16682,21.6208,21.0609,20.7232,21.4314,26.2945,24.8506,25.4198,26.0341
;O16682,23.1153,22.5712,22.342,22.9155,26.1977,26.8983,24.8446,26.2143
;O16682,21.244,21.3084,21.7243,21.6764,24.6663,25.1012,24.217,24.549
;O16682,20.8122,21.2245,21.52,21.7539,23.2723,24.1078,25.1395,26.8284
;O16682,21.1149,21.0584,20.0157,21.4662,20.8225,21.7794,20.6042,22.2342
;O16684,24.56,24.4617,24.3188,24.4416,24.4088,24.967,25.6801,25.7677
;O16697,21.112,21.1522,20.3165,20.4328,21.177,21.3144,21.4766,21.8265
;O16697,20.1242,21.0146,21.7419,19.4521,21.8693,21.2877,19.9751,20.6554
pat-6;O16785,20.0623,19.2425,21.6347,20.9286,20.8718,19.8416,20.9242,21.7402
ugt-41;O16922,21.9076,21.1562,21.0025,22.7561,22.9174,22.8652,23.0315,23.051
ugt-41;O16922,24.0433,23.6538,25.1584,25.3201,23.5312,24.1293,24.1943,24.2586
;O16997,21.1834,20.6504,21.6315,21.1679,21.6848,21.0638,21.3525,21.1824
;O16997,19.3544,19.7433,20.6092,21.5767,20.2734,21.3515,21.1085,21.8193
;O17069,26.484,23.87,25.0843,27.2201,26.0771,25.3819,24.734,26.188
;O17069,20.8584,21.0047,20.9649,21.275,21.604,23.104,21.4029,24.0816
rpt-4;O17071,21.4743,21.4998,19.1415,21.2852,20.5653,20.6214,20.1967,20.3832
rpt-4;O17071,24.4391,24.0537,24.4792,24.5423,23.9155,25.5603,24.5639,23.6237
;O17167,21.6767,23.4203,22.7552,23.7356,24.8818,23.673,23.1202,24.1368
;O17168,20.3769,19.3747,20.7372,21.7741,21.1515,21.6664,20.4187,20.9137
fbxa-165;O17199,21.0422,21.8409,19.8439,21.5102,22.7208,22.1751,21.2992,22.3575
rps-22;O17218,23.7443,23.7546,23.3174,24.1503,24.8026,25.5166,25.2711,26.6813
rps-22;O17218,23.7523,25.6535,25.4352,24.9541,27.4999,26.3949,25.7324,26.9769
rps-22;O17218,22.4088,23.8563,22.8871,23.5855,20.9145,21.5082,19.7487,21.5707
mct-6;O17328,20.2325,21.2657,19.1994,21.0854,21.1038,21.5586,20.1693,21.8094
mct-6;O17328,23.5947,23.7181,23.7444,23.9499,24.6875,24.6403,24.3512,23.9972
mct-6;O17328,20.3016,20.0076,20.7598,20.1225,23.4032,22.1699,22.3079,24.0177
mct-6;O17328,19.7754,21.134,21.1521,21.2933,22.3726,22.1671,22.4494,22.6265
mct-6;O17328,22.9045,23.0663,22.4844,22.7245,21.4366,21.4987,21.5077,19.6814
mct-6;O17328,25.2636,23.2458,24.4962,23.5844,19.5643,21.5226,20.5006,20.9583
tth-1;O17389,21.4907,21.2088,21.0136,20.322,24.3643,24.3428,22.0744,23.2195
tth-1;O17389,21.0299,21.6163,20.3243,21.4042,21.8524,21.571,20.878,20.5715
tth-1;O17389,21.3755,20.4444,19.818,21.3708,21.4383,20.6536,19.9584,20.3937
tth-1;O17389,20.7318,20.8993,20.5916,21.7848,21.1976,21.5992,20.735,21.6066
tth-1;O17389,20.581,21.1129,20.2154,21.4471,21.8045,21.6222,21.196,21.8419
;O17390,23.3372,23.6382,24.0626,22.8755,22.3373,22.2716,22.182,24.108
F52H2.6;O17397,23.3395,21.9768,22.2401,22.4401,22.4985,22.0441,21.8168,21.8342
