geneName,log2 daf2_d5_01,log2 daf2_d5_02,log2 daf2_d5_03,log2 daf2_d5_04,log2 eat2_d5_01,log2 eat2_d5_02,log2 eat2_d5_03,log2 eat2_d5_04
"CELE_Y62E10A,13",12.8718,13.6241,13.1723,14.121,13.6624,14.6705,13.0161,13.1788
cars-1,16.4016,16.744,16.2184,16.5853,16.9482,16.9907,16.7258,16.8047
eps-8,12.9619,13.2749,12.9819,12.3774,13.2868,13.2943,13.4311,13.5574
"CELE_T14G10,5;CELE_T14G10,5;T14G10,5;CELE_T14G10,5",17.4503,17.6303,17.2228,17.2181,16.7278,16.9222,16.7445,16.861
pezo-1,15.0058,14.2792,16.2589,16.4128,14.9797,14.1831,14.1785,14.1505
twk-9,18.3046,18.1349,16.8766,16.5732,16.7245,16.8547,16.5382,17.0434
epi-1,17.7883,18.0182,17.4658,17.6494,17.3778,17.2611,17.2211,17.2552
kdin-1,13.0264,13.2506,12.4163,12.606,14.5667,14.1245,13.5735,13.8609
tag-273,17.8664,18.2805,17.7839,17.9963,16.9522,16.8906,16.8216,16.896
"CELE_F13H10,3;CELE_F13H10,3;F13H10,3;CELE_F13H10,3",12.3398,13.2656,12.9281,12.8877,13.204,12.8146,12.8455,12.807
pps-1,13.0455,12.9821,12.6379,12.2496,14.6654,14.5446,14.8951,14.5906
cka-1,12.4489,13.0109,13.5044,12.5409,15.2113,15.2708,15.2935,14.6747
"CELE_R11A8,7;CELE_R11A8,7;R11A8,7",14.9123,15.6116,14.2647,14.2652,13.5273,13.4948,13.3414,13.3991
spp-18,18.1612,19.2322,18.6168,17.7392,16.4987,16.7147,17.2833,16.7405
lin-66,13.9607,13.9884,14.4919,13.7276,11.9923,11.9933,11.806,11.4557
"CELE_F09E10,7",15.7667,14.3877,14.8697,13.2229,13.584,13.4527,12.8148,13.6212
"CELE_F10C1,9",12.8939,13.335,13.0136,12.5557,13.1674,12.9395,13.0649,12.9296
itx-1,15.4011,15.9398,15.4638,14.944,15.392,15.4007,15.3164,15.3035
"CELE_Y41E3,7",13.6666,14.2938,14.4558,14.5345,14.8861,15.2158,14.6431,15.0318
"CELE_Y105C5B,15",15.3516,15.3146,15.5079,14.7261,14.4415,14.4753,14.7231,14.8048
lim-9,15.5677,15.4778,15.6519,15.6344,13.5294,15.0585,14.5216,13.7324
"CELE_Y105E8A,25",15.2256,15.7982,14.7094,14.1762,13.9565,14.6444,14.1362,14.1668
pgp-2,15.1878,15.1079,14.3195,15.1138,14.7406,14.5345,14.7663,14.542
lpd-3,15.7376,15.4629,15.8295,17.9221,19.8249,18.7062,20.3346,16.7774
tln-1,14.0896,14.3584,15.1304,15.6357,15.2793,14.4381,15.0734,14.2001
max-2,14.939,15.944,15.3661,15.3956,15.0382,14.7899,13.6586,14.2145
egl-27,13.0035,12.9126,12.9519,12.2116,14.4324,13.7939,13.9669,14.1113
cdc-14,13.1162,13.1696,12.9349,12.4668,11.9383,11.9019,11.7932,11.7711
daf-16,15.5029,16.118,14.7924,15.0596,14.4295,14.2156,13.8791,13.6415
"CELE_T16H12,3;T16H12,3",12.8176,13.243,13.0141,12.2105,15.5488,15.0549,14.68,14.8117
lev-11,18.1945,18.2566,17.6161,18.0451,15.4347,15.3798,15.0622,15.2719
gld-2,13.108,13.3404,12.8983,13.0307,13.6346,14.8193,13.2643,14.2192
ncl-1,13.1233,13.2828,12.9295,12.354,13.1435,13.1674,13.0787,13.801
"CELE_D1069,3",12.8579,14.5717,13.6722,13.2409,12.2505,12.6677,13.2142,12.9798
lin-23,12.9811,13.007,12.8844,12.5119,14.6408,14.4002,14.6111,13.9143
"CELE_Y50D4B,1",12.6791,13.1274,12.9582,13.0105,12.0247,11.927,11.8877,11.8275
"CELE_Y39A1A,21",12.6679,13.1328,12.9236,12.858,11.9399,12.0333,11.7241,11.8611
dre-1,15.9558,16.6216,16.771,16.8865,20.2126,19.6131,18.8943,19.4377
gck-1,14.3471,15.7522,14.8482,15.0752,14.3773,14.2831,14.0127,14.5954
gly-7,12.8568,12.9011,13.0341,12.6887,11.2755,15.1297,15.0505,14.4373
"CELE_F40A3,3;F40A3,3",19.229,19.3653,19.1852,19.3404,18.3487,18.515,18.2594,18.3426
"CELE_Y50D4B,4",14.882,14.4573,15.2848,15.1476,15.3412,15.5574,15.5704,15.3773
cdf-1,13.0061,13.2643,13.0052,12.683,12.0563,11.899,12.0896,11.7262
unc-34,14.2026,15.0414,14.4932,15.0047,11.9426,11.8636,11.7552,11.6065
tbh-1,17.6662,17.8817,17.5238,17.9933,16.7275,16.8248,16.8399,16.8284
lev-11,23.0006,22.2853,22.7563,22.5511,21.4624,21.8729,21.9365,22.0176
imp-3,12.7313,12.1635,11.3552,15.0767,13.9553,13.9725,13.8905,14.0618
prdx-2,22.1747,22.6427,22.6826,22.4196,21.8293,21.9154,21.7058,21.7695
jhdm-1,15.7781,15.9676,15.4427,15.4694,14.1711,14.1869,13.9833,14.0792
mrck-1,12.7559,13.37,12.706,12.8845,11.8907,12.17,11.9556,13.6651
nhr-86,12.6024,13.4257,12.7296,13.0602,11.994,11.7847,11.651,11.8729
aat-3,12.2343,13.2752,13.096,11.5196,13.2901,13.4854,12.9914,13.0669
"CELE_M02H5,8",20.5728,20.4468,20.1832,20.0518,19.4784,19.5861,19.6017,19.5462
"CELE_T08B1,1",13.9687,15.669,13.6532,15.0808,14.2144,13.8772,13.9616,14.0191
lipl-5,12.9409,13.3299,13.0737,12.895,13.6179,13.7515,13.3196,13.5035
fln-2,17.1875,17.0114,17.0332,17.0301,16.3692,16.3087,16.2015,16.2124
"C14C6,5",17.6022,17.9422,16.9657,17.3221,17.0053,17.1095,16.9841,17.0243
"CELE_T08B1,1",12.9457,13.4114,12.5344,12.7363,11.842,12.1194,12.1122,11.8781
zig-11,14.6646,14.9156,14.6061,14.6926,13.6489,13.9017,13.8618,13.8864
ilys-5,15.4203,16.3956,15.6699,15.9709,16.3945,16.3511,16.3527,16.3028
irg-3,17.9414,18.0534,17.6153,17.6493,16.071,16.0031,15.8602,15.8577
tns-1,16.0681,16.9153,15.4012,16.2823,15.1657,14.8884,14.9202,14.9698
ubr-4,14.211,14.9714,13.4002,12.3817,13.7513,13.275,18.4954,13.2745
ccar-1,15.9062,15.9134,15.2593,16.0242,14.6417,14.5149,14.456,14.3481
ulp-2,15.0984,14.8328,13.81,13.8557,13.9047,13.6471,12.912,13.352
"CELE_T23F4,2",15.9524,16.4898,15.5611,16.1083,14.3993,13.9547,13.198,13.7822
sago-1,14.3915,14.6744,13.799,13.6058,14.1281,13.7752,14.015,13.6909
sago-2,13.0358,12.9485,12.6741,13.0336,15.757,16.1672,15.8732,16.0161
"CELE_K02C4,3;CELE_K02C4,3;CELE_K02C4,3;K02C4,3",12.7838,16.1689,14.468,1.44776,13.6991,13.832,13.4278,14.0084
