geneName,log2 daf2_d5_01,log2 daf2_d5_02,log2 daf2_d5_03,log2 daf2_d5_04,log2 eat2_d5_01,log2 eat2_d5_02,log2 eat2_d5_03,log2 eat2_d5_04
daf-4,15.6361,15.9767,15.8681,16.2957,14.0073,13.9238,13.733,13.9805
hpo-3,13.0529,13.1946,12.7602,12.9604,12.0557,11.692,11.8544,11.8086
acs-22,14.1682,14.5332,15.989,15.5692,15.5221,15.5952,15.4355,15.4668
tag-10,16.2946,16.1949,14.3355,15.2078,15.3715,15.1153,15.1104,15.1775
imb-2,14.6148,14.4241,13.9407,14.3202,14.56,14.623,14.18,14.2704
brf-1,12.7888,13.4321,12.8594,12.8237,12.0288,12.0353,11.8507,11.8149
"CELE_W09B6,4",18.1146,18.5456,18.1833,19.4207,13.9942,12.6971,13.2133,13.2552
irg-7,19.0268,19.1906,18.9814,19.0776,19.0294,19.0553,18.9044,18.959
"CELE_F27B10,1",13.1074,13.1898,12.1236,12.7781,13.448,13.2788,12.8441,12.9414
"CELE_T22F3,3",12.8923,13.4142,12.751,13.0582,14.4729,13.7536,14.4411,14.5207
die-1,16.3004,16.0633,16.51,16.9333,12.576,13.2845,12.6689,12.931
dhs-11,15.0893,15.8438,14.7803,15.2094,15.1269,14.7252,14.7219,14.9904
tbc-14,14.8553,16.014,15.4592,16.612,15.3428,15.0569,14.6554,15.0507
cyp-34a6,12.3641,13.2767,13.0265,12.8207,14.0835,13.9058,14.4655,13.9734
fipp-1,16.0472,16.4329,16.3972,16.8514,13.4667,13.6388,13.8091,13.5684
unc-132,10.2837,13.3735,13.0603,12.2659,14.4148,14.4258,14.2715,13.9988
cdh-4,13.025,13.3835,13.0428,13.0373,13.3504,13.1353,13.0658,12.8024
ajm-1,13.1122,13.1061,12.9004,13.0015,11.8713,12.009,11.8276,11.8538
"CELE_ZC412,3",19.7955,20.1051,19.1745,19.4218,17.3815,17.4424,17.573,17.3302
farl-11,13.1377,12.9324,13.0251,12.9084,12.854,13.1664,12.6039,12.9723
let-711,14.9965,15.2469,14.8239,14.323,15.0757,14.9147,14.7872,14.9327
"C40H1,7",13.1229,12.7546,14.8726,15.9999,14.8673,14.7142,15.055,15.2103
spat-2,15.9484,16.3552,16.2828,16.632,15.2126,15.1118,15.1529,15.2583
aakg-1,12.8972,13.1733,14.5788,13.7361,14.5098,14.3517,14.0566,14.3917
grl-23,13.0913,13.3827,12.7234,12.4017,11.9143,11.9663,11.7497,11.5434
spat-2,14.8033,16.0039,14.9417,15.5504,12.9068,14.0977,13.3469,13.3409
"CELE_Y55F3BR,6",12.9897,13.0292,12.6868,13.0329,12.0709,11.8597,11.8302,11.7828
vab-10,20.0954,20.2813,19.4332,19.8193,19.2772,19.2947,18.8533,19.1476
"eif-3,l;eif-3,L",17.5801,17.3923,18.2137,18.0103,18.8992,18.485,18.6725,18.5558
"npp-25;npp-25;npp-25;Y37D8A,17",15.8287,15.5854,17.4472,17.0293,16.1403,16.7812,16.8121,16.7729
cnt-1,12.688,13.1241,13.015,12.4,12.1153,11.9476,9.87085,11.5245
"C26G2,2",11.8541,13.0257,13.0141,12.9573,14.1511,14.121,13.4449,13.8114
"CELE_F43B10,1",14.524,15.5469,15.5152,14.7828,13.6242,13.0234,13.1848,12.9121
ubc-15,12.7512,13.0022,12.845,12.9454,13.1848,13.219,13.572,13.253
"CELE_Y55F3BR,10",17.4587,18.1853,17.1625,18.2611,12.8284,13.0734,12.57,13.2446
"CELE_Y38F2AR,12",14.8264,15.6474,14.3326,14.5878,13.8951,14.335,14.0047,14.3626
ttr-42,18.114,18.0754,18.7389,19.0724,17.5578,17.4002,17.6601,17.6665
"CELE_H29C22,1",18.7345,18.6543,19.4117,19.5639,17.2318,17.8005,17.7423,17.385
"CELE_F07G6,10",13.0614,13.2118,12.962,13.0299,14.1786,14.2982,13.8313,13.851
ttr-34,12.9425,12.8395,13.0623,12.961,13.064,14.0912,14.3274,13.5116
"CELE_Y49E10,29",12.7177,12.988,12.4982,13.0275,11.8505,11.8016,11.394,11.5255
cnnm-1,12.7167,13.3943,12.2106,12.8055,11.4726,12.0016,11.7959,11.6274
col-138,13.0527,13.4347,13.0455,12.332,13.1775,13.2852,12.1847,13.8049
oac-59,13.1444,13.2048,12.6314,12.7681,11.8727,11.9365,11.7087,11.8609
"C42C1,8",13.6985,15.0083,13.7606,15.2508,14.4975,14.5514,13.902,14.1441
"C42C1,11;AP-1",15.1091,15.6009,14.9778,15.2949,14.8473,14.8097,14.7818,14.875
rpl-34,17.1285,16.8625,17.655,18.0225,18.0362,18.0713,18.2124,18.1066
erl-1,15.6124,16.4046,16.1948,16.2143,15.6087,15.3811,15.3577,15.4373
tag-335,15.3179,15.1994,15.238,14.655,14.7018,14.1614,14.2552,14.1314
fbxa-6,14.0005,13.6527,13.2647,13.6851,12.0549,11.6341,11.6141,11.5366
"CELE_cTel55X,1",12.8093,13.302,12.6293,12.6953,14.3296,13.5019,13.8903,13.4537
"C44C10,9",14.3795,14.4339,13.9266,13.6695,14.3263,14.5836,14.7116,14.557
"CELE_F14D7,12",12.7957,13.016,12.6351,13.0049,11.8775,11.8065,11.7869,11.6451
"CELE_D1086,17",13.0042,13.3308,13.0335,12.8024,11.9725,11.7754,11.7179,11.7717
"CELE_W06G6,15;CELE_Y70C5B,2",12.9708,13.156,12.8178,13.0243,13.1758,13.2071,13.1618,12.9562
"CELE_Y71F9AR,4",12.5769,13.3474,12.3411,12.7264,14.5184,13.0382,12.3358,12.8706
"CELE_Y47G6A,33",16.7815,16.182,15.9714,16.6896,15.6234,15.4406,15.7842,15.6588
"CELE_ZK813,7",19.9388,20.1218,20.893,20.7351,19.165,19.5531,19.0118,19.3298
"CELE_T28A11,2",16.3293,16.4814,16.7128,16.9541,16.0979,15.9674,16.2595,16.0879
guk-1,16.2039,16.8,16.8613,17.0391,16.8004,16.7195,16.5835,16.6208
"CELE_Y53C10A,6",12.6442,12.8762,13.0543,12.9848,11.9464,12.0106,11.7582,11.861
"CELE_Y48C3A,18",12.4206,12.429,12.9918,12.7778,12.055,11.9376,11.8898,11.8659
"CELE_Y39B6A,3",13.722,14.2463,15.0963,14.6482,13.717,13.542,13.2362,13.3423
dab-1,15.0229,15.5429,16.5326,15.2277,14.2548,14.2129,14.0809,14.2306
"CELE_F25H8,1",13.0852,13.171,12.9509,12.9207,13.8347,13.7362,12.9506,13.6441
swsn-9,16.1223,16.7127,15.3695,15.853,14.0427,13.9116,14.0567,13.8405
"CELE_ZC434,7",15.0436,15.5575,15.1552,15.8105,13.0121,12.4457,12.1367,13.0362
rad-50,12.9569,13.3048,12.9959,12.9625,12.5573,11.7242,11.1369,11.676
"C25F9,11",13.5509,14.9179,14.1587,13.9736,11.989,11.807,11.8602,11.7597
sin-3,12.8229,13.3883,12.6937,12.601,14.7803,14.1006,13.8095,13.6259
hmp-1,15.0407,14.7433,17.0032,17.2491,13.8512,14.1158,14.0597,13.8836
dhs-3,17.5699,17.4296,17.4031,17.6217,17.0545,17.096,16.9443,17.0743
nra-2,15.1105,15.4396,15.1025,15.2569,14.7967,14.7982,14.7732,14.7436
"CELE_Y37H2A,14",15.321,15.9662,15.3175,15.0593,14.5683,14.7351,14.5568,14.6544
"CELE_F27E5,7",16.0243,16.7885,14.5097,15.507,14.4553,13.7139,14.8068,14.8396
saps-1,14.2699,14.7796,14.6508,15.8696,14.9202,14.7388,14.6021,14.6935
"CELE_ZK809,8",12.9802,13.4272,12.719,13.0068,12.0242,11.9553,11.8826,11.844
"CELE_D1081,7",13.1119,13.2847,12.8668,13.0715,13.6721,13.808,13.0792,13.606
aph-2,13.0445,13.3234,13.0667,13.0411,11.9073,11.4325,12.0816,12.1571
"CELE_F15B9,10",14.5628,17.1171,15.6987,15.8676,14.9448,15.1828,14.8623,15.0668
"C27A7,5",13.1401,12.9968,12.8392,12.3034,13.4097,13.3996,13.61,13.6954
"CELE_F30A10,13",16.5538,16.5783,15.4204,15.5615,14.0585,13.1099,14.1931,13.1684
"CELE_F30A10,14",17.3493,17.8046,17.959,18.1023,15.3433,15.7875,15.4132,15.6728
"C04H5,7",13.142,13.2514,12.4691,12.4414,13.8955,13.8098,13.9576,14.0295
"C13B4,1",16.483,16.7528,16.2636,16.0414,13.5797,13.5562,13.3513,13.4732
"CELE_F02E9,10",14.8329,15.3626,14.7295,15.2374,14.6209,14.1904,14.3967,14.3862
"CELE_R13H4,2",15.3467,14.5551,15.0076,15.0411,11.8747,12.6002,12.4895,12.7454
"CELE_ZK228,4",12.9336,13.3772,12.8842,13.0426,14.0829,14.316,14.2413,14.3417
"CELE_K02B7,3",16.9592,17.3141,17.1982,17.1259,16.524,16.5371,16.5994,16.4552
nuo-3,16.1672,16.4317,14.8305,16.1235,13.425,13.2845,13.0729,13.2832
"C44E4,5",13.1601,13.0714,14.5676,14.113,11.8236,13.7417,13.3041,13.5715
"CELE_F49E2,2",16.1032,17.0594,15.1026,16.064,15.3451,14.8587,14.6492,15.1869
"T07A5,7",13.1318,13.1353,12.736,12.926,13.503,13.9512,13.635,13.2363
"CELE_T04F8,7",12.9389,13.2706,12.9413,12.8962,13.3989,13.9466,13.9333,13.5914
"gpb5;CELE_T23B12,8",12.7291,13.6358,14.0757,13.0755,12.6798,12.9893,13.2089,12.6161
"CELE_F49D11,10",16.8063,16.5166,15.9331,15.74,15.4817,14.8397,14.9766,15.0976
oxy-5,18.813,19.1901,18.2274,18.6896,17.273,17.1142,17.4623,17.3327
mrg-1,15.8274,15.5545,16.0409,15.9705,15.8933,15.9318,15.7827,15.8439
obr-1,13.0332,13.268,12.8954,12.1354,11.9664,11.6905,11.827,11.8041
igcm-3,14.6854,14.9583,14.7177,15.3303,12.1083,12.0281,12.516,12.0292
unc-16,13.8726,13.1919,13.2512,13.7115,12.9342,13.1892,13.2369,13.4493
gpdh-2,18.5633,18.4478,18.4301,18.4484,18.0988,18.2111,18.004,18.2519
sly-1,16.0324,15.9459,15.162,15.3402,15.279,15.3364,15.1856,15.166
"B0393,9",15.3762,14.8583,15.3091,15.1983,15.1198,14.5703,14.7407,14.698
cisd-1,18.9913,19.2481,19.3309,19.5815,19.0858,19.1754,18.3427,19.1544
"CELE_F09E8,2",15.4541,15.6355,16.1624,15.6997,15.1932,14.9186,14.3732,14.4034
lsy-22,16.5937,17.897,15.7558,16.6846,14.5916,14.6465,14.4427,14.6005
"C24H11,5",13.0818,13.3426,13.0405,12.7657,11.2901,11.8498,11.8332,12.5758
"CELE_F10A3,17",15.9852,15.4612,15.4171,15.3744,16.264,16.0456,15.9413,15.9067
pnc-1,16.5974,17.7286,16.2115,16.4234,15.5559,14.7556,14.9006,14.8459
"CELE_Y94H6A,12",12.8606,13.4104,13.0322,12.7936,12.0386,11.9782,11.8785,11.7587
"CELE_F56C9,6",15.6014,16.2499,14.8267,15.4045,13.699,14.0036,14.3679,14.2865
"CELE_T28D9,4;T28D9,4",14.7436,13.7647,15.1409,15.6361,15.5581,15.5726,15.2549,15.2456
"C28G1,5",14.8929,14.8659,14.961,15.5647,13.9807,14.3091,13.6301,14.1869
gpx-7,12.7785,13.8817,13.6017,13.7694,13.3483,12.6666,12.7571,12.7712
"CELE_F41D9,2",14.8782,15.9473,13.3482,16.5375,13.7838,16.6043,14.4704,17.2714
"CELE_T04F8,8",15.6791,16.1589,16.4309,16.864,15.982,15.9085,15.2966,15.8466
"CELE_ZK856,16",16.0173,16.253,17.007,17.3473,14.3797,14.2616,13.9677,14.0697
"CELE_F23B12,4",13.1341,13.4257,12.696,12.8617,13.8596,14.0729,14.4281,14.3117
"CELE_K09A9,6",13.0836,13.3216,12.8632,12.7979,11.9962,12.0261,11.4419,11.829
"CELE_H14N18,4",12.3351,13.3813,12.8068,13.0463,11.667,11.2961,12.0674,11.7281
"CELE_T12B5,15",12.86,13.2781,12.9257,12.6171,12.0705,11.9855,11.7865,11.8757
"CELE_Y17G7B,20",14.8047,15.1124,14.4509,15.3668,11.9571,11.982,11.6044,11.7946
"CELE_E01A2,1",13.5055,12.7029,12.5736,12.8329,13.8986,14.3004,14.115,14.4558
"CELE_T02H6,1",14.0975,14.9118,13.7559,13.5899,14.7109,14.7223,14.6918,14.6643
"CELE_Y37E3,11",16.8137,16.2133,17.2123,15.9924,16.0928,15.8344,15.4486,15.3572
"CELE_M03F8,3",12.896,13.3659,12.9565,12.9126,14.0585,13.6087,13.714,13.8667
"CELE_F55B12,10",15.7405,14.6986,15.2145,15.9035,11.9712,11.9564,11.8647,11.6653
pptr-2,14.3601,14.1521,15.0532,14.5272,15.0902,14.6783,14.6458,14.6199
"maph-1,2",16.4752,16.8223,16.4792,16.853,16.143,15.3811,15.2568,15.9234
"CELE_K09G1,1",12.7793,13.2196,12.3409,12.9997,14.3218,14.6248,14.1772,14.5382
"B0303,7",16.2117,16.3816,16.1003,15.88,13.5602,13.8117,14.2773,14.3017
"C23H3,3",13.9686,14.0559,13.4374,14.183,14.0318,14.0303,14.0805,13.9875
"C17C3,1",13.3619,13.5964,13.4345,13.5351,14.1555,14.0812,14.3297,14.2761
glna-1,12.9859,13.3544,13.0117,13.0199,15.4211,14.4159,14.1459,14.1257
"CELE_Y61A9LA,11",13.0439,13.4257,12.3035,13.0602,11.9736,14.1109,13.107,12.4325
"CELE_F41E6,5",12.5598,13.3938,13.0617,12.937,13.4433,13.2559,13.1863,13.2767
"CELE_T25B2,2",17.0805,16.6036,17.1596,17.3488,14.671,13.8562,14.2327,13.9572
trpp-1,13.0291,13.15,12.901,12.8031,11.9988,11.9847,11.8618,11.6257
tsp-10,13.0789,13.2041,12.7063,12.8878,11.5724,11.9757,11.8623,11.8363
ugt-26,16.1929,16.2029,16.1446,16.897,17.1543,17.1762,17.0734,17.2
"C14H10,3",14.6345,15.5736,14.3517,13.533,14.7489,14.6143,14.6491,14.5112
"CELE_D1086,10",19.9963,20.0103,19.6325,19.8193,19.1658,19.0757,19.298,19.1183
poml-3,16.8777,16.3685,15.8772,16.4513,14.2787,14.2731,14.2929,14.3547
unc-57,17.1517,17.4588,16.857,17.1118,15.9245,15.8795,15.7757,15.8044
szy-20,15.9856,16.6144,17.9625,16.5612,14.0703,13.1425,14.4363,14.4823
"CELE_T06E4,14",13.0774,12.9902,12.4875,12.9277,11.9412,11.9504,11.6794,11.8052
"CELE_F13G3,10",12.5129,12.9887,13.0143,12.7307,11.606,11.93,11.8337,11.8601
rmd-2,18.1434,17.8381,18.525,18.3382,17.5095,17.2275,17.2661,17.0657
smc-3,15.6024,15.7746,15.078,15.8921,14.5261,14.5001,14.4458,14.7379
ntl-2,14.5941,14.8531,14.2035,14.668,14.4823,14.215,14.622,14.463
gcn-1,15.7754,15.5507,15.7951,15.8896,16.9191,16.7214,16.7089,16.6994
urm-1,18.1438,18.1976,18.3832,18.7141,17.5134,17.5942,17.4573,17.4538
nono-1,16.4315,16.2988,15.8685,16.4711,15.6522,15.6497,15.3708,15.5637
atf-7,13.1239,13.312,12.9029,13.0705,12.0592,11.6421,11.8857,11.8206
vps-26,15.0307,15.2588,15.877,16.3041,15.1388,15.0842,14.7662,14.8535
ndx-9,16.5558,16.6943,15.76,15.8055,14.8026,13.7556,13.762,14.3679
"C14F11,4",16.9351,17.4484,16.223,16.2772,16.7639,16.7119,16.7007,16.6954
abts-1,14.9082,15.726,15.5864,14.8705,15.2848,15.4407,15.0253,15.1531
"CELE_ZK858,6",14.7834,15.139,14.8066,14.5363,15.9892,15.7392,15.8044,15.8304
"C41G7,9",19.4722,20.1656,18.4635,17.628,17.7286,17.8963,17.6788,17.8288
lin-10,14.7805,14.7908,14.2388,14.5273,14.3357,14.1475,13.6711,13.4067
"CELE_M04C9,3",13.0603,13.408,12.8191,13.0433,13.1192,13.4799,13.8366,13.5099
"C31H5,6",13.0798,13.4121,13.0392,12.7918,14.5786,14.2188,14.3934,14.3756
"CELE_ZK355,8",18.7249,19.5607,19.7109,19.8675,13.1145,12.7423,12.9276,13.4448
spds-1,16.1867,15.689,16.6937,16.5207,16.2033,15.7788,16.384,15.5748
nxf-1,13.7299,14.4623,14.1894,14.444,15.2021,15.3723,14.8895,15.0364
"CELE_F38A6,5",12.152,13.6929,13.1243,13.4914,15.5084,14.8211,14.8371,15.2232
"CELE_T03D8,6",15.5997,15.8864,15.4929,15.9246,14.6119,14.5514,14.5963,14.3425
ret-1,17.4001,18.013,17.5113,17.4751,16.794,16.4523,16.724,16.7871
"CELE_D1086,12",15.8176,15.0673,16.0434,15.2894,16.5751,14.7759,14.7471,15.0082
"CELE_F52C12,6",13.6729,15.4948,16.1789,16.5155,12.7404,13.5468,13.9611,13.9331
"CELE_Y40B1A,3",16.2118,15.8323,16.0385,15.7001,13.4158,13.6806,12.6321,13.1169
pals-37,20.4114,20.7502,20.6265,19.9756,17.6498,17.2595,17.1701,17.3171
"CELE_F59A2,2",15.1133,15.44,14.8557,14.867,14.5209,14.2993,14.496,14.0834
ptr-24,13.1401,12.8758,12.9223,12.8773,15.4629,16.4512,16.341,16.3425
"CELE_F11C1,5",12.0933,14.5732,14.4365,14.3477,13.5874,13.9264,15.2209,13.6923
"CELE_Y43F8B,1",18.8891,18.841,19.2274,19.3188,17.7249,17.976,18.1973,17.8196
sam-10,13.0476,13.4206,13.0436,12.9128,12.7483,13.254,12.888,12.6761
dic-1,18.0754,18.1891,18.1522,19.6352,19.2854,18.1001,18.8418,18.0055
unc-68,13.0759,13.231,12.6154,12.969,13.6454,12.5409,12.5556,12.3182
"CELE_T05H10,4;T05H10,4",14.4011,14.6479,15.5634,13.3412,13.7105,13.2104,14.7102,12.7757
"CELE_M05D6,5",15.3661,15.4515,15.713,15.7918,15.8471,15.9103,15.8764,15.7764
ctg-2,14.4582,14.8873,14.3879,15.3911,14.7175,14.1174,14.6755,14.2301
rpl-32,18.1137,17.9064,17.9827,18.7288,18.7956,18.7595,18.9379,18.8961
"CELE_F37H8,3",14.6714,15.0149,14.2591,13.7468,14.6056,14.0712,14.1397,14.8763
clec-146,15.4512,14.8623,13.9801,13.7379,14.965,14.2793,15.2098,14.8038
tnt-3,16.4974,17.0799,16.2796,16.3893,15.9467,15.5132,15.5642,15.3732
mlt-11,15.1827,15.5988,15.3569,15.7079,13.1269,13.2678,13.1013,13.2727
hrpu-1,13.0514,13.0758,13.035,13.0213,12.8373,12.4413,12.7039,13.2272
kcc-2,15.9924,15.9276,13.5813,14.2658,14.176,14.4414,14.4773,12.0315
ced-7,12.9223,13.1435,13.0287,12.7964,14.1153,14.2428,14.0783,15.3812
"CELE_F17C8,9",15.4222,15.7818,14.9892,15.0749,14.8044,15.0879,14.8674,15.0173
unc-119,13.0842,13.3969,12.6241,13.053,12.65,12.9321,12.9717,12.8347
mrpl-46,15.7649,16.2221,16.7317,16.7056,14.2658,15.2795,15.0645,15.1756
"CELE_F40G9,5",12.8526,13.405,12.6614,12.9304,14.2378,14.1272,14.2086,14.3004
"CELE_F40G9,17",13.4242,14.7974,15.0223,14.2874,14.6424,14.9723,14.7765,14.8952
"CELE_Y54G11A,17",14.5487,14.0785,13.5669,13.6132,13.7111,13.266,13.3009,13.5431
let-767,17.1269,17.419,16.6056,18.1997,17.2605,17.1823,17.5792,17.3614
dnj-16,14.2134,14.3862,14.4507,14.5381,17.9715,15.8858,16.646,16.9745
cfim-2,15.9337,15.9838,16.1309,16.1767,14.6719,14.5511,14.1675,14.0939
magi-1,12.8485,13.2515,10.5774,12.3824,15.9363,16.3424,17.0841,16.8551
"CELE_F55D12,2",13.1255,12.7998,12.8736,12.853,14.6737,12.2823,12.911,13.1237
"C39B5,5",14.4407,14.9412,15.0758,15.0352,15.1427,15.2744,14.9165,14.5922
"CELE_Y32H12A,2",13.1346,13.3788,13.0612,12.7915,13.6282,15.9214,13.4285,12.9876
smg-3,12.8526,12.8634,12.8045,12.7234,14.6856,14.391,14.656,14.5563
"CELE_F56B3,4",15.4044,15.551,15.5999,15.2472,14.2167,14.2935,14.1046,14.4887
"CELE_Y34B4A,8",12.9187,13.3826,12.2587,12.6921,12.0574,11.8511,11.8539,11.695
csn-6,15.3776,15.8474,15.1804,15.5119,14.2817,14.747,14.6551,14.1695
marg-1,15.0083,15.2012,15.0727,15.337,15.5866,15.7553,15.7875,15.7618
grsp-2,18.7493,18.997,18.667,18.5994,16.598,16.8051,16.4955,16.6106
"CELE_T28C6,7",16.4694,16.678,16.3024,16.8309,14.9293,15.4033,14.8465,15.4711
"CELE_T20D3,3",16.0832,16.5455,16.0015,16.5609,14.9783,15.1369,14.97,15.016
"CELE_R102,4;R102,4",17.1781,17.3517,17.5161,18.0551,17.1077,17.2108,17.0221,17.0059
sao-1,16.274,16.2693,16.5374,17.2164,14.5251,14.4702,14.4371,14.4944
"CELE_D1086,11",19.0839,19.5251,18.991,18.9998,18.4738,18.3159,18.2383,18.1997
sqrd-1,16.3531,16.7601,16.6129,17.3137,15.3627,14.9893,14.8511,14.8781
