geneName,log2 eat2_d10_01,log2 eat2_d10_02,log2 eat2_d10_03,log2 eat2_d10_04,log2 eat2_d5_01,log2 eat2_d5_02,log2 eat2_d5_03,log2 eat2_d5_04
"CELE_Y62E10A,13",11.8582,11.9786,11.6818,13.1573,13.6624,14.6705,13.0161,13.1788
cars-1,17.491,17.7836,16.9469,16.8786,16.9482,16.9907,16.7258,16.8047
eps-8,13.3212,13.2322,12.972,13.1131,13.2868,13.2943,13.4311,13.5574
"CELE_T14G10,5;CELE_T14G10,5;T14G10,5;CELE_T14G10,5",17.9998,17.8431,17.431,17.6452,16.7278,16.9222,16.7445,16.861
pezo-1,15.2204,15.3511,15.7552,16.1355,14.9797,14.1831,14.1785,14.1505
twk-9,16.561,16.156,16.7497,16.1041,16.7245,16.8547,16.5382,17.0434
epi-1,18.0254,17.6787,17.736,17.8522,17.3778,17.2611,17.2211,17.2552
kdin-1,14.6547,14.2895,14.3799,14.205,14.5667,14.1245,13.5735,13.8609
tag-273,17.2222,16.9598,16.8673,16.9006,16.9522,16.8906,16.8216,16.896
"CELE_F13H10,3;CELE_F13H10,3;F13H10,3;CELE_F13H10,3",13.4196,13.8567,13.4172,13.5172,13.204,12.8146,12.8455,12.807
pps-1,16.4563,15.7657,15.6139,15.7992,14.6654,14.5446,14.8951,14.5906
cka-1,14.9148,13.9611,15.9528,15.8218,15.2113,15.2708,15.2935,14.6747
"CELE_R11A8,7;CELE_R11A8,7;R11A8,7",13.1864,10.5308,11.6429,13.2391,13.5273,13.4948,13.3414,13.3991
spp-18,19.7195,19.6969,18.1225,18.6918,16.4987,16.7147,17.2833,16.7405
lin-66,13.2004,13.2416,12.5728,13.0108,11.9923,11.9933,11.806,11.4557
"CELE_F09E10,7",17.8345,17.0631,13.2338,13.8236,13.584,13.4527,12.8148,13.6212
"CELE_F10C1,9",14.5694,14.4741,13.679,13.984,13.1674,12.9395,13.0649,12.9296
itx-1,16.1498,16.0867,15.8294,15.8565,15.392,15.4007,15.3164,15.3035
"CELE_Y41E3,7",14.3975,14.9845,12.9662,15.3183,14.8861,15.2158,14.6431,15.0318
"CELE_Y105C5B,15",13.3157,12.9472,12.7502,13.0779,14.4415,14.4753,14.7231,14.8048
