geneName,log2 N2_d5_01,log2 N2_d5_02,log2 N2_d5_03,log2 N2_d5_04,log2 N2_d1_01,log2 N2_d1_02,log2 N2_d1_03,log2 N2_d1_04
"CELE_Y62E10A,13",10.7246,12.8939,13.1994,12.3652,13.4942,13.8845,13.8712,13.6388
cars-1,16.0288,16.0264,15.5569,15.6059,16.0888,15.7628,15.7788,16.1181
eps-8,14.1342,12.9341,13.6492,13.7203,13.6373,12.5531,12.7802,13.2235
"CELE_T14G10,5;CELE_T14G10,5;T14G10,5;CELE_T14G10,5",17.5171,16.5847,16.6106,16.7523,16.5923,16.5336,16.4166,16.889
pezo-1,13.722,14.2385,14.3964,14.2946,13.8155,14.1636,14.1229,14.2687
twk-9,17.6586,18.4575,18.3246,17.916,17.3976,17.1534,17.8241,17.5571
epi-1,17.6514,17.3559,17.1822,17.7655,16.8657,16.7427,17.0923,16.9885
kdin-1,13.4012,12.9817,14.2163,13.4658,13.6681,13.8291,13.4314,13.5216
tag-273,16.9615,16.9142,16.9885,17.2432,15.9665,15.8482,16.026,16.1803
"CELE_F13H10,3;CELE_F13H10,3;F13H10,3;CELE_F13H10,3",12.5762,12.6283,12.41,12.2389,12.2756,12.3501,10.9582,12.1981
pps-1,14.3474,14.1023,14.6768,15.287,15.3031,13.9893,14.1854,15.2644
cka-1,13.4878,14.1536,13.55,13.8556,14.182,15.2123,15.0108,14.2918
"CELE_R11A8,7;CELE_R11A8,7;R11A8,7",13.343,14.7779,12.7744,13.8059,13.3919,13.4873,13.3822,13.5391
spp-18,15.0469,15.1157,15.7014,16.2875,14.7652,15.4042,15.9958,16.5278
lin-66,14.0077,13.7704,14.3544,14.8973,13.7457,13.1536,12.5701,11.2878
"CELE_F09E10,7",13.6093,13.9933,14.1876,13.6874,13.1297,13.6954,13.5721,13.5913
"CELE_F10C1,9",13.9452,13.0582,13.5171,14.1013,14.5513,14.0597,14.1416,14.0431
itx-1,15.0756,14.6052,14.7545,15.1934,14.8645,14.8632,14.8308,14.718
"CELE_Y41E3,7",14.5143,14.874,15.3494,14.2494,14.6259,14.8664,15.37,13.9504
"CELE_Y105C5B,15",14.7875,14.7886,14.8223,15.2597,13.2965,12.9016,12.9735,13.2549
lim-9,14.2439,14.2245,14.3268,14.9832,14.5234,14.4169,14.8993,14.6719
"CELE_Y105E8A,25",12.7547,13.4247,12.9829,13.2754,13.2962,13.2075,13.7434,13.4407
pgp-2,14.4009,14.1815,13.6723,14.6201,14.7292,14.8409,14.8326,14.8153
lpd-3,15.4549,16.4514,16.337,16.0881,14.7406,16.5295,17.4577,17.254
tln-1,14.1918,13.9737,14.107,14.251,13.7721,13.5973,14.1944,13.9062
max-2,15.5204,14.5985,13.4376,14.1562,14.2807,13.6385,13.8102,14.131
egl-27,12.576,13.1572,13.132,12.9809,13.5924,15.3326,14.5495,13.7417
cdc-14,11.472,11.1757,11.0624,11.6847,10.0184,9.87131,9.89537,9.90331
daf-16,14.585,14.0713,13.2523,14.1532,13.4251,13.116,13.6714,13.4711
"CELE_T16H12,3;T16H12,3",11.412,11.2337,10.9874,11.7267,12.4847,13.4082,13.6087,12.207
lev-11,15.1948,14.4688,14.6904,15.4279,13.6743,13.3467,13.5871,14.0535
gld-2,11.3677,11.1951,11.1271,11.6101,13.0836,13.5281,13.015,11.7589
ncl-1,14.5409,15.7414,14.0072,14.7912,15.027,15.1476,15.1867,14.9605
"CELE_D1069,3",13.2709,14.0571,14.3065,13.1438,12.4808,10.997,11.3155,6.29544
lin-23,13.3327,12.299,12.7186,13.5858,14.6164,14.6201,14.8182,14.7393
"CELE_Y50D4B,1",11.4711,11.1696,10.8206,11.7053,13.6227,12.8805,13.0266,15.548
"CELE_Y39A1A,21",11.4521,11.2233,11.1725,11.7425,11.3098,11.7244,11.9371,12.1402
dre-1,17.0121,16.1905,15.7812,16.2351,16.8521,17.5528,17.5296,17.0168
gck-1,15.9078,15.5024,15.404,15.9773,15.126,15.0707,14.7736,14.886
gly-7,13.0441,13.3419,14.657,14.036,14.4632,13.9384,14.0462,14.235
"CELE_F40A3,3;F40A3,3",19.056,18.863,18.8798,18.9224,17.6745,18.587,18.0588,17.8006
"CELE_Y50D4B,4",13.0729,14.5398,14.8538,14.1061,14.7622,15.344,15.3902,15.3831
cdf-1,11.2309,10.7954,11.1403,11.687,13.5598,12.8471,12.2454,12.3073
unc-34,15.7234,15.4259,16.9355,15.7449,16.1005,16.2428,15.4881,15.338
tbh-1,16.5062,16.1452,16.3245,17.1621,14.8463,13.869,14.1361,14.6965
lev-11,21.9299,22.0167,22.0209,21.2885,21.6604,21.8609,21.7249,21.1096
imp-3,8.93078,11.0402,10.6452,16.142,11.6595,11.537,11.9189,12.0689
prdx-2,22.0854,22.1847,21.9447,21.9577,20.93,21.236,21.3004,21.2097
jhdm-1,15.3243,14.7986,14.6742,15.1245,14.3853,14.2042,13.9326,13.8015
mrck-1,11.7395,13.5955,13.2878,12.1785,13.3518,13.2695,13.1939,13.5251
nhr-86,11.2685,11.0428,11.2468,11.4639,12.3253,12.373,12.634,12.7489
aat-3,12.9627,13.0532,12.2852,14.8411,12.1389,13.0892,12.9022,12.4945
"CELE_M02H5,8",19.1224,19.493,18.9658,18.9728,18.7358,18.3593,18.3323,18.1816
"CELE_T08B1,1",15.1187,14.4887,14.6688,14.6374,15.4472,15.5818,15.5373,15.2916
lipl-5,13.731,13.7747,12.2415,11.2462,14.6172,14.4394,14.1656,14.5566
fln-2,16.3907,16.6015,16.3384,16.6967,15.8547,15.4755,15.7544,15.8749
"C14C6,5",16.5878,15.9716,15.9966,16.4598,13.4761,13.7285,14.4,13.8321
"CELE_T08B1,1",11.3308,11.1458,11.2457,11.7057,9.92087,9.83609,9.95917,9.86356
zig-11,12.3575,12.1928,12.7751,11.9676,12.6669,12.4196,12.6057,13.0438
ilys-5,16.4699,15.8699,15.9315,16.8144,17.7451,17.5708,17.6705,17.9189
irg-3,17.5753,17.0789,17.0426,17.1917,14.5273,14.1672,14.347,14.7562
tns-1,15.5425,14.8938,14.7866,15.2415,14.9621,15.0611,14.9681,14.9841
ubr-4,10.9007,10.8419,12.2295,12.4937,12.4933,13.1581,12.2734,13.0165
ccar-1,15.0733,14.9261,14.6607,14.2776,14.9522,15.1393,15.5796,15.0925
ulp-2,13.9227,14.4907,14.8008,14.4837,12.7519,13.8253,12.2326,13.9428
"CELE_T23F4,2",14.6301,13.4505,13.9936,14.9059,14.0498,13.1419,13.5994,13.9626
sago-1,13.2114,12.9299,12.1103,13.2928,13.4302,13.4341,13.3097,13.2551
sago-2,16.7445,16.7038,16.0956,16.2426,11.8545,11.9899,12.216,13.436
"CELE_K02C4,3;CELE_K02C4,3;CELE_K02C4,3;K02C4,3",13.6279,13.9799,13.589,9.34186,13.6684,13.1754,13.0629,13.1592
daf-4,13.9809,14.3527,13.3982,15.0507,13.7149,13.1534,13.8904,13.247
hpo-3,11.2987,11.1394,11.1731,11.6731,10.424,11.9341,11.8484,10.5638
acs-22,14.1217,13.6942,13.6335,14.0711,14.6643,14.6948,14.526,14.4845
tag-10,15.0082,14.5885,14.3784,14.6979,14.8529,15.4464,15.6012,15.3167
imb-2,13.9174,13.882,13.8402,13.8063,14.2464,13.7576,13.8201,13.4258
brf-1,13.4709,13.1394,12.7689,13.7489,12.2107,11.89,11.9915,12.3855
"CELE_W09B6,4",13.9775,12.4984,13.5548,13.8286,12.7863,13.1092,13.2238,13.7984
irg-7,18.4456,18.298,18.1992,18.5686,18.4433,18.1981,17.9343,17.8635
"CELE_F27B10,1",14.3326,3.91271,14.0929,11.5426,12.9254,14.2495,14.251,12.7808
"CELE_T22F3,3",11.3367,11.033,11.168,11.5541,9.88843,9.835,9.84919,9.97705
die-1,15.0588,15.0866,13.8978,15.6883,12.188,12.711,12.9452,12.8769
dhs-11,15.0343,15.2846,15.3123,15.0999,15.0334,15.1715,15.2211,14.8428
tbc-14,14.2654,13.9874,14.3445,14.9511,14.4735,14.6009,14.4625,14.6856
cyp-34a6,11.3622,11.0841,11.056,11.5117,13.1808,13.1618,12.5421,13.1831
fipp-1,15.5543,15.7114,15.2037,15.1199,14.3137,13.6219,13.703,14.5507
unc-132,13.9565,14.3631,14.313,14.4141,14.8457,14.5438,14.8722,15.1207
cdh-4,15.3575,16.0375,16.173,15.8722,14.6285,10.7644,12.3328,12.1037
ajm-1,11.255,11.1898,11.2619,11.715,11.6345,9.20727,9.73068,9.71515
"CELE_ZC412,3",18.137,18.0159,18.0333,18.2232,16.3825,16.3468,16.0183,16.3954
farl-11,11.2682,10.9403,11.2586,11.656,12.5623,12.2601,12.5787,11.0992
let-711,14.6299,14.5406,14.5097,14.7324,14.9091,14.9139,14.7055,14.8083
"C40H1,7",12.1926,14.3166,13.9831,12.2316,14.2645,13.5869,14.2285,15.5304
spat-2,15.2715,16.0483,15.169,14.849,14.5842,14.6005,15.0498,14.4684
aakg-1,12.2939,13.639,13.1443,13.0203,12.5361,12.4798,12.5641,13.2818
grl-23,11.2154,11.1904,11.1949,11.6971,12.3924,7.84233,13.0013,9.08838
spat-2,15.3208,14.5097,14.693,14.9303,13.255,13.2865,13.1384,13.2323
"CELE_Y55F3BR,6",11.9964,12.6013,12.7059,12.2536,13.4095,12.62,12.8433,13.1659
vab-10,19.4632,20.1036,19.1478,19.1059,17.4039,16.9936,17.0356,17.4125
"eif-3,l;eif-3,L",16.9735,17.242,16.8179,17.1523,17.153,16.7416,16.7568,17.3188
"npp-25;npp-25;npp-25;Y37D8A,17",15.368,15.1084,15.3659,15.0904,16.1433,16.2131,16.1249,15.949
cnt-1,13.8988,14.717,14.2952,13.7935,11.1371,12.6871,12.2839,12.3774
"C26G2,2",10.7174,11.7878,11.4483,10.9196,12.1694,12.535,12.8624,11.5929
"CELE_F43B10,1",12.7073,13.758,14.0414,13.4339,13.0402,13.4013,13.6621,13.8394
ubc-15,13.9815,12.2419,14.0954,13.9793,13.8559,14.9652,15.4026,14.352
"CELE_Y55F3BR,10",13.5168,14.3793,14.0736,14.0231,14.4562,14.2971,14.4081,14.3763
"CELE_Y38F2AR,12",13.7159,13.8113,12.9448,13.7027,13.6756,13.3228,13.189,13.3403
ttr-42,16.6593,16.2092,16.0935,16.572,15.3834,16.6743,16.1653,15.7346
"CELE_H29C22,1",17.6766,17.1523,17.0689,18.1387,16.0658,16.055,16.1323,15.6438
"CELE_F07G6,10",12.0488,11.8308,12.0437,13.1728,12.2307,15.4786,14.18,12.9487
ttr-34,15.3741,15.2588,14.908,15.0004,15.2377,15.9983,15.8902,15.3033
"CELE_Y49E10,29",11.3481,11.0248,11.2461,11.6589,9.88784,9.90324,9.96685,9.98732
cnnm-1,11.411,11.2274,11.1961,11.6333,13.485,12.7277,13.3425,13.2982
col-138,15.8591,16.851,15.5253,18.1874,14.9514,14.7604,13.5275,13.502
oac-59,12.6418,13.3357,13.0564,13.4907,13.155,13.3144,12.8476,11.921
"C42C1,8",14.9245,13.3711,12.8346,12.8782,13.0762,12.5553,12.5452,12.9929
"C42C1,11;AP-1",14.9792,14.5922,14.6963,14.9191,14.507,14.5696,14.5518,14.5812
rpl-34,17.6606,17.6059,17.3454,17.7866,19.574,20.0236,19.6242,19.5446
erl-1,15.7521,14.6672,14.9154,15.4121,14.3086,13.6026,13.9195,14.2569
tag-335,14.3896,13.9228,14.0622,14.2881,13.6554,13.9881,13.9747,13.9607
fbxa-6,13.7188,13.7581,13.604,14.1455,13.1911,13.0923,12.6557,12.2958
"CELE_cTel55X,1",13.1924,13.9341,13.8821,13.0292,14.5398,15.1367,15.2355,14.745
"C44C10,9",13.5845,13.4246,12.6757,13.02,14.1886,14.2101,14.3073,14.3652
"CELE_F14D7,12",14.2732,14.205,13.8225,14.4493,14.1236,12.8066,14.2791,16.9308
"CELE_D1086,17",11.1719,11.1497,11.1886,11.6674,12.3931,12.0283,12.3626,12.4447
"CELE_W06G6,15;CELE_Y70C5B,2",10.9531,10.6088,10.9725,11.5879,12.0945,11.9526,12.2859,12.9974
"CELE_Y71F9AR,4",13.1568,13.1195,13.168,13.5543,11.4946,12.668,12.8227,11.3493
"CELE_Y47G6A,33",15.6643,15.3177,17.1308,16.2322,15.886,16.0881,16.1074,16.4014
"CELE_ZK813,7",19.179,19.4707,18.3275,18.8508,16.4209,15.4916,14.1158,16.6534
"CELE_T28A11,2",16.073,15.7607,16.2293,16.6729,15.2786,14.9213,15.2094,15.2847
guk-1,16.18,16.2084,15.9688,15.8316,15.9845,16.1979,16.1398,16.0946
"CELE_Y53C10A,6",11.3442,11.2562,11.979,11.5487,10.2654,11.2035,11.257,10.3809
"CELE_Y48C3A,18",11.4874,11.2284,11.2632,11.7162,12.2969,12.4001,12.8513,12.904
"CELE_Y39B6A,3",13.5762,14.0513,13.1339,12.9822,13.5914,13.5708,13.474,14.2635
dab-1,14.1127,14.3318,13.8559,14.6614,14.2297,14.2801,14.4464,14.5165
"CELE_F25H8,1",12.9333,13.4584,13.7355,13.1334,14.4923,13.6965,13.469,14.0493
swsn-9,14.7328,14.059,13.7612,15.4984,13.0938,13.4431,13.4506,13.3054
"CELE_ZC434,7",13.3508,13.2611,13.0395,14.1214,13.178,12.5662,12.727,13.0425
rad-50,12.3686,14.7136,13.4037,9.81631,8.2136,11.2991,12.0417,10.3254
"C25F9,11",14.2888,13.252,12.746,15.2662,12.7723,15.9069,15.7317,13.7496
sin-3,15.1462,15.0276,16.9016,15.9831,12.7658,11.2803,11.6526,12.6792
hmp-1,16.6114,16.1213,15.5416,16.3904,15.4073,15.6288,15.6941,15.3812
dhs-3,16.3443,16.5117,16.6057,16.6913,16.3399,16.3486,16.5119,16.5189
nra-2,14.6302,14.7245,14.8715,14.9103,15.0574,14.8279,14.9195,14.649
"CELE_Y37H2A,14",15.1477,14.3453,14.0399,15.5989,14.3593,12.5944,13.1906,13.153
"CELE_F27E5,7",15.2246,15.1412,14.7026,15.6364,14.1489,13.4646,13.5682,14.2417
saps-1,13.7714,13.9218,13.7667,14.057,13.9408,14.2913,14.0402,14.0357
"CELE_ZK809,8",11.606,12.2727,12.202,12.4795,10.0039,9.85719,9.76661,9.87878
"CELE_D1081,7",13.3906,12.1633,12.6221,12.9695,12.8055,12.3297,11.9239,12.9526
aph-2,12.7342,12.2502,12.7658,13.2952,12.1691,11.8876,13.1068,9.72659
"CELE_F15B9,10",13.942,14.2609,14.0652,14.2488,14.6877,13.995,14.1269,13.9099
"C27A7,5",11.4729,13.152,13.2071,15.9312,13.0158,13.659,13.4456,13.065
"CELE_F30A10,13",14.2622,14.0627,14.3729,14.7592,13.3899,13.104,12.9573,13.2729
"CELE_F30A10,14",15.3249,15.077,15.024,15.2866,13.8963,14.5468,14.2609,14.2262
"C04H5,7",14.225,13.9455,12.8637,12.9466,12.1988,12.0401,12.1341,12.3346
"C13B4,1",14.3359,11.9927,12.8729,14.5257,12.7224,11.1998,11.8868,12.2042
"CELE_F02E9,10",14.5463,14.4202,14.1601,15.15,12.9656,13.2166,13.3601,12.7306
"CELE_R13H4,2",15.1472,14.348,15.9832,15.8149,15.8669,15.4715,15.7473,16.073
"CELE_ZK228,4",14.2064,14.0838,14.2406,14.998,13.6659,15.5929,13.014,14.0352
"CELE_K02B7,3",17.0013,16.9305,17.4535,17.3347,15.4842,15.9717,15.8603,16.0683
nuo-3,15.9131,15.5007,14.9215,15.6052,14.6403,14.6561,14.3871,13.9839
"C44E4,5",13.4863,14.0119,14.5029,14.0746,13.0856,13.6019,13.0804,13.2907
"CELE_F49E2,2",15.1251,15.1949,14.9224,15.817,14.9222,14.5115,14.6558,14.7803
"T07A5,7",11.4423,11.1743,11.2672,11.671,16.7599,16.6278,15.9673,16.8248
"CELE_T04F8,7",14.102,14.1595,13.3515,13.4529,14.6368,14.4419,14.7348,14.3996
"gpb5;CELE_T23B12,8",11.4447,11.0988,11.0074,11.5973,9.99526,9.93861,9.95365,9.92834
"CELE_F49D11,10",14.4571,14.3022,14.6854,14.7936,15.3927,15.2793,15.3868,15.34
oxy-5,18.4646,18.2708,17.7188,18.3908,18.0946,17.3907,17.1208,17.5382
mrg-1,15.661,15.4692,15.5499,15.747,15.3139,15.1146,15.3598,15.1187
obr-1,11.4452,11.1996,10.9888,11.5608,13.3456,12.3222,12.7199,12.8299
igcm-3,14.8029,13.817,14.2832,15.749,13.0148,13.3857,13.068,12.8401
unc-16,12.5929,14.2998,14.3115,13.6789,12.3277,12.9536,12.9791,12.8507
gpdh-2,18.375,18.5566,17.8789,18.2525,17.6922,17.6101,17.6925,17.6092
