geneName,log2 eat2_d10_01,log2 eat2_d10_02,log2 eat2_d10_03,log2 eat2_d10_04,log2 eat2_d1_01,log2 eat2_d1_02,log2 eat2_d1_03,log2 eat2_d1_04
"CELE_Y62E10A,13",11.8582,11.9786,11.6818,13.1573,12.9683,13.6616,13.4782,13.2256
cars-1,17.491,17.7836,16.9469,16.8786,16.1567,15.8846,16.141,15.9632
eps-8,13.3212,13.2322,12.972,13.1131,13.8975,12.8773,13.4087,13.531
"CELE_T14G10,5;CELE_T14G10,5;T14G10,5;CELE_T14G10,5",17.9998,17.8431,17.431,17.6452,16.91,16.4458,16.5862,16.4466
pezo-1,15.2204,15.3511,15.7552,16.1355,14.6784,14.3752,14.6108,14.3797
twk-9,16.561,16.156,16.7497,16.1041,17.2252,17.1974,17.211,17.4039
epi-1,18.0254,17.6787,17.736,17.8522,16.5375,16.3752,16.5971,16.4363
kdin-1,14.6547,14.2895,14.3799,14.205,13.0048,13.8586,13.8529,12.6856
tag-273,17.2222,16.9598,16.8673,16.9006,15.9666,15.9984,15.9232,16.1421
"CELE_F13H10,3;CELE_F13H10,3;F13H10,3;CELE_F13H10,3",13.4196,13.8567,13.4172,13.5172,13.082,12.5815,12.6605,12.5371
pps-1,16.4563,15.7657,15.6139,15.7992,14.9067,13.8865,13.7469,14.701
cka-1,14.9148,13.9611,15.9528,15.8218,14.5009,14.8805,14.8057,15.3388
"CELE_R11A8,7;CELE_R11A8,7;R11A8,7",13.1864,10.5308,11.6429,13.2391,12.9254,12.9859,13.2029,12.5426
spp-18,19.7195,19.6969,18.1225,18.6918,13.4882,13.6665,16.0098,13.7283
lin-66,13.2004,13.2416,12.5728,13.0108,13.6137,13.1062,13.7746,15.0526
"CELE_F09E10,7",17.8345,17.0631,13.2338,13.8236,13.6949,13.4141,13.5184,13.6471
"CELE_F10C1,9",14.5694,14.4741,13.679,13.984,15.0309,14.0591,13.8953,14.538
itx-1,16.1498,16.0867,15.8294,15.8565,14.4921,14.3969,14.5247,14.3475
"CELE_Y41E3,7",14.3975,14.9845,12.9662,15.3183,13.5437,15.1879,14.7286,14.2836
"CELE_Y105C5B,15",13.3157,12.9472,12.7502,13.0779,13.706,13.7134,13.1718,13.0678
lim-9,15.3832,14.8193,14.8473,15.1495,15.2467,15.1198,15.1758,15.3573
"CELE_Y105E8A,25",13.9614,13.7784,14.6478,14.7926,13.7928,13.4321,13.2535,14.0893
pgp-2,15.6228,16.1057,15.6253,15.3039,14.603,14.3793,14.4219,14.4792
lpd-3,15.3052,15.0215,16.074,16.332,14.1782,16.6237,15.4979,16.5383
tln-1,14.6647,14.9014,15.0604,15.3191,14.3502,13.2031,13.3245,14.2834
max-2,16.1548,15.1678,14.8959,15.649,14.1707,13.7061,14.0444,13.8003
egl-27,13.2442,13.2268,12.8905,13.262,16.3502,17.2088,15.8581,16.6099
cdc-14,13.2845,13.3007,12.968,13.2109,10.6858,10.2011,10.4073,10.5605
daf-16,13.3413,13.1219,12.9981,13.2798,14.1166,13.8847,13.1839,14.1824
"CELE_T16H12,3;T16H12,3",12.9464,12.9749,12.9777,12.7559,14.3255,14.0321,12.9174,14.2336
lev-11,16.8021,16.9075,16.1494,16.3531,14.6444,14.4137,14.0062,14.6316
gld-2,11.6598,13.227,12.8715,13.3196,12.4825,12.7573,12.3399,13.0231
ncl-1,13.1967,12.997,12.3461,12.9394,15.0048,15.1274,15.0056,14.8777
"CELE_D1069,3",13.0882,13.0249,12.7673,12.8456,10.3262,12.131,7.60835,10.4998
lin-23,15.1276,16.229,15.7774,14.8958,16.7725,16.4028,16.1503,16.3081
"CELE_Y50D4B,1",15.5986,15.8312,14.2319,15.0058,14.6389,14.1407,15.2596,15.4452
"CELE_Y39A1A,21",12.8914,12.9515,12.8376,12.9806,11.3144,12.1267,12.0295,10.6682
dre-1,18.4446,16.6005,17.9721,19.5115,16.4058,17.7578,17.2062,16
gck-1,14.6814,15.4939,13.8252,14.6357,15.0427,14.7422,14.8521,14.9281
gly-7,14.3704,14.538,13.3101,13.9649,13.2416,13.7346,13.7728,14.3512
"CELE_F40A3,3;F40A3,3",18.7264,19.1993,18.7377,18.6904,17.7456,17.9368,17.8551,17.4634
"CELE_Y50D4B,4",15.8591,16.0364,16.3143,15.9072,14.9787,15.6712,15.6459,15.6076
cdf-1,13.1981,12.9418,12.8851,13.0385,10.5696,10.3252,10.3024,10.6677
unc-34,13.1527,13.0222,12.6769,13.2592,13.8518,14.466,14.6832,13.4427
tbh-1,18.6965,19.0548,18.5569,18.7819,14.5926,15.0296,14.5775,14.9913
lev-11,21.8933,21.9091,22.2696,21.7953,21.1675,21.4134,20.9223,20.7806
imp-3,14.9406,15.3301,14.4438,14.9481,12.6899,13.082,12.4051,13.601
prdx-2,21.8193,21.3514,22.029,22.1654,20.8942,21.3648,21.233,21.3462
jhdm-1,13.3619,13.9144,13.2782,12.4277,13.7639,13.4889,13.5012,13.6998
mrck-1,12.9324,12.8595,12.7296,13.1484,12.765,13.044,13.4002,13.11
nhr-86,13.2412,13.1367,12.723,13.0741,12.1407,12.7157,12.5374,11.5439
aat-3,14.8507,12.5438,14.7044,14.9367,12.9043,13.3256,12.9065,13.1466
"CELE_M02H5,8",17.8814,18.3561,17.4129,17.281,18.1582,18.0209,17.6519,17.7006
"CELE_T08B1,1",16.8075,16.6283,16.2253,15.8527,15.6044,15.5163,15.4616,15.5904
lipl-5,13.7875,13.0386,13.6151,13.8991,14.0593,14.0521,14.0562,13.4379
fln-2,17.2401,17.0084,17.1824,17.4893,15.7683,15.5146,15.573,15.6207
"C14C6,5",17.8759,17.7461,16.8533,17.1726,13.3778,12.4916,14.7746,12.5963
"CELE_T08B1,1",12.7405,13.151,12.721,13.194,10.6738,10.3378,10.406,10.3975
zig-11,13.8044,13.0533,13.6798,14.5018,11.4791,11.9132,11.7059,11.4122
ilys-5,16.3846,16.399,15.7997,15.8194,16.3559,16.2442,16.7785,16.5289
irg-3,16.1604,17.0106,14.7837,16.0043,12.0239,13.6031,14.0724,13.2157
tns-1,15.776,16.3484,15.637,15.4595,15.3103,15.0886,14.9067,15.0705
ubr-4,14.2463,15.2113,14.8975,15.1344,12.175,13.4889,12.5708,12.6153
ccar-1,15.5799,15.5482,15.0462,15.6596,15.1376,15.0373,15.1087,15.0186
ulp-2,13.0063,12.9344,12.7092,13.3301,14.6588,13.6319,13.6467,14.3612
"CELE_T23F4,2",15.8133,14.8054,15.3543,15.2055,13.3763,12.8645,13.2779,12.2445
sago-1,14.2528,13.9308,13.39,13.9807,13.6895,13.542,13,13.434
sago-2,15.9714,16.1316,15.8783,15.8794,14.5988,14.3745,14.9379,12.6879
"CELE_K02C4,3;CELE_K02C4,3;CELE_K02C4,3;K02C4,3",15.1338,14.0937,14.6206,15.0443,13.6059,13.0851,13.4806,12.171
daf-4,15.3938,15.8197,16.4897,15.9718,14.3909,13.1758,13.5505,13.6891
hpo-3,13.3048,13.2918,12.9594,13.2874,11.1086,11.7108,11.3353,11.1251
acs-22,14.7458,14.7142,15.1839,15.011,14.7618,14.6566,14.8523,14.5628
tag-10,16.1245,17.0136,15.4118,15.4037,15.3004,15.4845,15.367,16.1844
imb-2,15.6993,16.2368,14.6958,15.4748,14.1157,14.0364,13.76,14.1524
brf-1,13.0458,12.7342,12.9938,13.2471,12.86,10.1685,12.0832,12.4267
"CELE_W09B6,4",15.68,15.5589,14.7706,14.3431,12.7675,13.888,13.6697,13.2255
irg-7,19.4416,19.381,19.0262,19.1209,17.7776,17.5662,17.9636,17.7546
"CELE_F27B10,1",13.2298,13.2916,12.8022,13.3336,13.8266,4.00029,13.1449,13.4906
"CELE_T22F3,3",13.3209,13.3028,12.7684,13.2858,10.6188,9.99572,10.4122,10.5953
die-1,13.1744,13.2054,12.5641,13.3621,10.2499,12.8387,12.2804,12.0761
dhs-11,13.765,13.5004,15.6562,15.5333,15.1228,15.1509,15.364,15.081
tbc-14,15.6906,15.8106,15.8825,15.8561,14.8343,15.0339,14.9136,15.0513
cyp-34a6,15.1899,15.7969,15.5454,15.7498,13.4694,13.5735,13.0709,12.9564
fipp-1,13.2832,13.113,12.8723,13.2821,14.2437,13.3246,14.3555,13.8089
unc-132,16.1923,15.5441,16.0539,15.6335,14.6151,14.4978,14.8069,14.7951
cdh-4,13.3397,12.9297,12.8374,13.2936,11.7879,11.5006,11.1287,11.4683
ajm-1,13.0441,13.1996,12.6299,13.194,10.9694,9.90974,11.0537,11.2009
"CELE_ZC412,3",18.8669,19.0285,18.0189,17.9431,16.173,16.0842,16.1339,16.3324
farl-11,13.3,13.0025,12.9875,12.5854,11.4386,12.1576,11.4889,11.3118
let-711,15.9654,15.3583,15.7342,15.6397,14.7561,14.9078,15.0526,15.1894
"C40H1,7",14.5763,14.4699,15.9008,15.0706,15.6414,15.1485,14.5656,15.8509
spat-2,15.5621,15.8213,15.0436,15.1316,14.0406,14.6327,14.1608,14.6439
aakg-1,15.9258,16.2658,16.0502,15.7623,13.0576,12.9201,12.9037,13.4031
grl-23,12.844,13.2261,12.9642,13.0982,14.5158,14.7975,15.1834,14.9063
spat-2,14.143,13.3995,15.8371,15.2707,13.7933,13.2742,12.9591,13.3979
"CELE_Y55F3BR,6",13.1881,13.2986,12.9785,13.1643,13.2224,12.0115,13.2091,12.6604
vab-10,19.3241,19.188,18.8759,19.0655,16.7322,16.2592,16.5955,17.0891
"eif-3,l;eif-3,L",18.3123,17.9605,18.9907,18.9457,17.1061,16.5901,16.7168,17.0278
"npp-25;npp-25;npp-25;Y37D8A,17",16.4943,15.8518,17.1822,17.0772,16.0175,16.6041,15.9879,16.0504
cnt-1,15.9609,14.8263,14.0249,15.4226,14.2779,12.7615,12.6716,13.297
"C26G2,2",13.5636,13.5028,14.9584,13.9699,12.4263,12.8725,12.6666,10.847
"CELE_F43B10,1",13.1894,13.1562,12.0314,13.3612,13.6452,13.6701,13.5638,13.571
ubc-15,14.6706,14.6209,14.3081,14.6214,14.4611,14.8595,14.681,14.7091
"CELE_Y55F3BR,10",15.7842,15.5107,13.9367,16.3988,10.305,10.3478,10.3067,10.5818
"CELE_Y38F2AR,12",14.3588,13.0704,14.4108,14.9409,14.4601,13.7661,14.0696,14.0969
ttr-42,17.0684,17.1944,19.1209,19.6243,15.9733,16.3299,16.4235,16.1323
"CELE_H29C22,1",19.1467,18.3187,18.7729,19.6119,16.1022,16.0613,15.7707,16.5717
"CELE_F07G6,10",13.2493,14.0597,16.8222,15.455,12.6363,15.1037,13.9715,14.0265
ttr-34,14.8987,14.5197,15.5224,14.9811,14.8517,15.1234,14.4223,14.0291
"CELE_Y49E10,29",13.2316,12.9968,12.761,13.2022,10.5597,10.2041,9.77207,10.3405
cnnm-1,13.2965,13.0206,12.7222,13.2602,14.2811,12.4529,12.7964,13.2143
col-138,13.2213,13.2175,12.6434,13.3066,16.1102,15.5075,18.3774,13.5785
oac-59,12.9371,12.9895,12.9224,13.205,10.6963,10.3258,10.3678,10.6429
"C42C1,8",15.3276,15.8413,14.4709,15.0838,13.3195,12.0299,12.1654,12.6484
"C42C1,11;AP-1",15.6315,15.2001,14.7115,14.7244,14.6941,14.6105,14.6021,14.6435
rpl-34,18.3644,18.0717,18.3068,18.0725,19.0439,19.3361,19.5833,18.9555
erl-1,15.7567,15.806,15.591,15.6539,14.8018,14.0277,14.5356,14.4034
tag-335,15.8443,16.8781,14.0068,14.7557,13.5656,13.8849,13.7872,13.7949
fbxa-6,13.2911,13.2543,12.3078,13.1291,10.5923,10.3045,10.3159,10.6458
"CELE_cTel55X,1",16.3365,15.5901,16.5265,16.5262,14.3041,14.6434,14.5889,14.7497
"C44C10,9",15.6477,15.6407,15.3325,15.5629,14.7321,14.4771,14.3639,14.3644
"CELE_F14D7,12",13.2723,13.3002,12.8401,13.2989,13.9293,13.276,13.5475,13.205
"CELE_D1086,17",13.2886,13.3181,12.3891,13.2407,11.8296,11.0529,11.4152,11.6521
"CELE_W06G6,15;CELE_Y70C5B,2",13.3462,13.2587,12.9831,12.9591,15.1267,14.1488,14.1702,14.43
"CELE_Y71F9AR,4",13.2802,13.0755,12.6632,12.4302,10.7357,12.6205,11.9691,12.6464
"CELE_Y47G6A,33",15.9346,15.6335,14.6115,14.3353,16.0929,16.4841,16.2114,16.5278
"CELE_ZK813,7",19.0258,18.3505,20.0342,19.9746,16.7235,14.8446,16.2023,16.5034
"CELE_T28A11,2",18.0888,18.208,17.377,17.5982,12.8823,13.3753,13.9887,13.0954
guk-1,17.1542,16.9726,15.7694,15.5239,15.9572,15.88,15.5812,15.9583
"CELE_Y53C10A,6",13.2496,13.2332,12.8141,13.3425,13.5094,12.8852,13.1171,12.2812
"CELE_Y48C3A,18",13.249,13.2403,12.6538,13.353,10.6638,10.1959,10.3733,10.6592
"CELE_Y39B6A,3",13.2745,11.3815,12.9004,13.3146,14.0284,13.758,13.6189,13.7695
dab-1,14.7244,14.8236,14.6135,14.4728,14.6896,14.2851,14.5171,14.8341
"CELE_F25H8,1",15.363,15.4902,15.6418,15.7276,13.9641,12.892,13.8615,12.3012
