geneName,log2 N2_d15_01,log2 N2_d15_02,log2 N2_d15_03,log2 N2_d15_04,log2 N2_d1_01,log2 N2_d1_02,log2 N2_d1_03,log2 N2_d1_04
"CELE_Y62E10A,13",11.3945,11.8454,12.0607,12.7939,13.4942,13.8845,13.8712,13.6388
cars-1,17.0012,16.427,16.4786,16.2597,16.0888,15.7628,15.7788,16.1181
eps-8,14.7489,13.651,14.3442,14.5962,13.6373,12.5531,12.7802,13.2235
"CELE_T14G10,5;CELE_T14G10,5;T14G10,5;CELE_T14G10,5",17.1779,16.7638,16.9089,17.28,16.5923,16.5336,16.4166,16.889
pezo-1,15.1979,15.0917,15.0032,16.7631,13.8155,14.1636,14.1229,14.2687
twk-9,15.0646,14.0276,15.4946,15.6371,17.3976,17.1534,17.8241,17.5571
epi-1,17.454,17.4416,17.0252,17.381,16.8657,16.7427,17.0923,16.9885
kdin-1,13.6171,14.009,13.8207,13.7303,13.6681,13.8291,13.4314,13.5216
tag-273,16.2946,16.0933,16.3976,16.5315,15.9665,15.8482,16.026,16.1803
"CELE_F13H10,3;CELE_F13H10,3;F13H10,3;CELE_F13H10,3",11.832,12.6645,13.1658,12.7295,12.2756,12.3501,10.9582,12.1981
pps-1,15.271,14.9418,15.2142,15.653,15.3031,13.9893,14.1854,15.2644
cka-1,13.0951,14.5308,14.0703,13.9988,14.182,15.2123,15.0108,14.2918
"CELE_R11A8,7;CELE_R11A8,7;R11A8,7",13.3137,12.9601,13.441,14.0119,13.3919,13.4873,13.3822,13.5391
spp-18,16.8055,17.5007,17.378,16.5791,14.7652,15.4042,15.9958,16.5278
lin-66,12.317,12.1892,12.2635,12.7647,13.7457,13.1536,12.5701,11.2878
"CELE_F09E10,7",15.7195,13.3313,13.1655,13.5176,13.1297,13.6954,13.5721,13.5913
"CELE_F10C1,9",13.0658,12.3597,12.7821,11.6115,14.5513,14.0597,14.1416,14.0431
itx-1,15.3792,15.1967,15.3792,15.2648,14.8645,14.8632,14.8308,14.718
"CELE_Y41E3,7",14.6143,15.5077,15.5166,14.3394,14.6259,14.8664,15.37,13.9504
"CELE_Y105C5B,15",14.2368,14.7536,14.3432,14.4718,13.2965,12.9016,12.9735,13.2549
lim-9,14.2082,15.1166,14.3389,14.132,14.5234,14.4169,14.8993,14.6719
"CELE_Y105E8A,25",14.9721,14.2083,13.9657,14.553,13.2962,13.2075,13.7434,13.4407
pgp-2,15.439,14.9654,15.155,15.4384,14.7292,14.8409,14.8326,14.8153
lpd-3,17.1681,14.8397,15.6861,15.9769,14.7406,16.5295,17.4577,17.254
