geneName;Leading.proteins,log2 rpn6_01,log2 rpn6_02,log2 rpn6_03,log2 ev_01,log2 ev_02,log2 ev_03
vab-10;G5EFK7,25.0559,24.6475,24.9134,22.9457,22.848,22.7052
vab-10;G5EFK7,26.0558,25.9985,25.8307,24.628,25.6194,25.9485
vab-10;G5EFK7,23.4336,23.5926,23.4233,23.0572,22.6955,23.0866
gpc-2;G5ECT6,25.4013,25.3209,25.8398,25.0779,24.3222,24.4572
gpc-2;G5ECT6,23.6329,23.6422,23.4951,23.9673,24.3118,25.0774
skr-1;skr-5;G5ECU1,22.9776,23.0263,22.943,23.0665,24.1854,23.2591
chn-1;G5ECY6,26.0949,26.515,25.9801,24.4136,25.1158,24.7214
vab-9;G5ED30,25.2391,25.8412,25.4039,22.6359,23.0069,23.1211
eea-1;Q5FC45,25.2236,25.5454,24.9548,24.9204,24.14,23.7957
eea-1;Q5FC45,27.8255,27.474,27.4656,26.896,27.2944,26.7792
unc-25;Q8I4D9,28.9042,28.2507,28.9016,28.0617,28.3729,29.7014
sftd-3;G5EDD5,24.5482,24.4422,24.3418,23.0181,22.6751,22.7736
skr-2;G5EDD8,22.4805,22.7413,22.6729,25.1711,25.0562,25.1385
skr-2;G5EDD8,25.3872,25.0911,25.1157,24.8945,25.0562,25.2638
ent-1;G5EDJ3,27.5992,27.0072,26.5675,27.0821,27.4897,27.9646
clh-1;G5EDQ0,25.5842,25.7636,25.4406,24.1794,24.5762,24.4306
sur-6;G5EDR3,24.3888,24.2691,24.2635,22.9174,22.629,22.979
cey-4;G5EDV3,24.5977,24.8473,24.9073,24.4943,24.5912,24.4276
cey-4;G5EDV3,25.7824,26.2051,25.533,24.4987,25.0673,24.6194
cey-4;G5EDV3,26.115,26.2033,26.4249,22.8355,22.9117,23.141
cuc-1;G5EE41,24.3013,24.7542,24.0977,22.9128,22.8754,23.0125
cuc-1;G5EE41,25.5408,25.4676,22.2826,22.8788,22.7226,22.4939
skr-4;skr-3;Q9U1Y9,28.6875,28.3647,28.8296,27.6368,27.375,27.7329
nex-1;G5EEA8,25.9853,25.4554,25.7646,26.1475,25.9587,25.4104
