geneName,log2 eat2_d10_01,log2 eat2_d10_02,log2 eat2_d10_03,log2 eat2_d10_04,log2 N2_d10_01,log2 N2_d10_02,log2 N2_d10_03,log2 N2_d10_04
"CELE_Y62E10A,13",11.8582,11.9786,11.6818,13.1573,14.218,14.1148,11.1635,15.0079
cars-1,17.491,17.7836,16.9469,16.8786,17.4415,17.1778,17.8791,18.122
eps-8,13.3212,13.2322,12.972,13.1131,14.4686,13.7126,14.1819,14.8971
"CELE_T14G10,5;CELE_T14G10,5;T14G10,5;CELE_T14G10,5",17.9998,17.8431,17.431,17.6452,17.6362,17.6537,17.2508,18.0665
pezo-1,15.2204,15.3511,15.7552,16.1355,17.6704,17.5944,18.1401,17.7233
twk-9,16.561,16.156,16.7497,16.1041,14.4523,14.1682,14.2584,14.486
epi-1,18.0254,17.6787,17.736,17.8522,19.3472,19.2119,19.0184,19.2306
kdin-1,14.6547,14.2895,14.3799,14.205,14.0607,13.8599,14.3869,14.7034
tag-273,17.2222,16.9598,16.8673,16.9006,17.9037,18.1408,18.2388,18.4179
"CELE_F13H10,3;CELE_F13H10,3;F13H10,3;CELE_F13H10,3",13.4196,13.8567,13.4172,13.5172,14.2514,13.6343,14.3166,14.7568
pps-1,16.4563,15.7657,15.6139,15.7992,16.9277,16.9882,16.7831,17.9848
cka-1,14.9148,13.9611,15.9528,15.8218,14.8416,15.4305,16.2572,17.6152
"CELE_R11A8,7;CELE_R11A8,7;R11A8,7",13.1864,10.5308,11.6429,13.2391,14.2815,14.3868,14.4725,14.9605
spp-18,19.7195,19.6969,18.1225,18.6918,14.277,14.1225,13.6839,15.0089
lin-66,13.2004,13.2416,12.5728,13.0108,14.25,14.441,14.4749,14.5368
"CELE_F09E10,7",17.8345,17.0631,13.2338,13.8236,14.2173,14.1746,14.1429,14.8907
"CELE_F10C1,9",14.5694,14.4741,13.679,13.984,14.1701,14.1251,14.3814,15.0562
itx-1,16.1498,16.0867,15.8294,15.8565,16.1639,16.1252,16.1658,16.7853
"CELE_Y41E3,7",14.3975,14.9845,12.9662,15.3183,14.6389,15.5725,16.038,15.1986
"CELE_Y105C5B,15",13.3157,12.9472,12.7502,13.0779,14.3666,14.1884,13.6107,14.7568
lim-9,15.3832,14.8193,14.8473,15.1495,14.3061,14.3051,14.3001,14.9978
"CELE_Y105E8A,25",13.9614,13.7784,14.6478,14.7926,14.281,14.4162,14.1802,15.156
pgp-2,15.6228,16.1057,15.6253,15.3039,15.5056,14.8773,15.8577,16.2587
lpd-3,15.3052,15.0215,16.074,16.332,14.5079,14.1863,14.3007,14.5037
tln-1,14.6647,14.9014,15.0604,15.3191,14.7834,15.8676,15.3835,15.1703
max-2,16.1548,15.1678,14.8959,15.649,18.3792,17.8231,17.5291,18.4921
egl-27,13.2442,13.2268,12.8905,13.262,14.397,14.1208,14.3659,14.8478
cdc-14,13.2845,13.3007,12.968,13.2109,14.0134,13.9992,14.4636,15.1621
daf-16,13.3413,13.1219,12.9981,13.2798,14.1039,14.3826,14.3178,14.7611
"CELE_T16H12,3;T16H12,3",12.9464,12.9749,12.9777,12.7559,14.2774,14.3938,13.7544,14.5154
lev-11,16.8021,16.9075,16.1494,16.3531,17.5835,17.5333,16.8948,18.4039
gld-2,11.6598,13.227,12.8715,13.3196,14.3488,14.3527,13.9096,14.9169
ncl-1,13.1967,12.997,12.3461,12.9394,14.4803,13.9704,14.4543,15.1209
"CELE_D1069,3",13.0882,13.0249,12.7673,12.8456,14.4058,11.0788,13.4142,15.1272
lin-23,15.1276,16.229,15.7774,14.8958,14.4909,14.3822,13.5793,14.943
"CELE_Y50D4B,1",15.5986,15.8312,14.2319,15.0058,14.4588,14.3447,13.9316,14.7977
"CELE_Y39A1A,21",12.8914,12.9515,12.8376,12.9806,14.5117,14.1148,13.8624,15.0471
dre-1,18.4446,16.6005,17.9721,19.5115,18.8041,18.8026,15.9709,20.6601
gck-1,14.6814,15.4939,13.8252,14.6357,15.7454,13.3462,16.5441,17.5934
gly-7,14.3704,14.538,13.3101,13.9649,17.6391,17.7547,17.8132,17.9318
"CELE_F40A3,3;F40A3,3",18.7264,19.1993,18.7377,18.6904,19.9898,20.3698,19.8862,21.0196
