geneName;Leading.proteins,log2 eat2_d10_01,log2 eat2_d10_02,log2 eat2_d10_03,log2 eat2_d10_04,log2 eat2_d1_01,log2 eat2_d1_02,log2 eat2_d1_03,log2 eat2_d1_04
;A0A0K3AXT9,25.0797,24.7756,24.7697,24.4968,20.2089,21.3739,21.1602,21.372
;A0A0K3AXT9,26.0959,24.4763,24.2506,21.3527,20.4863,20.7412,20.8545,19.7058
;A0A0K3AXT9,26.3155,25.2737,26.0163,27.2178,22.5374,23.6676,22.9655,24.5416
;A0A0K3AY44;O44557,24.2352,23.7219,23.3627,24.0361,20.445,21.4865,21.4319,20.6497
;A0A0K3AY44;O44557,21.8303,20.0851,21.8749,20.5794,20.8052,21.4248,20.9981,20.3659
oig-6;A0A0K3AY85;Q9BPN5,25.6122,25.825,26.0679,26.1032,24.7656,24.4963,24.7206,24.5222
oig-6;A0A0K3AY85;Q9BPN5,23.7861,22.021,23.9979,24.2543,21.0927,21.2122,21.3657,20.2574
;A0A0K3AYE8,26.121,25.6112,25.8081,21.1966,21.5262,22.4827,22.4416,24.4971
;A0A0M7RFG7,21.7591,21.1896,21.4763,20.8821,20.6771,20.6611,20.3198,20.9856
;A0A0S4XRR1,24.166,23.9745,23.9467,20.7393,21.0429,20.6115,19.8162,21.3312
;A0A0T7CIX3,20.4987,20.0837,21.739,21.0109,19.7109,21.4567,21.3905,20.6123
;A0A0T7CIX3,24.1973,23.9414,23.847,25.0905,20.1268,21.1031,21.6238,20.4548
;A0A0T7CIX3,20.1071,21.4045,20.7955,21.4149,21.5981,23.4093,23.2447,21.5807
rpl-11.1;A0A131MBQ6;Q94300,23.0821,23.0649,23.9164,24.2107,22.5722,24.5823,25.1195,24.4063
mdt-18;A0A131MCJ5,19.6342,20.8798,20.8945,20.8499,20.3938,20.5954,20.445,20.7507
rnf-5;A0A131MD51,22.2376,21.4953,21.898,21.6791,21.9222,22.6273,23.9803,23.7033
fipp-1;O16293,21.883,19.9637,21.2698,21.1131,20.6063,19.3543,20.9579,20.2706
;O02147,23.2088,22.1552,23.2034,24.8589,22.3016,24.7085,25.9691,23.2469
spat-2;F3Y5Q3,20.5106,20.4482,21.1887,21.2719,20.7274,21.2712,21.8845,21.3061
;Q9N350,24.572,23.526,25.1125,20.0426,19.6511,20.5802,21.1492,20.5286
;Q9N350,24.3225,24.0131,23.8334,22.6783,20.1667,20.9368,21.2222,20.33
;A0A1N7SYR3,21.9554,20.7005,21.2447,21.1244,19.2409,21.6692,20.9466,20.7021
;A1IMB7,22.3304,21.6851,23.3765,20.1465,21.5437,22.0336,22.2475,23.2573
;A3QMB7,21.8719,19.609,20.6555,20.5194,19.7862,20.3313,21.4998,21.0685
;J7SF86,19.806,19.4739,20.628,19.5981,20.2106,20.7925,21.2625,21.3095
;U4PRJ1;Q95ZL3,21.5834,20.6769,19.9835,20.86,20.1385,21.0131,18.542,21.257
dhs-3;A5JYX4,21.6294,22.8169,21.5663,24.8026,23.1305,23.9312,23.8744,22.6587
dhs-3;A5JYX4,25.3725,25.0324,24.7491,25.1401,22.0736,23.9466,24.1974,23.8034
dhs-3;A5JYX4,20.8163,21.0768,21.1777,21.5562,19.8675,20.7706,20.9515,20.5536
dhs-3;A5JYX4,19.8254,20.2988,21.3845,20.4238,22.1988,22.4953,21.5202,22.1974
dhs-3;A5JYX4,20.5262,21.2221,21.5318,19.8052,22.1074,22.4953,21.5202,23.1808
;A5PEY0,25.1976,23.7598,25.1641,22.4747,20.9131,21.3883,20.6974,20.9538
;I2HA81,25.8246,25.8714,27.0083,25.9346,22.8822,27.0794,27.0144,26.7743
;A5Z2W7,24.6619,24.5041,23.8225,20.9875,20.7838,21.5025,21.4989,21.2999
;A5Z2W7,24.5632,25.1548,24.4441,20.8372,19.3226,20.2489,21.1835,20.6749
;A6PVA5,22.4739,20.8005,21.6686,24.5479,23.262,23.2864,21.0682,22.9927
;Q20621,26.0135,25.5235,25.7943,21.1307,23.2634,22.6777,22.0148,21.3952
tag-296;A7DT41,20.9843,20.4114,19.2772,19.7172,18.8158,21.5728,21.7393,21.1376
tag-296;A7DT41,21.2109,21.1785,21.7718,19.4215,20.3176,21.194,20.477,20.8339
tag-296;A7DT41,21.0691,21.0397,18.0407,20.128,23.8283,24.7014,25.0748,23.9268
tag-296;A7DT41,20.9703,21.2433,20.2388,20.764,20.5484,21.5432,21.2107,20.8539
tag-296;A7DT41,20.9853,20.5556,19.6077,20.4815,24.615,23.7201,24.2872,23.7657
tag-296;A7DT41,20.6182,21.3027,21.5734,20.5954,24.0827,23.2516,23.8585,22.1429
mrg-1;Q9XWW2,21.5353,21.0868,20.6244,20.2584,20.7063,21.5031,21.8584,20.2812
mrg-1;Q9XWW2,20.5101,21.3649,19.961,19.6619,19.1112,21.2878,21.6913,21.2726
igcm-3;A7LPD6,20.99,20.6424,20.0063,21.5853,20.7658,20.7158,20.6376,20.3455
igcm-3;A7LPD6,24.1857,24.8905,25.0602,28.2262,20.8353,20.6443,20.6382,21.3902
gpdh-2;A7LPE6,21.4304,20.3817,21.5546,19.9708,20.5485,21.0322,21.4446,20.9136
;Q5FC71,20.7822,21.4339,21.8781,19.5548,20.8513,21.8524,21.4673,19.8916
;Q5FC71,21.4626,20.0995,21.0815,20.7424,20.0685,21.6842,20.4942,19.9995
;Q5FC71,27.8768,27.0131,26.4436,27.0602,26.5943,28.3036,28.7584,26.3827
;Q5FC71,27.6564,26.5632,27.0377,25.0677,24.122,24.0926,24.8296,27.9515
;Q5FC71,33.3555,33.4188,33.6814,28.1987,29.3594,31.1211,30.7817,29.4716
;Q5FC71,24.2607,23.9958,24.6922,27.0456,21.0924,21.1527,21.2322,20.7167
;A8WFH7,25.0506,25.2506,24.5741,21.1438,23.4759,23.0125,22.4648,22.8125
;A8WFH7,25.379,25.1923,26.3474,23.1536,20.7436,20.9297,21.8716,21.0238
;A8WFH7,24.3052,24.029,24.2603,23.6969,20.3805,22.665,24.4235,21.918
;H2KYH9,21.5225,21.0172,20.8943,20.5508,20.1333,20.809,20.2668,20.3764
mdt-28;A8WHP8;Q65ZB1,23.025,25.3287,22.4559,24.5313,23.8438,22.9258,22.5875,22.9949
mdt-28;A8WHP8;Q65ZB1,21.2604,21.5089,21.1721,21.0287,20.588,21.3695,21.0452,21.043
mdt-28;A8WHP8;Q65ZB1,21.7246,21.272,21.3048,20.635,19.6432,21.2902,21.5098,20.3485
mdt-28;A8WHP8;Q65ZB1,21.8548,21.3014,21.8023,21.4422,20.2697,21.5125,21.7887,21.1808
mdt-28;A8WHP8;Q65ZB1,22.8721,21.7956,23.8906,22.2759,20.8158,21.1233,21.6061,21.1029
mdt-28;A8WHP8;Q65ZB1,20.5827,19.1302,20.1471,21.2666,20.7415,20.7206,21.8826,21.3949
mdt-28;A8WHP8;Q65ZB1,20.0063,20.9434,21.6443,19.7249,21.4412,22.6873,22.6751,20.7767
mdt-28;A8WHP8;Q65ZB1,23.6495,23.3839,23.9651,23.4029,21.4907,21.462,20.2302,20.822
mdt-28;A8WHP8;Q65ZB1,22.4982,22.8863,22.7306,20.3378,23.114,23.335,21.5291,23.5152
mdt-28;A8WHP8;Q65ZB1,21.7567,20.974,21.275,21.41,20.9978,21.1914,21.0732,20.3696
;A9UJN7;Q7YXB8;Q18494,21.6307,21.1563,21.0618,19.4438,20.3034,21.7889,20.2967,20.51
;A9UJN7;Q7YXB8;Q18494,21.7606,21.2241,20.6012,21.0253,20.2461,21.3017,21.539,21.0835
;A9UJP1,20.8337,20.2516,21.7994,21.1831,19.0972,21.5018,21.4749,20.4262
