geneName;Leading.proteins,log2 eat2_d15_01,log2 eat2_d15_02,log2 eat2_d15_03,log2 eat2_d15_04,log2 eat2_d5_01,log2 eat2_d5_02,log2 eat2_d5_03,log2 eat2_d5_04,,,,
mdh-2;O02640,22.0026,20.0033,19.9511,20.2857,21.4401,19.8522,20.5768,20.9467,,,,
cyp-33c8;O02641,21.5908,18.372,20.9192,21.0358,20.2427,21.8353,21.4001,20.963,,,,
cyp-33c8;O02641,22.0438,21.4157,18.7741,21.2953,20.7498,21.307,20.1335,21.9153,,,,
unc-64;O16000,19.4013,21.1406,21.3354,21.2813,22.5848,23.8388,23.1496,22.3343,,,,
unc-64;O16000,21.8717,21.4519,20.8949,20.2069,23.4408,24.1088,23.6312,24.255,,,,
;Q8MXK1,21.5281,20.9127,20.776,21.0577,22.0241,24.9756,24.4804,24.7011,,,,
mcm-7;O16297,21.3802,21.4883,21.181,20.8835,21.2507,21.4433,21.6085,20.7842,,,,
dnj-19;O16303,24.416,23.1616,22.4583,23.0164,20.7791,20.7412,20.9079,20.9792,,,,
dnj-19;O16303,20.8341,21.0592,21.6394,20.656,20.5184,20.6484,20.4534,20.486,,,,
dnj-19;O16303,24.9585,25.7405,24.155,24.1993,23.6917,23.622,23.561,22.0566,,,,
cmd-1;O16305,22.5849,22.212,22.6695,23.6824,20.3822,21.1304,20.8473,21.2044,,,,
cmd-1;O16305,26.8997,26.2499,25.9005,26.4096,22.1052,22.8471,23.1764,23.5014,,,,
cmd-1;O16305,27.3664,25.0366,25.0092,27.0597,23.7004,23.6328,23.5505,23.5098,,,,
cmd-1;O16305,25.1189,27.8491,28.5769,27.9413,24.8238,26.118,25.247,26.5181,,,,
cmd-1;O16305,26.1324,22.8656,22.718,25.7757,21.4898,20.132,19.7041,20.5783,,,,
catp-3;O16331,20.728,20.7041,21.326,21.023,21.2012,24.0454,23.8151,22.3674,,,,
catp-3;O16331,21.3825,20.5326,20.2488,21.0562,30.3014,27.6178,27.2264,28.9333,,,,
rpt-2;O16368,22.4582,22.2214,24.5071,22.2269,21.1536,20.8962,19.1513,21.7825,,,,
rpt-2;O16368,27.1333,23.9236,23.6929,25.2609,19.9647,21.1116,20.6974,19.8859,,,,
C36C5.12;O16406,21.4504,20.7106,20.6658,21.0786,26.0035,25.1513,23.5425,23.8318,,,,
tag-196;O16454,20.7232,21.5618,20.2351,21.5696,21.2782,21.8102,21.6932,21.1573,,,,
atp-4;O16517,20.8101,18.7723,19.8021,21.6911,19.9084,20.7391,21.0948,20.3747,,,,
atp-4;O16517,21.958,19.8629,20.6462,21.1202,19.623,20.5229,21.5612,20.5982,,,,
atp-4;O16517,21.6706,21.3836,21.3083,19.923,19.9772,21.7421,21.1079,21.2628,,,,
alh-4;Q8MXJ7,24.1793,23.2928,22.7279,24.6841,22.3466,24.2568,23.3214,22.2677,,,,
fbxc-50;O16541,20.7811,21.0958,20.7495,21.2703,20.3191,21.3739,20.2313,21.3782,,,,
;O16547,29.098,29.1735,28.6979,26.4687,27.5789,28.4372,27.6771,28.4088,,,,
;O16547,21.3665,21.0721,21.2388,19.7821,20.7434,18.8158,21.769,21.5937,,,,
;O16547,22.1004,21.0358,21.2274,21.5127,21.7823,22.4865,21.2514,22.1597,,,,
;O16680,21.4938,20.5802,21.1621,21.2452,23.3188,21.6593,23.7282,24.1372,,,,
;O16682,22.0246,21.4698,19.6628,20.5013,19.9567,21.5707,20.7021,21.1777,,,,
;O16682,21.1077,20.1322,20.8274,21.7261,21.4907,20.2122,19.2071,19.6602,,,,
;O16682,21.3971,21.5565,19.9634,21.6441,20.3588,21.1677,21.0428,21.834,,,,
;O16682,21.9955,19.9226,20.6965,21.4371,22.0039,22.5359,22.7761,22.4009,,,,
;O16682,20.4352,19.8979,20.3045,21.4081,23.128,24.344,23.8313,24.0034,,,,
;O16682,21.9156,21.2165,21.2501,20.6405,24.5255,25.1825,24.8012,25.7646,,,,
;O16682,21.0654,20.9397,20.7103,20.1422,21.6208,21.0609,20.7232,21.4314,,,,
;O16682,23.452,27.132,27.2197,27.3204,23.1153,22.5712,22.342,22.9155,,,,
;O16682,20.7217,21.1193,21.1668,20.5879,21.244,21.3084,21.7243,21.6764,,,,
;O16682,20.5699,20.6834,20.0884,20.9934,20.8122,21.2245,21.52,21.7539,,,,
;O16682,19.5631,20.8891,20.8049,21.1201,21.1149,21.0584,20.0157,21.4662,,,,
;O16684,26.2511,22.5275,23.785,22.8764,24.56,24.4617,24.3188,24.4416,,,,
;O16697,20.3543,21.1482,21.6992,20.5111,21.112,21.1522,20.3165,20.4328,,,,
;O16697,20.1442,20.5393,20.0131,21.2945,20.1242,21.0146,21.7419,19.4521,,,,
pat-6;O16785,21.7449,21.4665,20.3709,19.9491,20.0623,19.2425,21.6347,20.9286,,,,
ugt-41;O16922,20.1891,21.1872,21.2569,20.2116,21.9076,21.1562,21.0025,22.7561,,,,
ugt-41;O16922,20.4993,20.3227,21.0747,21.3927,24.0433,23.6538,25.1584,25.3201,,,,
;O16997,20.5108,20.2646,20.77,20.621,21.1834,20.6504,21.6315,21.1679,,,,
;O16997,23.2221,21.7397,23.1951,21.1408,19.3544,19.7433,20.6092,21.5767,,,,
;O17069,24.2328,22.1306,22.5399,22.5373,26.484,23.87,25.0843,27.2201,,,,
;O17069,21.5882,19.2101,21.3167,20.7256,20.8584,21.0047,20.9649,21.275,,,,
rpt-4;O17071,21.6421,20.2751,21.0227,20.864,21.4743,21.4998,19.1415,21.2852,,,,
rpt-4;O17071,18.7837,21.0385,21.0843,20.6061,24.4391,24.0537,24.4792,24.5423,,,,
;O17167,24.7723,26.3691,26.0519,25.1886,21.6767,23.4203,22.7552,23.7356,,,,
;O17168,21.8429,22.0429,22.6191,24.4055,20.3769,19.3747,20.7372,21.7741,,,,
fbxa-165;O17199,21.0524,21.5736,21.6761,21.2735,21.0422,21.8409,19.8439,21.5102,,,,
rps-22;O17218,21.6375,21.33,20.1909,21.3457,23.7443,23.7546,23.3174,24.1503,,,,
rps-22;O17218,20.1157,20.1899,20.8739,20.3023,23.7523,25.6535,25.4352,24.9541,,,,
rps-22;O17218,19.5487,19.7085,21.4442,20.097,22.4088,23.8563,22.8871,23.5855,,,,
mct-6;O17328,24.2105,25.6507,26.1563,23.7778,20.2325,21.2657,19.1994,21.0854,,,,
mct-6;O17328,25.9474,23.9757,23.8695,23.8954,23.5947,23.7181,23.7444,23.9499,,,,
mct-6;O17328,21.229,21.0831,21.4953,21.6184,20.3016,20.0076,20.7598,20.1225,,,,
mct-6;O17328,23.344,23.7306,24.2098,24.1977,19.7754,21.134,21.1521,21.2933,,,,
mct-6;O17328,20.8613,20.0853,20.961,21.585,22.9045,23.0663,22.4844,22.7245,,,,
mct-6;O17328,22.0661,20.1866,21.1578,21.1633,25.2636,23.2458,24.4962,23.5844,,,,
tth-1;O17389,20.8854,21.5569,20.0426,19.9803,21.4907,21.2088,21.0136,20.322,,,,
tth-1;O17389,19.3296,20.3949,20.9258,21.3709,21.0299,21.6163,20.3243,21.4042,,,,
tth-1;O17389,21.6764,21.3014,21.4626,18.1197,21.3755,20.4444,19.818,21.3708,,,,
tth-1;O17389,21.7197,20.7281,20.7019,19.265,20.7318,20.8993,20.5916,21.7848,,,,
tth-1;O17389,23.6632,24.8566,24.1486,26.755,20.581,21.1129,20.2154,21.4471,,,,
;O17390,20.0685,19.3409,20.8487,20.7536,23.3372,23.6382,24.0626,22.8755,,,,
F52H2.6;O17397,21.2298,20.9922,20.7357,21.3618,23.3395,21.9768,22.2401,22.4401,,,,
F52H2.6;O17397,27.3577,26.611,25.8108,25.4068,23.8335,25.8682,24.0555,24.1608,,,,
F52H2.6;O17397,21.7244,19.0666,21.2651,20.9446,20.434,23.8922,22.3473,22.6358,,,,
attf-2;O17406,24.2529,24.7231,23.3152,23.1976,19.5877,19.9235,20.917,21.5311,,,,
attf-2;O17406,22.0202,21.7694,23.3152,23.1938,20.0185,21.7305,21.2028,21.4618,,,,
attf-2;O17406,23.8191,26.0012,25.0613,24.5709,21.6278,20.5099,21.2016,20.9796,,,,
attf-2;O17406,25.7349,23.2555,23.0403,23.1409,21.1501,21.3531,21.1738,21.4739,,,,
attf-2;O17406,21.5401,20.4795,21.8196,20.7381,18.9522,20.2863,21.5335,19.7026,,,,
attf-2;O17406,23.7213,22.5196,22.9373,23.2953,20.2116,20.2611,19.6819,20.9643,,,,
attf-2;O17406,23.4213,23.6529,23.1884,22.9455,21.5699,20.642,21.6879,21.4785,,,,
attf-2;O17406,21.0605,20.919,20.1075,21.4335,21.2266,20.0761,21.3828,19.6515,,,,
;O17524,21.4121,20.2773,21.7501,21.1525,20.7,21.4748,20.4159,19.1314,,,,
rap-2;O17599,21.9796,20.2121,21.3672,19.6554,21.2439,21.1809,20.9175,21.4843,,,,
ruvb-1;O17607,23.7047,24.5486,24.3001,24.788,23.282,24.107,23.6965,23.226,,,,
sams-1;O17680,26.7625,21.5357,23.5271,23.2025,20.9941,20.8962,20.3499,21.9083,,,,
;O17682,20.8594,20.3871,19.4863,20.0769,23.456,23.4398,23.3856,21.9703,,,,
nasp-2;O17687,25.7969,25.4907,26.5188,25.3004,20.4378,20.6525,19.9951,20.6083,,,,
nasp-2;O17687,22.0965,20.4972,21.3969,21.1382,21.2023,20.6656,20.9132,20.7458,,,,
nasp-2;O17687,24.7472,25.1871,25.428,25.2466,20.9372,21.1067,21.1652,20.7791,,,,
nasp-2;O17687,21.8936,19.2627,21.2859,20.9276,20.093,21.3989,18.9256,21.5602,,,,
nasp-2;O17687,22.9162,24.1685,26.6106,24.4761,21.2922,21.7292,21.6115,20.9658,,,,
nasp-2;O17687,21.5407,21.5013,21.4096,21.5683,22.8639,22.5687,21.065,22.4853,,,,
nasp-2;O17687,20.6943,21.5478,21.3704,21.5676,26.7305,25.6385,25.6871,26.5501,,,,
nasp-2;O17687,19.9651,20.1362,20.8035,21.0113,21.4066,21.5425,20.6735,20.8085,,,,
nasp-2;O17687,20.856,21.0923,19.4191,21.3037,21.2867,18.619,18.9535,21.4054,,,,
nasp-2;O17687,23.2348,18.5416,19.1413,20.4119,20.8331,22.7576,24.4427,24.4339,,,,
nasp-2;O17687,20.2673,20.5352,21.5143,20.9523,20.0842,20.8416,20.7675,20.5191,,,,
nasp-2;O17687,21.9399,19.9391,18.6293,20.3872,21.4434,21.5034,20.4838,19.9405,,,,
nasp-2;O17687,25.3542,25.4854,26.1232,25.4897,20.5474,20.7239,21.3749,20.1995,,,,
nasp-2;O17687,19.2486,21.2499,20.515,21.7378,19.4146,19.7442,20.1549,20.8205,,,,
nasp-2;O17687,21.5699,19.954,19.5602,20.9888,19.9977,21.7938,20.3835,20.5297,,,,
hda-1;O17695,21.2948,19.7682,20.5482,20.3358,24.271,23.6995,22.8122,22.9923,,,,
;O17742,21.343,19.5841,20.5304,19.2559,19.831,22.2097,21.5638,23.0486,,,,
tkt-1;O17759,21.0974,20.0151,21.7458,20.226,20.3954,19.814,20.0534,21.3201,,,,
tkt-1;O17759,21.7564,21.4436,21.4589,21.3925,18.7618,20.067,20.5902,20.547,,,,
;O17773,19.4761,20.5475,20.2413,19.4595,19.1154,20.9061,20.9458,20.1976,,,,
;O17785,24.5636,23.2372,23.1487,22.8407,24.5769,24.3931,25.0436,24.7725,,,,
;O17785,20.507,20.5359,21.452,20.3993,20.4564,20.3571,21.3588,21.3358,,,,
;O17893,20.8794,21.2228,21.2071,21.2457,20.8395,21.2421,21.7127,21.0357,,,,
ctg-1;O17907,21.7229,21.2538,20.0263,20.9296,20.6467,20.7856,21.4861,19.9353,,,,
ctg-1;O17907,21.1601,19.343,21.1255,18.7102,22.7985,22.8393,24.1768,22.7075,,,,
ctg-1;O17907,21.6396,20.7892,20.9705,20.5138,21.4349,20.4687,20.7158,21.6703,,,,
ctg-1;O17907,20.9869,19.9446,21.1187,21.2892,22.7771,22.0073,24.0108,23.3935,,,,
enu-3.6;enu-3.4;enu-3.5;enu-3.2;enu-3.3;O17914,26.0511,28.2505,26.6295,27.6245,22.4597,23.8527,23.8247,24.5736,,,,
ran-1;O17915,23.7224,21.8508,21.3345,21.6587,20.1265,21.4939,19.8364,20.202,,,,
ran-1;O17915,23.5612,25.6801,24.2973,24.1633,21.4046,20.968,19.8771,21.7825,,,,
ran-1;O17915,23.5612,23.253,23.3243,24.0154,21.2957,21.2663,18.8079,21.9431,,,,
K01G5.5;O17919,23.7716,27.281,26.8652,27.3868,20.9248,20.3924,21.2745,21.5924,,,,
tbb-1;O17921,25.0761,23.9034,23.94,25.3034,21.3046,21.0881,20.838,21.0205,,,,
tbb-1;tbb-2;O17921;P52275,24.2547,22.6435,23.9008,24.9761,24.6839,24.729,24.273,25.4402,,,,
tbb-1;ben-1;O17921;Q18817,20.439,19.5727,21.5187,19.2217,20.9968,20.355,21.4331,21.1902,,,,
arrd-11;O17981,21.0716,21.0208,19.0994,21.1016,20.5178,19.4651,20.6549,20.1278,,,,
;O18131,21.7521,19.8526,21.263,20.3591,21.5615,20.6981,21.5991,21.5757,,,,
ogt-1;O18158,21.2562,20.9342,20.3759,19.9126,20.5885,21.3097,21.0148,18.6938,,,,
ogt-1;O18158,19.7124,19.8043,19.3445,18.0339,23.2861,22.2675,20.7954,23.8621,,,,
maea-1;O18188,20.9827,20.8215,19.9534,21.5856,20.213,19.3599,21.4413,20.2673,,,,
;O18224,20.7622,20.6943,21.101,19.7631,21.4928,21.5964,20.5098,21.1998,,,,
;O18224,21.9194,21.3142,20.5795,19.3878,18.6442,20.3827,21.6488,21.0123,,,,
Y57G11C.3;O18229,21.8075,20.4498,20.3149,20.9867,21.5495,19.3904,20.8773,21.8234,,,,
rps-18;O18240,20.5109,19.2817,21.2065,21.1283,20.623,21.3304,21.2699,21.4901,,,,
rps-18;O18240,20.5439,21.3727,21.0327,20.8343,21.3141,21.4261,20.5176,21.3625,,,,
;O18307,24.2308,24.6783,24.623,23.0586,21.8348,24.3599,23.1668,22.5519,,,,
;O18307,24.2308,23.2096,23.7805,21.1186,21.8348,25.3611,23.3869,23.7502,,,,
;O18307,23.6587,23.9424,23.4066,24.8298,21.494,20.9631,21.4787,20.981,,,,
;O18307,21.9,19.7682,21.2705,21.6805,21.6243,23.3291,22.1797,22.6158,,,,
;O18307,21.2728,20.0206,20.7251,20.6649,20.5675,21.5676,21.8378,20.188,,,,
rps-19;O18650,21.073,21.2535,21.762,20.907,21.5312,20.1545,21.4208,20.7709,,,,
rps-19;O18650,25.5345,25.7374,27.4698,26.4663,25.1997,23.5053,22.4322,24.0454,,,,
rps-19;O18650,21.9599,19.7898,18.9076,21.6871,20.6442,19.8303,20.2552,21.6035,,,,
rps-19;O18650,21.5957,18.922,20.9949,21.7282,26.0135,25.9452,24.8815,25.4691,,,,
rps-19;O18650,21.4547,21.3053,20.4255,21.3315,20.7772,21.1482,21.1825,20.6214,,,,
rps-19;O18650,23.9831,20.7608,22.1275,21.9137,21.0887,20.6161,18.6377,21.4665,,,,
;U4PF18,20.942,19.0879,20.29,19.4687,21.8135,21.69,21.7926,22.879,,,,
perm-4;O44144,21.4224,21.4974,19.8071,21.2546,24.0328,25.514,24.4322,23.9796,,,,
perm-2;O44145,20.8658,20.0864,21.6426,19.8454,21.0329,20.8028,20.2797,21.2754,,,,
;O44154,21.3488,20.1012,21.5865,21.3585,23.7202,22.7073,22.7553,24.9063,,,,
rfc-2;O44175,21.8094,21.1212,21.4926,21.0846,20.3881,21.8109,21.5963,20.4842,,,,
rme-2;V6CIR8,27.3199,22.4866,22.0352,22.4395,22.6884,23.5578,22.4377,24.1648,,,,
F37C4.5;O44400,24.3623,22.8341,22.9033,23.182,24.9093,25.8774,25.5394,25.9655,,,,
F37C4.5;O44400,21.6474,19.0524,21.1495,21.6286,25.7662,26.3956,25.9255,26.2144,,,,
F37C4.5;O44400,21.6347,21.0756,20.3613,20.3117,23.0921,23.3056,23.2116,25.0698,,,,
otub-4;U4PEY4,26.5553,23.7014,25.2153,25.4766,25.5036,26.5822,26.4437,26.418,,,,
May-02;O44441,21.1665,20.9267,20.4884,21.573,21.5642,19.7567,21.1447,20.6292,,,,
May-02;O44441,22.3655,21.237,20.2546,21.7218,20.9069,21.2613,20.6922,20.1862,,,,
;O44444,20.8673,19.9358,21.784,20.6086,19.5896,20.6839,20.3635,21.3537,,,,
snpn-1;O44445,21.5283,20.7597,21.6411,18.8253,20.3336,20.5298,21.1656,20.356,,,,
snpn-1;O44445,25.5797,24.4158,24.8225,24.8983,22.7298,22.265,22.4341,23.2181,,,,
rpl-20;O44480,19.706,22.6276,21.3698,22.842,22.3518,24.1556,24.1075,24.4785,,,,
rpl-20;O44480,24.649,23.2137,24.4022,23.0071,26.2959,26.6893,24.2714,25.4181,,,,
rpl-20;O44480,21.3755,20.78,21.19,19.8722,22.5658,22.1063,22.8036,23.667,,,,
rpl-20;O44480,25.1357,26.6413,26.6904,27.0885,26.0837,25.8171,25.935,26.0323,,,,
rpl-20;O44480,22.4953,22.2918,21.6141,21.7018,23.2439,23.6712,23.1737,23.3651,,,,
rpl-20;O44480,20.4799,21.1793,21.321,18.7785,21.8895,25.3959,26.3098,24.7348,,,,
rpl-20;O44480,20.5491,20.7617,20.6273,20.7696,25.2001,24.7674,23.7056,24.0647,,,,
rpl-20;O44480,23.6285,21.3823,20.0063,21.9121,24.1153,24.9959,24.5153,26.2133,,,,
fnta-1;O44501,21.9447,20.7103,21.4862,20.2411,24.9506,24.1497,24.8934,24.809,,,,
;O44557,20.2113,19.3393,21.4309,20.2853,21.567,21.7898,20.9337,20.3294,,,,
acs-3;O44560,20.5779,20.9495,21.3469,20.2812,19.9055,21.0549,19.6991,21.5302,,,,
tni-4;tni-3;O44572;Q9XUN9,21.7099,19.3016,20.1859,20.6998,25.4199,23.5111,23.9696,25.3365,,,,
hacd-1;O44608,26.9799,25.9548,27.2902,26.7041,22.0337,23.4616,23.7382,23.8472,,,,
;O44735,26.673,26.4218,27.8093,29.2928,18.8442,20.4589,21.2977,19.7449,,,,
;O44735,22.5494,20.0156,21.568,22.1187,23.502,23.969,24.2033,23.8695,,,,
;O44735,24.736,26.1509,25.0146,25.6868,24.5304,24.9556,25.0993,25.3427,,,,
bag-1;O44739,19.9365,19.8854,21.8392,21.2354,20.9069,20.9115,21.6924,21.1796,,,,
snf-1;O44752,19.7247,21.4092,19.9827,20.1119,23.6203,25.0052,25.564,26.4279,,,,
;Q9BL61,26.183,23.3268,23.8335,23.9312,24.7633,24.6689,25.1825,24.724,,,,
;Q9BL61,20.2933,20.3847,21.0458,20.891,19.7044,21.1799,18.6688,21.4327,,,,
;Q9BL61,22.7412,21.6309,24.4927,23.258,23.1342,23.1815,22.9456,23.2487,,,,
vpr-1;O44782,20.8247,21.2645,21.0771,20.8163,19.5875,20.9153,21.2771,21.8719,,,,
fgt-1;O44827,25.1564,23.2627,24.317,23.9078,24.3918,23.6164,23.815,23.8264,,,,
arrd-1;O44847,19.8728,20.3635,20.9139,20.7394,20.9702,21.4066,21.5994,20.2193,,,,
arrd-1;O44847,27.2306,25.5384,26.2118,26.202,20.2995,20.0667,20.9809,21.5049,,,,
arrd-1;O44847,20.7761,19.4278,18.8107,18.4802,20.9248,21.0442,20.2054,20.286,,,,
arrd-1;O44847,20.4439,19.7775,20.5866,21.0545,24.925,22.4185,23.0597,23.6417,,,,
arrd-1;O44847,21.6415,20.9429,21.0068,19.7134,20.6368,18.768,20.5056,21.4766,,,,
;O44885,20.7395,21.3831,21.4472,18.7326,20.7576,21.1673,20.9642,20.6511,,,,
inx-13;O44887,24.3676,24.0946,22.5405,23.6618,24.1986,24.6583,24.4708,24.5376,,,,
haf-9;O44897,24.1833,22.5011,22.9005,22.7999,20.7918,20.9308,21.2934,20.7003,,,,
haf-9;O44897,26.7866,26.9292,26.9694,27.1887,24.8958,26.5516,25.9258,24.7558,,,,
haf-9;O44897,21.0226,20.063,20.329,21.542,23.8068,24.2759,23.9799,24.8771,,,,
;O44951,19.8879,18.4273,21.499,19.7549,21.4355,20.9949,21.4201,20.6356,,,,
;O44990,20.1576,21.332,19.2067,20.6996,22.8033,23.2368,22.9539,23.9195,,,,
;O44990,24.2864,22.296,22.4191,22.5767,22.1308,23.1194,23.4545,22.4103,,,,
;O44995,26.2112,25.6195,26.1386,24.9709,25.6571,25.0882,25.0901,26.0566,,,,
nol-5;O45012,20.1279,20.3104,21.6374,20.3382,20.3685,21.7285,20.7036,21.3723,,,,
;O45060,23.8435,23.9351,23.6806,23.13,23.1292,24.2914,24.1063,23.1807,,,,
;O45060,25.2554,25.0072,22.7903,22.4231,29.0435,28.6305,28.8841,29.2982,,,,
;O45083,23.649,22.66,23.6708,23.8847,19.5421,21.5258,21.6056,20.2545,,,,
swt-1;O45102,20.3128,20.3977,19.4931,19.7481,21.0525,21.2104,21.5381,21.3988,,,,
swt-1;O45102,21.8726,20.0217,21.14,19.9482,23.6211,23.9162,23.5311,23.6617,,,,
folt-2;O45166,23.6624,21.7947,22.1138,21.7761,25.1065,24.3884,25.7836,26.0363,,,,
folt-2;O45166,19.3479,21.0776,20.679,19.7556,19.8731,20.3604,21.0069,21.2246,,,,
tin-13;O45319,21.4267,20.8895,21.5799,19.7178,18.908,21.554,20.5364,20.8554,,,,
fkb-6;O45418,21.1189,20.9564,20.8321,19.649,22.569,22.7013,23.8987,23.5936,,,,
clec-66;O45445,21.8324,21.3953,21.8555,20.4905,26.7791,27.5588,27.9131,26.9412,,,,
gst-38;O45451,20.9217,21.2423,21.0127,20.0461,19.9027,20.298,21.7119,21.4181,,,,
oac-20;O45470,24.8419,22.1516,23.3384,23.1143,25.4423,26.4084,25.3995,25.6982,,,,
oac-20;O45470,22.7657,26.6428,26.4407,26.7244,26.1286,27.3913,28.0291,21.5486,,,,
oac-20;O45470,22.0022,20.7624,19.9383,21.2397,25.9212,25.5367,25.3661,25.382,,,,
oac-20;O45470,21.1473,19.0254,21.1477,21.4292,22.2048,22.5031,24.4563,23.424,,,,
uev-1;O45495,21.5336,20.2122,20.5902,21.0762,21.4048,20.3854,21.6925,19.3746,,,,
rps-26;O45499,21.2293,21.3079,21.8592,20.3612,18.853,21.0964,21.0207,21.2706,,,,
dnj-12;O45502,21.2888,19.6685,20.3419,18.9821,20.9563,22.8128,20.8364,22.4645,,,,
;O45562,20.8892,20.82,20.0689,19.0316,21.5839,21.0192,21.4648,21.9146,,,,
cpf-2;O45577,23.3087,24.7462,23.4341,23.4224,20.7092,20.6061,21.7582,20.5791,,,,
cpf-2;O45577,21.8727,21.0438,20.7746,21.2435,20.0463,21.4081,21.0781,21.3316,,,,
btb-20;O45593,20.8665,20.6925,20.9447,20.543,20.7751,19.3216,19.8606,21.6484,,,,
btb-20;O45593,20.902,21.4801,21.3935,20.4057,22.8197,22.5587,22.5866,22.723,,,,
;O45665,21.7931,21.2759,20.0025,21.2538,22.2788,21.544,21.956,22.0845,,,,
;O45719,21.0191,20.302,20.8608,20.9853,21.4272,21.3975,21.2171,20.9031,,,,
;Q6BEV8,21.1096,20.3957,21.7514,21.4467,23.6744,24.3259,23.9724,23.8118,,,,
;O45723,20.1875,19.5958,21.1153,21.6716,24.1528,23.0104,23.3338,24.2045,,,,
;O45723,23.9895,20.7812,21.7744,22.0055,21.0886,20.0594,19.7994,21.1856,,,,
cpl-1;O45734,23.8046,23.2697,23.1002,22.9518,20.8852,21.7179,21.4258,19.5479,,,,
;O45783,25.1861,21.4947,21.946,22.1598,21.172,21.7125,20.6925,20.9198,,,,
act-5;act-2;act-4;act-3;act-1;O45815;P10984;Q6A8K1,26.7065,27.0367,26.5977,26.7808,24.7464,23.7569,24.3556,23.7256,,,,
act-5;O45815,24.0969,24.5166,23.2679,22.9485,24.4087,24.3717,24.4742,24.3152,,,,
act-5;O45815,27.2372,25.2946,27.8929,26.8031,24.6765,26.2633,26.141,27.1225,,,,
act-5;act-2;act-4;act-3;act-1;O45815;P10984;Q6A8K1,27.8198,23.463,23.1656,23.5382,27.1774,27.1749,27.1763,27.9626,,,,
act-5;O45815,21.2817,19.6458,20.2272,21.1162,26.4952,27.2201,24.8403,26.5901,,,,
;O45841,21.8715,20.094,21.2832,21.7327,21.355,18.9002,21.5777,21.7509,,,,
ant-1.1;O45865,21.2219,19.9497,21.0823,18.6269,21.4213,21.2222,21.7351,21.3303,,,,
;O45871,25.9264,25.9556,25.5422,24.5194,21.6134,21.0051,20.6155,20.4932,,,,
lec-1;O45904;P36573,27.2888,28.2834,28.1067,28.1325,24.7779,22.8478,23.2537,24.6051,,,,
lec-1;O45904;P36573,21.251,20.404,20.9117,20.9837,18.741,20.4578,21.2652,21.351,,,,
lec-1;O45904;P36573,21.8992,19.8877,21.6709,20.7533,23.0706,23.8052,24.0037,23.0144,,,,
lec-1;O45904;P36573,21.231,21.3862,21.3396,21.214,20.9309,21.3263,20.7203,19.6814,,,,
lec-1;O45904;P36573,24.0491,20.9035,22.2759,21.9296,20.381,21.5264,21.5866,21.9509,,,,
lec-1;O45904;P36573,26.0137,24.3675,24.1856,23.441,19.8865,20.3133,20.2637,20.0705,,,,
rpl-18;O45946,21.2502,19.9168,20.7215,19.6751,25.8705,24.3217,24.2222,25.8461,,,,
rpl-18;O45946,22.3418,24.1273,24.614,23.814,22.549,23.4976,24.017,24.2026,,,,
rpl-18;O45946,26.2954,26.806,25.9012,28.1946,26.0049,26.5863,26.5285,26.4761,,,,
rpl-18;O45946,24.6797,22.5189,23.1275,22.9058,24.3107,25.2667,24.6849,25.3245,,,,
rpl-18;O45946,24.8836,23.587,23.1618,23.6529,24.4496,25.4887,26.0871,25.7693,,,,
rpl-18;O45946,21.8784,21.0693,21.4396,20.556,20.9425,21.4305,21.3319,19.6645,,,,
;O45951,20.9135,20.6022,21.5552,21.1179,20.9745,20.3422,20.2953,20.1772,,,,
lgc-30;O61216,21.1717,20.5079,20.9924,21.5033,20.5875,21.0432,21.753,21.1559,,,,
;O61217,24.3572,21.5776,23.2929,24.2188,20.571,20.4895,21.7541,19.9884,,,,
pqn-59;O61708,23.0044,25.2135,26.3576,25.199,18.9105,20.5754,19.394,21.9274,,,,
pqn-59;O61708,19.9074,21.4982,20.5478,20.6056,20.3297,20.8507,21.6859,21.2299,,,,
rpn-10;O61742,25.3433,20.5189,21.4799,22.1386,25.3017,29.1364,27.6868,28.265,,,,
inx-15;O61786,20.9217,20.1504,19.9783,20.5983,23.3271,23.1288,23.4046,23.6334,,,,
rpn-8;O61792,21.1229,21.5481,20.4731,21.1397,20.242,19.4073,21.2631,20.9175,,,,
eif-3.E;O61820,22.0289,21.4541,19.094,21.2079,20.9949,20.0988,21.0586,21.3457,,,,
arx-7;O61861,22.9724,24.8937,23.9216,24.6865,21.6305,20.3436,21.4161,21.3739,,,,
;O61865,22.127,23.2164,23.0688,23.9538,20.6184,21.1509,21.7114,21.4141,,,,
;O61974,21.7225,21.0929,21.7,21.1825,22.2085,23.4686,23.6441,21.5585,,,,
C08F11.11;O62053,21.4269,20.3351,21.0176,18.7501,19.7452,21.0552,20.4157,21.1916,,,,
;O62071,24.223,26.8255,26.8202,25.2747,22.6454,21.7602,23.0935,23.3082,,,,
inx-14;O62136,21.363,19.3355,20.5547,21.3389,19.8567,21.3153,21.8072,21.7175,,,,
scrm-4;O62149,22.0073,21.4074,21.7124,20.5785,20.7833,21.2145,21.3315,19.5533,,,,
scrm-4;O62149,21.118,21.012,20.9251,21.3479,23.3402,24.5828,23.8144,23.3686,,,,
cey-1;O62213,26.7494,25.2839,25.7803,26.0114,21.2216,20.9563,20.5757,21.9617,,,,
cey-1;O62213,21.8501,20.8838,20.9882,20.7157,20.4907,20.2369,19.943,20.7357,,,,
F33H2.3;O62220,21.5264,21.1123,20.6521,20.0625,20.192,21.5058,20.627,21.0889,,,,
