geneName;Leading.proteins,log2 eat2_d15_01,log2 eat2_d15_02,log2 eat2_d15_03,log2 eat2_d15_04,log2 eat2_d5_01,log2 eat2_d5_02,log2 eat2_d5_03,log2 eat2_d5_04,,,,
oac-14;A0A0K3AWB0,24.4604,24.1179,24.1296,24.6268,19.3826,20.8933,20.0842,21.9123,,,,
;A0A0K3AWM6,21.2875,19.9649,20.0605,20.9046,26.0783,26.5827,24.6099,25.78,,,,
lsy-13;A0A0K3AXE0,20.4498,21.3899,20.9074,19.486,21.2874,20.3826,19.6053,20.6462,,,,
;A0A0K3AXT9,25.7905,26.8828,27.7092,25.4412,22.5778,25.7959,23.12,22.9221,,,,
;A0A0K3AXT9,21.9727,20.2349,20.6954,21.0619,24.1256,23.1609,23.4014,22.7519,,,,
;A0A0K3AXT9,24.8458,27.2829,26.6816,26.9848,20.6564,21.6875,20.5786,19.8244,,,,
;A0A0K3AXT9,24.4766,26.1682,26.4029,26.1487,23.5538,23.6715,25.0661,23.2446,,,,
;A0A0K3AY44;O44557,25.3899,26.5551,26.9841,26.9997,21.2727,21.6916,21.7379,21.0921,,,,
;A0A0K3AY44;O44557,22.0035,20.5391,20.5605,20.4148,20.6647,20.7967,21.1714,21.5711,,,,
oig-6;A0A0K3AY85;Q9BPN5,24.5809,26.7236,25.768,26.3321,27.2443,25.478,23.7824,26.8731,,,,
oig-6;A0A0K3AY85;Q9BPN5,19.8134,20.591,20.7853,20.8305,21.5656,19.5303,21.5522,20.1419,,,,
;A0A0K3AYE8,19.5271,20.8876,21.2137,21.3042,20.0202,21.0251,20.72,21.2733,,,,
;A0A0M7RFG7,22.0768,20.8755,21.3311,21.0708,19.2147,21.5103,21.354,21.0584,,,,
;A0A0S4XRR1,21.2132,21.1193,21.1607,21.0533,20.4294,20.0904,21.6607,21.4177,,,,
;A0A0T7CIX3,21.9368,18.5195,18.4005,21.0016,26.7985,24.443,24.3687,26.0217,,,,
;A0A0T7CIX3,19.9278,21.4489,20.543,21.0004,21.2652,21.0852,21.4821,20.4149,,,,
;A0A0T7CIX3,21.146,20.5567,20.5375,20.7377,20.508,21.5313,20.7521,21.8189,,,,
rpl-11.1;A0A131MBQ6;Q94300,21.7223,18.9888,20.0508,21.2503,23.1669,25.2568,23.9282,24.4602,,,,
mdt-18;A0A131MCJ5,20.2832,19.4886,19.8333,20.2595,20.4518,21.3188,21.6377,20.9612,,,,
rnf-5;A0A131MD51,21.5559,21.5134,21.337,20.255,22.2234,23.2742,23.5723,22.6911,,,,
fipp-1;O16293,21.9782,18.3985,20.9695,21.0961,20.3817,20.6603,20.7754,21.0525,,,,
;O02147,21.4841,21.3722,20.0657,21.2176,19.8363,22.7227,20.836,20.0648,,,,
spat-2;F3Y5Q3,23.8072,23.2767,21.9531,23.8411,21.1803,21.7271,19.6316,20.3644,,,,
;Q9N350,21.9322,24.0387,25.3652,24.8307,21.0391,21.4325,21.7888,20.7147,,,,
;Q9N350,24.381,27.1767,26.3585,26.0858,22.4724,22.6956,23.5364,23.6952,,,,
;A0A1N7SYR3,21.6527,18.7842,20.7236,20.6829,21.2378,19.8349,21.5523,21.7171,,,,
