geneName,log2 daf2_d10_01,log2 daf2_d10_02,log2 daf2_d10_03,log2 daf2_d10_04,log2 daf2_d5_01,log2 daf2_d5_02,log2 daf2_d5_03,log2 daf2_d5_04
"CELE_Y62E10A,13",11.3554,8.10436,9.38045,10.4464,12.8718,13.6241,13.1723,14.121
cars-1,16.1075,16.3522,15.8168,16.1662,16.4016,16.744,16.2184,16.5853
eps-8,15.6027,15.3869,14.0775,14.3634,12.9619,13.2749,12.9819,12.3774
"CELE_T14G10,5;CELE_T14G10,5;T14G10,5;CELE_T14G10,5",16.5319,16.6517,16.4404,16.4774,17.4503,17.6303,17.2228,17.2181
pezo-1,14.9727,15.208,15.1849,15.344,15.0058,14.2792,16.2589,16.4128
twk-9,16.9242,17.1493,17.8353,17.5592,18.3046,18.1349,16.8766,16.5732
epi-1,17.1279,17.5438,17.0597,17.2595,17.7883,18.0182,17.4658,17.6494
kdin-1,13.0056,13.2505,13.4264,13.3654,13.0264,13.2506,12.4163,12.606
tag-273,16.5015,16.5437,16.458,16.5743,17.8664,18.2805,17.7839,17.9963
"CELE_F13H10,3;CELE_F13H10,3;F13H10,3;CELE_F13H10,3",12.8776,12.8146,12.929,13.0728,12.3398,13.2656,12.9281,12.8877
pps-1,14.9095,14.5201,14.0743,14.7224,13.0455,12.9821,12.6379,12.2496
cka-1,12.7984,12.9611,13.6862,13.8228,12.4489,13.0109,13.5044,12.5409
"CELE_R11A8,7;CELE_R11A8,7;R11A8,7",12.6173,13.0353,12.4388,12.5493,14.9123,15.6116,14.2647,14.2652
spp-18,16.373,16.9781,16.7208,17.007,18.1612,19.2322,18.6168,17.7392
lin-66,14.5827,14.6179,13.6819,14.7544,13.9607,13.9884,14.4919,13.7276
"CELE_F09E10,7",14.2571,14.4518,14.1071,14.5699,15.7667,14.3877,14.8697,13.2229
"CELE_F10C1,9",11.8453,12.2266,11.2579,11.6011,12.8939,13.335,13.0136,12.5557
itx-1,15.0718,14.9494,14.8635,14.9809,15.4011,15.9398,15.4638,14.944
"CELE_Y41E3,7",14.3709,13.8693,13.9608,13.8687,13.6666,14.2938,14.4558,14.5345
"CELE_Y105C5B,15",13.783,13.271,13.2557,13.5441,15.3516,15.3146,15.5079,14.7261
