geneName,log2 daf2_d15_01,log2 daf2_d15_02,log2 daf2_d15_03,log2 daf2_d15_04,log2 daf2_d10_01,log2 daf2_d10_02,log2 daf2_d10_03,log2 daf2_d10_04
"CELE_Y62E10A,13",12.2069,12.0594,9.76451,11.8261,11.3554,8.10436,9.38045,10.4464
cars-1,15.8211,16.1505,15.4504,15.4914,16.1075,16.3522,15.8168,16.1662
eps-8,12.2998,11.8259,11.4712,11.7534,15.6027,15.3869,14.0775,14.3634
"CELE_T14G10,5;CELE_T14G10,5;T14G10,5;CELE_T14G10,5",16.9059,16.8133,16.6107,17.1328,16.5319,16.6517,16.4404,16.4774
pezo-1,14.9222,14.4529,15.2528,15.1532,14.9727,15.208,15.1849,15.344
twk-9,17.1845,15.4121,16.1883,17.3328,16.9242,17.1493,17.8353,17.5592
epi-1,17.394,16.9375,17.068,17.1822,17.1279,17.5438,17.0597,17.2595
kdin-1,12.3697,13.9836,12.3076,13.9048,13.0056,13.2505,13.4264,13.3654
tag-273,17.7318,17.2426,16.9599,17.1441,16.5015,16.5437,16.458,16.5743
"CELE_F13H10,3;CELE_F13H10,3;F13H10,3;CELE_F13H10,3",12.8317,12.2961,12.512,12.9942,12.8776,12.8146,12.929,13.0728
pps-1,15.4369,14.6658,15.0787,16.4961,14.9095,14.5201,14.0743,14.7224
cka-1,13.6777,14.3371,14.6652,14.6894,12.7984,12.9611,13.6862,13.8228
"CELE_R11A8,7;CELE_R11A8,7;R11A8,7",14.2176,14.4117,13.4286,13.2425,12.6173,13.0353,12.4388,12.5493
spp-18,16.5696,15.9392,15.6755,16.5092,16.373,16.9781,16.7208,17.007
lin-66,14.5355,14.6999,14.4939,14.9344,14.5827,14.6179,13.6819,14.7544
"CELE_F09E10,7",14.2578,13.9932,14.6474,15.1687,14.2571,14.4518,14.1071,14.5699
"CELE_F10C1,9",12.2985,11.947,12.4792,11.8912,11.8453,12.2266,11.2579,11.6011
itx-1,15.2263,15.4442,15.1319,15.1181,15.0718,14.9494,14.8635,14.9809
"CELE_Y41E3,7",14.3675,14.3236,13.5239,14.0069,14.3709,13.8693,13.9608,13.8687
"CELE_Y105C5B,15",14.3337,14.6362,14.8568,15.0861,13.783,13.271,13.2557,13.5441
lim-9,13.9325,14.4416,14.4983,14.9111,14.6326,14.7163,14.7474,15.1376
"CELE_Y105E8A,25",13.1338,12.4764,12.0041,13.3743,13.5123,13.1816,13.0543,13.2151
pgp-2,15.5517,15.5128,15.1444,15.5406,15.1777,15.1321,15.0575,15.1647
lpd-3,17.5258,16.8627,17.8107,18.2929,14.3259,14.0766,13.9736,15.5266
tln-1,14.028,14.6544,14.7886,14.9017,14.0114,14.7436,14.0475,15.0478
max-2,12.3222,12.2655,14.0327,12.933,14.9622,15.2805,14.0682,14.3596
egl-27,16.4987,14.5871,16.1889,15.6524,14.9714,13.8412,14.4128,14.5895
cdc-14,11.6871,11.8917,11.7372,12.0707,10.7319,10.7653,10.6617,10.7681
daf-16,11.7855,12.0595,11.7779,12.0944,14.7956,14.4813,14.4375,15.0285
"CELE_T16H12,3;T16H12,3",12.1525,12.0584,11.7014,11.8513,12.4629,12.3007,12.5033,11.9589
lev-11,12.0055,13.1996,12.879,13.5371,14.5642,15.0783,13.9281,14.3618
gld-2,12.3058,11.3864,11.6527,12.033,10.6805,10.4422,9.39442,10.5435
ncl-1,12.2917,11.4481,11.3373,12.0885,14.3242,12.2912,13.6919,14.1284
"CELE_D1069,3",12.0465,11.8805,11.7464,12.0446,10.7146,10.8241,10.7882,10.7076
lin-23,16.8271,16.1133,16.3452,16.5303,14.3646,15.1011,14.299,14.4251
"CELE_Y50D4B,1",12.3083,12.0572,11.5711,11.9796,10.3434,10.6748,10.5864,10.8263
"CELE_Y39A1A,21",11.8309,11.9709,11.7413,12.0859,10.6527,10.4638,10.6992,7.86698
dre-1,15.8318,15.248,16.804,17.2428,16.7971,16.1175,16.858,15.1961
gck-1,15.9486,16.6889,15.6395,15.4748,14.8571,14.8287,14.8672,15.2236
gly-7,13.241,14.1866,15.5177,11.1818,13.9867,14.2007,14.251,14.5712
"CELE_F40A3,3;F40A3,3",18.6079,18.7012,18.5758,18.6198,18.3115,18.3569,18.4892,18.2786
"CELE_Y50D4B,4",14.152,14.1712,13.9178,13.872,13.0031,12.7598,13.2396,12.9808
cdf-1,11.5121,12.0259,11.6543,12.0479,10.698,10.8586,10.7126,10.8259
unc-34,14.846,15.3107,14.6993,14.6516,15.0819,14.8671,14.7745,15.3677
tbh-1,17.7529,17.8255,17.6134,17.8,16.6736,16.5867,16.3346,16.5949
lev-11,22.0097,20.8857,21.353,21.3849,21.2103,20.8595,21.0874,20.8664
imp-3,14.8424,15.6232,15.2432,9.27069,12.9046,13.0004,13.0576,12.5168
prdx-2,21.5481,21.431,21.9352,21.9874,21.1287,20.9678,21.3437,21.5406
jhdm-1,14.3262,14.4487,14.2435,14.1746,14.0335,14.1637,13.4546,13.3101
