geneName;Leading.proteins,log2 daf2_d5_01,log2 daf2_d5_02,log2 daf2_d5_03,log2 daf2_d5_04,log2 eat2_d5_01,log2 eat2_d5_02,log2 eat2_d5_03,log2 eat2_d5_04
eps-8;G5ED33,21.7283,19.1263,16.9484,19.5784,22.702,23.1942,23.0416,24.2504
eps-8;G5ED33,21.0619,19.4139,18.8798,20.6509,23.8974,26.7129,27.0381,25.4021
eps-8;G5ED33,19.8681,19.7115,19.4418,20.2652,20.8424,21.0919,20.2925,21.864
eps-8;G5ED33,17.3168,17.2941,18.3084,18.8222,23.4626,23.6842,22.8629,23.4315
eps-8;G5ED33,14.24,16.2222,17.0743,15.9533,21.9968,23.1719,22.3767,22.5101
eps-8;G5ED33,18.8236,17.8722,17.8891,18.4586,21.595,21.5468,20.8732,20.8042
eps-8;G5ED33,19.8229,19.5347,18.5868,16.4206,20.4087,20.5938,21.3076,20.5389
;A0A061ACQ8,19.1515,20.881,18.7091,17.8859,24.8353,26.6069,28.0849,24.5607
;A0A061ACQ8,23.1079,22.2062,23.2476,22.728,21.2459,21.5406,21.2437,21.3923
;A0A061ACQ8,25.3163,25.7199,25.3947,26.0253,27.5851,25.9051,25.9511,27.8005
;A0A061ACQ8,25.3163,26.0487,25.3947,26.0253,25.2067,25.9051,25.9511,27.1847
T14G10.5;A0A061ACR1,24.594,23.8529,24.1401,23.1285,23.275,25.0014,24.4762,24.5705
pezo-1;A0A061AL01,17.9959,17.1447,20.6863,19.1526,20.6705,20.1351,19.8288,21.9589
pezo-1;A0A061AL01,18.4219,19.8675,17.9276,17.6966,22.9219,22.8252,22.966,23.1064
;B3GWD8,19.3549,20.1873,15.7297,19.4834,20.1448,20.9953,20.9473,20.9437
;B3GWD8,18.6804,19.5573,17.7639,17.7995,20.769,20.2735,21.3764,21.6481
;B3GWD8,17.9553,19.3841,18.7385,18.1227,21.0195,21.3697,20.1126,20.3163
ard-1;A0A061AD09;Q19102,19.9716,20.2658,20.3397,16.2634,21.3938,21.6922,20.62,20.5959
lim-9;Q3S1I9,21.5334,18.8672,17.4174,20.5942,20.7498,21.0134,19.3533,21.4814
lim-9;Q3S1I9,20.6548,18.3746,18.1842,19.5638,21.3117,21.354,20.8736,21.522
pgp-2;G5EDF9,20.7985,18.0818,17.7649,18.1729,24.0161,23.4262,23.0996,23.9464
pgp-2;G5EDF9,16.7509,19.2432,19.3601,18.186,24.4818,24.0993,24.7389,25.7138
pgp-2;G5EDF9,20.5993,20.0415,18.5054,19.6412,24.245,22.5821,22.8668,21.9342
lev-11;A0A0K3AQS9;A0A0K3AQT4;A0A0K3ARB5;A0A0K3AUC2;A0A0K3AWP0;K8FDX2;Q22866;Q27249,19.186,17.8454,17.7487,18.7668,22.5736,20.6851,21.604,20.2598
lev-11;A0A0K3AQS9;A0A0K3AWP0;K8FDX2;Q22866,18.1117,19.4842,18.0639,21.5604,19.919,19.8893,21.57,20.1973
lev-11;A0A0K3AQS9;A0A0K3AQT4;A0A0K3ARB5;A0A0K3AUC2;A0A0K3AWP0;Q22866,17.5341,20.0035,17.4432,17.5559,20.699,21.5537,20.7858,20.5967
lev-11;A0A0K3AQS9;A0A0K3AQT4;A0A0K3AUC2;A0A0K3AWP0;K8FDX2;Q22866,16.8838,16.3927,18.4173,20.3876,21.3461,21.3356,20.2074,21.4635
lev-11;A0A0K3AQS9;A0A0K3AQT4;A0A0K3ARB5;A0A0K3AUC2;A0A0K3AWP0;Q22866,20.257,16.6118,17.3617,19.52,21.2255,20.8924,20.869,19.5424
lev-11;A0A0K3AQS9;A0A0K3AQT4;A0A0K3ARB5;A0A0K3AUC2;Q22866;Q27249,23.3109,25.2438,23.1944,26.5361,22.6992,23.0176,23.1191,25.5379
lev-11;A0A0K3AQS9;A0A0K3AQT4;A0A0K3ARB5;A0A0K3AUC2;Q22866;Q27249,25.2015,26.0473,26.1266,24.4081,23.3056,23.3663,23.6906,22.986
lev-11;A0A0K3AQT4;A0A0K3AUC2;A0A0K3AWP0;K8FDX2;Q22866,20.446,17.5303,19.9837,18.2597,20.6956,20.7265,20.4906,21.5442
lev-11;A0A0K3AQT4;A0A0K3AUC2;A0A0K3AWP0;K8FDX2;Q22866,17.9544,20.3465,16.8071,19.5737,19.7726,21.2043,21.3274,20.6785
lev-11;A0A0K3AQT4;A0A0K3AUC2;A0A0K3AWP0;K8FDX2;Q22866,22.6691,22.8951,25.3383,23.8506,23.5387,22.0954,23.6309,24.2179
;A0A0K3AUF2,17.039,19.5895,18.5096,20.9444,24.1209,24.9183,24.6125,24.465
lev-11;A0A0K3ARB5;Q27249,20.9408,18.3172,20.52,16.9115,20.7298,20.9154,21.1321,20.4242
lev-11;A0A0K3ARB5;Q27249,18.8849,18.4124,17.5616,19.8779,19.3772,20.8089,21.3365,21.7094
lev-11;A0A0K3ARB5;Q27249,18.536,18.0205,21.1036,20.2126,21.1086,21.5403,21.744,20.9044
egl-8;A0A0K3AS90,19.881,17.3405,19.4837,18.6014,21.26,18.692,21.6605,21.9575
ubxn-3;A0A0K3AWX1,19.2196,18.3801,18.4417,21.354,20.4063,21.2259,20.856,21.3477
ubxn-3;A0A0K3AWX1,18.8563,19.7672,17.2134,20.5817,20.2067,21.1319,21.5675,21.7429
;A0A0K3AVS5,17.4075,19.0627,16.5892,19.7017,22.8618,22.8099,24.1874,22.8885
fln-2;A0A0K3AW96,17.0466,18.3825,17.123,17.3559,19.4154,20.9411,20.6079,21.8058
fln-2;A0A0K3AW96,19.7025,18.7605,18.238,16.5241,21.1362,20.497,21.7356,21.356
fln-2;A0A0K3AW96,16.9213,17.1014,16.9828,17.8156,24.0847,23.4552,23.6388,24.5912
fln-2;A0A0K3AW96,20.5155,18.3212,18.2259,17.1078,22.4343,22.7659,22.0583,23.4681
oac-14;A0A0K3AWB0,21.2405,17.61,19.591,17.5333,21.1207,20.9225,20.842,21.2514
oac-14;A0A0K3AWB0,19.3238,18.6485,16.7509,18.2313,19.3826,20.8933,20.0842,21.9123
;A0A0K3AWM6,24.3182,23.8309,23.624,23.8596,26.0783,26.5827,24.6099,25.78
lsy-13;A0A0K3AXE0,19.1827,20.9926,18.2206,18.4044,21.2874,20.3826,19.6053,20.6462
;A0A0K3AXT9,20.0365,18.1778,17.9622,18.7099,22.5778,25.7959,23.12,22.9221
;A0A0K3AXT9,16.5713,18.6699,15.6548,21.9286,24.1256,23.1609,23.4014,22.7519
;A0A0K3AXT9,21.7815,18.3722,17.4835,17.7571,20.6564,21.6875,20.5786,19.8244
;A0A0K3AXT9,21.474,21.7121,20.9384,22.1027,23.5538,23.6715,25.0661,23.2446
;A0A0K3AY44;O44557,20.6445,18.7418,18.2268,18.4764,21.2727,21.6916,21.7379,21.0921
;A0A0K3AY44;O44557,18.0391,19.2965,20.0072,19.8983,20.6647,20.7967,21.1714,21.5711
oig-6;A0A0K3AY85;Q9BPN5,22.5305,22.4355,21.8409,22.5664,27.2443,25.478,23.7824,26.8731
oig-6;A0A0K3AY85;Q9BPN5,17.9369,19.0789,18.4545,20.3351,21.5656,19.5303,21.5522,20.1419
;A0A0K3AYE8,27.0043,25.7892,23.7527,24.7778,20.0202,21.0251,20.72,21.2733
;A0A0M7RFG7,18.279,17.1109,18.839,19.5352,19.2147,21.5103,21.354,21.0584
;A0A0S4XRR1,18.383,18.8496,19.1691,20.1564,20.4294,20.0904,21.6607,21.4177
;A0A0T7CIX3,19.0703,17.7684,18.0017,21.3331,26.7985,24.443,24.3687,26.0217
;A0A0T7CIX3,19.8083,18.61,17.6294,18.241,21.2652,21.0852,21.4821,20.4149
;A0A0T7CIX3,16.6254,17.3712,18.3318,18.0732,20.508,21.5313,20.7521,21.8189
rpl-11.1;A0A131MBQ6;Q94300,23.085,23.843,23.8493,23.9922,23.1669,25.2568,23.9282,24.4602
mdt-18;A0A131MCJ5,16.8112,19.2175,17.8232,20.7702,20.4518,21.3188,21.6377,20.9612
rnf-5;A0A131MD51,15.6383,17.2765,20.4582,20.3217,22.2234,23.2742,23.5723,22.6911
fipp-1;O16293,20.4965,17.461,18.4456,20.8863,20.3817,20.6603,20.7754,21.0525
;O02147,17.6753,20.5418,20.7526,20.047,19.8363,22.7227,20.836,20.0648
spat-2;F3Y5Q3,25.0103,25.9812,23.979,25.2222,21.1803,21.7271,19.6316,20.3644
;Q9N350,18.6843,18.4944,16.3741,18.5412,21.0391,21.4325,21.7888,20.7147
;Q9N350,26.0506,24.1159,23.8858,23.7103,22.4724,22.6956,23.5364,23.6952
;A0A1N7SYR3,15.4637,19.776,19.0483,18.9576,21.2378,19.8349,21.5523,21.7171
;A1IMB7,23.842,21.8753,21.3635,25.2033,25.965,22.8421,23.3381,23.8852
;A3QMB7,18.4943,17.9493,18.4404,20.374,21.206,21.5263,21.4968,21.7754
;J7SF86,19.07,17.8528,15.9237,18.4128,20.2734,20.259,20.0158,21.6882
;U4PRJ1;Q95ZL3,17.4956,19.1253,20.5276,18.5927,21.582,20.1746,21.4126,21.197
dhs-3;A5JYX4,19.0347,18.3722,17.9498,17.9467,20.6948,21.3708,20.6507,21.9711
dhs-3;A5JYX4,25.1179,24.7363,28.4675,25.764,24.1129,24.3753,24.8917,24.4856
dhs-3;A5JYX4,20.4409,17.8599,18.6158,16.5709,21.245,20.4202,20.87,20.6246
dhs-3;A5JYX4,17.7355,20.8947,18.7167,19.7196,19.3386,20.697,20.7156,21.6778
dhs-3;A5JYX4,16.8127,17.8255,18.3202,17.4077,20.2291,20.613,19.7949,19.4653
;A5PEY0,24.0885,22.7041,24.1687,24.9735,25.5355,25.6998,26.2741,26.2982
;I2HA81,24.822,25.496,25.6175,24.0186,24.7242,27.0789,27.0492,27.1398
;A5Z2W7,24.2428,23.907,24.9455,23.5612,21.0167,20.4802,21.2138,21.5717
;A5Z2W7,20.2105,14.3474,17.9709,18.8384,20.2934,20.4612,21.815,19.0872
;A6PVA5,20.8349,17.6821,17.1269,18.2947,19.7895,20.7534,21.4499,21.8348
;Q20621,19.1263,16.5937,17.5827,18.7088,21.1897,20.0253,19.5769,20.4429
tag-296;A7DT41,20.0296,15.0793,18.7321,18.674,21.5836,19.9429,20.6132,20.6201
tag-296;A7DT41,21.1173,18.8486,15.9781,18.392,21.4812,22.0996,22.6976,22.4475
tag-296;A7DT41,16.7221,18.8498,21.0873,18.8114,21.3677,19.7855,21.0483,21.2688
tag-296;A7DT41,21.6784,21.8198,22.3841,20.8957,21.2246,20.1147,20.8393,20.825
tag-296;A7DT41,19.8239,17.6665,18.8585,17.2972,24.3781,24.4253,24.7751,24.4764
tag-296;A7DT41,17.9234,19.2442,19.9297,18.7569,19.7496,20.66,21.2118,21.2848
mrg-1;Q9XWW2,19.2714,18.2567,17.4975,16.6185,20.2102,21.101,20.1765,20.8463
mrg-1;Q9XWW2,19.697,17.1417,17.8927,18.2445,20.859,20.453,21.4226,21.3102
igcm-3;A7LPD6,19.0002,19.8925,15.6092,20.0064,21.0587,21.2205,20.7406,20.6755
igcm-3;A7LPD6,17.4404,20.4334,14.4332,15.3696,25.6588,25.0256,24.5083,23.1772
gpdh-2;A7LPE6,19.3542,18.0642,17.03,17.5164,20.9544,21.3599,20.9047,19.2858
;Q5FC71,19.7067,17.1465,17.943,18.0799,24.3965,25.1333,27.012,24.9088
;Q5FC71,18.7688,16.6564,18.0709,16.9071,20.9745,20.879,21.0967,21.5458
;Q5FC71,23.9384,25.3617,23.8403,24.2831,25.0711,26.4664,26.7263,26.4932
;Q5FC71,27.855,28.1488,28.5958,28.1301,25.3515,23.6736,24.0319,23.9483
;Q5FC71,29.4493,30.9056,30.3057,30.0428,31.8013,33.8387,33.8163,32.9827
;Q5FC71,20.2914,17.1102,18.526,17.7471,21.5985,21.2506,19.8359,21.6113
;A8WFH7,23.9877,22.8495,23.6823,22.8308,20.7843,20.805,20.5197,21.6989
;A8WFH7,22.9005,24.0089,23.7107,23.8066,20.9733,19.8367,20.9435,19.9778
;A8WFH7,18.9813,19.3075,18.9286,18.4037,21.101,24.1767,23.4194,22.271
;H2KYH9,18.6498,17.7428,16.4725,15.2186,21.5217,20.5166,20.5425,21.5172
mdt-28;A8WHP8;Q65ZB1,26.0294,24.7471,24.907,23.8113,24.2893,23.7657,24.4579,22.9699
mdt-28;A8WHP8;Q65ZB1,15.5163,17.5576,17.6535,19.4812,20.8294,21.5916,21.2137,19.1049
mdt-28;A8WHP8;Q65ZB1,20.2686,18.3918,14.7708,19.9943,21.2548,20.6183,20.8884,20.5537
mdt-28;A8WHP8;Q65ZB1,20.6282,18.4059,16.4887,17.2777,21.5384,21.3693,20.8242,20.6777
mdt-28;A8WHP8;Q65ZB1,21.0153,18.0229,18.6256,20.412,21.1554,20.6325,21.1355,20.2765
mdt-28;A8WHP8;Q65ZB1,16.5976,17.2555,19.7883,16.6368,20.2544,21.6151,20.0617,21.1577
mdt-28;A8WHP8;Q65ZB1,25.0651,26.5482,23.9107,25.0196,20.8074,20.8022,21.4128,21.3674
mdt-28;A8WHP8;Q65ZB1,24.8824,23.3085,21.8038,23.8712,21.2695,23.6,22.7108,22.0169
mdt-28;A8WHP8;Q65ZB1,20.0211,16.5059,19.6575,18.4134,20.4923,20.5112,19.8218,21.6285
mdt-28;A8WHP8;Q65ZB1,19.5366,18.9367,16.8134,18.2423,21.0897,19.8147,20.7466,20.5453
;A9UJN7;Q7YXB8;Q18494,18.9089,16.6535,17.3624,19.9964,21.5432,21.1509,20.6708,20.7141
;A9UJN7;Q7YXB8;Q18494,20.1647,18.6402,17.7242,18.8989,20.9299,20.9026,20.2859,21.8679
;A9UJP1,17.9283,21.3924,18.0323,19.5474,20.3697,21.2713,21.0209,20.8613
;A9UJP1;Q95ZR6;Q9XVL1,17.4413,20.1311,16.9306,17.3385,20.3752,20.9983,20.3401,21.596
;A9UJP1;Q95ZR6,19.8127,17.8057,19.3341,20.2748,24.7759,21.6179,22.9029,22.9717
;A9UJP1;Q95ZR6;Q9XVL1,17.9886,17.778,18.324,17.9868,23.5517,24.5036,25.2843,25.071
;A9Z1K9,18.1301,20.0545,18.6864,19.4421,25.7672,25.9749,25.6818,28.89
hsp-43;B0M0L8;H2KYS1,18.0832,16.4154,17.3837,19.1975,22.1166,23.2779,21.8406,23.467
hsp-43;B0M0L8;H2KYS1,24.6997,22.9772,24.0043,23.8997,25.229,24.3716,24.5296,23.2563
hsp-43;B0M0L8;H2KYS1,19.7149,17.9595,18.0715,18.7319,21.0146,20.967,21.408,20.6054
hsp-43;B0M0L8;H2KYS1,17.4149,18.5739,18.5097,19.7088,22.8827,21.4374,21.4661,23.8239
;B0M0N4,18.4716,16.5904,17.2929,21.5418,21.029,21.6173,21.7983,21.0978
;B0M0N4,23.3067,22.962,20.647,23.3457,23.7929,24.6363,24.2758,24.124
;B0M0N4,19.4698,19.3389,19.1964,20.0044,20.931,21.3061,21.7937,19.8725
aat-6;B2D6M4,25.2964,24.643,23.4756,23.7722,25.5304,27.5923,26.6201,26.5127
aat-6;B2D6M4,20.0384,18.987,18.634,18.2785,20.7468,20.9624,21.1756,20.5598
rmd-2;B2D6P1,18.8033,18.9855,17.1526,18.3365,21.6003,20.9568,20.6863,21.0526
rmd-2;B2D6P1,16.4583,17.7869,16.6166,19.8956,20.8261,20.4019,19.9709,20.3885
urm-1;B3CKG1,22.1512,22.4292,23.1817,22.2618,24.6014,25.6672,24.6381,24.9835
;B3WFT8,23.7907,23.3437,22.6138,24.1685,21.3531,19.5144,21.0243,21.69
;E1B6S9,20.0604,18.5421,18.2087,17.9884,19.2882,20.5428,21.0318,21.5463
abts-1;G5EC65,17.6085,21.5815,18.2598,20.1804,21.0863,21.0029,21.1349,20.951
;B3WFW7,16.9503,18.0369,19.4504,19.9794,20.2918,19.5298,20.0551,21.9286
;B3WFY5,16.5449,18.2842,18.7127,20.5999,20.6349,21.5405,21.2236,21.7733
;B3WFY5,18.7586,19.4052,18.8725,19.8658,23.2228,22.8943,24.2937,23.8111
;B3WFY5,19.9826,18.4677,18.3284,16.243,24.1499,24.4939,24.652,23.8111
ifg-1;B5BM23,26.1089,25.7739,28.2667,27.87,24.4894,28.4348,27.7537,24.8589
ret-1;B5U8N2,17.2964,19.4821,17.8265,21.8554,18.9469,19.8055,21.0633,20.5318
