geneName,log2 daf2_d15_01,log2 daf2_d15_02,log2 daf2_d15_03,log2 daf2_d15_04,log2 eat2_d15_01,log2 eat2_d15_02,log2 eat2_d15_03,log2 eat2_d15_04
"CELE_Y62E10A,13",12.2069,12.0594,9.76451,11.8261,14.6929,14.6219,15.0714,15.0036
cars-1,15.8211,16.1505,15.4504,15.4914,17.3614,18.3607,17.4468,18.4773
eps-8,12.2998,11.8259,11.4712,11.7534,14.2241,15.3397,14.695,14.718
"CELE_T14G10,5;CELE_T14G10,5;T14G10,5;CELE_T14G10,5",16.9059,16.8133,16.6107,17.1328,17.278,17.2816,17.5184,17.6879
pezo-1,14.9222,14.4529,15.2528,15.1532,16.0356,16.4429,16.43,16.6367
twk-9,17.1845,15.4121,16.1883,17.3328,14.6643,14.6084,14.1804,15.4371
epi-1,17.394,16.9375,17.068,17.1822,19.3013,19.958,19.5637,20.0334
kdin-1,12.3697,13.9836,12.3076,13.9048,14.9805,15.0657,14.7737,14.3285
tag-273,17.7318,17.2426,16.9599,17.1441,17.8152,18.0893,17.9604,18.4654
"CELE_F13H10,3;CELE_F13H10,3;F13H10,3;CELE_F13H10,3",12.8317,12.2961,12.512,12.9942,14.5301,15.4822,14.9562,14.7982
pps-1,15.4369,14.6658,15.0787,16.4961,16.3486,16.9502,17.2291,16.4725
cka-1,13.6777,14.3371,14.6652,14.6894,17.0288,16.4714,17.191,17.2637
"CELE_R11A8,7;CELE_R11A8,7;R11A8,7",14.2176,14.4117,13.4286,13.2425,14.7691,14.5101,14.4768,15.3084
spp-18,16.5696,15.9392,15.6755,16.5092,14.6074,14.9306,14.7396,14.9846
lin-66,14.5355,14.6999,14.4939,14.9344,13.3425,15.221,14.9797,15.4351
"CELE_F09E10,7",14.2578,13.9932,14.6474,15.1687,14.9222,15.0741,14.3462,14.5228
"CELE_F10C1,9",12.2985,11.947,12.4792,11.8912,14.4955,13.7579,14.6724,15.255
itx-1,15.2263,15.4442,15.1319,15.1181,16.3116,16.5902,16.4232,16.4513
"CELE_Y41E3,7",14.3675,14.3236,13.5239,14.0069,15.1169,15.2052,14.8207,15.8897
"CELE_Y105C5B,15",14.3337,14.6362,14.8568,15.0861,14.8389,15.4545,15.0084,15.3403
lim-9,13.9325,14.4416,14.4983,14.9111,14.9571,15.1334,14.5622,14.6738
"CELE_Y105E8A,25",13.1338,12.4764,12.0041,13.3743,14.9662,15.3609,14.9144,15.1615
pgp-2,15.5517,15.5128,15.1444,15.5406,16.263,15.942,16.5103,18.9858
lpd-3,17.5258,16.8627,17.8107,18.2929,14.7356,14.4461,14.7467,15.4556
tln-1,14.028,14.6544,14.7886,14.9017,14.9324,15.4181,14.2691,14.7208
max-2,12.3222,12.2655,14.0327,12.933,14.9873,14.8484,14.0506,15.3082
egl-27,16.4987,14.5871,16.1889,15.6524,14.4995,14.7387,12.7065,15.4268
cdc-14,11.6871,11.8917,11.7372,12.0707,14.9576,15.4854,13.9322,14.2619
daf-16,11.7855,12.0595,11.7779,12.0944,13.9248,15.4823,13.9326,13.6722
"CELE_T16H12,3;T16H12,3",12.1525,12.0584,11.7014,11.8513,14.5306,14.5676,14.7485,15.431
lev-11,12.0055,13.1996,12.879,13.5371,17.5938,17.7435,17.6884,17.0757
gld-2,12.3058,11.3864,11.6527,12.033,14.9741,15.5163,13.4171,15.0916
ncl-1,12.2917,11.4481,11.3373,12.0885,15.0217,15.2217,14.819,15.1931
"CELE_D1069,3",12.0465,11.8805,11.7464,12.0446,14.5316,15.1375,15.0211,15.0412
lin-23,16.8271,16.1133,16.3452,16.5303,14.7922,15.1266,14.8369,14.9976
"CELE_Y50D4B,1",12.3083,12.0572,11.5711,11.9796,14.8821,15.0305,14.947,15.4674
"CELE_Y39A1A,21",11.8309,11.9709,11.7413,12.0859,14.8786,14.5327,14.0664,14.8981
