geneName,log2 daf2_d10_01,log2 daf2_d10_02,log2 daf2_d10_03,log2 daf2_d10_04,log2 eat2_d10_01,log2 eat2_d10_02,log2 eat2_d10_03,log2 eat2_d10_04
bra-2,13.5425,14.4408,13.453,14.0024,14.1257,15.1366,14.6525,15.8506
mboa-6,15.4625,15.5934,15.2962,15.3056,18.4953,17.3276,17.9911,18.3427
tag-96,8.26072,10.8686,10.5659,10.7573,12.7584,13.1503,12.9395,13.2774
emr-1,16.285,16.3374,15.9658,16.0706,17.4274,17.4991,16.9466,17.1723
"eif-3,H",16.7961,16.5821,16.799,16.9454,17.7799,17.2764,17.4603,17.6996
"CELE_T23C6,4",12.4796,11.9267,11.3219,12.1103,13.2652,13.3456,12.969,12.7608
san-1,14.191,14.3565,14.0319,14.7724,15.3992,14.686,15.3319,14.5957
rpl-4,17.8768,17.9144,18.0527,17.808,17.7972,18.5661,17.6842,18.873
ptps-1,14.76,15.1124,13.9232,13.9412,15.8814,16.3945,14.3217,15.4573
smz-2,15.4576,16.167,16.2628,15.8032,16.2138,16.5479,15.8527,14.9238
"CELE_F19B10,10",10.7014,10.6629,10.8036,10.8169,13.3404,13.1006,12.868,13.1582
"C48E7,1",18.7071,18.6209,19.0362,18.4392,18.9898,19.0387,18.8334,19.0013
haf-2,13.8711,13.6781,12.9593,12.9685,14.209,14.4225,13.0031,14.0264
msra-1,14.6955,14.8275,14.4346,14.7416,15.9808,15.7262,15.0306,15.3674
rpb-4,14.5046,14.8725,14.805,15.5484,17.5743,17.5057,17.0157,17.5736
"C18E3,5",10.7319,10.7712,10.7524,10.7038,13.3271,13.2162,12.8859,12.763
"swsn-2,2",13.4596,13.8856,13.3856,13.2099,16.5219,16.095,15.0015,14.834
mlt-8,12.4036,12.6563,12.9642,12.5301,13.2616,13.1033,12.3726,13.1971
cdc-37,18.0432,17.8458,18.4061,18.3973,17.5166,17.4984,18.2225,17.4781
"CELE_W08F4,3",15.3291,15.2315,14.8287,15.0666,17.3339,16.0336,18.3076,18.4098
pcn-1,17.5028,17.4462,18.1121,18.0133,18.2727,18.2462,19.1812,19.2279
"CELE_E03H12,7",10.2789,10.7874,10.749,10.419,12.8583,13.1149,12.9813,13.1936
"C46G7,2",16.2644,16.3694,15.9363,16.3165,16.5479,15.7117,15.3698,15.0857
grd-14,13.6519,11.5443,13.1839,12.3257,15.4364,16.1111,14.8917,15.245
grd-4,13.2748,14.0861,13.5056,13.7139,13.3422,12.3001,12.7916,12.8781
"CELE_T09B4,5",17.1199,17.3097,17.2705,17.0694,17.8019,17.4969,16.7132,17.3955
"CELE_T09B4,8",16.2377,16.0344,16.6318,16.7239,17.888,17.6717,17.8766,17.7206
tin-44,14.2551,13.8919,14.429,14.5568,15.9296,15.7393,15.1573,15.2023
pigv-1,12.7282,12.6623,13.4791,13.4445,14.6824,15.5773,15.0083,15.4459
aakg-2,13.9764,13.9738,14.2178,14.1521,15.9235,16.3145,16.0479,15.3778
oxa-1,12.9675,14.0379,12.2037,14.3159,13.1946,13.0076,12.9056,13.2563
"C01A2,4",15.0345,15.1468,14.8326,15.2236,16.4051,16.7853,16.2536,15.7585
tads-1,12.2542,14.1957,14.1556,13.935,16.0862,16.1982,15.8633,16.3669
cbl-1,15.9019,15.933,15.5937,15.9453,15.679,15.4417,14.5534,15.2206
mrpl-34,14.8849,14.6751,13.1882,13.8444,13.2847,13.1613,12.1444,13.1751
gln-6,15.4968,15.5892,14.7086,13.6112,17.9326,17.5874,18.0808,17.867
"C54C8,3;CELE_E03H4,11",13.3015,13.5158,13.7548,14.4364,12.8346,13.1058,12.9321,13.3383
pqn-27,15.8308,16.0331,15.6594,15.7115,16.6048,16.7127,16.3713,16.4476
pcp-3,15.5665,15.6773,15.5597,15.857,17.1944,17.3007,16.3269,16.9325
alh-7,16.8341,16.8185,16.6189,16.8972,16.6403,16.3435,16.6372,16.5849
"CELE_F45H10,3",18.6083,18.7763,18.3517,18.5952,19.6295,19.5516,19.0911,19.2918
drr-1,15.3957,15.2389,16.5556,15.8677,15.6938,14.339,16.8277,16.9516
pck-2,19.7658,19.7611,19.7256,19.7377,19.9215,19.8464,19.8744,19.9256
lbp-7,16.4386,16.3532,16.0762,16.5418,16.2794,16.6399,16.2129,16.2097
prmt-9,13.5262,13.4975,12.9812,13.821,15.829,15.8379,15.5476,15.3533
