geneName;Leading.proteins,log2 daf2_d15_01,log2 daf2_d15_02,log2 daf2_d15_03,log2 daf2_d15_04,log2 daf2_d5_01,log2 daf2_d5_02,log2 daf2_d5_03,log2 daf2_d5_04
eps-8;G5ED33,24.7874,25.02,24.5148,23.6856,21.7283,19.1263,16.9484,19.5784
eps-8;G5ED33,23.5194,24.1715,23.8636,24.1473,21.0619,19.4139,18.8798,20.6509
eps-8;G5ED33,19.0158,20.0399,20.9728,21.2806,19.8681,19.7115,19.4418,20.2652
eps-8;G5ED33,17.7554,20.1916,19.9996,18.449,17.3168,17.2941,18.3084,18.8222
eps-8;G5ED33,24.1164,23.7851,23.4222,23.0601,14.24,16.2222,17.0743,15.9533
eps-8;G5ED33,23.8429,23.1984,22.3761,22.8616,18.8236,17.8722,17.8891,18.4586
eps-8;G5ED33,23.8087,22.9247,23.8381,23.8007,19.8229,19.5347,18.5868,16.4206
;A0A061ACQ8,17.8235,20.2668,18.7401,21.1825,19.1515,20.881,18.7091,17.8859
;A0A061ACQ8,22.2595,23.3938,22.8448,23.2788,23.1079,22.2062,23.2476,22.728
;A0A061ACQ8,25.6735,26.3082,25.9416,26.8577,25.3163,25.7199,25.3947,26.0253
;A0A061ACQ8,25.6735,26.3082,25.9416,26.8577,25.3163,26.0487,25.3947,26.0253
T14G10.5;A0A061ACR1,23.3745,23.1524,23.9663,23.5295,24.594,23.8529,24.1401,23.1285
pezo-1;A0A061AL01,19.7043,18.1049,21.682,20.0537,17.9959,17.1447,20.6863,19.1526
pezo-1;A0A061AL01,20.9039,20.0927,20.085,19.0373,18.4219,19.8675,17.9276,17.6966
;B3GWD8,18.5562,19.1444,17.9817,18.8163,19.3549,20.1873,15.7297,19.4834
;B3GWD8,18.7951,19.3143,21.3415,19.1342,18.6804,19.5573,17.7639,17.7995
;B3GWD8,19.963,17.7262,21.0365,20.5899,17.9553,19.3841,18.7385,18.1227
ard-1;A0A061AD09;Q19102,18.914,21.1819,19.9261,20.3977,19.9716,20.2658,20.3397,16.2634
lim-9;Q3S1I9,20.1555,21.0436,20.5461,17.5459,21.5334,18.8672,17.4174,20.5942
lim-9;Q3S1I9,17.2498,20.9428,21.0508,18.4893,20.6548,18.3746,18.1842,19.5638
pgp-2;G5EDF9,19.1434,20.2455,20.667,19.6401,20.7985,18.0818,17.7649,18.1729
pgp-2;G5EDF9,16.9269,20.7184,19.8914,17.7498,16.7509,19.2432,19.3601,18.186
pgp-2;G5EDF9,19.2824,20.4845,18.4336,17.7753,20.5993,20.0415,18.5054,19.6412
lev-11;A0A0K3AQS9;A0A0K3AQT4;A0A0K3ARB5;A0A0K3AUC2;A0A0K3AWP0;K8FDX2;Q22866;Q27249,20.1377,19.0934,21.4023,19.2155,19.186,17.8454,17.7487,18.7668
lev-11;A0A0K3AQS9;A0A0K3AWP0;K8FDX2;Q22866,19.049,20.2455,19.231,18.9535,18.1117,19.4842,18.0639,21.5604
lev-11;A0A0K3AQS9;A0A0K3AQT4;A0A0K3ARB5;A0A0K3AUC2;A0A0K3AWP0;Q22866,24.5131,25.5433,25.8393,24.7071,17.5341,20.0035,17.4432,17.5559
lev-11;A0A0K3AQS9;A0A0K3AQT4;A0A0K3AUC2;A0A0K3AWP0;K8FDX2;Q22866,18.9476,18.3177,21.7191,18.7087,16.8838,16.3927,18.4173,20.3876
lev-11;A0A0K3AQS9;A0A0K3AQT4;A0A0K3ARB5;A0A0K3AUC2;A0A0K3AWP0;Q22866,18.8794,21.5318,19.37,18.701,20.257,16.6118,17.3617,19.52
lev-11;A0A0K3AQS9;A0A0K3AQT4;A0A0K3ARB5;A0A0K3AUC2;Q22866;Q27249,23.0312,24.175,23.9764,23.6184,23.3109,25.2438,23.1944,26.5361
lev-11;A0A0K3AQS9;A0A0K3AQT4;A0A0K3ARB5;A0A0K3AUC2;Q22866;Q27249,24.4388,25.6619,25.4762,24.7688,25.2015,26.0473,26.1266,24.4081
lev-11;A0A0K3AQT4;A0A0K3AUC2;A0A0K3AWP0;K8FDX2;Q22866,19.3892,20.6914,19.4052,21.3583,20.446,17.5303,19.9837,18.2597
