geneName,log2 N2_d15_01,log2 N2_d15_02,log2 N2_d15_03,log2 N2_d15_04,log2 N2_d10_01,log2 N2_d10_02,log2 N2_d10_03,log2 N2_d10_04
"CELE_Y62E10A,13",11.3945,11.8454,12.0607,12.7939,14.218,14.1148,11.1635,15.0079
cars-1,17.0012,16.427,16.4786,16.2597,17.4415,17.1778,17.8791,18.122
eps-8,14.7489,13.651,14.3442,14.5962,14.4686,13.7126,14.1819,14.8971
"CELE_T14G10,5;CELE_T14G10,5;T14G10,5;CELE_T14G10,5",17.1779,16.7638,16.9089,17.28,17.6362,17.6537,17.2508,18.0665
pezo-1,15.1979,15.0917,15.0032,16.7631,17.6704,17.5944,18.1401,17.7233
twk-9,15.0646,14.0276,15.4946,15.6371,14.4523,14.1682,14.2584,14.486
epi-1,17.454,17.4416,17.0252,17.381,19.3472,19.2119,19.0184,19.2306
kdin-1,13.6171,14.009,13.8207,13.7303,14.0607,13.8599,14.3869,14.7034
tag-273,16.2946,16.0933,16.3976,16.5315,17.9037,18.1408,18.2388,18.4179
"CELE_F13H10,3;CELE_F13H10,3;F13H10,3;CELE_F13H10,3",11.832,12.6645,13.1658,12.7295,14.2514,13.6343,14.3166,14.7568
pps-1,15.271,14.9418,15.2142,15.653,16.9277,16.9882,16.7831,17.9848
cka-1,13.0951,14.5308,14.0703,13.9988,14.8416,15.4305,16.2572,17.6152
"CELE_R11A8,7;CELE_R11A8,7;R11A8,7",13.3137,12.9601,13.441,14.0119,14.2815,14.3868,14.4725,14.9605
spp-18,16.8055,17.5007,17.378,16.5791,14.277,14.1225,13.6839,15.0089
lin-66,12.317,12.1892,12.2635,12.7647,14.25,14.441,14.4749,14.5368
"CELE_F09E10,7",15.7195,13.3313,13.1655,13.5176,14.2173,14.1746,14.1429,14.8907
"CELE_F10C1,9",13.0658,12.3597,12.7821,11.6115,14.1701,14.1251,14.3814,15.0562
itx-1,15.3792,15.1967,15.3792,15.2648,16.1639,16.1252,16.1658,16.7853
"CELE_Y41E3,7",14.6143,15.5077,15.5166,14.3394,14.6389,15.5725,16.038,15.1986
"CELE_Y105C5B,15",14.2368,14.7536,14.3432,14.4718,14.3666,14.1884,13.6107,14.7568
lim-9,14.2082,15.1166,14.3389,14.132,14.3061,14.3051,14.3001,14.9978
"CELE_Y105E8A,25",14.9721,14.2083,13.9657,14.553,14.281,14.4162,14.1802,15.156
pgp-2,15.439,14.9654,15.155,15.4384,15.5056,14.8773,15.8577,16.2587
lpd-3,17.1681,14.8397,15.6861,15.9769,14.5079,14.1863,14.3007,14.5037
tln-1,14.5501,14.8535,14.223,15.8737,14.7834,15.8676,15.3835,15.1703
max-2,15.6531,14.5138,13.9053,16.096,18.3792,17.8231,17.5291,18.4921
egl-27,14.2126,14.6101,16.28,12.7153,14.397,14.1208,14.3659,14.8478
cdc-14,11.742,11.9868,11.8271,12.8061,14.0134,13.9992,14.4636,15.1621
daf-16,12.5541,12.0724,12.2682,12.7554,14.1039,14.3826,14.3178,14.7611
"CELE_T16H12,3;T16H12,3",12.5835,12.0612,12.1027,12.7229,14.2774,14.3938,13.7544,14.5154
lev-11,16.2472,15.6724,15.509,16.4352,17.5835,17.5333,16.8948,18.4039
gld-2,12.5522,11.2392,10.3677,12.7843,14.3488,14.3527,13.9096,14.9169
ncl-1,12.542,12.1807,12.316,12.7383,14.4803,13.9704,14.4543,15.1209
"CELE_D1069,3",12.3731,12.0944,12.3316,12.5939,14.4058,11.0788,13.4142,15.1272
lin-23,15.6396,15.0569,16.4845,15.7004,14.4909,14.3822,13.5793,14.943
"CELE_Y50D4B,1",12.4011,12.1045,12.01,12.4652,14.4588,14.3447,13.9316,14.7977
"CELE_Y39A1A,21",12.3942,12.0197,12.2596,12.778,14.5117,14.1148,13.8624,15.0471
dre-1,15.5708,18.1573,16.945,16.5466,18.8041,18.8026,15.9709,20.6601
gck-1,15.0399,14.6068,16.002,15.6756,15.7454,13.3462,16.5441,17.5934
gly-7,13.0861,12.734,14.7532,15.4581,17.6391,17.7547,17.8132,17.9318
"CELE_F40A3,3;F40A3,3",17.5826,18.1105,18.1486,17.3012,19.9898,20.3698,19.8862,21.0196
"CELE_Y50D4B,4",14.7283,14.6614,15.269,15.3,12.8793,13.7637,13.5127,14.6463
cdf-1,12.5581,12.1584,12.2233,12.5177,15.0753,14.3218,15.2003,15.1188
unc-34,15.5482,16.6145,16.3491,14.1947,18.6095,19.2727,18.5954,18.8462
tbh-1,17.2381,16.7317,16.769,17.7514,17.546,17.7325,17.6712,19.3978
lev-11,21.3013,21.6226,21.6428,21.2067,23.9041,24.1488,23.792,23.8759
