geneName,log2 daf2_d15_01,log2 daf2_d15_02,log2 daf2_d15_03,log2 daf2_d15_04,log2 daf2_d1_01,log2 daf2_d1_02,log2 daf2_d1_03,log2 daf2_d1_04
"CELE_Y62E10A,13",12.2069,12.0594,9.76451,11.8261,15.033,13.3158,13.2742,13.3989
cars-1,15.8211,16.1505,15.4504,15.4914,15.7675,15.7773,15.7113,15.6432
eps-8,12.2998,11.8259,11.4712,11.7534,12.5189,13.0355,11.8518,13.1362
"CELE_T14G10,5;CELE_T14G10,5;T14G10,5;CELE_T14G10,5",16.9059,16.8133,16.6107,17.1328,15.9997,16.0292,15.9521,15.9332
pezo-1,14.9222,14.4529,15.2528,15.1532,14.0249,14.2203,14.3511,14.0234
twk-9,17.1845,15.4121,16.1883,17.3328,18.3173,18.0618,18.3394,17.8726
epi-1,17.394,16.9375,17.068,17.1822,16.7993,16.8157,16.8808,16.5653
kdin-1,12.3697,13.9836,12.3076,13.9048,13.0104,12.8672,12.953,13.002
tag-273,17.7318,17.2426,16.9599,17.1441,16.7957,16.6892,16.7458,16.7035
"CELE_F13H10,3;CELE_F13H10,3;F13H10,3;CELE_F13H10,3",12.8317,12.2961,12.512,12.9942,12.9012,12.7524,12.5408,12.1888
pps-1,15.4369,14.6658,15.0787,16.4961,14.6849,13.7357,13.9037,13.413
cka-1,13.6777,14.3371,14.6652,14.6894,14.1753,14.2682,13.9052,14.4305
"CELE_R11A8,7;CELE_R11A8,7;R11A8,7",14.2176,14.4117,13.4286,13.2425,12.7977,12.8163,12.7774,12.8972
spp-18,16.5696,15.9392,15.6755,16.5092,13.6529,15.2626,14.344,14.6621
lin-66,14.5355,14.6999,14.4939,14.9344,13.9599,13.5927,13.7867,13.3555
"CELE_F09E10,7",14.2578,13.9932,14.6474,15.1687,13.4822,13.2835,13.7968,12.5132
"CELE_F10C1,9",12.2985,11.947,12.4792,11.8912,13.4519,13.0365,14.0339,12.836
itx-1,15.2263,15.4442,15.1319,15.1181,14.3602,13.8227,14.023,13.8797
"CELE_Y41E3,7",14.3675,14.3236,13.5239,14.0069,14.437,14.1755,14.1049,14.0022
"CELE_Y105C5B,15",14.3337,14.6362,14.8568,15.0861,14.1822,13.5679,13.9529,13.334
lim-9,13.9325,14.4416,14.4983,14.9111,15.1094,14.9499,15.542,15.0749
"CELE_Y105E8A,25",13.1338,12.4764,12.0041,13.3743,14.3318,13.9801,13.7444,13.0567
pgp-2,15.5517,15.5128,15.1444,15.5406,15.0493,14.8721,14.8834,14.7244
lpd-3,17.5258,16.8627,17.8107,18.2929,16.2304,16.0431,14.4429,15.1278
tln-1,14.028,14.6544,14.7886,14.9017,16.0092,13.4848,14.7696,13.4221
max-2,12.3222,12.2655,14.0327,12.933,13.5153,12.2491,13.2763,13.8107
egl-27,16.4987,14.5871,16.1889,15.6524,13.3076,13.3039,13.5169,13.701
cdc-14,11.6871,11.8917,11.7372,12.0707,11.0256,10.6159,10.6167,10.841
daf-16,11.7855,12.0595,11.7779,12.0944,14.0404,13.7714,13.8167,13.92
"CELE_T16H12,3;T16H12,3",12.1525,12.0584,11.7014,11.8513,12.8504,12.4177,13.3509,11.8584
lev-11,12.0055,13.1996,12.879,13.5371,15.5017,15.3856,15.1109,14.5788
gld-2,12.3058,11.3864,11.6527,12.033,11.771,12.8416,11.72,12.4886
ncl-1,12.2917,11.4481,11.3373,12.0885,15.1437,14.4379,14.5374,14.4959
"CELE_D1069,3",12.0465,11.8805,11.7464,12.0446,11.9118,12.1038,12.8008,12.5522
lin-23,16.8271,16.1133,16.3452,16.5303,13.1779,13.241,12.8194,13.2696
"CELE_Y50D4B,1",12.3083,12.0572,11.5711,11.9796,13.1414,13.1551,12.9483,13.5493
"CELE_Y39A1A,21",11.8309,11.9709,11.7413,12.0859,10.8572,9.59846,10.5046,10.6183
