geneName;Leading.proteins,log2 N2_d10_01,log2 N2_d10_02,log2 N2_d10_03,log2 N2_d10_04,log2 N2_d5_01,log2 N2_d5_02,log2  N2_d5_03,log2 N2_d5_04
eps-8;G5ED33,17.5327,19.8041,20.9319,19.6009,23.8555,23.2074,23.9511,24.3365
eps-8;G5ED33,17.1798,18.6986,21.2561,21.0882,21.9286,21.3864,20.4347,21.5976
eps-8;G5ED33,20.7311,21.7289,19.4175,17.9633,23.4835,24.2371,23.8393,24.4495
eps-8;G5ED33,25.4427,25.1152,25.5114,24.5829,22.9099,24.0892,24.2362,23.2418
eps-8;G5ED33,23.8439,24.3591,25.0551,24.8455,21.8965,20.3186,22.5549,23.1651
eps-8;G5ED33,18.8139,19.5756,21.0625,19.1871,21.1765,21.0658,21.4885,21.6995
eps-8;G5ED33,19.1268,19.4666,19.463,19.8508,20.9889,21.6704,22.3464,22.0644
;A0A061ACQ8,25.1179,25.6788,25.3254,25.0607,23.9196,24.8655,24.899,26.1364
;A0A061ACQ8,19.3402,20.135,17.2983,16.8941,21.5992,20.809,20.9413,21.1447
;A0A061ACQ8,18.8628,20.9229,20.6477,21.4521,27.2762,26.8353,26.7459,27.5041
;A0A061ACQ8,19.9375,18.9843,21.5938,19.9823,27.2762,26.8353,26.7459,27.5041
T14G10.5;A0A061ACR1,19.7171,19.1901,19.1267,19.7952,24.8872,25.1844,24.1479,24.599
pezo-1;A0A061AL01,16.1122,19.4221,20.4245,20.9586,21.2511,21.1867,18.9654,20.3907
pezo-1;A0A061AL01,21.007,19.7355,20.3847,19.7913,23.1739,22.0387,21.808,22.5403
;B3GWD8,22.6992,22.7306,24.1893,21.0493,21.5379,19.9172,21.2065,19.3403
;B3GWD8,20.5715,19.9464,17.1615,21.2368,21.8973,21.7259,21.2138,21.8058
;B3GWD8,20.3282,21.7727,19.1176,21.5312,21.6392,21.0082,21.3492,20.8212
ard-1;A0A061AD09;Q19102,19.9764,18.4282,19.5034,18.9757,21.3986,21.2608,21.4654,21.2513
lim-9;Q3S1I9,19.0928,17.2822,19.4194,21.3455,21.2028,21.0694,20.5769,21.3834
lim-9;Q3S1I9,19.6106,20.3,20.035,19.4295,21.6606,21.3918,20.915,21.4468
pgp-2;G5EDF9,18.7199,20.445,17.3022,18.8472,22.3729,22.3957,21.4728,22.4389
pgp-2;G5EDF9,16.3937,20.4237,20.9377,18.8993,22.3368,21.5555,21.7559,21.8566
pgp-2;G5EDF9,18.7538,18.7701,18.7407,19.0366,21.2489,20.283,21.2956,19.8853
lev-11;A0A0K3AQS9;A0A0K3AQT4;A0A0K3ARB5;A0A0K3AUC2;A0A0K3AWP0;K8FDX2;Q22866;Q27249,21.4698,20.5738,19.1009,21.3845,21.9577,20.3436,19.9513,21.6882
lev-11;A0A0K3AQS9;A0A0K3AWP0;K8FDX2;Q22866,20.2377,19.7373,18.5143,17.9382,23.824,24.2237,24.7437,25.3436
lev-11;A0A0K3AQS9;A0A0K3AQT4;A0A0K3ARB5;A0A0K3AUC2;A0A0K3AWP0;Q22866,26.045,25.6702,27.109,26.0397,25.9499,27.0139,26.7184,26.2778
lev-11;A0A0K3AQS9;A0A0K3AQT4;A0A0K3AUC2;A0A0K3AWP0;K8FDX2;Q22866,17.2868,18.7173,21.439,20.6722,23.6729,23.1417,24.9478,24.9932
lev-11;A0A0K3AQS9;A0A0K3AQT4;A0A0K3ARB5;A0A0K3AUC2;A0A0K3AWP0;Q22866,19.6958,21.2905,19.8868,17.9633,24.0717,23.4302,22.9369,23.4216
lev-11;A0A0K3AQS9;A0A0K3AQT4;A0A0K3ARB5;A0A0K3AUC2;Q22866;Q27249,26.1909,26.0301,26.2682,25.1585,26.349,25.7396,28.6875,27.9636
lev-11;A0A0K3AQS9;A0A0K3AQT4;A0A0K3ARB5;A0A0K3AUC2;Q22866;Q27249,20.8913,17.5493,19.4176,17.826,25.3626,25.5536,25.8357,26.6962
lev-11;A0A0K3AQT4;A0A0K3AUC2;A0A0K3AWP0;K8FDX2;Q22866,26.014,26.2594,25.0266,26.2841,21.7925,21.4862,20.6125,21.7089
lev-11;A0A0K3AQT4;A0A0K3AUC2;A0A0K3AWP0;K8FDX2;Q22866,18.993,19.9835,19.3398,18.5383,21.2213,20.6539,21.3595,21.6727
lev-11;A0A0K3AQT4;A0A0K3AUC2;A0A0K3AWP0;K8FDX2;Q22866,20.9316,22.1213,22.664,22.536,26.9802,27.5772,24.8865,26.698
