geneName,log2 daf2_d15_01,log2 daf2_d15_02,log2 daf2_d15_03,log2 daf2_d15_04,log2 N2_d15_01,log2 N2_d15_02,log2 N2_d15_03,log2 N2_d15_04
gst-5,16.7565,16.8848,16.4174,16.9266,16.141,16.0943,16.1029,15.7093
cdl-1,15.9405,15.5966,15.5637,16.2025,16.1771,16.256,16.3833,16.7281
vps-11,12.2404,12.0863,11.71,12.0029,12.4946,11.9935,12.2193,12.5805
npp-19,15.3189,15.5632,14.3839,14.819,15.713,15.027,15.1543,15.5017
ech-4,16.1071,16.6125,16.4358,16.862,15.6108,16.35,15.5335,16.3724
gst-36,17.5286,17.3749,17.5297,17.9627,17.6741,17.4432,17.6878,17.4213
lec-8,19.854,19.7626,20.147,20.0203,18.9907,18.6515,19.0145,18.7862
ptc-1,12.2086,12.0248,11.4939,12.0598,12.4786,12.1302,11.9959,12.5552
puf-12,15.2836,14.8139,14.4189,15.0323,16.4052,15.9646,15.9753,15.9693
"ZK673,2",16.0567,16.6669,16.584,16.6045,15.8099,16.2985,16.3177,16.734
pssy-1,12.0785,11.7786,11.6087,12.0219,12.543,12.0273,12.2609,12.6744
"ZK1128,1",13.0269,13.0115,13.7946,19.707,15.2533,14.1354,13.7228,14.6026
ham-3,12.6669,12.6287,12.4502,13.1185,13.4073,13.0887,13.2093,13.5178
gstk-1,14.3806,13.524,14.8715,15.2388,14.8887,14.9157,14.4716,14.9463
"CELE_ZK1320,9",17.3222,16.6513,17.3609,18.17,15.7415,17.0455,16.3783,16.2135
tnc-2,18.0737,17.9655,18.0682,18.2896,17.5614,17.4833,17.6583,17.6806
"C53C9,2",17.8175,16.4897,17.1752,17.9961,17.1775,16.958,16.7731,17.3847
"C18A3,3",14.036,14.3283,14.7645,14.4813,14.8425,16.2146,16.3985,15.3467
egg-1,16.3216,16.0976,15.5624,14.0416,16.5187,15.6465,15.5858,16.9131
sfxn-2,13.3965,13.6816,12.9199,13.1548,13.3328,12.6076,12.0906,12.8034
"C17G10,1",14.4425,15.0382,14.0493,14.9415,13.9918,13.5058,13.904,15.0649
"C17G10,2",13.2011,13.598,13.8725,14.3976,14.8856,14.3897,14.5191,15.3136
lys-8,16.0883,15.8361,15.7697,16.3983,15.6741,15.4987,15.979,16.059
dhs-6,16.7892,16.9104,16.9438,17.0536,16.9181,16.9875,17.1585,17.5324
"CELE_F45E1,1",14.4466,14.9539,13.9598,14.3341,12.5433,11.9561,12.1588,12.4016
"CELE_F45E1,2",15.2969,15.3771,14.6946,14.7952,13.8239,14.2527,13.9916,13.3143
ctsa-1,12.3328,13.1417,12.7566,13.7147,12.9548,14.3479,14.4866,13.7125
lrs-1,16.3543,16.2347,16.3572,16.221,16.9481,17.0909,16.995,17.3218
nsf-1,15.6576,15.657,15.6623,16.0454,16.1282,16.0021,15.9383,16.2789
che-10,17.3005,18.4979,17.2717,16.6072,17.2928,18.9816,17.3387,17.9989
tax-6,16.4845,16.0719,16.5622,16.7681,16.0858,15.9028,15.9671,16.413
"CELE_F53C11,9",17.349,17.0227,17.4352,17.1315,16.8306,16.8831,16.7939,17.2441
"CELE_M106,3",15.7869,15.8648,18.1947,16.6781,17.6062,15.7657,18.3051,16.6068
mdt-9,15.8649,16.2514,16.1333,16.0716,17.2321,16.1798,16.5261,17.8722
"T19C3,3",17.3648,17.5954,16.6756,17.1757,16.6762,15.7511,16.1926,16.0521
"T19C3,4",12.9627,13.8769,13.0488,13.2769,12.5512,12.1127,12.8118,11.7007
"T19C3,5",14.216,15.0291,14.7147,14.1489,15.506,15.9599,16.0532,16.1314
snr-3,16.4734,15.6387,15.8773,16.527,15.9015,16.9538,17.0644,17.3382
"T25E4,1",11.7133,11.314,11.679,11.841,12.4257,12.1872,12.2973,12.7857
"T28D9,1",17.5349,18.4134,17.8966,17.3932,17.3866,17.0079,16.7642,18.2051
"F15G9,1",18.3057,18.4359,18.3818,18.5188,17.3564,17.6308,17.5698,17.6068
"R10H1,1",14.0716,14.3671,14.8008,14.5339,15.1937,16.7826,15.2498,16.2907
unc-50,14.911,15.1438,14.3032,14.0283,14.097,13.9062,13.4857,15.1506
"CELE_T10F2,2",13.8525,13.8106,14.0382,14.059,14.1641,14.8701,15.6799,15.3487
prp-19,16.0995,15.972,16.2451,16.5658,16.0003,16.3516,16.2281,16.2649
"C23G10,2",18.4417,18.5566,18.2571,18.3953,17.7342,17.4705,17.6103,17.4683
"F52C9,3",12.2379,13.6976,0,12.0891,12.2038,13.0414,12.8232,12.916
mrps-16,13.9243,13.1913,14.4479,14.1567,15.6959,14.5891,14.3459,15.3639
cex-1,15.7485,15.9952,15.4312,15.9996,14.9466,15.3294,15.1281,16.0229
his-71;his-72,19.3241,18.7622,19.4296,19.9921,18.7906,20.8166,20.0178,20.7817
"F46H5,3",20.5914,20.3057,20.6488,20.9672,20.0657,20.3405,20.3373,20.5337
"B0286,3",16.7435,16.9013,17.3813,17.3336,14.9883,14.946,14.9078,14.7255
cah-5,12.5735,14,13.8265,14.0377,9.94183,12.8893,13.774,10.1591
dpy-18,15.468,15.5307,16.4267,15.7408,15.8033,15.6783,15.8052,15.8798
rpb-2,14.1777,14.0507,13.9985,13.9938,16.1765,15.4843,15.5347,16.0623
