geneName,log2 N2_d15_01,log2 N2_d15_02,log2 N2_d15_03,log2 N2_d15_04,log2 N2_d5_01,log2 N2_d5_02,log2 N2_d5_03,log2 N2_d5_04
"CELE_Y62E10A,13",11.3945,11.8454,12.0607,12.7939,10.7246,12.8939,13.1994,12.3652
cars-1,17.0012,16.427,16.4786,16.2597,16.0288,16.0264,15.5569,15.6059
eps-8,14.7489,13.651,14.3442,14.5962,14.1342,12.9341,13.6492,13.7203
"CELE_T14G10,5;CELE_T14G10,5;T14G10,5;CELE_T14G10,5",17.1779,16.7638,16.9089,17.28,17.5171,16.5847,16.6106,16.7523
pezo-1,15.1979,15.0917,15.0032,16.7631,13.722,14.2385,14.3964,14.2946
twk-9,15.0646,14.0276,15.4946,15.6371,17.6586,18.4575,18.3246,17.916
epi-1,17.454,17.4416,17.0252,17.381,17.6514,17.3559,17.1822,17.7655
kdin-1,13.6171,14.009,13.8207,13.7303,13.4012,12.9817,14.2163,13.4658
tag-273,16.2946,16.0933,16.3976,16.5315,16.9615,16.9142,16.9885,17.2432
"CELE_F13H10,3;CELE_F13H10,3;F13H10,3;CELE_F13H10,3",11.832,12.6645,13.1658,12.7295,12.5762,12.6283,12.41,12.2389
pps-1,15.271,14.9418,15.2142,15.653,14.3474,14.1023,14.6768,15.287
cka-1,13.0951,14.5308,14.0703,13.9988,13.4878,14.1536,13.55,13.8556
"CELE_R11A8,7;CELE_R11A8,7;R11A8,7",13.3137,12.9601,13.441,14.0119,13.343,14.7779,12.7744,13.8059
spp-18,16.8055,17.5007,17.378,16.5791,15.0469,15.1157,15.7014,16.2875
lin-66,12.317,12.1892,12.2635,12.7647,14.0077,13.7704,14.3544,14.8973
"CELE_F09E10,7",15.7195,13.3313,13.1655,13.5176,13.6093,13.9933,14.1876,13.6874
"CELE_F10C1,9",13.0658,12.3597,12.7821,11.6115,13.9452,13.0582,13.5171,14.1013
itx-1,15.3792,15.1967,15.3792,15.2648,15.0756,14.6052,14.7545,15.1934
"CELE_Y41E3,7",14.6143,15.5077,15.5166,14.3394,14.5143,14.874,15.3494,14.2494
"CELE_Y105C5B,15",14.2368,14.7536,14.3432,14.4718,14.7875,14.7886,14.8223,15.2597
lim-9,14.2082,15.1166,14.3389,14.132,14.2439,14.2245,14.3268,14.9832
"CELE_Y105E8A,25",14.9721,14.2083,13.9657,14.553,12.7547,13.4247,12.9829,13.2754
pgp-2,15.439,14.9654,15.155,15.4384,14.4009,14.1815,13.6723,14.6201
lpd-3,17.1681,14.8397,15.6861,15.9769,15.4549,16.4514,16.337,16.0881
