geneName;Leading.proteins,log2 eat2_d5_01,log2 eat2_d5_02,log2 eat2_d5_03,log2 eat2_d5_04,log2 eat2_d1_01,log2 eat2_d1_02,log2 eat2_d1_03,log2 eat2_d1_04
eps-8;G5ED33,22.702,23.1942,23.0416,24.2504,23.5334,23.8659,22.8091,21.4201
eps-8;G5ED33,23.8974,26.7129,27.0381,25.4021,24.5767,24.9587,24.2381,24.8764
eps-8;G5ED33,20.8424,21.0919,20.2925,21.864,20.7121,21.6121,21.5258,20.8901
eps-8;G5ED33,23.4626,23.6842,22.8629,23.4315,22.5255,23.5415,23.281,23.7146
eps-8;G5ED33,21.9968,23.1719,22.3767,22.5101,21.7742,22.8023,23.3951,21.6803
eps-8;G5ED33,21.595,21.5468,20.8732,20.8042,20.3533,19.2331,21.6183,21.2415
eps-8;G5ED33,20.4087,20.5938,21.3076,20.5389,20.5678,20.222,21.3859,21.0173
;A0A061ACQ8,24.8353,26.6069,28.0849,24.5607,23.8289,24.4935,24.4446,23.923
;A0A061ACQ8,21.2459,21.5406,21.2437,21.3923,20.6905,20.6101,21.286,20.8378
;A0A061ACQ8,27.5851,25.9051,25.9511,27.8005,24.3735,26.4799,26.1909,25.0773
;A0A061ACQ8,25.2067,25.9051,25.9511,27.1847,25.8144,26.1828,26.1909,25.0773
T14G10.5;A0A061ACR1,23.275,25.0014,24.4762,24.5705,24.4604,23.8085,23.8101,22.391
pezo-1;A0A061AL01,20.6705,20.1351,19.8288,21.9589,20.9122,20.5604,20.0432,21.2337
pezo-1;A0A061AL01,22.9219,22.8252,22.966,23.1064,20.052,21.7668,21.7559,22.3719
;B3GWD8,20.1448,20.9953,20.9473,20.9437,20.4407,21.4264,21.4755,19.5985
;B3GWD8,20.769,20.2735,21.3764,21.6481,20.2055,21.2947,21.4317,18.8279
;B3GWD8,21.0195,21.3697,20.1126,20.3163,23.8394,23.8007,23.6418,23.2697
ard-1;A0A061AD09;Q19102,21.3938,21.6922,20.62,20.5959,20.7379,21.5393,21.4388,20.9034
lim-9;Q3S1I9,20.7498,21.0134,19.3533,21.4814,21.0449,20.8853,21.1509,20.5674
lim-9;Q3S1I9,21.3117,21.354,20.8736,21.522,20.9667,20.5865,20.3952,19.8745
pgp-2;G5EDF9,24.0161,23.4262,23.0996,23.9464,21.4791,23.2069,23.4336,22.9113
pgp-2;G5EDF9,24.4818,24.0993,24.7389,25.7138,20.0777,22.5115,23.8453,23.1834
