geneName,log2 daf2_d10_01,log2 daf2_d10_02,log2 daf2_d10_03,log2 daf2_d10_04,log2 daf2_d1_01,log2 daf2_d1_02,log2 daf2_d1_03,log2 daf2_d1_04
"CELE_Y62E10A,13",11.3554,8.10436,9.38045,10.4464,15.033,13.3158,13.2742,13.3989
cars-1,16.1075,16.3522,15.8168,16.1662,15.7675,15.7773,15.7113,15.6432
eps-8,15.6027,15.3869,14.0775,14.3634,12.5189,13.0355,11.8518,13.1362
"CELE_T14G10,5;CELE_T14G10,5;T14G10,5;CELE_T14G10,5",16.5319,16.6517,16.4404,16.4774,15.9997,16.0292,15.9521,15.9332
pezo-1,14.9727,15.208,15.1849,15.344,14.0249,14.2203,14.3511,14.0234
twk-9,16.9242,17.1493,17.8353,17.5592,18.3173,18.0618,18.3394,17.8726
epi-1,17.1279,17.5438,17.0597,17.2595,16.7993,16.8157,16.8808,16.5653
kdin-1,13.0056,13.2505,13.4264,13.3654,13.0104,12.8672,12.953,13.002
tag-273,16.5015,16.5437,16.458,16.5743,16.7957,16.6892,16.7458,16.7035
"CELE_F13H10,3;CELE_F13H10,3;F13H10,3;CELE_F13H10,3",12.8776,12.8146,12.929,13.0728,12.9012,12.7524,12.5408,12.1888
pps-1,14.9095,14.5201,14.0743,14.7224,14.6849,13.7357,13.9037,13.413
cka-1,12.7984,12.9611,13.6862,13.8228,14.1753,14.2682,13.9052,14.4305
"CELE_R11A8,7;CELE_R11A8,7;R11A8,7",12.6173,13.0353,12.4388,12.5493,12.7977,12.8163,12.7774,12.8972
spp-18,16.373,16.9781,16.7208,17.007,13.6529,15.2626,14.344,14.6621
lin-66,14.5827,14.6179,13.6819,14.7544,13.9599,13.5927,13.7867,13.3555
"CELE_F09E10,7",14.2571,14.4518,14.1071,14.5699,13.4822,13.2835,13.7968,12.5132
"CELE_F10C1,9",11.8453,12.2266,11.2579,11.6011,13.4519,13.0365,14.0339,12.836
itx-1,15.0718,14.9494,14.8635,14.9809,14.3602,13.8227,14.023,13.8797
"CELE_Y41E3,7",14.3709,13.8693,13.9608,13.8687,14.437,14.1755,14.1049,14.0022
"CELE_Y105C5B,15",13.783,13.271,13.2557,13.5441,14.1822,13.5679,13.9529,13.334
lim-9,14.6326,14.7163,14.7474,15.1376,15.1094,14.9499,15.542,15.0749
"CELE_Y105E8A,25",13.5123,13.1816,13.0543,13.2151,14.3318,13.9801,13.7444,13.0567
pgp-2,15.1777,15.1321,15.0575,15.1647,15.0493,14.8721,14.8834,14.7244
lpd-3,14.3259,14.0766,13.9736,15.5266,16.2304,16.0431,14.4429,15.1278
tln-1,14.0114,14.7436,14.0475,15.0478,16.0092,13.4848,14.7696,13.4221
max-2,14.9622,15.2805,14.0682,14.3596,13.5153,12.2491,13.2763,13.8107
egl-27,14.9714,13.8412,14.4128,14.5895,13.3076,13.3039,13.5169,13.701
cdc-14,10.7319,10.7653,10.6617,10.7681,11.0256,10.6159,10.6167,10.841
daf-16,14.7956,14.4813,14.4375,15.0285,14.0404,13.7714,13.8167,13.92
"CELE_T16H12,3;T16H12,3",12.4629,12.3007,12.5033,11.9589,12.8504,12.4177,13.3509,11.8584
lev-11,14.5642,15.0783,13.9281,14.3618,15.5017,15.3856,15.1109,14.5788
gld-2,10.6805,10.4422,9.39442,10.5435,11.771,12.8416,11.72,12.4886
ncl-1,14.3242,12.2912,13.6919,14.1284,15.1437,14.4379,14.5374,14.4959
"CELE_D1069,3",10.7146,10.8241,10.7882,10.7076,11.9118,12.1038,12.8008,12.5522
lin-23,14.3646,15.1011,14.299,14.4251,13.1779,13.241,12.8194,13.2696
"CELE_Y50D4B,1",10.3434,10.6748,10.5864,10.8263,13.1414,13.1551,12.9483,13.5493
"CELE_Y39A1A,21",10.6527,10.4638,10.6992,7.86698,10.8572,9.59846,10.5046,10.6183
dre-1,16.7971,16.1175,16.858,15.1961,17.5411,16.747,16.9177,17.0942
gck-1,14.8571,14.8287,14.8672,15.2236,14.3503,14.2965,14.0295,14.1474
gly-7,13.9867,14.2007,14.251,14.5712,15.2911,13.9644,14.1441,13.7363
"CELE_F40A3,3;F40A3,3",18.3115,18.3569,18.4892,18.2786,18.5411,18.4763,18.5505,18.2987
"CELE_Y50D4B,4",13.0031,12.7598,13.2396,12.9808,14.9002,14.9816,14.9892,14.9089
cdf-1,10.698,10.8586,10.7126,10.8259,10.9376,10.6472,10.7921,10.746
unc-34,15.0819,14.8671,14.7745,15.3677,16.7764,16.3451,13.3088,15.1487
tbh-1,16.6736,16.5867,16.3346,16.5949,15.3663,15.3492,15.5883,15.0892
lev-11,21.2103,20.8595,21.0874,20.8664,21.7474,22.1143,22.0065,21.4276
imp-3,12.9046,13.0004,13.0576,12.5168,13.3818,13.1706,12.9138,13.224
prdx-2,21.1287,20.9678,21.3437,21.5406,21.9418,21.7497,21.7763,21.7001
jhdm-1,14.0335,14.1637,13.4546,13.3101,14.5113,14.5323,14.7196,14.1443
mrck-1,14.1914,12.9244,13.7289,13.7921,13.0162,11.8051,12.8231,12.0398
