geneName;Leading.proteins,log2 daf2_d15_01,log2 daf2_d15_02,log2 daf2_d15_03,log2 daf2_d15_04,log2 daf2_d10_01,log2 daf2_d10_02,log2 daf2_d10_03,log2 daf2_d10_04
eps-8;G5ED33,24.7874,25.02,24.5148,23.6856,23.4587,24.0664,23.1137,25.0985
eps-8;G5ED33,23.5194,24.1715,23.8636,24.1473,25.0749,25.3106,24.0962,24.1866
eps-8;G5ED33,19.0158,20.0399,20.9728,21.2806,20.0707,21.7295,21.2479,20.9707
eps-8;G5ED33,17.7554,20.1916,19.9996,18.449,20.4936,20.3288,19.9947,21.4875
eps-8;G5ED33,24.1164,23.7851,23.4222,23.0601,24.1916,24.2188,25.0236,23.9262
eps-8;G5ED33,23.8429,23.1984,22.3761,22.8616,23.3225,23.5801,24.0032,24.7963
eps-8;G5ED33,23.8087,22.9247,23.8381,23.8007,18.4543,16.9512,18.7781,19.1706
;A0A061ACQ8,17.8235,20.2668,18.7401,21.1825,18.8745,19.1804,17.66,18.8705
;A0A061ACQ8,22.2595,23.3938,22.8448,23.2788,24.7423,22.5354,21.8131,23.5553
;A0A061ACQ8,25.6735,26.3082,25.9416,26.8577,24.9853,24.6852,26.1816,25.3441
;A0A061ACQ8,25.6735,26.3082,25.9416,26.8577,24.9853,24.6852,26.1816,25.3441
T14G10.5;A0A061ACR1,23.3745,23.1524,23.9663,23.5295,24.3086,23.4591,25.2728,23.3645
pezo-1;A0A061AL01,19.7043,18.1049,21.682,20.0537,20.9844,19.2787,19.0681,18.4461
pezo-1;A0A061AL01,20.9039,20.0927,20.085,19.0373,20.9798,18.8131,21.2636,20.025
;B3GWD8,18.5562,19.1444,17.9817,18.8163,20.8685,19.6437,20.537,19.1416
;B3GWD8,18.7951,19.3143,21.3415,19.1342,19.715,20.1627,19.7253,17.7271
;B3GWD8,19.963,17.7262,21.0365,20.5899,20.1273,18.8333,20.6156,20.7385
ard-1;A0A061AD09;Q19102,18.914,21.1819,19.9261,20.3977,21.1623,16.0536,21.1649,18.807
lim-9;Q3S1I9,20.1555,21.0436,20.5461,17.5459,19.9088,20.3734,19.7662,18.8902
lim-9;Q3S1I9,17.2498,20.9428,21.0508,18.4893,23.2732,23.2923,23.206,21.6354
pgp-2;G5EDF9,19.1434,20.2455,20.667,19.6401,21.0697,18.4201,20.6069,17.6945
pgp-2;G5EDF9,16.9269,20.7184,19.8914,17.7498,24.0194,23.5051,25.0464,23.7446
pgp-2;G5EDF9,19.2824,20.4845,18.4336,17.7753,19.8937,21.4847,18.8163,19.8148
