geneName;Leading.proteins,log2 eat2_d15_01,log2 eat2_d15_02,log2 eat2_d15_03,log2 eat2_d15_04,log2 eat2_d10_01,log2 eat2_d10_02,log2 eat2_d10_03,log2 eat2_d10_04
eps-8;G5ED33,21.5417,20.6052,21.8186,21.6586,22.0793,23.3671,23.3845,23.2758
eps-8;G5ED33,22.0936,20.9693,21.8315,21.582,21.8502,20.328,21.6943,20.7008
eps-8;G5ED33,20.6689,19.8074,19.8263,21.4035,24.5216,22.7272,24.7716,25.6816
eps-8;G5ED33,21.3207,20.457,21.1569,20.8725,23.9434,24.9522,23.8299,25.4669
eps-8;G5ED33,24.5316,23.0237,23.3382,24.1397,25.2289,25.084,24.6537,24.4369
eps-8;G5ED33,25.2037,21.9564,23.4921,21.3081,20.9934,20.1383,20.565,21.4765
eps-8;G5ED33,20.5845,20.0789,20.1227,21.7398,26.3567,25.103,25.1873,26.2083
;A0A061ACQ8,21.4137,20.3753,20.2783,21.1525,25.6572,25.2059,25.6378,24.9202
;A0A061ACQ8,20.2449,20.6627,20.3218,21.4516,20.9167,20.157,21.6092,20.6234
;A0A061ACQ8,26.0796,26.6214,27.3457,25.2603,24.8245,24.1733,25.3429,22.6609
;A0A061ACQ8,26.0796,24.4882,24.0322,24.5542,24.8245,24.1733,25.3429,22.9507
T14G10.5;A0A061ACR1,24.6031,23.893,27.408,25.7024,20.6108,20.9844,20.9991,20.4449
pezo-1;A0A061AL01,21.6271,21.5454,19.618,21.1324,21.2686,20.8189,21.433,19.8521
pezo-1;A0A061AL01,20.3374,20.0229,21.7904,21.6173,24.2228,22.9565,24.0277,26.6275
;B3GWD8,21.9518,20.5953,21.7451,21.6637,24.5006,24.5776,25.4118,24.2319
;B3GWD8,21.5007,20.8678,21.3048,20.5311,21.5394,18.8297,21.306,21.0766
;B3GWD8,20.1236,20.5493,21.1031,20.9334,24.0581,22.4732,23.4203,22.4659
ard-1;A0A061AD09;Q19102,21.3746,20.6783,21.0299,20.5448,20.9959,21.2959,20.9351,20.4192
lim-9;Q3S1I9,22.0414,20.9049,19.5599,20.4587,21.7362,19.9293,20.4636,20.918
lim-9;Q3S1I9,22.4755,21.0297,22.664,23.1742,19.4551,21.3654,21.0041,20.6358
pgp-2;G5EDF9,21.7113,20.9051,21.5384,21.0025,24.4874,23.6056,24.1998,22.1189
pgp-2;G5EDF9,20.9095,20.6514,21.4471,20.1895,23.8183,24.5224,25.1071,24.2737
pgp-2;G5EDF9,20.6047,20.1422,20.203,20.9822,24.7171,24.3861,24.6156,30.1377
lev-11;A0A0K3AQS9;A0A0K3AQT4;A0A0K3ARB5;A0A0K3AUC2;A0A0K3AWP0;K8FDX2;Q22866;Q27249,21.6466,21.084,20.5156,19.8864,19.9041,21.0368,21.7105,20.1931
lev-11;A0A0K3AQS9;A0A0K3AWP0;K8FDX2;Q22866,20.922,19.9403,21.0624,21.5466,21.2787,19.3966,21.8517,20.4801
lev-11;A0A0K3AQS9;A0A0K3AQT4;A0A0K3ARB5;A0A0K3AUC2;A0A0K3AWP0;Q22866,25.4485,22.6639,24.3064,25.0223,24.4696,24.5794,24.3204,24.1408
lev-11;A0A0K3AQS9;A0A0K3AQT4;A0A0K3AUC2;A0A0K3AWP0;K8FDX2;Q22866,24.2264,23.5739,24.9054,23.2206,23.444,22.7677,22.8373,25.1639
lev-11;A0A0K3AQS9;A0A0K3AQT4;A0A0K3ARB5;A0A0K3AUC2;A0A0K3AWP0;Q22866,25.0452,23.174,22.6811,24.166,22.7873,23.9749,22.365,25.2145
lev-11;A0A0K3AQS9;A0A0K3AQT4;A0A0K3ARB5;A0A0K3AUC2;Q22866;Q27249,26.767,25.9117,25.99,26.6959,25.921,25.2815,25.9784,23.305
lev-11;A0A0K3AQS9;A0A0K3AQT4;A0A0K3ARB5;A0A0K3AUC2;Q22866;Q27249,25.2813,24.0705,24.6979,22.9127,25.0553,22.8239,24.059,26.5787
lev-11;A0A0K3AQT4;A0A0K3AUC2;A0A0K3AWP0;K8FDX2;Q22866,23.3782,23.6285,24.0569,23.3793,21.0878,20.6431,20.3204,21.1876
lev-11;A0A0K3AQT4;A0A0K3AUC2;A0A0K3AWP0;K8FDX2;Q22866,22.6481,25.086,25.3506,24.9068,21.9138,20.6437,20.2026,20.6163
lev-11;A0A0K3AQT4;A0A0K3AUC2;A0A0K3AWP0;K8FDX2;Q22866,25.216,23.437,23.4736,22.1196,23.873,24.693,25.5681,25.6736
;A0A0K3AUF2,24.6902,23.4674,22.0641,23.1463,21.7543,20.569,21.1147,23.53
lev-11;A0A0K3ARB5;Q27249,23.1416,22.6612,23.7309,23.5633,21.609,20.8408,21.8861,20.5913
lev-11;A0A0K3ARB5;Q27249,23.1416,24.762,25.0833,24.8576,21.2273,20.5009,21.4646,21.4434
lev-11;A0A0K3ARB5;Q27249,23.2863,21.656,20.6174,22.6982,21.937,21.1124,20.9654,20.7929
egl-8;A0A0K3AS90,23.6604,22.5202,22.852,22.2183,20.9082,21.122,21.1568,20.9118
ubxn-3;A0A0K3AWX1,19.8885,21.5349,21.2998,21.2814,19.1487,19.1621,19.4934,21.5572
ubxn-3;A0A0K3AWX1,21.5456,21.1286,21.0404,21.5365,21.5672,21.1885,21.1196,19.909
;A0A0K3AVS5,21.6481,21.4494,20.6691,21.1544,21.7,21.6957,20.974,24.552
fln-2;A0A0K3AW96,22.5114,22.1148,20.7902,22.8784,19.2831,21.4545,21.0872,20.1488
fln-2;A0A0K3AW96,20.7289,20.2022,21.8042,21.5686,21.8725,22.6179,22.3776,25.1033
fln-2;A0A0K3AW96,26.7722,25.6859,27.8765,27.4224,25.1462,24.6493,24.692,27.2157
fln-2;A0A0K3AW96,26.696,23.4355,22.1419,22.4113,20.7563,20.4282,19.8578,20.941
oac-14;A0A0K3AWB0,25.8509,22.0571,22.9232,25.1645,25.5725,24.3052,25.0771,22.2245
oac-14;A0A0K3AWB0,24.4604,24.1179,24.1296,24.6268,23.8979,21.6642,22.6713,24.1166
;A0A0K3AWM6,21.2875,19.9649,20.0605,20.9046,24.0193,22.7022,23.4581,24.3906
lsy-13;A0A0K3AXE0,20.4498,21.3899,20.9074,19.486,21.8016,21.4159,20.7756,20.7887
;A0A0K3AXT9,25.7905,26.8828,27.7092,25.4412,25.1956,24.653,25.5209,27.6707
;A0A0K3AXT9,21.9727,20.2349,20.6954,21.0619,25.0797,24.7756,24.7697,24.4968
;A0A0K3AXT9,24.8458,27.2829,26.6816,26.9848,26.0959,24.4763,24.2506,21.3527
;A0A0K3AXT9,24.4766,26.1682,26.4029,26.1487,26.3155,25.2737,26.0163,27.2178
;A0A0K3AY44;O44557,25.3899,26.5551,26.9841,26.9997,24.2352,23.7219,23.3627,24.0361
;A0A0K3AY44;O44557,22.0035,20.5391,20.5605,20.4148,21.8303,20.0851,21.8749,20.5794
oig-6;A0A0K3AY85;Q9BPN5,24.5809,26.7236,25.768,26.3321,25.6122,25.825,26.0679,26.1032
oig-6;A0A0K3AY85;Q9BPN5,19.8134,20.591,20.7853,20.8305,23.7861,22.021,23.9979,24.2543
;A0A0K3AYE8,19.5271,20.8876,21.2137,21.3042,26.121,25.6112,25.8081,21.1966
;A0A0M7RFG7,22.0768,20.8755,21.3311,21.0708,21.7591,21.1896,21.4763,20.8821
;A0A0S4XRR1,21.2132,21.1193,21.1607,21.0533,24.166,23.9745,23.9467,20.7393
;A0A0T7CIX3,21.9368,18.5195,18.4005,21.0016,20.4987,20.0837,21.739,21.0109
;A0A0T7CIX3,19.9278,21.4489,20.543,21.0004,24.1973,23.9414,23.847,25.0905
;A0A0T7CIX3,21.146,20.5567,20.5375,20.7377,20.1071,21.4045,20.7955,21.4149
rpl-11.1;A0A131MBQ6;Q94300,21.7223,18.9888,20.0508,21.2503,23.0821,23.0649,23.9164,24.2107
mdt-18;A0A131MCJ5,20.2832,19.4886,19.8333,20.2595,19.6342,20.8798,20.8945,20.8499
rnf-5;A0A131MD51,21.5559,21.5134,21.337,20.255,22.2376,21.4953,21.898,21.6791
fipp-1;O16293,21.9782,18.3985,20.9695,21.0961,21.883,19.9637,21.2698,21.1131
;O02147,21.4841,21.3722,20.0657,21.2176,23.2088,22.1552,23.2034,24.8589
spat-2;F3Y5Q3,23.8072,23.2767,21.9531,23.8411,20.5106,20.4482,21.1887,21.2719
;Q9N350,21.9322,24.0387,25.3652,24.8307,24.572,23.526,25.1125,20.0426
