geneName,log2 N2_d10_01,log2 N2_d10_02,log2 N2_d10_03,log2 N2_d10_04,log2 N2_d5_01,log2 N2_d5_02,log2 N2_d5_03,log2 N2_d5_04
"CELE_Y62E10A,13",14.218,14.1148,11.1635,15.0079,10.7246,12.8939,13.1994,12.3652
cars-1,17.4415,17.1778,17.8791,18.122,16.0288,16.0264,15.5569,15.6059
eps-8,14.4686,13.7126,14.1819,14.8971,14.1342,12.9341,13.6492,13.7203
"CELE_T14G10,5;CELE_T14G10,5;T14G10,5;CELE_T14G10,5",17.6362,17.6537,17.2508,18.0665,17.5171,16.5847,16.6106,16.7523
pezo-1,17.6704,17.5944,18.1401,17.7233,13.722,14.2385,14.3964,14.2946
twk-9,14.4523,14.1682,14.2584,14.486,17.6586,18.4575,18.3246,17.916
epi-1,19.3472,19.2119,19.0184,19.2306,17.6514,17.3559,17.1822,17.7655
kdin-1,14.0607,13.8599,14.3869,14.7034,13.4012,12.9817,14.2163,13.4658
tag-273,17.9037,18.1408,18.2388,18.4179,16.9615,16.9142,16.9885,17.2432
"CELE_F13H10,3;CELE_F13H10,3;F13H10,3;CELE_F13H10,3",14.2514,13.6343,14.3166,14.7568,12.5762,12.6283,12.41,12.2389
pps-1,16.9277,16.9882,16.7831,17.9848,14.3474,14.1023,14.6768,15.287
cka-1,14.8416,15.4305,16.2572,17.6152,13.4878,14.1536,13.55,13.8556
"CELE_R11A8,7;CELE_R11A8,7;R11A8,7",14.2815,14.3868,14.4725,14.9605,13.343,14.7779,12.7744,13.8059
spp-18,14.277,14.1225,13.6839,15.0089,15.0469,15.1157,15.7014,16.2875
lin-66,14.25,14.441,14.4749,14.5368,14.0077,13.7704,14.3544,14.8973
"CELE_F09E10,7",14.2173,14.1746,14.1429,14.8907,13.6093,13.9933,14.1876,13.6874
"CELE_F10C1,9",14.1701,14.1251,14.3814,15.0562,13.9452,13.0582,13.5171,14.1013
itx-1,16.1639,16.1252,16.1658,16.7853,15.0756,14.6052,14.7545,15.1934
"CELE_Y41E3,7",14.6389,15.5725,16.038,15.1986,14.5143,14.874,15.3494,14.2494
"CELE_Y105C5B,15",14.3666,14.1884,13.6107,14.7568,14.7875,14.7886,14.8223,15.2597
lim-9,14.3061,14.3051,14.3001,14.9978,14.2439,14.2245,14.3268,14.9832
"CELE_Y105E8A,25",14.281,14.4162,14.1802,15.156,12.7547,13.4247,12.9829,13.2754
pgp-2,15.5056,14.8773,15.8577,16.2587,14.4009,14.1815,13.6723,14.6201
lpd-3,14.5079,14.1863,14.3007,14.5037,15.4549,16.4514,16.337,16.0881
tln-1,14.7834,15.8676,15.3835,15.1703,14.1918,13.9737,14.107,14.251
max-2,18.3792,17.8231,17.5291,18.4921,15.5204,14.5985,13.4376,14.1562
egl-27,14.397,14.1208,14.3659,14.8478,12.576,13.1572,13.132,12.9809
cdc-14,14.0134,13.9992,14.4636,15.1621,11.472,11.1757,11.0624,11.6847
daf-16,14.1039,14.3826,14.3178,14.7611,14.585,14.0713,13.2523,14.1532
"CELE_T16H12,3;T16H12,3",14.2774,14.3938,13.7544,14.5154,11.412,11.2337,10.9874,11.7267
lev-11,17.5835,17.5333,16.8948,18.4039,15.1948,14.4688,14.6904,15.4279
gld-2,14.3488,14.3527,13.9096,14.9169,11.3677,11.1951,11.1271,11.6101
ncl-1,14.4803,13.9704,14.4543,15.1209,14.5409,15.7414,14.0072,14.7912
"CELE_D1069,3",14.4058,11.0788,13.4142,15.1272,13.2709,14.0571,14.3065,13.1438
lin-23,14.4909,14.3822,13.5793,14.943,13.3327,12.299,12.7186,13.5858
"CELE_Y50D4B,1",14.4588,14.3447,13.9316,14.7977,11.4711,11.1696,10.8206,11.7053
"CELE_Y39A1A,21",14.5117,14.1148,13.8624,15.0471,11.4521,11.2233,11.1725,11.7425
dre-1,18.8041,18.8026,15.9709,20.6601,17.0121,16.1905,15.7812,16.2351
gck-1,15.7454,13.3462,16.5441,17.5934,15.9078,15.5024,15.404,15.9773
gly-7,17.6391,17.7547,17.8132,17.9318,13.0441,13.3419,14.657,14.036
"CELE_F40A3,3;F40A3,3",19.9898,20.3698,19.8862,21.0196,19.056,18.863,18.8798,18.9224
"CELE_Y50D4B,4",12.8793,13.7637,13.5127,14.6463,13.0729,14.5398,14.8538,14.1061
cdf-1,15.0753,14.3218,15.2003,15.1188,11.2309,10.7954,11.1403,11.687
unc-34,18.6095,19.2727,18.5954,18.8462,15.7234,15.4259,16.9355,15.7449
tbh-1,17.546,17.7325,17.6712,19.3978,16.5062,16.1452,16.3245,17.1621
lev-11,23.9041,24.1488,23.792,23.8759,21.9299,22.0167,22.0209,21.2885
imp-3,14.2619,16.3201,15.9757,15.4478,8.93078,11.0402,10.6452,16.142
prdx-2,22.1243,21.961,22.5156,22.2658,22.0854,22.1847,21.9447,21.9577
jhdm-1,14.17,14.0463,13.9909,14.4271,15.3243,14.7986,14.6742,15.1245
mrck-1,14.9463,15.0883,15.8627,15.26,11.7395,13.5955,13.2878,12.1785
nhr-86,14.3783,14.425,13.8587,14.6482,11.2685,11.0428,11.2468,11.4639
aat-3,14.4877,13.4276,14.8521,14.2447,12.9627,13.0532,12.2852,14.8411
"CELE_M02H5,8",18.3782,17.6726,17.7523,18.2971,19.1224,19.493,18.9658,18.9728
"CELE_T08B1,1",17.1682,17.1618,18.0439,17.056,15.1187,14.4887,14.6688,14.6374
lipl-5,17.4404,17.3251,17.2111,19.3081,13.731,13.7747,12.2415,11.2462
fln-2,18.5361,18.3068,18.1672,18.5688,16.3907,16.6015,16.3384,16.6967
"C14C6,5",18.169,16.7952,18.1042,17.4029,16.5878,15.9716,15.9966,16.4598
"CELE_T08B1,1",14.5177,13.3085,14.4646,15.1285,11.3308,11.1458,11.2457,11.7057
zig-11,16.8464,16.7332,17.3151,17.1802,12.3575,12.1928,12.7751,11.9676
ilys-5,16.6843,17.1937,16.9247,17.7038,16.4699,15.8699,15.9315,16.8144
irg-3,16.6299,15.221,16.7599,15.2772,17.5753,17.0789,17.0426,17.1917
tns-1,17.6292,16.934,16.8778,18.0926,15.5425,14.8938,14.7866,15.2415
ubr-4,14.8,15.1381,13.5592,15.8839,10.9007,10.8419,12.2295,12.4937
ccar-1,16.2876,16.5611,15.7444,17.1838,15.0733,14.9261,14.6607,14.2776
ulp-2,14.516,14.2873,13.9184,15.0274,13.9227,14.4907,14.8008,14.4837
"CELE_T23F4,2",16.228,15.9278,16.5846,16.8872,14.6301,13.4505,13.9936,14.9059
sago-1,15.9689,15.7802,16.2823,16.1639,13.2114,12.9299,12.1103,13.2928
sago-2,14.4562,14.4209,13.5713,15.1045,16.7445,16.7038,16.0956,16.2426
"CELE_K02C4,3;CELE_K02C4,3;CELE_K02C4,3;K02C4,3",14.3337,14.3133,14.3359,14.5867,13.6279,13.9799,13.589,9.34186
daf-4,16.1254,17.9632,17.1751,16.2886,13.9809,14.3527,13.3982,15.0507
hpo-3,14.1363,13.1518,13.8659,13.9722,11.2987,11.1394,11.1731,11.6731
acs-22,14.3847,14.3445,13.9106,15.1405,14.1217,13.6942,13.6335,14.0711
tag-10,16.7774,16.7127,16.4418,17.2602,15.0082,14.5885,14.3784,14.6979
imb-2,16.5141,15.4188,16.4522,16.2065,13.9174,13.882,13.8402,13.8063
brf-1,13.5358,13.4215,13.2232,14.8229,13.4709,13.1394,12.7689,13.7489
"CELE_W09B6,4",14.8901,15.7108,16.5247,16.4126,13.9775,12.4984,13.5548,13.8286
irg-7,19.3271,19.0947,19.2671,20.1542,18.4456,18.298,18.1992,18.5686
"CELE_F27B10,1",14.3632,13.6236,14.3735,14.8436,14.3326,3.91271,14.0929,11.5426
"CELE_T22F3,3",14.4646,14.27,14.2207,14.8722,11.3367,11.033,11.168,11.5541
die-1,14.4552,14.3986,13.9343,14.5848,15.0588,15.0866,13.8978,15.6883
dhs-11,14.5057,14.1558,14.4594,15.0856,15.0343,15.2846,15.3123,15.0999
tbc-14,16.0316,16.81,15.7661,15.8938,14.2654,13.9874,14.3445,14.9511
cyp-34a6,13.8158,13.5077,14.4739,14.054,11.3622,11.0841,11.056,11.5117
fipp-1,15.9003,15.0766,15.7207,16.1953,15.5543,15.7114,15.2037,15.1199
