geneName,log2 eat2_d15_01,log2 eat2_d15_02,log2 eat2_d15_03,log2 eat2_d15_04,log2 N2_d15_01,log2 N2_d15_02,log2 N2_d15_03,log2 N2_d15_04
"CELE_Y62E10A,13",14.6929,14.6219,15.0714,15.0036,11.3945,11.8454,12.0607,12.7939
cars-1,17.3614,18.3607,17.4468,18.4773,17.0012,16.427,16.4786,16.2597
eps-8,14.2241,15.3397,14.695,14.718,14.7489,13.651,14.3442,14.5962
"CELE_T14G10,5;CELE_T14G10,5;T14G10,5;CELE_T14G10,5",17.278,17.2816,17.5184,17.6879,17.1779,16.7638,16.9089,17.28
pezo-1,16.0356,16.4429,16.43,16.6367,15.1979,15.0917,15.0032,16.7631
twk-9,14.6643,14.6084,14.1804,15.4371,15.0646,14.0276,15.4946,15.6371
epi-1,19.3013,19.958,19.5637,20.0334,17.454,17.4416,17.0252,17.381
kdin-1,14.9805,15.0657,14.7737,14.3285,13.6171,14.009,13.8207,13.7303
tag-273,17.8152,18.0893,17.9604,18.4654,16.2946,16.0933,16.3976,16.5315
"CELE_F13H10,3;CELE_F13H10,3;F13H10,3;CELE_F13H10,3",14.5301,15.4822,14.9562,14.7982,11.832,12.6645,13.1658,12.7295
pps-1,16.3486,16.9502,17.2291,16.4725,15.271,14.9418,15.2142,15.653
cka-1,17.0288,16.4714,17.191,17.2637,13.0951,14.5308,14.0703,13.9988
"CELE_R11A8,7;CELE_R11A8,7;R11A8,7",14.7691,14.5101,14.4768,15.3084,13.3137,12.9601,13.441,14.0119
spp-18,14.6074,14.9306,14.7396,14.9846,16.8055,17.5007,17.378,16.5791
lin-66,13.3425,15.221,14.9797,15.4351,12.317,12.1892,12.2635,12.7647
"CELE_F09E10,7",14.9222,15.0741,14.3462,14.5228,15.7195,13.3313,13.1655,13.5176
"CELE_F10C1,9",14.4955,13.7579,14.6724,15.255,13.0658,12.3597,12.7821,11.6115
itx-1,16.3116,16.5902,16.4232,16.4513,15.3792,15.1967,15.3792,15.2648
"CELE_Y41E3,7",15.1169,15.2052,14.8207,15.8897,14.6143,15.5077,15.5166,14.3394
"CELE_Y105C5B,15",14.8389,15.4545,15.0084,15.3403,14.2368,14.7536,14.3432,14.4718
lim-9,14.9571,15.1334,14.5622,14.6738,14.2082,15.1166,14.3389,14.132
"CELE_Y105E8A,25",14.9662,15.3609,14.9144,15.1615,14.9721,14.2083,13.9657,14.553
pgp-2,16.263,15.942,16.5103,18.9858,15.439,14.9654,15.155,15.4384
lpd-3,14.7356,14.4461,14.7467,15.4556,17.1681,14.8397,15.6861,15.9769
tln-1,14.9324,15.4181,14.2691,14.7208,14.5501,14.8535,14.223,15.8737
max-2,14.9873,14.8484,14.0506,15.3082,15.6531,14.5138,13.9053,16.096
egl-27,14.4995,14.7387,12.7065,15.4268,14.2126,14.6101,16.28,12.7153
cdc-14,14.9576,15.4854,13.9322,14.2619,11.742,11.9868,11.8271,12.8061
daf-16,13.9248,15.4823,13.9326,13.6722,12.5541,12.0724,12.2682,12.7554
"CELE_T16H12,3;T16H12,3",14.5306,14.5676,14.7485,15.431,12.5835,12.0612,12.1027,12.7229
lev-11,17.5938,17.7435,17.6884,17.0757,16.2472,15.6724,15.509,16.4352
gld-2,14.9741,15.5163,13.4171,15.0916,12.5522,11.2392,10.3677,12.7843
ncl-1,15.0217,15.2217,14.819,15.1931,12.542,12.1807,12.316,12.7383
"CELE_D1069,3",14.5316,15.1375,15.0211,15.0412,12.3731,12.0944,12.3316,12.5939
lin-23,14.7922,15.1266,14.8369,14.9976,15.6396,15.0569,16.4845,15.7004
"CELE_Y50D4B,1",14.8821,15.0305,14.947,15.4674,12.4011,12.1045,12.01,12.4652
"CELE_Y39A1A,21",14.8786,14.5327,14.0664,14.8981,12.3942,12.0197,12.2596,12.778
dre-1,19.0011,20.0038,19.1395,20.0611,15.5708,18.1573,16.945,16.5466
gck-1,14.9316,14.6014,14.6561,14.423,15.0399,14.6068,16.002,15.6756
