geneName;Leading.proteins,log2 daf2_d15_01,log2 daf2_d15_02,log2 daf2_d15_03,log2 daf2_d15_04,log2 daf2_d1_01,log2 daf2_d1_02,log2 daf2_d1_03,log2 daf2_d1_04
eps-8;G5ED33,24.7874,25.02,24.5148,23.6856,26.4047,26.7502,25.6981,25.15
eps-8;G5ED33,23.5194,24.1715,23.8636,24.1473,25.3984,26.2714,22.5561,25.9233
eps-8;G5ED33,19.0158,20.0399,20.9728,21.2806,23.8377,23.445,23.0266,24.8074
eps-8;G5ED33,17.7554,20.1916,19.9996,18.449,18.7979,17.9392,20.3093,20.6005
eps-8;G5ED33,24.1164,23.7851,23.4222,23.0601,23.6389,24.2897,24.7304,24.1662
eps-8;G5ED33,23.8429,23.1984,22.3761,22.8616,18.0559,18.292,17.6013,18.6678
eps-8;G5ED33,23.8087,22.9247,23.8381,23.8007,23.4654,24.3865,23.4633,23.7047
;A0A061ACQ8,17.8235,20.2668,18.7401,21.1825,16.5056,18.38,17.1296,18.1723
;A0A061ACQ8,22.2595,23.3938,22.8448,23.2788,19.7627,17.9313,17.2044,15.3776
;A0A061ACQ8,25.6735,26.3082,25.9416,26.8577,24.3708,25.2928,24.7066,24.4424
;A0A061ACQ8,25.6735,26.3082,25.9416,26.8577,24.3708,25.2928,24.7066,24.4424
T14G10.5;A0A061ACR1,23.3745,23.1524,23.9663,23.5295,24.1096,23.9908,22.2437,24.156
pezo-1;A0A061AL01,19.7043,18.1049,21.682,20.0537,20.6948,16.971,18.084,21.1241
pezo-1;A0A061AL01,20.9039,20.0927,20.085,19.0373,20.0754,18.2202,17.6589,16.784
;B3GWD8,18.5562,19.1444,17.9817,18.8163,16.4716,20.1434,18.0472,17.2104
;B3GWD8,18.7951,19.3143,21.3415,19.1342,17.632,19.3657,18.0831,17.2284
;B3GWD8,19.963,17.7262,21.0365,20.5899,18.4499,19.4154,20.0343,20.7251
ard-1;A0A061AD09;Q19102,18.914,21.1819,19.9261,20.3977,17.906,21.1345,16.4319,16.1673
lim-9;Q3S1I9,20.1555,21.0436,20.5461,17.5459,19.1311,19.4345,14.2751,18.4942
lim-9;Q3S1I9,17.2498,20.9428,21.0508,18.4893,18.8384,18.4484,18.2648,17.5428
pgp-2;G5EDF9,19.1434,20.2455,20.667,19.6401,19.5352,19.2865,16.8267,16.7708
pgp-2;G5EDF9,16.9269,20.7184,19.8914,17.7498,19.6254,17.7227,18.0937,19.1357
pgp-2;G5EDF9,19.2824,20.4845,18.4336,17.7753,18.6314,18.2198,17.8122,17.6154
lev-11;A0A0K3AQS9;A0A0K3AQT4;A0A0K3ARB5;A0A0K3AUC2;A0A0K3AWP0;K8FDX2;Q22866;Q27249,20.1377,19.0934,21.4023,19.2155,17.603,18.7267,19.615,20.1055
lev-11;A0A0K3AQS9;A0A0K3AWP0;K8FDX2;Q22866,19.049,20.2455,19.231,18.9535,17.0079,17.0877,17.5294,18.4891
lev-11;A0A0K3AQS9;A0A0K3AQT4;A0A0K3ARB5;A0A0K3AUC2;A0A0K3AWP0;Q22866,24.5131,25.5433,25.8393,24.7071,19.5435,18.3263,15.8761,18.4172
lev-11;A0A0K3AQS9;A0A0K3AQT4;A0A0K3AUC2;A0A0K3AWP0;K8FDX2;Q22866,18.9476,18.3177,21.7191,18.7087,14.8631,19.229,19.6763,19.8968
