geneName,log2 eat2_d15_01,log2 eat2_d15_02,log2 eat2_d15_03,log2 eat2_d15_04,log2 eat2_d10_01,log2 eat2_d10_02,log2 eat2_d10_03,log2 eat2_d10_04
"CELE_Y62E10A,13",14.6929,14.6219,15.0714,15.0036,11.8582,11.9786,11.6818,13.1573
cars-1,17.3614,18.3607,17.4468,18.4773,17.491,17.7836,16.9469,16.8786
eps-8,14.2241,15.3397,14.695,14.718,13.3212,13.2322,12.972,13.1131
"CELE_T14G10,5;CELE_T14G10,5;T14G10,5;CELE_T14G10,5",17.278,17.2816,17.5184,17.6879,17.9998,17.8431,17.431,17.6452
pezo-1,16.0356,16.4429,16.43,16.6367,15.2204,15.3511,15.7552,16.1355
twk-9,14.6643,14.6084,14.1804,15.4371,16.561,16.156,16.7497,16.1041
epi-1,19.3013,19.958,19.5637,20.0334,18.0254,17.6787,17.736,17.8522
kdin-1,14.9805,15.0657,14.7737,14.3285,14.6547,14.2895,14.3799,14.205
tag-273,17.8152,18.0893,17.9604,18.4654,17.2222,16.9598,16.8673,16.9006
"CELE_F13H10,3;CELE_F13H10,3;F13H10,3;CELE_F13H10,3",14.5301,15.4822,14.9562,14.7982,13.4196,13.8567,13.4172,13.5172
pps-1,16.3486,16.9502,17.2291,16.4725,16.4563,15.7657,15.6139,15.7992
cka-1,17.0288,16.4714,17.191,17.2637,14.9148,13.9611,15.9528,15.8218
"CELE_R11A8,7;CELE_R11A8,7;R11A8,7",14.7691,14.5101,14.4768,15.3084,13.1864,10.5308,11.6429,13.2391
spp-18,14.6074,14.9306,14.7396,14.9846,19.7195,19.6969,18.1225,18.6918
lin-66,13.3425,15.221,14.9797,15.4351,13.2004,13.2416,12.5728,13.0108
"CELE_F09E10,7",14.9222,15.0741,14.3462,14.5228,17.8345,17.0631,13.2338,13.8236
"CELE_F10C1,9",14.4955,13.7579,14.6724,15.255,14.5694,14.4741,13.679,13.984
itx-1,16.3116,16.5902,16.4232,16.4513,16.1498,16.0867,15.8294,15.8565
"CELE_Y41E3,7",15.1169,15.2052,14.8207,15.8897,14.3975,14.9845,12.9662,15.3183
"CELE_Y105C5B,15",14.8389,15.4545,15.0084,15.3403,13.3157,12.9472,12.7502,13.0779
lim-9,14.9571,15.1334,14.5622,14.6738,15.3832,14.8193,14.8473,15.1495
"CELE_Y105E8A,25",14.9662,15.3609,14.9144,15.1615,13.9614,13.7784,14.6478,14.7926
pgp-2,16.263,15.942,16.5103,18.9858,15.6228,16.1057,15.6253,15.3039
lpd-3,14.7356,14.4461,14.7467,15.4556,15.3052,15.0215,16.074,16.332
tln-1,14.9324,15.4181,14.2691,14.7208,14.6647,14.9014,15.0604,15.3191
max-2,14.9873,14.8484,14.0506,15.3082,16.1548,15.1678,14.8959,15.649
egl-27,14.4995,14.7387,12.7065,15.4268,13.2442,13.2268,12.8905,13.262
cdc-14,14.9576,15.4854,13.9322,14.2619,13.2845,13.3007,12.968,13.2109
daf-16,13.9248,15.4823,13.9326,13.6722,13.3413,13.1219,12.9981,13.2798
"CELE_T16H12,3;T16H12,3",14.5306,14.5676,14.7485,15.431,12.9464,12.9749,12.9777,12.7559
lev-11,17.5938,17.7435,17.6884,17.0757,16.8021,16.9075,16.1494,16.3531
gld-2,14.9741,15.5163,13.4171,15.0916,11.6598,13.227,12.8715,13.3196
ncl-1,15.0217,15.2217,14.819,15.1931,13.1967,12.997,12.3461,12.9394
"CELE_D1069,3",14.5316,15.1375,15.0211,15.0412,13.0882,13.0249,12.7673,12.8456
lin-23,14.7922,15.1266,14.8369,14.9976,15.1276,16.229,15.7774,14.8958
"CELE_Y50D4B,1",14.8821,15.0305,14.947,15.4674,15.5986,15.8312,14.2319,15.0058
"CELE_Y39A1A,21",14.8786,14.5327,14.0664,14.8981,12.8914,12.9515,12.8376,12.9806
dre-1,19.0011,20.0038,19.1395,20.0611,18.4446,16.6005,17.9721,19.5115
gck-1,14.9316,14.6014,14.6561,14.423,14.6814,15.4939,13.8252,14.6357
gly-7,14.1129,14.3868,14.857,15.1964,14.3704,14.538,13.3101,13.9649
"CELE_F40A3,3;F40A3,3",19.443,19.5954,19.7306,19.5887,18.7264,19.1993,18.7377,18.6904
"CELE_Y50D4B,4",12.8441,15.5238,13.2333,14.9485,15.8591,16.0364,16.3143,15.9072
cdf-1,14.6911,14.6039,14.2977,14.9354,13.1981,12.9418,12.8851,13.0385
unc-34,17.5071,18.1994,18.1953,18.0443,13.1527,13.0222,12.6769,13.2592
tbh-1,18.8977,19.9425,19.2313,19.9725,18.6965,19.0548,18.5569,18.7819
lev-11,22.9724,24.6822,24.2346,24.7799,21.8933,21.9091,22.2696,21.7953
imp-3,16.4129,17.053,16.6976,16.9933,14.9406,15.3301,14.4438,14.9481
prdx-2,22.4809,23.0663,22.5501,22.7704,21.8193,21.3514,22.029,22.1654
jhdm-1,14.7536,15.4294,14.4854,14.7113,13.3619,13.9144,13.2782,12.4277
mrck-1,14.904,14.5921,14.4733,15.3829,12.9324,12.8595,12.7296,13.1484
nhr-86,14.3599,14.1527,14.3449,15.146,13.2412,13.1367,12.723,13.0741
aat-3,13.5977,15.3824,14.9495,15.245,14.8507,12.5438,14.7044,14.9367
"CELE_M02H5,8",17.6104,18.1733,17.6761,18.3232,17.8814,18.3561,17.4129,17.281
"CELE_T08B1,1",18.8259,19.1867,18.758,18.8376,16.8075,16.6283,16.2253,15.8527
lipl-5,14.3911,15.2,14.2999,15.2366,13.7875,13.0386,13.6151,13.8991
fln-2,18.6103,18.663,18.4095,18.5762,17.2401,17.0084,17.1824,17.4893
"C14C6,5",18.1679,16.9759,18.0635,17.7752,17.8759,17.7461,16.8533,17.1726
"CELE_T08B1,1",14.5274,14.9106,14.1329,14.1151,12.7405,13.151,12.721,13.194
zig-11,17.0251,16.7949,16.5392,16.7802,13.8044,13.0533,13.6798,14.5018
ilys-5,18.2089,18.0073,17.8211,18.1223,16.3846,16.399,15.7997,15.8194
irg-3,14.2564,13.9323,14.303,14.672,16.1604,17.0106,14.7837,16.0043
tns-1,16.6829,16.1602,16.4987,17.0321,15.776,16.3484,15.637,15.4595
ubr-4,14.9076,14.8515,14.3097,14.7577,14.2463,15.2113,14.8975,15.1344
ccar-1,16.9135,18.0429,17.0148,18.1154,15.5799,15.5482,15.0462,15.6596
ulp-2,14.5088,15.3408,14.8214,15.0466,13.0063,12.9344,12.7092,13.3301
"CELE_T23F4,2",14.4437,14.7402,14.5769,15.2609,15.8133,14.8054,15.3543,15.2055
sago-1,14.2698,14.6345,14.9513,14.3684,14.2528,13.9308,13.39,13.9807
sago-2,14.7205,15.3466,14.1093,15.1959,15.9714,16.1316,15.8783,15.8794
"CELE_K02C4,3;CELE_K02C4,3;CELE_K02C4,3;K02C4,3",15.0152,15.4174,14.0271,14.1608,15.1338,14.0937,14.6206,15.0443
