geneName;Leading.proteins,log2 daf2_d15_01,log2 daf2_d15_02,log2 daf2_d15_03,log2 daf2_d15_04,log2 eat2_d15_01,log2 eat2_d15_02,log2 eat2_d15_03,log2 eat2_d15_04
eps-8;G5ED33,24.7874,25.02,24.5148,23.6856,21.5417,20.6052,21.8186,21.6586
eps-8;G5ED33,23.5194,24.1715,23.8636,24.1473,22.0936,20.9693,21.8315,21.582
eps-8;G5ED33,19.0158,20.0399,20.9728,21.2806,20.6689,19.8074,19.8263,21.4035
eps-8;G5ED33,17.7554,20.1916,19.9996,18.449,21.3207,20.457,21.1569,20.8725
eps-8;G5ED33,24.1164,23.7851,23.4222,23.0601,24.5316,23.0237,23.3382,24.1397
eps-8;G5ED33,23.8429,23.1984,22.3761,22.8616,25.2037,21.9564,23.4921,21.3081
eps-8;G5ED33,23.8087,22.9247,23.8381,23.8007,20.5845,20.0789,20.1227,21.7398
;A0A061ACQ8,17.8235,20.2668,18.7401,21.1825,21.4137,20.3753,20.2783,21.1525
;A0A061ACQ8,22.2595,23.3938,22.8448,23.2788,20.2449,20.6627,20.3218,21.4516
;A0A061ACQ8,25.6735,26.3082,25.9416,26.8577,26.0796,26.6214,27.3457,25.2603
;A0A061ACQ8,25.6735,26.3082,25.9416,26.8577,26.0796,24.4882,24.0322,24.5542
T14G10.5;A0A061ACR1,23.3745,23.1524,23.9663,23.5295,24.6031,23.893,27.408,25.7024
pezo-1;A0A061AL01,19.7043,18.1049,21.682,20.0537,21.6271,21.5454,19.618,21.1324
pezo-1;A0A061AL01,20.9039,20.0927,20.085,19.0373,20.3374,20.0229,21.7904,21.6173
;B3GWD8,18.5562,19.1444,17.9817,18.8163,21.9518,20.5953,21.7451,21.6637
;B3GWD8,18.7951,19.3143,21.3415,19.1342,21.5007,20.8678,21.3048,20.5311
;B3GWD8,19.963,17.7262,21.0365,20.5899,20.1236,20.5493,21.1031,20.9334
ard-1;A0A061AD09;Q19102,18.914,21.1819,19.9261,20.3977,21.3746,20.6783,21.0299,20.5448
lim-9;Q3S1I9,20.1555,21.0436,20.5461,17.5459,22.0414,20.9049,19.5599,20.4587
lim-9;Q3S1I9,17.2498,20.9428,21.0508,18.4893,22.4755,21.0297,22.664,23.1742
pgp-2;G5EDF9,19.1434,20.2455,20.667,19.6401,21.7113,20.9051,21.5384,21.0025
pgp-2;G5EDF9,16.9269,20.7184,19.8914,17.7498,20.9095,20.6514,21.4471,20.1895
pgp-2;G5EDF9,19.2824,20.4845,18.4336,17.7753,20.6047,20.1422,20.203,20.9822
lev-11;A0A0K3AQS9;A0A0K3AQT4;A0A0K3ARB5;A0A0K3AUC2;A0A0K3AWP0;K8FDX2;Q22866;Q27249,20.1377,19.0934,21.4023,19.2155,21.6466,21.084,20.5156,19.8864
lev-11;A0A0K3AQS9;A0A0K3AWP0;K8FDX2;Q22866,19.049,20.2455,19.231,18.9535,20.922,19.9403,21.0624,21.5466
lev-11;A0A0K3AQS9;A0A0K3AQT4;A0A0K3ARB5;A0A0K3AUC2;A0A0K3AWP0;Q22866,24.5131,25.5433,25.8393,24.7071,25.4485,22.6639,24.3064,25.0223
lev-11;A0A0K3AQS9;A0A0K3AQT4;A0A0K3AUC2;A0A0K3AWP0;K8FDX2;Q22866,18.9476,18.3177,21.7191,18.7087,24.2264,23.5739,24.9054,23.2206
lev-11;A0A0K3AQS9;A0A0K3AQT4;A0A0K3ARB5;A0A0K3AUC2;A0A0K3AWP0;Q22866,18.8794,21.5318,19.37,18.701,25.0452,23.174,22.6811,24.166
lev-11;A0A0K3AQS9;A0A0K3AQT4;A0A0K3ARB5;A0A0K3AUC2;Q22866;Q27249,23.0312,24.175,23.9764,23.6184,26.767,25.9117,25.99,26.6959
lev-11;A0A0K3AQS9;A0A0K3AQT4;A0A0K3ARB5;A0A0K3AUC2;Q22866;Q27249,24.4388,25.6619,25.4762,24.7688,25.2813,24.0705,24.6979,22.9127
lev-11;A0A0K3AQT4;A0A0K3AUC2;A0A0K3AWP0;K8FDX2;Q22866,19.3892,20.6914,19.4052,21.3583,23.3782,23.6285,24.0569,23.3793
lev-11;A0A0K3AQT4;A0A0K3AUC2;A0A0K3AWP0;K8FDX2;Q22866,21.3553,20.8135,19.1609,20.4094,22.6481,25.086,25.3506,24.9068
lev-11;A0A0K3AQT4;A0A0K3AUC2;A0A0K3AWP0;K8FDX2;Q22866,23.4273,25.6183,23.5469,25.7808,25.216,23.437,23.4736,22.1196
;A0A0K3AUF2,24.989,25.0697,25.7064,25.695,24.6902,23.4674,22.0641,23.1463
lev-11;A0A0K3ARB5;Q27249,21.4239,18.5816,17.1574,20.7084,23.1416,22.6612,23.7309,23.5633
lev-11;A0A0K3ARB5;Q27249,18.1528,21.1239,20.0021,20.3468,23.1416,24.762,25.0833,24.8576
lev-11;A0A0K3ARB5;Q27249,18.9491,21.0836,19.6106,20.2593,23.2863,21.656,20.6174,22.6982
egl-8;A0A0K3AS90,21.8841,23.3941,23.9261,21.9732,23.6604,22.5202,22.852,22.2183
ubxn-3;A0A0K3AWX1,18.5279,20.4503,19.7802,18.1208,19.8885,21.5349,21.2998,21.2814
ubxn-3;A0A0K3AWX1,19.6015,18.2769,19.8578,20.4266,21.5456,21.1286,21.0404,21.5365
;A0A0K3AVS5,19.2328,21.4122,18.5684,18.7992,21.6481,21.4494,20.6691,21.1544
fln-2;A0A0K3AW96,19.2064,18.6786,18.9338,20.2821,22.5114,22.1148,20.7902,22.8784
fln-2;A0A0K3AW96,18.0195,19.2893,19.6365,19.7068,20.7289,20.2022,21.8042,21.5686
fln-2;A0A0K3AW96,24.8451,24.9791,24.6071,24.6526,26.7722,25.6859,27.8765,27.4224
fln-2;A0A0K3AW96,21.5887,21.6373,19.3148,18.6676,26.696,23.4355,22.1419,22.4113
oac-14;A0A0K3AWB0,24.6823,24.4977,22.9433,23.3859,25.8509,22.0571,22.9232,25.1645
oac-14;A0A0K3AWB0,24.4477,24.918,24.3882,25.4792,24.4604,24.1179,24.1296,24.6268
;A0A0K3AWM6,22.1893,22.7417,22.4606,22.9553,21.2875,19.9649,20.0605,20.9046
lsy-13;A0A0K3AXE0,23.3135,23.6569,22.9244,23.761,20.4498,21.3899,20.9074,19.486
;A0A0K3AXT9,22.8458,24.3326,25.3286,23.9543,25.7905,26.8828,27.7092,25.4412
;A0A0K3AXT9,24.5952,25.5464,24.8092,25.0119,21.9727,20.2349,20.6954,21.0619
;A0A0K3AXT9,23.2431,22.989,24.3828,21.292,24.8458,27.2829,26.6816,26.9848
