geneName,log2 daf2_d10_01,log2 daf2_d10_02,log2 daf2_d10_03,log2 daf2_d10_04,log2 N2_d10_01,log2 N2_d10_02,log2 N2_d10_03,log2 N2_d10_04
"CELE_Y62E10A,13",11.3554,8.10436,9.38045,10.4464,14.218,14.1148,11.1635,15.0079
cars-1,16.1075,16.3522,15.8168,16.1662,17.4415,17.1778,17.8791,18.122
eps-8,15.6027,15.3869,14.0775,14.3634,14.4686,13.7126,14.1819,14.8971
"CELE_T14G10,5;CELE_T14G10,5;T14G10,5;CELE_T14G10,5",16.5319,16.6517,16.4404,16.4774,17.6362,17.6537,17.2508,18.0665
pezo-1,14.9727,15.208,15.1849,15.344,17.6704,17.5944,18.1401,17.7233
twk-9,16.9242,17.1493,17.8353,17.5592,14.4523,14.1682,14.2584,14.486
epi-1,17.1279,17.5438,17.0597,17.2595,19.3472,19.2119,19.0184,19.2306
kdin-1,13.0056,13.2505,13.4264,13.3654,14.0607,13.8599,14.3869,14.7034
tag-273,16.5015,16.5437,16.458,16.5743,17.9037,18.1408,18.2388,18.4179
"CELE_F13H10,3;CELE_F13H10,3;F13H10,3;CELE_F13H10,3",12.8776,12.8146,12.929,13.0728,14.2514,13.6343,14.3166,14.7568
pps-1,14.9095,14.5201,14.0743,14.7224,16.9277,16.9882,16.7831,17.9848
cka-1,12.7984,12.9611,13.6862,13.8228,14.8416,15.4305,16.2572,17.6152
"CELE_R11A8,7;CELE_R11A8,7;R11A8,7",12.6173,13.0353,12.4388,12.5493,14.2815,14.3868,14.4725,14.9605
spp-18,16.373,16.9781,16.7208,17.007,14.277,14.1225,13.6839,15.0089
lin-66,14.5827,14.6179,13.6819,14.7544,14.25,14.441,14.4749,14.5368
"CELE_F09E10,7",14.2571,14.4518,14.1071,14.5699,14.2173,14.1746,14.1429,14.8907
"CELE_F10C1,9",11.8453,12.2266,11.2579,11.6011,14.1701,14.1251,14.3814,15.0562
itx-1,15.0718,14.9494,14.8635,14.9809,16.1639,16.1252,16.1658,16.7853
"CELE_Y41E3,7",14.3709,13.8693,13.9608,13.8687,14.6389,15.5725,16.038,15.1986
"CELE_Y105C5B,15",13.783,13.271,13.2557,13.5441,14.3666,14.1884,13.6107,14.7568
lim-9,14.6326,14.7163,14.7474,15.1376,14.3061,14.3051,14.3001,14.9978
"CELE_Y105E8A,25",13.5123,13.1816,13.0543,13.2151,14.281,14.4162,14.1802,15.156
pgp-2,15.1777,15.1321,15.0575,15.1647,15.5056,14.8773,15.8577,16.2587
lpd-3,14.3259,14.0766,13.9736,15.5266,14.5079,14.1863,14.3007,14.5037
tln-1,14.0114,14.7436,14.0475,15.0478,14.7834,15.8676,15.3835,15.1703
max-2,14.9622,15.2805,14.0682,14.3596,18.3792,17.8231,17.5291,18.4921
egl-27,14.9714,13.8412,14.4128,14.5895,14.397,14.1208,14.3659,14.8478
cdc-14,10.7319,10.7653,10.6617,10.7681,14.0134,13.9992,14.4636,15.1621
daf-16,14.7956,14.4813,14.4375,15.0285,14.1039,14.3826,14.3178,14.7611
"CELE_T16H12,3;T16H12,3",12.4629,12.3007,12.5033,11.9589,14.2774,14.3938,13.7544,14.5154
lev-11,14.5642,15.0783,13.9281,14.3618,17.5835,17.5333,16.8948,18.4039
gld-2,10.6805,10.4422,9.39442,10.5435,14.3488,14.3527,13.9096,14.9169
ncl-1,14.3242,12.2912,13.6919,14.1284,14.4803,13.9704,14.4543,15.1209
"CELE_D1069,3",10.7146,10.8241,10.7882,10.7076,14.4058,11.0788,13.4142,15.1272
lin-23,14.3646,15.1011,14.299,14.4251,14.4909,14.3822,13.5793,14.943
"CELE_Y50D4B,1",10.3434,10.6748,10.5864,10.8263,14.4588,14.3447,13.9316,14.7977
