geneName,log2 daf2_d1_01,log2 daf2_d1_02,log2 daf2_d1_03,log2 daf2_d1_04,log2 eat2_d1_01,log2 eat2_d1_02,log2 eat2_d1_03,log2 eat2_d1_04
"CELE_Y62E10A,13",15.033,13.3158,13.2742,13.3989,12.9683,13.6616,13.4782,13.2256
cars-1,15.7675,15.7773,15.7113,15.6432,16.1567,15.8846,16.141,15.9632
eps-8,12.5189,13.0355,11.8518,13.1362,13.8975,12.8773,13.4087,13.531
"CELE_T14G10,5;CELE_T14G10,5;T14G10,5;CELE_T14G10,5",15.9997,16.0292,15.9521,15.9332,16.91,16.4458,16.5862,16.4466
pezo-1,14.0249,14.2203,14.3511,14.0234,14.6784,14.3752,14.6108,14.3797
twk-9,18.3173,18.0618,18.3394,17.8726,17.2252,17.1974,17.211,17.4039
epi-1,16.7993,16.8157,16.8808,16.5653,16.5375,16.3752,16.5971,16.4363
kdin-1,13.0104,12.8672,12.953,13.002,13.0048,13.8586,13.8529,12.6856
tag-273,16.7957,16.6892,16.7458,16.7035,15.9666,15.9984,15.9232,16.1421
"CELE_F13H10,3;CELE_F13H10,3;F13H10,3;CELE_F13H10,3",12.9012,12.7524,12.5408,12.1888,13.082,12.5815,12.6605,12.5371
pps-1,14.6849,13.7357,13.9037,13.413,14.9067,13.8865,13.7469,14.701
cka-1,14.1753,14.2682,13.9052,14.4305,14.5009,14.8805,14.8057,15.3388
"CELE_R11A8,7;CELE_R11A8,7;R11A8,7",12.7977,12.8163,12.7774,12.8972,12.9254,12.9859,13.2029,12.5426
spp-18,13.6529,15.2626,14.344,14.6621,13.4882,13.6665,16.0098,13.7283
lin-66,13.9599,13.5927,13.7867,13.3555,13.6137,13.1062,13.7746,15.0526
"CELE_F09E10,7",13.4822,13.2835,13.7968,12.5132,13.6949,13.4141,13.5184,13.6471
"CELE_F10C1,9",13.4519,13.0365,14.0339,12.836,15.0309,14.0591,13.8953,14.538
itx-1,14.3602,13.8227,14.023,13.8797,14.4921,14.3969,14.5247,14.3475
"CELE_Y41E3,7",14.437,14.1755,14.1049,14.0022,13.5437,15.1879,14.7286,14.2836
"CELE_Y105C5B,15",14.1822,13.5679,13.9529,13.334,13.706,13.7134,13.1718,13.0678
lim-9,15.1094,14.9499,15.542,15.0749,15.2467,15.1198,15.1758,15.3573
"CELE_Y105E8A,25",14.3318,13.9801,13.7444,13.0567,13.7928,13.4321,13.2535,14.0893
pgp-2,15.0493,14.8721,14.8834,14.7244,14.603,14.3793,14.4219,14.4792
lpd-3,16.2304,16.0431,14.4429,15.1278,14.1782,16.6237,15.4979,16.5383
tln-1,16.0092,13.4848,14.7696,13.4221,14.3502,13.2031,13.3245,14.2834
max-2,13.5153,12.2491,13.2763,13.8107,14.1707,13.7061,14.0444,13.8003
egl-27,13.3076,13.3039,13.5169,13.701,16.3502,17.2088,15.8581,16.6099
cdc-14,11.0256,10.6159,10.6167,10.841,10.6858,10.2011,10.4073,10.5605
daf-16,14.0404,13.7714,13.8167,13.92,14.1166,13.8847,13.1839,14.1824
"CELE_T16H12,3;T16H12,3",12.8504,12.4177,13.3509,11.8584,14.3255,14.0321,12.9174,14.2336
lev-11,15.5017,15.3856,15.1109,14.5788,14.6444,14.4137,14.0062,14.6316
gld-2,11.771,12.8416,11.72,12.4886,12.4825,12.7573,12.3399,13.0231
ncl-1,15.1437,14.4379,14.5374,14.4959,15.0048,15.1274,15.0056,14.8777
