geneName;Leading.proteins,log2 eat2_d1_01,log2 eat2_d1_02,log2 eat2_d1_03,log2 eat2_d1_04,log2 N2_d1_01,log2 N2_d1_02,log2 N2_d1_03,log2 N2_d1_04
;Q20621,23.2634,22.6777,22.0148,21.3952,21.3146,20.6435,20.8705,20.5577
tag-296;A7DT41,18.8158,21.5728,21.7393,21.1376,23.0492,22.3925,24.97,22.0553
tag-296;A7DT41,20.3176,21.194,20.477,20.8339,21.4522,20.5941,20.7678,21.2938
tag-296;A7DT41,23.8283,24.7014,25.0748,23.9268,25.3521,24.2168,23.9424,23.4319
tag-296;A7DT41,20.5484,21.5432,21.2107,20.8539,21.412,19.658,21.3901,21.2744
tag-296;A7DT41,24.615,23.7201,24.2872,23.7657,24.1845,20.9528,23.4102,23.4571
tag-296;A7DT41,24.0827,23.2516,23.8585,22.1429,24.5448,23.4025,23.1043,23.8193
mrg-1;Q9XWW2,20.7063,21.5031,21.8584,20.2812,21.3288,21.232,20.8383,21.4169
mrg-1;Q9XWW2,19.1112,21.2878,21.6913,21.2726,21.5198,20.3758,21.1726,21.0898
igcm-3;A7LPD6,20.7658,20.7158,20.6376,20.3455,21.7712,21.1057,21.3015,21.3149
igcm-3;A7LPD6,20.8353,20.6443,20.6382,21.3902,24.3295,22.7091,22.7206,23.6534
gpdh-2;A7LPE6,20.5485,21.0322,21.4446,20.9136,21.5275,21.2404,20.8049,20.7134
;Q5FC71,20.8513,21.8524,21.4673,19.8916,20.3206,21.0849,20.6799,20.3585
;Q5FC71,20.0685,21.6842,20.4942,19.9995,23.178,21.7079,23.041,22.4926
;Q5FC71,26.5943,28.3036,28.7584,26.3827,23.473,22.5561,23.3486,23.2706
;Q5FC71,24.122,24.0926,24.8296,27.9515,23.4473,25.6413,23.8265,24.7489
;Q5FC71,29.3594,31.1211,30.7817,29.4716,30.5159,28.3956,27.4724,27.457
;Q5FC71,21.0924,21.1527,21.2322,20.7167,21.1731,21.0306,20.6905,20.6821
;A8WFH7,23.4759,23.0125,22.4648,22.8125,21.9383,21.0262,21.0937,21.3629
;A8WFH7,20.7436,20.9297,21.8716,21.0238,21.6483,21.1861,21.274,20.5321
;A8WFH7,20.3805,22.665,24.4235,21.918,21.9007,20.8866,21.1112,20.8968
;H2KYH9,20.1333,20.809,20.2668,20.3764,20.9452,20.3794,21.3666,20.8089
mdt-28;A8WHP8;Q65ZB1,23.8438,22.9258,22.5875,22.9949,21.0232,20.9093,20.3694,20.2612
mdt-28;A8WHP8;Q65ZB1,20.588,21.3695,21.0452,21.043,21.4926,20.4379,20.3095,20.0491
mdt-28;A8WHP8;Q65ZB1,19.6432,21.2902,21.5098,20.3485,21.8556,21.2609,20.4131,21.153
mdt-28;A8WHP8;Q65ZB1,20.2697,21.5125,21.7887,21.1808,21.055,20.9253,21.3503,20.5017
mdt-28;A8WHP8;Q65ZB1,20.8158,21.1233,21.6061,21.1029,21.2944,20.9086,20.4398,21.4136
mdt-28;A8WHP8;Q65ZB1,20.7415,20.7206,21.8826,21.3949,21.8871,20.6285,21.2773,21.3874
mdt-28;A8WHP8;Q65ZB1,21.4412,22.6873,22.6751,20.7767,23.2677,24.7549,24.1846,22.9503
mdt-28;A8WHP8;Q65ZB1,21.4907,21.462,20.2302,20.822,22.3801,22.2303,22.1913,23.5533
mdt-28;A8WHP8;Q65ZB1,23.114,23.335,21.5291,23.5152,21.0094,20.4796,20.4503,20.9462
mdt-28;A8WHP8;Q65ZB1,20.9978,21.1914,21.0732,20.3696,21.5321,20.7202,20.872,20.2321
;A9UJN7;Q7YXB8;Q18494,20.3034,21.7889,20.2967,20.51,21.261,21.0153,20.4617,21.3037
;A9UJN7;Q7YXB8;Q18494,20.2461,21.3017,21.539,21.0835,24.5306,25.2145,23.6747,23.5798
;A9UJP1,19.0972,21.5018,21.4749,20.4262,21.4518,21.1751,19.9734,21.4049
;A9UJP1;Q95ZR6;Q9XVL1,20.7754,21.2796,21.4993,21.2506,21.2025,20.9375,21.0627,21.0856
;A9UJP1;Q95ZR6,22.3508,24.0385,24.6726,22.9248,23.9156,22.1042,21.0743,20.8243
;A9UJP1;Q95ZR6;Q9XVL1,23.7969,24.428,24.7722,23.5462,24.8843,20.9237,22.3069,21.0457
;A9Z1K9,20.1415,21.4402,21.3336,21.2091,21.8829,20.2243,20.7176,21.3981
hsp-43;B0M0L8;H2KYS1,22.2206,23.0069,22.2746,22.6231,23.4622,22.0198,21.9639,23.0405
hsp-43;B0M0L8;H2KYS1,24.9529,25.1135,25.0916,24.3269,25.6005,26.2634,27.5623,27.6125
hsp-43;B0M0L8;H2KYS1,20.304,21.0669,20.6657,18.9223,21.1606,21.1918,21.1776,20.465
hsp-43;B0M0L8;H2KYS1,22.9874,23.8159,23.6436,23.136,23.4548,20.7018,23.2471,21.3577
;B0M0N4,18.7555,21.9056,20.2279,20.4692,21.6374,20.5461,20.3349,21.4086
;B0M0N4,24.3454,23.7015,23.1392,21.4984,23.9416,23.9374,21.9504,22.5869
;B0M0N4,20.7754,21.5527,21.8158,19.9556,21.2342,21.0938,20.6816,20.849
aat-6;B2D6M4,24.9244,27.366,27.1777,25.6319,28.4802,23.7904,26.005,25.9466
aat-6;B2D6M4,24.984,24.3233,25.3258,24.4813,24.9736,22.7269,25.7027,23.5296
rmd-2;B2D6P1,20.5095,21.199,20.8649,20.7348,21.89,20.7663,20.8738,21.4188
rmd-2;B2D6P1,20.0498,21.5581,20.7946,20.5847,20.6732,20.497,20.5497,21.3869
urm-1;B3CKG1,19.3419,21.7821,20.0069,20.6851,20.4696,21.1678,21.1164,20.393
;B3WFT8,24.8013,23.49,23.5209,23.1971,24.1572,21.3356,22.264,22.2322
;E1B6S9,20.5692,21.8788,20.6257,19.418,21.8755,20.8551,21.1529,20.6491
abts-1;G5EC65,20.4316,20.9295,20.2328,21.3291,20.6342,20.5365,21.3086,21.1788
;B3WFW7,21.7908,21.7776,21.8369,19.7096,21.6564,19.9752,20.6999,20.4518
;B3WFY5,20.2881,21.8965,21.6186,20.5289,24.3361,22.2086,20.8543,22.6177
;B3WFY5,21.9412,22.5069,22.4384,23.249,25.2606,25.6371,24.2254,24.6313
;B3WFY5,23.5732,23.558,23.4256,22.1002,21.8475,20.8262,20.2425,21.2122
ifg-1;B5BM23,19.7499,21.7201,21.2273,19.1894,20.8511,20.8173,21.3685,21.4045
ret-1;B5U8N2,20.3902,21.6241,21.5243,21.2768,20.9623,21.1629,20.9435,19.7158
ret-1;B5U8N2;Q23187;Q23188;Q7JLB0,20.2006,21.8813,21.6502,21.3221,21.9108,20.9403,21.1293,21.0155
ret-1;B5U8N2;Q23187;Q23188;Q7JLB0,20.9247,22.208,23.6637,22.5598,21.6035,20.4234,20.8624,21.2641
pgp-5;B6VQ78,20.7402,21.5127,21.0615,19.8414,20.3301,21.1531,20.9921,20.4219
pgp-5;B6VQ78,20.565,21.215,19.9568,20.3054,21.7015,20.8772,20.8378,20.6811
pgp-5;B6VQ78,20.8063,21.7547,21.7957,19.9784,21.3109,21.1032,20.8876,20.4697
pgp-5;B6VQ78,20.1589,18.8541,20.92,20.1963,21.2737,19.9373,20.7188,19.9678
;D9PTN8,20.4975,21.8731,21.6907,20.9261,21.5179,19.9372,20.8101,20.819
T05H10.4;B7WN71,20.5753,21.8538,21.7585,20.5651,20.6509,21.0606,20.9516,21.2993
rpl-32;B7WN95;Q22716,22.1949,23.4438,24.3243,23.0751,23.6545,23.6426,23.7851,23.8004
;B7WNA1,25.9612,24.5155,26.1278,23.7499,25.063,24.3442,24.8811,25.0327
ztf-18;B9ZSG9,19.8703,21.3079,21.6396,20.3982,24.3338,23.6515,23.0454,23.8972
uba-1;C1P636,24.3829,27.3911,27.7469,24.7838,28.1348,25.807,25.7378,25.8324
uba-1;C1P636,20.0767,20.7002,20.7928,20.7136,22.5634,21.3879,19.6426,22.1402
uba-1;C1P636,26.7961,29.2473,28.5872,27.7194,29.5716,26.7085,28.3355,27.7339
uba-1;C1P636,20.095,21.0316,20.7677,21.2815,21.3669,20.2532,21.2229,21.4144
uba-1;C1P636,21.381,24.6498,24.5692,23.2222,24.762,24.5635,24.3927,23.9698
;C6KRI9,23.4178,22.6652,22.4566,21.8489,22.3659,22.2663,24.2502,22.3208
;C6KRJ1,20.6147,24.5905,24.5901,23.698,21.2626,20.6756,20.0427,20.9836
;C6KRJ1,20.6628,21.0369,20.9473,20.4694,20.3283,20.404,21.1907,20.1934
;C6KRL2,20.8262,20.981,21.7895,20.1363,23.0431,21.9074,21.3555,20.478
;C6KRL2,22.9168,23.8624,23.4076,23.9452,20.8562,20.5113,21.1452,21.3433
;C6KRL2,20.2009,21.6174,21.8525,20.0957,20.182,20.4313,20.6707,21.3595
sao-1;C6KRN1,23.1583,24.5248,25.9561,23.2362,21.2271,21.1854,21.1812,20.6375
sao-1;C6KRN1,22.1506,23.3214,24.4259,21.7815,24.1883,22.7178,21.1276,23.7962
;C7GIK1,23.3502,23.4996,22.6015,23.7689,23.6246,22.9265,23.0686,21.6752
fln-1;D0IMZ5;U4PM01,20.9014,21.698,19.3266,20.3338,20.3637,20.2484,20.6917,21.2716
fln-1;D0IMZ5;U4PM01,19.5755,21.3665,21.3168,19.8443,21.7987,20.5935,20.77,20.7443
laf-1;D0PV95,19.336,21.5063,21.0711,20.7198,21.7354,21.0298,21.0726,19.4831
sql-1;D0Z5P0,20.5128,21.7192,21.6914,19.8671,21.6852,20.0233,21.2088,21.325
sql-1;D0Z5P0,20.1461,21.3154,21.7611,20.5787,20.8272,21.215,21.1002,21.0753
sql-1;D0Z5P0,20.8005,23.2358,22.5839,23.7822,24.0986,26.7054,25.8866,26.2077
;Q22832,23.0661,24.3663,23.8804,23.8569,21.5334,21.2143,21.0244,21.3546
;Q22832,20.4505,20.5782,21.5406,21.0552,21.6843,21.1874,21.291,21.3982
;Q22832,22.5459,25.5605,25.091,24.0634,26.2281,24.2209,23.5277,25.3317
;Q8WQB8,20.2351,19.5339,19.8739,19.2225,21.7144,20.8788,20.2655,19.9798
tag-349;D3NQB5,19.1156,21.4079,20.5093,21.0382,21.7707,20.2087,19.9619,20.6796
cfp-1;D3YT77,26.9154,24.1033,23.6747,25.4848,23.9252,26.2417,25.21,21.5748
cfp-1;D3YT77,20.6808,21.1046,21.0922,20.269,25.2045,25.3242,26.9926,24.6673
dct-16;D4YWC3;Q9XX57,20.5166,21.2539,21.2144,20.885,23.4471,23.236,22.3357,24.3212
dct-16;D4YWC3;Q9XX57,22.4424,22.9434,21.4398,21.4046,26.1486,24.729,26.4932,24.6939
dct-16;D4YWC3;Q9XX57,22.8801,23.3068,27.7911,25.1851,21.2551,21.134,20.2117,20.8292
dct-16;D4YWC3;Q9XX57,23.5754,24.7777,25.0008,23.6026,25.1034,23.7483,24.1176,24.3313
dct-16;D4YWC3;Q9XX57,26.1208,25.6806,26.0864,27.6045,27.0011,24.2437,22.6588,24.0646
dct-16;D4YWC3;Q9XX57,21.8896,23.0164,23.8282,21.933,24.1467,22.0862,22.4634,21.6024
dct-16;D4YWC3;Q9XX57,24.1722,24.9597,24.2955,24.4554,23.9747,23.3692,22.7418,24.0278
larp-1;D5MCN2,20.0091,21.4229,21.753,21.1571,21.8316,21.2538,21.1218,21.4122
sup-26;D5MCQ2,21.6908,21.6015,22.5819,20.5493,23.1296,22.6294,22.4313,21.2239
;O17698,23.0986,24.4448,22.2894,22.8749,26.5099,25.2543,25.859,26.0455
mdt-9;D5SGZ9,21.7439,23.2456,22.6293,24.1669,21.7111,20.7889,20.7596,20.3285
mdt-9;D5SGZ9,20.4144,20.3889,21.4911,19.3456,21.7952,21.0573,21.2985,20.4663
mdt-9;D5SGZ9,21.0305,21.5461,21.2657,20.4079,21.5747,20.6961,20.9236,20.3155
nstp-10;C50F4.14;D6R8W5,20.5775,20.6584,20.4089,20.089,21.8517,21.0001,20.7294,21.0364
math-38;D6VPA0,20.1119,20.988,21.5651,20.6464,20.774,21.017,21.3026,19.7973
;D7SFI3,20.6607,21.3496,20.2431,21.1154,21.5655,21.2001,21.2905,20.7814
gsto-1;D7SFI3;P34345,20.6835,20.736,21.5539,19.5172,24.8145,23.4559,23.2579,24.449
;D7SFI3,19.5614,21.8254,21.8673,18.672,21.4772,21.2111,20.2224,21.349
;D7SFP5,20.8534,21.5535,21.5379,21.2778,22.8341,20.879,21.7307,22.9202
;D7SFP5,20.1464,20.9426,21.4599,20.0281,23.7972,21.8044,20.9752,20.0429
cup-5;D7UU24,22.3934,22.9942,22.3499,23.3506,21.2155,20.9823,19.5324,20.6371
cup-5;D7UU24,20.6237,20.117,20.3076,19.5204,21.7015,20.6867,21.0361,21.1399
myrf-2;Q9U3I3,20.8559,20.9348,20.5486,19.8233,19.7537,20.6124,19.7965,21.0287
snx-6;D9PTP5,20.9855,21.3954,20.5594,20.7183,20.9854,21.139,20.4305,20.885
snx-6;D9PTP5,20.8272,20.816,21.7892,21.195,21.0897,21.2598,20.6239,21.0372
snx-6;D9PTP5,19.7705,20.8345,21.7663,20.8192,21.9736,19.0382,19.7984,21.4174
;E0AHE1,20.1416,21.7248,19.8681,21.1995,23.0378,22.2929,21.3316,23.422
ent-7;Q20396,20.933,20.9969,19.6464,21.2581,21.2421,20.6982,20.0234,20.8198
;E1B6S4,21.0927,21.6643,21.327,21.0267,21.2369,21.1883,20.6177,19.776
C27A7.1;E1B6U2,24.8068,22.1096,22.3523,22.1385,23.7337,22.7506,23.1413,24.8095
rsd-2;E1B6W0,25.7082,27.6887,27.6647,26.3795,28.4906,26.3204,26.076,26.9407
hpo-34;E3W743;Q93636;Q93637,23.683,25.806,25.0407,23.0614,24.985,22.6477,23.868,23.027
hpo-34;E3W743;Q93636,19.48,21.4577,21.0537,20.8928,23.7183,23.9432,22.4888,22.3484
hpo-34;E3W743;Q93636,23.8426,23.9153,24.3983,24.8814,24.1762,24.6532,23.4134,24.4509
hpo-34;E3W743;Q93636,22.7842,23.4928,22.6452,23.5871,21.934,20.8901,21.1401,20.4977
hpo-34;E3W743;Q93636,20.7085,21.192,21.5474,20.3623,20.4669,21.1184,20.1245,20.434
hpo-34;E3W743;Q93636,20.8697,19.7825,21.7638,21.0557,22.728,22.3632,20.5756,21.7667
hpo-34;E3W743;Q93637,21.0332,21.2105,20.7529,19.7911,21.1771,21.106,20.6168,20.897
hpo-34;E3W743;Q93637,22.5866,23.5466,24.2028,22.9432,24.2037,24.099,23.4733,23.228
hpo-34;E3W743;Q93637,23.5746,23.2003,23.0437,22.3095,24.9687,23.8218,23.6173,23.7432
hpo-34;E3W743;Q93636,20.225,21.1236,21.6591,21.0512,21.3791,20.9886,21.2272,20.7153
hpo-34;E3W743;Q93636,27.083,23.8738,23.1201,22.3789,23.5428,24.3677,25.1857,24.6602
hpo-34;E3W743;Q93636,23.417,24.8483,24.9713,24.9752,24.7024,25.561,24.5443,24.7651
hpo-34;E3W743;Q93636;Q93637,26.1476,27.7598,25.699,26.599,30.0732,24.9371,23.2674,25.7456
hpo-34;E3W743;Q93636,19.5841,20.0197,21.4333,20.1896,20.6848,19.1646,20.6873,20.2848
;E3W759,20.7136,20.8377,21.7322,21.3593,20.7457,20.5547,20.4427,21.0517
dnj-14;Q21162,20.6212,21.3923,19.5863,21.4249,20.2162,20.6708,20.5076,21.3933
dnj-14;Q21162,20.7202,19.4023,21.1648,20.7119,19.8448,21.2386,21.3443,20.9466
dnj-14;Q21162,18.412,21.9761,22.437,20.9131,23.8383,22.9363,23.2485,24.5673
dnj-14;Q21162,21.3979,23.1015,23.6577,22.2046,25.148,23.8594,25.9054,21.9546
mca-1;F5GU98,21.3739,22.7872,23.1814,22.0419,24.5464,24.2456,23.7088,22.8311
mca-1;F5GU98,26.039,28.0582,27.9882,26.886,29.7917,26.7292,27.6593,27.3145
mca-1;F5GU98,26.3064,24.329,25.2574,25.1132,25.277,24.0358,21.2253,22.8006
mca-1;F5GU98,19.8325,21.4652,19.5098,20.6719,23.7267,22.6404,25.1216,22.5127
mca-1;F5GU98,21.0236,21.0779,20.8861,21.0805,25.1966,23.5161,25.2979,22.9145
;F5GUH0,24.8774,26.1593,24.1917,25.0649,26.6805,24.6702,26.1119,24.1857
;F5GUH0,22.6943,22.5066,23.945,23.1711,23.7031,23.1508,24.3396,22.4573
;F5GUH0,19.8154,22.8482,22.7736,21.4886,24.0732,22.7917,21.2644,24.1433
lea-1;F5GUH5;H2FLK8;H2FLK9,20.8572,21.1005,21.5266,20.4866,21.3984,20.6689,20.5335,20.9693
lea-1;F5GUH5,20.254,21.4854,19.9515,19.2787,21.8907,21.2337,20.9863,21.3682
lea-1;F5GUH5;H2FLK8;H2FLK9,19.821,19.2827,21.5172,20.6672,21.3749,20.7821,20.9764,20.2108
lea-1;F5GUH5,21.7975,22.704,21.4572,23.3792,24.0567,23.2948,24.5214,24.3777
lea-1;F5GUH5,20.9402,21.8762,21.1425,21.2165,21.9374,19.1751,19.8012,20.9531
lea-1;F5GUH5,20.3627,21.5457,21.0648,20.2835,23.5061,24.246,23.7373,25.7784
lea-1;F5GUH5;H2FLK8,21.0545,21.8849,21.8216,20.093,21.6497,20.4995,20.9559,21.1223
lea-1;F5GUH5;H2FLK8,23.4186,24.4089,27.2696,24.4006,21.4328,20.4669,21.2464,20.2673
lea-1;F5GUH5,20.8985,21.3318,20.4516,20.5618,22.3574,19.575,21.8547,22.3802
lea-1;F5GUH5;H2FLK8;H2FLK9,23.1031,22.9656,23.0712,20.7868,21.089,20.8356,21.1954,21.2325
lea-1;F5GUH5;H2FLK8,21.0137,19.8782,20.768,21.1812,21.6825,21.1707,20.4599,20.6835
lea-1;F5GUH5;H2FLK8,20.1489,21.6272,20.6154,20.4555,21.8422,21.2411,21.3886,20.6323
