geneName;Leading.proteins,log2 eat2_d1_01,log2 eat2_d1_02,log2 eat2_d1_03,log2 eat2_d1_04,log2 N2_d1_01,log2 N2_d1_02,log2 N2_d1_03,log2 N2_d1_04
eps-8;G5ED33,23.5334,23.8659,22.8091,21.4201,24.8468,23.9004,24.6549,23.9741
eps-8;G5ED33,24.5767,24.9587,24.2381,24.8764,22.9767,21.3006,23.4415,24.2209
eps-8;G5ED33,20.7121,21.6121,21.5258,20.8901,24.2699,24.7744,25.4171,23.4405
eps-8;G5ED33,22.5255,23.5415,23.281,23.7146,22.3228,21.8681,21.4144,22.0872
eps-8;G5ED33,21.7742,22.8023,23.3951,21.6803,24.7362,21.1441,22.3274,22.6511
eps-8;G5ED33,20.3533,19.2331,21.6183,21.2415,24.9703,23.7241,27.9301,25.1328
eps-8;G5ED33,20.5678,20.222,21.3859,21.0173,24.5897,21.9928,23.9204,24.0392
;A0A061ACQ8,23.8289,24.4935,24.4446,23.923,25.6579,24.0864,25.428,23.6614
;A0A061ACQ8,20.6905,20.6101,21.286,20.8378,21.5261,20.9082,20.5508,21.2494
;A0A061ACQ8,24.3735,26.4799,26.1909,25.0773,27.8981,25.671,23.7275,25.777
;A0A061ACQ8,25.8144,26.1828,26.1909,25.0773,27.8981,25.671,24.3702,25.777
T14G10.5;A0A061ACR1,24.4604,23.8085,23.8101,22.391,24.8919,24.3733,23.3201,24.3334
pezo-1;A0A061AL01,20.9122,20.5604,20.0432,21.2337,21.4876,20.4071,19.1027,21.2229
pezo-1;A0A061AL01,20.052,21.7668,21.7559,22.3719,22.4827,21.9031,22.7817,20.8327
;B3GWD8,20.4407,21.4264,21.4755,19.5985,21.8025,21.2305,21.2327,21.3365
;B3GWD8,20.2055,21.2947,21.4317,18.8279,21.6807,20.9138,20.3555,20.8815
;B3GWD8,23.8394,23.8007,23.6418,23.2697,22.4631,23.3466,23.5005,23.4366
ard-1;A0A061AD09;Q19102,20.7379,21.5393,21.4388,20.9034,21.5062,20.4952,21.0376,21.3714
lim-9;Q3S1I9,21.0449,20.8853,21.1509,20.5674,21.8584,19.6352,20.7846,20.7815
lim-9;Q3S1I9,20.9667,20.5865,20.3952,19.8745,21.5356,21.1871,20.1814,21.3339
pgp-2;G5EDF9,21.4791,23.2069,23.4336,22.9113,24.1315,22.8015,20.8969,22.766
pgp-2;G5EDF9,20.0777,22.5115,23.8453,23.1834,23.9311,24.08,23.9537,22.6179
pgp-2;G5EDF9,22.0813,23.3163,22.4226,22.3875,22.76,21.6825,23.0431,22.6419
lev-11;A0A0K3AQS9;A0A0K3AQT4;A0A0K3ARB5;A0A0K3AUC2;A0A0K3AWP0;K8FDX2;Q22866;Q27249,20.9403,21.7553,21.5142,19.7951,20.8844,20.5834,20.5976,20.7259
lev-11;A0A0K3AQS9;A0A0K3AWP0;K8FDX2;Q22866,21.7373,23.0522,23.4179,21.6485,25.6561,23.6395,24.8017,24.4926
lev-11;A0A0K3AQS9;A0A0K3AQT4;A0A0K3ARB5;A0A0K3AUC2;A0A0K3AWP0;Q22866,23.6735,24.7184,25.6456,24.6859,23.5659,24.066,23.2581,25.0997
lev-11;A0A0K3AQS9;A0A0K3AQT4;A0A0K3AUC2;A0A0K3AWP0;K8FDX2;Q22866,20.1117,21.2592,21.6426,21.1536,22.3292,22.883,23.1855,23.2034
lev-11;A0A0K3AQS9;A0A0K3AQT4;A0A0K3ARB5;A0A0K3AUC2;A0A0K3AWP0;Q22866,23.0888,23.3046,23.0679,23.8624,24.4751,23.6704,22.5505,22.1758
lev-11;A0A0K3AQS9;A0A0K3AQT4;A0A0K3ARB5;A0A0K3AUC2;Q22866;Q27249,22.9346,24.8838,25.3789,23.9325,27.0311,23.825,23.132,25.4939
lev-11;A0A0K3AQS9;A0A0K3AQT4;A0A0K3ARB5;A0A0K3AUC2;Q22866;Q27249,25.79,22.4392,23.0577,23.7932,24.1379,21.8971,20.4928,23.1852
lev-11;A0A0K3AQT4;A0A0K3AUC2;A0A0K3AWP0;K8FDX2;Q22866,20.2928,19.9698,20.1963,21.073,21.1342,21.0676,21.3159,21.0689
lev-11;A0A0K3AQT4;A0A0K3AUC2;A0A0K3AWP0;K8FDX2;Q22866,21.0963,20.912,20.8785,20.2299,21.5296,20.7628,21.0501,20.9683
lev-11;A0A0K3AQT4;A0A0K3AUC2;A0A0K3AWP0;K8FDX2;Q22866,24.1107,26.6339,26.9381,26.1947,27.2704,24.6571,22.4098,25.6652
;A0A0K3AUF2,24.1314,24.3147,22.6413,26.1291,24.1907,23.856,26.4937,25.293
lev-11;A0A0K3ARB5;Q27249,20.0765,21.5337,21.419,20.832,20.9736,19.8905,19.8582,21.2968
lev-11;A0A0K3ARB5;Q27249,20.7941,19.6603,20.6867,20.8551,21.719,20.5158,19.1962,19.7462
lev-11;A0A0K3ARB5;Q27249,19.3907,20.4478,21.35,20.0251,21.4565,21.1337,21.3257,20.1905
egl-8;A0A0K3AS90,20.8704,20.3729,21.6243,20.9135,21.345,20.7845,20.9709,21.2185
ubxn-3;A0A0K3AWX1,20.9564,21.8743,21.1983,20.9949,20.5952,21.1569,20.2451,20.6194
ubxn-3;A0A0K3AWX1,20.1172,19.378,20.8477,20.3891,21.2589,20.7377,20.2561,20.7478
;A0A0K3AVS5,19.6512,20.623,20.637,21.3632,23.628,24.8086,23.2801,24.7292
fln-2;A0A0K3AW96,20.224,21.7503,20.1577,18.8285,24.5966,23.7813,23.7407,25.0312
fln-2;A0A0K3AW96,20.8483,21.2299,21.6972,20.5487,24.8421,22.4087,21.6094,21.9022
fln-2;A0A0K3AW96,25.6721,25.3345,25.2425,24.467,27.197,25.0786,22.8459,25.8439
fln-2;A0A0K3AW96,23.6612,24.9205,23.6158,23.5435,24.8787,23.1273,22.027,23.073
oac-14;A0A0K3AWB0,21.4794,24.8791,22.9747,22.8663,24.3776,25.7191,24.2234,24.9402
oac-14;A0A0K3AWB0,20.3309,21.4537,20.4319,21.0258,21.8025,23.1578,24.0246,23.5749
;A0A0K3AWM6,20.12,21.7507,20.0534,20.4033,24.4153,23.2446,22.9447,22.798
lsy-13;A0A0K3AXE0,22.4303,22.7649,22.611,22.0671,21.8107,20.6244,20.4591,21.4094
;A0A0K3AXT9,19.9877,21.6152,21.8766,20.4859,21.9272,20.2788,20.7855,21.1803
;A0A0K3AXT9,20.2089,21.3739,21.1602,21.372,21.8816,20.9136,20.6568,20.0859
;A0A0K3AXT9,20.4863,20.7412,20.8545,19.7058,20.9535,20.1235,20.9864,21.0461
;A0A0K3AXT9,22.5374,23.6676,22.9655,24.5416,19.1698,20.3715,23.7548,25.0392
;A0A0K3AY44;O44557,20.445,21.4865,21.4319,20.6497,22.3302,23.9248,23.1523,23.879
;A0A0K3AY44;O44557,20.8052,21.4248,20.9981,20.3659,21.6842,20.5563,20.7241,21.3145
oig-6;A0A0K3AY85;Q9BPN5,24.7656,24.4963,24.7206,24.5222,25.4942,24.6612,23.7519,22.8119
oig-6;A0A0K3AY85;Q9BPN5,21.0927,21.2122,21.3657,20.2574,22.8706,23.0196,22.2356,24.266
;A0A0K3AYE8,21.5262,22.4827,22.4416,24.4971,22.4384,24.5147,24.2352,22.7816
;A0A0M7RFG7,20.6771,20.6611,20.3198,20.9856,22.1248,22.099,22.7431,21.2307
;A0A0S4XRR1,21.0429,20.6115,19.8162,21.3312,21.1807,20.4396,21.3225,21.3997
;A0A0T7CIX3,19.7109,21.4567,21.3905,20.6123,24.8942,24.1029,25.9055,24.0082
;A0A0T7CIX3,20.1268,21.1031,21.6238,20.4548,21.0406,21.248,20.9348,20.3489
;A0A0T7CIX3,21.5981,23.4093,23.2447,21.5807,23.3789,22.8895,20.8006,22.9397
rpl-11.1;A0A131MBQ6;Q94300,22.5722,24.5823,25.1195,24.4063,25.1108,26.1567,25.8829,25.2848
mdt-18;A0A131MCJ5,20.3938,20.5954,20.445,20.7507,23.1595,23.2072,24.6513,24.1212
rnf-5;A0A131MD51,21.9222,22.6273,23.9803,23.7033,20.867,21.1862,20.7891,20.8594
fipp-1;O16293,20.6063,19.3543,20.9579,20.2706,21.6274,20.1542,21.3373,20.2275
;O02147,22.3016,24.7085,25.9691,23.2469,24.4651,24.1807,23.4572,24.2615
spat-2;F3Y5Q3,20.7274,21.2712,21.8845,21.3061,21.9272,20.9851,21.1849,20.5479
;Q9N350,19.6511,20.5802,21.1492,20.5286,23.4188,22.5584,26.8347,23.4788
;Q9N350,20.1667,20.9368,21.2222,20.33,24.2873,22.7752,23.5959,22.11
;A0A1N7SYR3,19.2409,21.6692,20.9466,20.7021,21.695,21.2506,20.1661,19.7916
;A1IMB7,21.5437,22.0336,22.2475,23.2573,21.1346,20.6906,21.0994,20.4001
;A3QMB7,19.7862,20.3313,21.4998,21.0685,20.7533,20.264,20.5696,21.0339
;J7SF86,20.2106,20.7925,21.2625,21.3095,21.7961,20.2847,20.5564,20.116
;U4PRJ1;Q95ZL3,20.1385,21.0131,18.542,21.257,21.6964,20.9746,20.8258,21.3205
dhs-3;A5JYX4,23.1305,23.9312,23.8744,22.6587,24.2108,23.1112,23.859,21.3045
dhs-3;A5JYX4,22.0736,23.9466,24.1974,23.8034,26.0093,22.103,25.3166,25.5269
dhs-3;A5JYX4,19.8675,20.7706,20.9515,20.5536,21.5335,20.9716,19.4306,20.4544
dhs-3;A5JYX4,22.1988,22.4953,21.5202,22.1974,22.6773,22.232,21.6404,22.4295
dhs-3;A5JYX4,22.1074,22.4953,21.5202,23.1808,22.6773,22.232,24.1891,24.6567
;A5PEY0,20.9131,21.3883,20.6974,20.9538,25.4644,22.8952,23.3948,23.1835
;I2HA81,22.8822,27.0794,27.0144,26.7743,26.4924,25.37,25.1078,24.4062
;A5Z2W7,20.7838,21.5025,21.4989,21.2999,22.5596,22.6869,23.4988,22.4997
;A5Z2W7,19.3226,20.2489,21.1835,20.6749,21.968,21.1502,21.3301,20.8869
;A6PVA5,23.262,23.2864,21.0682,22.9927,27.5735,23.9388,24.4157,22.9424
