geneName;Protein IDs,log2 rpn6_01,log2 rpn6_02,log2 rpn6_03,log2 ev_01,log2 ev_02,log2 ev_03
cars-1;A0A061ACL3,29.8858,29.077,29.0522,26.554,29.2725,29.6518
;A0A061ADT4,25.3778,25.7535,26.1147,24.548,24.5846,24.2957
eps-8;Q7YTG2,31.914,31.8511,31.7412,30.0162,30.7212,31.1201
T14G10.5;A0A061ACR1,29.0424,28.7195,29.6037,29.8158,29.7457,30.0883
unc-22;H2FLH2,33.963,33.9053,34.1288,33.3228,33.4972,33.6083
pezo-1;A0A067XG44,27.7274,27.2877,26.8478,27.8515,28.304,28.3859
epi-1;C1P641,30.3697,30.7285,30.6265,30.074,31.3311,30.7763
tag-273;Q86CZ7,31.8681,32.3075,32.0571,31.2368,31.8232,31.9745
R11A8.7;A0A061AL89,27.7501,27.2384,27.2975,24.3189,24.6692,24.1878
lin-66;D3YT69,27.4579,26.2518,26.3084,24.0727,24.575,24.5342
itx-1;A0A078BPJ4,25.1816,24.8685,24.2344,24.3743,24.6056,24.4962
;D3YT98,26.7372,25.7236,26.2636,26.2911,26.8317,26.1236
dnj-30;A0A078BS22,24.9412,26.6273,26.3486,25.5928,26.6609,26.1213
;A0A0K3AQS9,33.9025,33.6062,33.9798,32.792,33.7883,33.9888
;A0A0K3ATS5,28.8034,27.7425,27.7046,26.1195,26.0723,25.9189
;A0A0K3ARB5,33.9754,33.9138,33.7983,33.7089,33.9266,33.9574
;A0A0K3ARI2,25.8441,25.7987,25.6638,26.1225,27.806,27.7659
F40F8.1;A0A0K3ARK6,28.725,28.4847,28.6283,29.1942,28.0856,27.8748
ZK652.6;A0A0K3AUB7,25.7381,26.1986,25.6433,25.6484,26.0952,26.0252
itsn-1;Q9U2T9,28.7883,28.7416,28.6145,26.7145,27.9507,27.7551
F40A3.3;A0A0K3ASH2,27.556,27.0605,26.9349,27.5883,27.4135,27.4162
fln-2;A0A0K3AVI4,32.3749,32.6144,32.3761,31.2685,32.269,32.2501
tbh-1;A0A0K3ATC0,27.8015,27.9007,27.59,28.2099,29.6288,29.2016
;A0A0K3AUC2,31.7468,31.7263,28.2889,24.278,24.6725,24.6052
prdx-2;Q8IG31,32.2062,32.5591,32.1874,32.113,33.0998,33.0136
;A0A0K3AV58,24.9937,25.6937,25.9153,28.1546,25.1528,24.5005
W03F9.1;A0A0K3AV63,25.6762,25.6999,25.9933,25.2479,25.0615,25.9229
dod-19;A0A0K3AVF2,28.41,28.3909,29.5167,27.7958,26.7881,28.2146
;A0A0K3AY18,23.998,23.8556,24.1075,24.4075,26.9626,27.3626
lipl-5;A0A0K3AW68,30.4119,30.6638,31.0678,30.1831,30.4901,31.5148
oig-6;A0A0K3AY85,29.7661,30.3877,30.3102,29.6638,30.3782,30.5585
ilys-5;A0A0K3AYJ1,28.1808,28.2298,28.0969,29.0758,29.3824,29.0476
tag-163;H2L047,27.7314,26.364,26.9839,26.5452,26.8144,27.5611
lst-3;A0A0S4XR43,30.404,30.1343,30.1845,27.8748,28.9738,28.9274
tag-10;A0A131MBC3,29.4729,29.1511,29.7759,28.6633,29.108,29.2437
imb-2;O62332,26.2462,25.8851,26.5874,26.8294,26.7049,26.8578
;A0A131MBU3,29.9265,29.5011,29.6615,28.917,29.5938,29.7124
nhl-1;A0A131MCD3,26.0591,26.4918,26.1894,25.6504,25.3484,25.3245
ajm-1;G4RTG4,32.2445,32.3713,32.4178,31.7335,31.8063,32.0103
ZC412.3;A0A1C3NSL5,31.0839,31.7131,31.3971,28.0431,31.3574,31.3657
inx-13;unc-9,25.7376,25.4399,26.1384,24.3703,24.5311,24.4729
ntl-1;let-711,26.6737,25.923,26.7083,26.1833,26.7152,26.1889
spat-2;A0A1I6CM87,29.0712,29.229,29.406,28.0949,29.2208,28.8686
;Q9N350,29.3559,29.2028,28.9473,28.2449,29.0185,27.893
;A0A1N7SYR7,29.7544,29.7983,29.6279,29.4477,30.0743,29.9445
eif-3.L;A0A1N7SYP6,33.425,33.2639,33.4902,33.1187,33.7591,33.7198
col-138;col-179,28.2251,28.3653,28.1748,27.0973,27.8554,27.618
rpl-34;A3QMC5,30.7682,30.2442,30.5968,30.1826,31.1158,30.9184
pdi-2;A3RMS2,32.6165,32.6331,32.346,33.2418,32.8745,32.8156
;U4PRJ1,27.2755,27.4689,27.976,26.022,27.6797,24.6433
C17B7.2;A5HU97,28.0204,27.5041,27.7015,27.4589,26.4026,27.2893
guk-1;A5HU98,28.6153,28.9135,29.1531,27.2407,27.4363,27.8014
rad-50;A5JYU5,26.172,26.4279,26.7325,27.9232,26.2,25.7331
;A5JYV2,26.3751,26.5203,26.8055,27.1435,28.3948,27.5216
;A5JYW3,27.7326,27.8459,24.6963,27.0974,27.817,27.6028
pqn-87;Q9U207,27.557,27.8833,28.1848,24.8364,28.0153,28.0406
;A5PEY1,29.7925,30.0622,30.6686,28.8433,29.4912,30.1148
;A5Z2S2,26.7378,26.3108,26.1136,26.4671,26.4824,26.5154
saps-1;A5Z2S4,27.5877,27.6626,27.4459,24.0147,24.1622,24.5678
istr-1;A5Z2T4,28.3599,28.7121,28.4006,27.5531,28.7645,28.6564
;Q1NZ17,29.6596,29.4243,28.8116,29.2927,29.2925,28.9838
;A5Z2V3,24.1048,24.0993,23.7767,25.3891,25.2531,25.0941
;A5Z2W4,30.2974,27.6263,30.0154,30.0444,31.0117,30.9726
;K8FDY8,25.9927,25.9198,25.8201,25.4947,26.6405,26.156
;A6PVA1,25.3664,25.1136,25.4987,27.0439,26.6637,26.1614
