geneName,log2 eat2_d1_01,log2 eat2_d1_02,log2 eat2_d1_03,log2 eat2_d1_04,log2 N2_d1_01,log2 N2_d1_02,log2 N2_d1_03,log2 N2_d1_04
"CELE_Y62E10A,13",12.9683,13.6616,13.4782,13.2256,13.4942,13.8845,13.8712,13.6388
cars-1,16.1567,15.8846,16.141,15.9632,16.0888,15.7628,15.7788,16.1181
eps-8,13.8975,12.8773,13.4087,13.531,13.6373,12.5531,12.7802,13.2235
"CELE_T14G10,5;CELE_T14G10,5;T14G10,5;CELE_T14G10,5",16.91,16.4458,16.5862,16.4466,16.5923,16.5336,16.4166,16.889
pezo-1,14.6784,14.3752,14.6108,14.3797,13.8155,14.1636,14.1229,14.2687
twk-9,17.2252,17.1974,17.211,17.4039,17.3976,17.1534,17.8241,17.5571
epi-1,16.5375,16.3752,16.5971,16.4363,16.8657,16.7427,17.0923,16.9885
kdin-1,13.0048,13.8586,13.8529,12.6856,13.6681,13.8291,13.4314,13.5216
tag-273,15.9666,15.9984,15.9232,16.1421,15.9665,15.8482,16.026,16.1803
"CELE_F13H10,3;CELE_F13H10,3;F13H10,3;CELE_F13H10,3",13.082,12.5815,12.6605,12.5371,12.2756,12.3501,10.9582,12.1981
pps-1,14.9067,13.8865,13.7469,14.701,15.3031,13.9893,14.1854,15.2644
cka-1,14.5009,14.8805,14.8057,15.3388,14.182,15.2123,15.0108,14.2918
"CELE_R11A8,7;CELE_R11A8,7;R11A8,7",12.9254,12.9859,13.2029,12.5426,13.3919,13.4873,13.3822,13.5391
spp-18,13.4882,13.6665,16.0098,13.7283,14.7652,15.4042,15.9958,16.5278
lin-66,13.6137,13.1062,13.7746,15.0526,13.7457,13.1536,12.5701,11.2878
"CELE_F09E10,7",13.6949,13.4141,13.5184,13.6471,13.1297,13.6954,13.5721,13.5913
"CELE_F10C1,9",15.0309,14.0591,13.8953,14.538,14.5513,14.0597,14.1416,14.0431
itx-1,14.4921,14.3969,14.5247,14.3475,14.8645,14.8632,14.8308,14.718
"CELE_Y41E3,7",13.5437,15.1879,14.7286,14.2836,14.6259,14.8664,15.37,13.9504
"CELE_Y105C5B,15",13.706,13.7134,13.1718,13.0678,13.2965,12.9016,12.9735,13.2549
lim-9,15.2467,15.1198,15.1758,15.3573,14.5234,14.4169,14.8993,14.6719
"CELE_Y105E8A,25",13.7928,13.4321,13.2535,14.0893,13.2962,13.2075,13.7434,13.4407
pgp-2,14.603,14.3793,14.4219,14.4792,14.7292,14.8409,14.8326,14.8153
lpd-3,14.1782,16.6237,15.4979,16.5383,14.7406,16.5295,17.4577,17.254
tln-1,14.3502,13.2031,13.3245,14.2834,13.7721,13.5973,14.1944,13.9062
max-2,14.1707,13.7061,14.0444,13.8003,14.2807,13.6385,13.8102,14.131
egl-27,16.3502,17.2088,15.8581,16.6099,13.5924,15.3326,14.5495,13.7417
cdc-14,10.6858,10.2011,10.4073,10.5605,10.0184,9.87131,9.89537,9.90331
daf-16,14.1166,13.8847,13.1839,14.1824,13.4251,13.116,13.6714,13.4711
